location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_workplaces,search_trends_allergy,search_trends_common_cold,search_trends_infection,search_trends_pain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_MN_27001,2020-01-01,ChIJJ4hmahgGsVIR9EY9qBOgIZg,Q109986,geoId/27001,US,United States of America,MN,Minnesota,27001,Aitkin County,US,USA,2,,,,,,,15792,8003,7789,1338,1557,1143,1345,1372,2390,3045,2459,1143,1795839,46.61,-93.41,5168,79.483333,,,,,,15.55,31.1,30.32,-9.961111,-15.138889,-3.294444,0.0,408.94,-11.987654,85.026954
US_MN_27001,2020-01-02,ChIJJ4hmahgGsVIR9EY9qBOgIZg,Q109986,geoId/27001,US,United States of America,MN,Minnesota,27001,Aitkin County,US,USA,2,,,,,,,15792,8003,7789,1338,1557,1143,1345,1372,2390,3045,2459,1143,1795839,46.61,-93.41,5168,79.483333,,,,,,21.37,24.54,37.2,-2.311111,-3.75,-0.561111,0.1905,381.0,-4.438272,85.829601
US_MN_27001,2020-01-03,ChIJJ4hmahgGsVIR9EY9qBOgIZg,Q109986,geoId/27001,US,United States of America,MN,Minnesota,27001,Aitkin County,US,USA,2,,,,,,,15792,8003,7789,1338,1557,1143,1345,1372,2390,3045,2459,1143,1795839,46.61,-93.41,5168,79.483333,,,,,15.18,15.18,32.75,35.95,-4.455556,-7.377778,-1.372222,0.0254,381.0,-6.623457,85.933382
US_MN_27001,2020-01-04,ChIJJ4hmahgGsVIR9EY9qBOgIZg,Q109986,geoId/27001,US,United States of America,MN,Minnesota,27001,Aitkin County,US,USA,2,,,,,,,15792,8003,7789,1338,1557,1143,1345,1372,2390,3045,2459,1143,1795839,46.61,-93.41,5168,79.483333,,,,,,16.43,18.07,35.31,-5.183333,-7.3,-2.588889,0.0,381.0,-6.907407,87.827875
US_MN_27001,2020-01-05,ChIJJ4hmahgGsVIR9EY9qBOgIZg,Q109986,geoId/27001,US,United States of America,MN,Minnesota,27001,Aitkin County,US,USA,2,,,,,,,15792,8003,7789,1338,1557,1143,1345,1372,2390,3045,2459,1143,1795839,46.61,-93.41,5168,79.483333,,,,,,,22.73,33.73,-2.988889,-4.972222,-0.2,0.0,381.0,-6.037037,79.648521
US_MN_27001,2020-01-06,ChIJJ4hmahgGsVIR9EY9qBOgIZg,Q109986,geoId/27001,US,United States of America,MN,Minnesota,27001,Aitkin County,US,USA,2,,,,,,,15792,8003,7789,1338,1557,1143,1345,1372,2390,3045,2459,1143,1795839,46.61,-93.41,5168,79.483333,,,,,,,24.72,42.18,-4.783333,-10.65,0.461111,0.0508,381.0,-8.691358,74.730399
US_MN_27001,2020-01-07,ChIJJ4hmahgGsVIR9EY9qBOgIZg,Q109986,geoId/27001,US,United States of America,MN,Minnesota,27001,Aitkin County,US,USA,2,,,,,,,15792,8003,7789,1338,1557,1143,1345,1372,2390,3045,2459,1143,1795839,46.61,-93.41,5168,79.483333,,,,,,12.55,29.53,36.92,-6.877778,-14.388889,-1.872222,0.0,381.0,-11.746914,69.253785
US_MN_27001,2020-01-08,ChIJJ4hmahgGsVIR9EY9qBOgIZg,Q109986,geoId/27001,US,United States of America,MN,Minnesota,27001,Aitkin County,US,USA,2,,,,,,,15792,8003,7789,1338,1557,1143,1345,1372,2390,3045,2459,1143,1795839,46.61,-93.41,5168,79.483333,,,,,,12.96,23.76,30.96,-19.583333,-26.5,-14.188889,0.0,381.0,-23.753086,70.391178
US_MN_27001,2020-01-09,ChIJJ4hmahgGsVIR9EY9qBOgIZg,Q109986,geoId/27001,US,United States of America,MN,Minnesota,27001,Aitkin County,US,USA,2,,,,,,,15792,8003,7789,1338,1557,1143,1345,1372,2390,3045,2459,1143,1795839,46.61,-93.41,5168,79.483333,,,,,11.94,,20.15,43.28,-10.005556,-15.533333,-4.577778,0.1524,381.0,-15.04321,67.251265
US_MN_27001,2020-01-10,ChIJJ4hmahgGsVIR9EY9qBOgIZg,Q109986,geoId/27001,US,United States of America,MN,Minnesota,27001,Aitkin County,US,USA,2,,,,,,,15792,8003,7789,1338,1557,1143,1345,1372,2390,3045,2459,1143,1795839,46.61,-93.41,5168,79.483333,,,,,,18.81,22.29,32.74,-10.655556,-15.705556,-5.533333,0.0508,381.0,-15.444444,69.063209
US_MN_27001,2020-01-11,ChIJJ4hmahgGsVIR9EY9qBOgIZg,Q109986,geoId/27001,US,United States of America,MN,Minnesota,27001,Aitkin County,US,USA,2,,,,,,,15792,8003,7789,1338,1557,1143,1345,1372,2390,3045,2459,1143,1795839,46.61,-93.41,5168,79.483333,,,,,16.52,11.8,22.03,29.11,-19.883333,-26.7,-11.672222,0.0,381.0,-24.820988,66.391146
US_MN_27001,2020-01-12,ChIJJ4hmahgGsVIR9EY9qBOgIZg,Q109986,geoId/27001,US,United States of America,MN,Minnesota,27001,Aitkin County,US,USA,2,,,,,,,15792,8003,7789,1338,1557,1143,1345,1372,2390,3045,2459,1143,1795839,46.61,-93.41,5168,79.483333,,,,,,13.31,28.19,28.19,-12.794444,-17.022222,-8.438889,0.0,381.0,-16.037037,76.867663
US_MN_27001,2020-01-13,ChIJJ4hmahgGsVIR9EY9qBOgIZg,Q109986,geoId/27001,US,United States of America,MN,Minnesota,27001,Aitkin County,US,USA,2,,,,,,,15792,8003,7789,1338,1557,1143,1345,1372,2390,3045,2459,1143,1795839,46.61,-93.41,5168,79.483333,,,,,,14.36,25.86,43.81,-8.111111,-11.5,-4.8,0.042333,381.0,-10.932099,79.948586
US_MN_27001,2020-01-14,ChIJJ4hmahgGsVIR9EY9qBOgIZg,Q109986,geoId/27001,US,United States of America,MN,Minnesota,27001,Aitkin County,US,USA,2,,,,,,,15792,8003,7789,1338,1557,1143,1345,1372,2390,3045,2459,1143,1795839,46.61,-93.41,5168,79.483333,,,,,11.82,16.25,28.07,35.46,-4.677778,-9.844444,-2.9,1.3335,381.0,-6.604938,86.823581
