location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_common_cold,search_trends_diabetes,search_trends_infection,search_trends_itch,search_trends_pain,search_trends_skin_rash,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_OK_40133,2020-01-01,ChIJhyP2nNKbs4cRRjglNaXxyzc,Q495891,geoId/40133,US,United States of America,OK,Oklahoma,40133,Seminole County,US,USA,2,,,,,,,24845,12166,12679,3352,3639,2868,2861,2812,3369,2922,1969,1053,1822242,35.17,-96.61,1659,75.944444,,,,,,,10.76,,26.06,9.63,32.86,,48.15,8.5,5.394444,-0.666667,12.822222,0.0,,-4.005556,50.877084
US_OK_40133,2020-01-02,ChIJhyP2nNKbs4cRRjglNaXxyzc,Q495891,geoId/40133,US,United States of America,OK,Oklahoma,40133,Seminole County,US,USA,2,,,,,,,24845,12166,12679,3352,3639,2868,2861,2812,3369,2922,1969,1053,1822242,35.17,-96.61,1659,75.944444,,,,,,,15.33,,28.55,12.16,42.3,8.99,46.53,,10.138889,6.55,14.655556,0.0,,5.422222,72.543882
US_OK_40133,2020-01-03,ChIJhyP2nNKbs4cRRjglNaXxyzc,Q495891,geoId/40133,US,United States of America,OK,Oklahoma,40133,Seminole County,US,USA,2,,,,,,,24845,12166,12679,3352,3639,2868,2861,2812,3369,2922,1969,1053,1822242,35.17,-96.61,1659,75.944444,,,,,,,12.52,,25.56,10.96,45.91,8.35,39.65,,7.822222,3.883333,12.527778,0.0,,3.438889,73.860789
US_OK_40133,2020-01-04,ChIJhyP2nNKbs4cRRjglNaXxyzc,Q495891,geoId/40133,US,United States of America,OK,Oklahoma,40133,Seminole County,US,USA,2,,,,,,,24845,12166,12679,3352,3639,2868,2861,2812,3369,2922,1969,1053,1822242,35.17,-96.61,1659,75.944444,,,,,,,,,21.43,8.69,22.01,,46.92,11.01,4.672222,-1.483333,11.472222,0.0,,-2.961111,57.802072
US_OK_40133,2020-01-05,ChIJhyP2nNKbs4cRRjglNaXxyzc,Q495891,geoId/40133,US,United States of America,OK,Oklahoma,40133,Seminole County,US,USA,2,,,,,,,24845,12166,12679,3352,3639,2868,2861,2812,3369,2922,1969,1053,1822242,35.17,-96.61,1659,75.944444,,,,,,,12.24,,14.46,,32.82,,46.73,,7.65,0.955556,16.127778,0.0,,-2.05,50.348692
US_OK_40133,2020-01-06,ChIJhyP2nNKbs4cRRjglNaXxyzc,Q495891,geoId/40133,US,United States of America,OK,Oklahoma,40133,Seminole County,US,USA,2,,,,,,,24845,12166,12679,3352,3639,2868,2861,2812,3369,2922,1969,1053,1822242,35.17,-96.61,1659,75.944444,,,,,,10.96,10.46,7.47,23.91,12.45,39.85,,45.83,,5.944444,-1.172222,14.811111,0.0,,-3.083333,52.570297
US_OK_40133,2020-01-07,ChIJhyP2nNKbs4cRRjglNaXxyzc,Q495891,geoId/40133,US,United States of America,OK,Oklahoma,40133,Seminole County,US,USA,2,,,,,,,24845,12166,12679,3352,3639,2868,2861,2812,3369,2922,1969,1053,1822242,35.17,-96.61,1659,75.944444,,,,,,10.55,10.55,7.19,16.3,10.55,28.29,7.67,44.6,8.63,6.172222,-1.777778,16.455556,0.0,,-5.366667,43.555336
US_OK_40133,2020-01-08,ChIJhyP2nNKbs4cRRjglNaXxyzc,Q495891,geoId/40133,US,United States of America,OK,Oklahoma,40133,Seminole County,US,USA,2,,,,,,,24845,12166,12679,3352,3639,2868,2861,2812,3369,2922,1969,1053,1822242,35.17,-96.61,1659,75.944444,,,,,,,10.56,8.27,16.99,11.02,39.03,9.18,42.7,15.15,8.227778,1.011111,17.188889,0.0,,-5.65,37.105202
US_OK_40133,2020-01-09,ChIJhyP2nNKbs4cRRjglNaXxyzc,Q495891,geoId/40133,US,United States of America,OK,Oklahoma,40133,Seminole County,US,USA,2,,,,,,,24845,12166,12679,3352,3639,2868,2861,2812,3369,2922,1969,1053,1822242,35.17,-96.61,1659,75.944444,,,,,,6.82,12.72,,14.09,9.09,37.26,,40.89,13.63,14.077778,11.238889,18.222222,0.0,,6.983333,62.414968
US_OK_40133,2020-01-10,ChIJhyP2nNKbs4cRRjglNaXxyzc,Q495891,geoId/40133,US,United States of America,OK,Oklahoma,40133,Seminole County,US,USA,2,,,,,,,24845,12166,12679,3352,3639,2868,2861,2812,3369,2922,1969,1053,1822242,35.17,-96.61,1659,75.944444,,,,,,8.57,12.18,8.12,8.12,,32.03,7.67,36.54,10.83,16.144444,8.088889,20.416667,10.4775,,15.016667,93.116461
US_OK_40133,2020-01-11,ChIJhyP2nNKbs4cRRjglNaXxyzc,Q495891,geoId/40133,US,United States of America,OK,Oklahoma,40133,Seminole County,US,USA,2,,,,,,,24845,12166,12679,3352,3639,2868,2861,2812,3369,2922,1969,1053,1822242,35.17,-96.61,1659,75.944444,,,,,,9.42,,10.53,24.38,,27.71,,43.22,12.75,-0.25,-4.255556,7.211111,14.82725,,-2.266667,86.442906
US_OK_40133,2020-01-12,ChIJhyP2nNKbs4cRRjglNaXxyzc,Q495891,geoId/40133,US,United States of America,OK,Oklahoma,40133,Seminole County,US,USA,2,,,,,,,24845,12166,12679,3352,3639,2868,2861,2812,3369,2922,1969,1053,1822242,35.17,-96.61,1659,75.944444,,,,,,9.49,,8.9,17.79,15.42,39.74,13.05,53.98,10.08,1.966667,-2.85,11.611111,0.141111,,-1.35,78.933834
US_OK_40133,2020-01-13,ChIJhyP2nNKbs4cRRjglNaXxyzc,Q495891,geoId/40133,US,United States of America,OK,Oklahoma,40133,Seminole County,US,USA,2,,,,,,,24845,12166,12679,3352,3639,2868,2861,2812,3369,2922,1969,1053,1822242,35.17,-96.61,1659,75.944444,,,,,,,6.65,7.98,13.3,11.09,32.81,,31.93,,5.183333,1.15,10.716667,0.0,,3.844444,91.236726
US_OK_40133,2020-01-14,ChIJhyP2nNKbs4cRRjglNaXxyzc,Q495891,geoId/40133,US,United States of America,OK,Oklahoma,40133,Seminole County,US,USA,2,,,,,,,24845,12166,12679,3352,3639,2868,2861,2812,3369,2922,1969,1053,1822242,35.17,-96.61,1659,75.944444,,,,,,,14.93,10.24,17.49,11.09,29.43,8.1,38.38,,12.638889,9.85,17.333333,0.0,,10.527778,87.046234
