location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_transit_stations,mobility_workplaces,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_common_cold,search_trends_diabetes,search_trends_hypertension,search_trends_infection,search_trends_itch,search_trends_pain,search_trends_skin_rash,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_ND_38053,2020-01-01,ChIJ-zUjNk2BJlMRNd79YrreYUM,Q280844,geoId/38053,US,United States of America,ND,North Dakota,38053,McKenzie County,US,USA,2,,,,,,,12688,6712,5976,2347,1862,1874,1923,1333,1529,1091,453,276,1271254,47.73,-103.39,7410,81.5,,,,,9.83,,,17.52,6.84,9.4,20.51,,31.19,,0.777778,-2.783333,2.983333,0.127,-2.117284,82.396077
US_ND_38053,2020-01-02,ChIJ-zUjNk2BJlMRNd79YrreYUM,Q280844,geoId/38053,US,United States of America,ND,North Dakota,38053,McKenzie County,US,USA,2,,,,,,,12688,6712,5976,2347,1862,1874,1923,1333,1529,1091,453,276,1271254,47.73,-103.39,7410,81.5,,,,,6.6,,,9.72,5.9,,22.22,,32.63,,-0.505556,-2.433333,1.577778,1.3208,-2.041667,90.655156
US_ND_38053,2020-01-03,ChIJ-zUjNk2BJlMRNd79YrreYUM,Q280844,geoId/38053,US,United States of America,ND,North Dakota,38053,McKenzie County,US,USA,2,,,,,,,12688,6712,5976,2347,1862,1874,1923,1333,1529,1091,453,276,1271254,47.73,-103.39,7410,81.5,,,,,,6.93,,12.81,,,22.86,6.58,25.28,6.23,-4.6,-10.716667,0.494444,1.124857,-6.95679,84.618262
US_ND_38053,2020-01-04,ChIJ-zUjNk2BJlMRNd79YrreYUM,Q280844,geoId/38053,US,United States of America,ND,North Dakota,38053,McKenzie County,US,USA,2,,,,,,,12688,6712,5976,2347,1862,1874,1923,1333,1529,1091,453,276,1271254,47.73,-103.39,7410,81.5,,,,,7.07,,6.65,14.56,6.65,,22.46,,31.61,,-4.044444,-13.35,4.25,0.0254,-6.654321,83.732936
US_ND_38053,2020-01-05,ChIJ-zUjNk2BJlMRNd79YrreYUM,Q280844,geoId/38053,US,United States of America,ND,North Dakota,38053,McKenzie County,US,USA,2,,,,,,,12688,6712,5976,2347,1862,1874,1923,1333,1529,1091,453,276,1271254,47.73,-103.39,7410,81.5,,,,,,,,15.39,6.08,,25.92,8.51,26.73,,0.177778,-5.288889,5.361111,0.211667,-4.271605,72.926356
US_ND_38053,2020-01-06,ChIJ-zUjNk2BJlMRNd79YrreYUM,Q280844,geoId/38053,US,United States of America,ND,North Dakota,38053,McKenzie County,US,USA,2,,,,,,,12688,6712,5976,2347,1862,1874,1923,1333,1529,1091,453,276,1271254,47.73,-103.39,7410,81.5,,,,,6.62,,,10.93,9.61,5.63,15.9,,25.5,6.29,-4.738889,-9.066667,0.3,0.03175,-8.475309,76.560381
US_ND_38053,2020-01-07,ChIJ-zUjNk2BJlMRNd79YrreYUM,Q280844,geoId/38053,US,United States of America,ND,North Dakota,38053,McKenzie County,US,USA,2,,,,,,,12688,6712,5976,2347,1862,1874,1923,1333,1529,1091,453,276,1271254,47.73,-103.39,7410,81.5,,,,,,9.51,8.59,15.64,7.05,,23.31,9.2,30.06,4.6,-8.505556,-13.755556,-2.088889,0.0,-13.166667,71.976489
US_ND_38053,2020-01-08,ChIJ-zUjNk2BJlMRNd79YrreYUM,Q280844,geoId/38053,US,United States of America,ND,North Dakota,38053,McKenzie County,US,USA,2,,,,,,,12688,6712,5976,2347,1862,1874,1923,1333,1529,1091,453,276,1271254,47.73,-103.39,7410,81.5,,,,,6.52,,4.66,13.66,5.9,,28.87,5.59,30.73,12.42,-10.907407,-15.524691,-6.351852,0.0,-14.881944,75.14237
US_ND_38053,2020-01-09,ChIJ-zUjNk2BJlMRNd79YrreYUM,Q280844,geoId/38053,US,United States of America,ND,North Dakota,38053,McKenzie County,US,USA,2,,,,,,,12688,6712,5976,2347,1862,1874,1923,1333,1529,1091,453,276,1271254,47.73,-103.39,7410,81.5,,,,,6.67,5.46,4.24,11.82,7.88,6.67,18.19,,22.73,7.58,-9.135802,-13.382716,-3.722222,0.0,-11.993056,81.56372
US_ND_38053,2020-01-10,ChIJ-zUjNk2BJlMRNd79YrreYUM,Q280844,geoId/38053,US,United States of America,ND,North Dakota,38053,McKenzie County,US,USA,2,,,,,,,12688,6712,5976,2347,1862,1874,1923,1333,1529,1091,453,276,1271254,47.73,-103.39,7410,81.5,,,,,,8.04,5.47,11.26,,,18.34,,25.73,8.69,-18.205556,-22.805556,-12.694444,0.0,-22.771605,69.512863
US_ND_38053,2020-01-11,ChIJ-zUjNk2BJlMRNd79YrreYUM,Q280844,geoId/38053,US,United States of America,ND,North Dakota,38053,McKenzie County,US,USA,2,,,,,,,12688,6712,5976,2347,1862,1874,1923,1333,1529,1091,453,276,1271254,47.73,-103.39,7410,81.5,,,,,5.74,,,9.95,6.51,,21.06,,30.25,6.89,-14.738889,-19.433333,-10.633333,0.0,-18.055556,77.606698
US_ND_38053,2020-01-12,ChIJ-zUjNk2BJlMRNd79YrreYUM,Q280844,geoId/38053,US,United States of America,ND,North Dakota,38053,McKenzie County,US,USA,2,,,,,,,12688,6712,5976,2347,1862,1874,1923,1333,1529,1091,453,276,1271254,47.73,-103.39,7410,81.5,,,,,,7.14,,12.02,,,24.42,,30.81,6.01,-9.688889,-13.105556,-4.011111,0.0,-12.808642,79.591235
US_ND_38053,2020-01-13,ChIJ-zUjNk2BJlMRNd79YrreYUM,Q280844,geoId/38053,US,United States of America,ND,North Dakota,38053,McKenzie County,US,USA,2,,,,,,,12688,6712,5976,2347,1862,1874,1923,1333,1529,1091,453,276,1271254,47.73,-103.39,7410,81.5,,,,,,4.95,5.87,11.44,,,22.26,,32.46,7.42,-14.155556,-18.577778,-7.816667,0.0,-16.944444,82.061528
US_ND_38053,2020-01-14,ChIJ-zUjNk2BJlMRNd79YrreYUM,Q280844,geoId/38053,US,United States of America,ND,North Dakota,38053,McKenzie County,US,USA,2,,,,,,,12688,6712,5976,2347,1862,1874,1923,1333,1529,1091,453,276,1271254,47.73,-103.39,7410,81.5,,,,,4.31,4.92,,11.07,5.84,,20.3,4.31,25.23,5.84,-23.427778,-27.283333,-17.466667,1.143,-27.222222,71.420001
