location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_AK_02105,2020-01-01,ChIJjY64IlEKAVQR07LV-Nz07zE,Q500827,geoId/02105,US,United States of America,AK,Alaska,02105,Hoonah-Angoon,US,USA,2,,,2139,1137,1002,223,218,185,213,255,372,398,204,71,2605280,58.133333,-135.15,10914,79.3,4.277778,1.666667,6.135802,1.608667,,2.296296,87.436674
US_AK_02105,2020-01-02,ChIJjY64IlEKAVQR07LV-Nz07zE,Q500827,geoId/02105,US,United States of America,AK,Alaska,02105,Hoonah-Angoon,US,USA,2,,,2139,1137,1002,223,218,185,213,255,372,398,204,71,2605280,58.133333,-135.15,10914,79.3,-0.839506,-2.820988,3.037037,2.173111,,-3.685185,82.023441
US_AK_02105,2020-01-03,ChIJjY64IlEKAVQR07LV-Nz07zE,Q500827,geoId/02105,US,United States of America,AK,Alaska,02105,Hoonah-Angoon,US,USA,2,,,2139,1137,1002,223,218,185,213,255,372,398,204,71,2605280,58.133333,-135.15,10914,79.3,-1.728395,-4.45679,0.679012,0.874889,,-4.314815,82.740475
US_AK_02105,2020-01-04,ChIJjY64IlEKAVQR07LV-Nz07zE,Q500827,geoId/02105,US,United States of America,AK,Alaska,02105,Hoonah-Angoon,US,USA,2,,,2139,1137,1002,223,218,185,213,255,372,398,204,71,2605280,58.133333,-135.15,10914,79.3,-3.703704,-6.382716,-1.141975,0.0,,-6.527778,80.572498
US_AK_02105,2020-01-05,ChIJjY64IlEKAVQR07LV-Nz07zE,Q500827,geoId/02105,US,United States of America,AK,Alaska,02105,Hoonah-Angoon,US,USA,2,,,2139,1137,1002,223,218,185,213,255,372,398,204,71,2605280,58.133333,-135.15,10914,79.3,-4.290123,-7.925926,-1.135802,0.141111,,-6.342593,84.597222
US_AK_02105,2020-01-06,ChIJjY64IlEKAVQR07LV-Nz07zE,Q500827,geoId/02105,US,United States of America,AK,Alaska,02105,Hoonah-Angoon,US,USA,2,,,2139,1137,1002,223,218,185,213,255,372,398,204,71,2605280,58.133333,-135.15,10914,79.3,-3.222222,-7.888889,-0.265432,0.028222,50.8,-5.416667,86.425667
US_AK_02105,2020-01-07,ChIJjY64IlEKAVQR07LV-Nz07zE,Q500827,geoId/02105,US,United States of America,AK,Alaska,02105,Hoonah-Angoon,US,USA,2,,,2139,1137,1002,223,218,185,213,255,372,398,204,71,2605280,58.133333,-135.15,10914,79.3,-0.588889,-2.4,0.1,1.6002,99.06,-1.928571,93.184938
US_AK_02105,2020-01-08,ChIJjY64IlEKAVQR07LV-Nz07zE,Q500827,geoId/02105,US,United States of America,AK,Alaska,02105,Hoonah-Angoon,US,USA,2,,,2139,1137,1002,223,218,185,213,255,372,398,204,71,2605280,58.133333,-135.15,10914,79.3,-1.734568,-3.709877,-0.018519,1.495778,149.86,-3.185185,92.385949
US_AK_02105,2020-01-09,ChIJjY64IlEKAVQR07LV-Nz07zE,Q500827,geoId/02105,US,United States of America,AK,Alaska,02105,Hoonah-Angoon,US,USA,2,,,2139,1137,1002,223,218,185,213,255,372,398,204,71,2605280,58.133333,-135.15,10914,79.3,-4.975309,-8.055556,-1.820988,0.028222,129.54,-8.231481,78.625596
US_AK_02105,2020-01-10,ChIJjY64IlEKAVQR07LV-Nz07zE,Q500827,geoId/02105,US,United States of America,AK,Alaska,02105,Hoonah-Angoon,US,USA,2,,,2139,1137,1002,223,218,185,213,255,372,398,204,71,2605280,58.133333,-135.15,10914,79.3,-6.469136,-8.851852,-4.777778,0.0,99.06,-12.175926,64.305873
US_AK_02105,2020-01-11,ChIJjY64IlEKAVQR07LV-Nz07zE,Q500827,geoId/02105,US,United States of America,AK,Alaska,02105,Hoonah-Angoon,US,USA,2,,,2139,1137,1002,223,218,185,213,255,372,398,204,71,2605280,58.133333,-135.15,10914,79.3,-9.111111,-11.975309,-6.12963,0.0,99.06,-16.287037,55.905983
US_AK_02105,2020-01-12,ChIJjY64IlEKAVQR07LV-Nz07zE,Q500827,geoId/02105,US,United States of America,AK,Alaska,02105,Hoonah-Angoon,US,USA,2,,,2139,1137,1002,223,218,185,213,255,372,398,204,71,2605280,58.133333,-135.15,10914,79.3,-8.876543,-12.0,-6.290123,0.0,99.06,-17.907407,47.695249
US_AK_02105,2020-01-13,ChIJjY64IlEKAVQR07LV-Nz07zE,Q500827,geoId/02105,US,United States of America,AK,Alaska,02105,Hoonah-Angoon,US,USA,2,,,2139,1137,1002,223,218,185,213,255,372,398,204,71,2605280,58.133333,-135.15,10914,79.3,-11.234568,-14.067901,-6.308642,0.0,99.06,-16.444444,65.556987
US_AK_02105,2020-01-14,ChIJjY64IlEKAVQR07LV-Nz07zE,Q500827,geoId/02105,US,United States of America,AK,Alaska,02105,Hoonah-Angoon,US,USA,2,,,2139,1137,1002,223,218,185,213,255,372,398,204,71,2605280,58.133333,-135.15,10914,79.3,-9.777778,-13.512346,-5.561728,0.0,99.06,-17.518519,52.118595
US_AK_02105,2020-01-15,ChIJjY64IlEKAVQR07LV-Nz07zE,Q500827,geoId/02105,US,United States of America,AK,Alaska,02105,Hoonah-Angoon,US,USA,2,,,2139,1137,1002,223,218,185,213,255,372,398,204,71,2605280,58.133333,-135.15,10914,79.3,-10.203704,-12.987654,-6.512346,0.0,99.06,-18.833333,47.860965
US_AK_02105,2020-01-16,ChIJjY64IlEKAVQR07LV-Nz07zE,Q500827,geoId/02105,US,United States of America,AK,Alaska,02105,Hoonah-Angoon,US,USA,2,,,2139,1137,1002,223,218,185,213,255,372,398,204,71,2605280,58.133333,-135.15,10914,79.3,-7.802469,-8.981481,-6.845679,0.0,99.06,-18.722222,41.61283
US_AK_02105,2020-01-17,ChIJjY64IlEKAVQR07LV-Nz07zE,Q500827,geoId/02105,US,United States of America,AK,Alaska,02105,Hoonah-Angoon,US,USA,2,,,2139,1137,1002,223,218,185,213,255,372,398,204,71,2605280,58.133333,-135.15,10914,79.3,-9.259259,-11.481481,-6.907407,0.0,99.06,-19.194444,44.23747
US_AK_02105,2020-01-18,ChIJjY64IlEKAVQR07LV-Nz07zE,Q500827,geoId/02105,US,United States of America,AK,Alaska,02105,Hoonah-Angoon,US,USA,2,,,2139,1137,1002,223,218,185,213,255,372,398,204,71,2605280,58.133333,-135.15,10914,79.3,-8.822222,-11.75,-3.544444,0.0,78.74,-16.314815,55.997642
US_AK_02105,2020-01-19,ChIJjY64IlEKAVQR07LV-Nz07zE,Q500827,geoId/02105,US,United States of America,AK,Alaska,02105,Hoonah-Angoon,US,USA,2,,,2139,1137,1002,223,218,185,213,255,372,398,204,71,2605280,58.133333,-135.15,10914,79.3,-3.955556,-6.433333,-1.0,0.7112,129.54,-6.730159,81.936908
