location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_cough,search_trends_diabetes,search_trends_fatigue,search_trends_fever,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_obesity,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_SC_45027,2020-01-01,ChIJbfcrp9wN_4gRQqAkOo91jWA,Q497871,geoId/45027,US,United States of America,SC,South Carolina,45027,Clarendon County,US,USA,2,,,,,,,34012,16692,17320,3370,4069,4402,3471,3600,4835,5132,3500,1633,2532502,33.66,-80.22,1802,75.4,,,,,,6.33,,7.17,9.28,8.44,8.44,19.82,12.23,8.01,7.59,,8.86,25.73,,,,43.44,9.7,,8.8,3.3,14.972222,0.0,-0.772222,51.297157
US_SC_45027,2020-01-02,ChIJbfcrp9wN_4gRQqAkOo91jWA,Q497871,geoId/45027,US,United States of America,SC,South Carolina,45027,Clarendon County,US,USA,2,,,,,,,34012,16692,17320,3370,4069,4402,3471,3600,4835,5132,3500,1633,2532502,33.66,-80.22,1802,75.4,,,,,,,14.16,15.37,,,,18.61,9.71,11.73,,5.66,8.9,26.7,7.28,11.33,,40.05,,,8.038889,3.455556,13.677778,0.381,3.116667,71.33685
US_SC_45027,2020-01-03,ChIJbfcrp9wN_4gRQqAkOo91jWA,Q497871,geoId/45027,US,United States of America,SC,South Carolina,45027,Clarendon County,US,USA,2,,,,,,,34012,16692,17320,3370,4069,4402,3471,3600,4835,5132,3500,1633,2532502,33.66,-80.22,1802,75.4,,,,,,,11.16,11.99,7.03,,6.62,20.68,14.06,10.75,9.51,6.2,8.27,22.33,,10.34,7.44,45.49,7.03,9.93,17.155556,8.183333,23.911111,0.03175,13.627778,79.867216
US_SC_45027,2020-01-04,ChIJbfcrp9wN_4gRQqAkOo91jWA,Q497871,geoId/45027,US,United States of America,SC,South Carolina,45027,Clarendon County,US,USA,2,,,,,,,34012,16692,17320,3370,4069,4402,3471,3600,4835,5132,3500,1633,2532502,33.66,-80.22,1802,75.4,,,,,,7.0,10.29,16.06,,7.0,7.0,18.94,9.06,7.41,,9.88,8.65,34.17,8.65,10.71,,42.41,9.06,,18.033333,13.461111,22.211111,15.790333,14.983333,82.549285
US_SC_45027,2020-01-05,ChIJbfcrp9wN_4gRQqAkOo91jWA,Q497871,geoId/45027,US,United States of America,SC,South Carolina,45027,Clarendon County,US,USA,2,,,,,,,34012,16692,17320,3370,4069,4402,3471,3600,4835,5132,3500,1633,2532502,33.66,-80.22,1802,75.4,,,,,,,8.02,14.36,8.02,7.6,,21.11,12.24,,,10.98,,31.67,,15.2,,46.02,7.6,7.18,8.522222,2.238889,16.961111,1.4224,-1.05,51.044616
US_SC_45027,2020-01-06,ChIJbfcrp9wN_4gRQqAkOo91jWA,Q497871,geoId/45027,US,United States of America,SC,South Carolina,45027,Clarendon County,US,USA,2,,,,,,,34012,16692,17320,3370,4069,4402,3471,3600,4835,5132,3500,1633,2532502,33.66,-80.22,1802,75.4,,,,,,7.27,8.59,10.91,,5.95,5.95,15.53,12.89,7.6,6.28,,9.25,22.48,7.6,12.23,,43.3,8.92,,7.644444,1.361111,16.683333,0.0,1.033333,63.171219
US_SC_45027,2020-01-07,ChIJbfcrp9wN_4gRQqAkOo91jWA,Q497871,geoId/45027,US,United States of America,SC,South Carolina,45027,Clarendon County,US,USA,2,,,,,,,34012,16692,17320,3370,4069,4402,3471,3600,4835,5132,3500,1633,2532502,33.66,-80.22,1802,75.4,,,,,,,14.27,7.96,8.63,,,15.6,7.63,7.3,,,11.28,32.85,,5.64,6.64,35.17,8.63,7.63,8.922222,2.722222,17.627778,0.036286,4.383333,73.330404
US_SC_45027,2020-01-08,ChIJbfcrp9wN_4gRQqAkOo91jWA,Q497871,geoId/45027,US,United States of America,SC,South Carolina,45027,Clarendon County,US,USA,2,,,,,,,34012,16692,17320,3370,4069,4402,3471,3600,4835,5132,3500,1633,2532502,33.66,-80.22,1802,75.4,,,,,,4.61,7.91,11.53,,8.57,,14.5,8.24,11.53,6.59,,10.54,30.32,6.59,6.26,4.94,36.58,10.87,6.26,7.438889,-0.727778,17.383333,0.056444,-1.061111,55.169782
US_SC_45027,2020-01-09,ChIJbfcrp9wN_4gRQqAkOo91jWA,Q497871,geoId/45027,US,United States of America,SC,South Carolina,45027,Clarendon County,US,USA,2,,,,,,,34012,16692,17320,3370,4069,4402,3471,3600,4835,5132,3500,1633,2532502,33.66,-80.22,1802,75.4,,,,,,6.02,7.69,11.04,,5.35,6.36,9.7,,11.04,5.69,,8.36,28.1,7.36,7.36,10.04,41.81,5.35,5.35,7.227778,-0.511111,17.333333,0.0,-0.177778,59.670769
US_SC_45027,2020-01-10,ChIJbfcrp9wN_4gRQqAkOo91jWA,Q497871,geoId/45027,US,United States of America,SC,South Carolina,45027,Clarendon County,US,USA,2,,,,,,,34012,16692,17320,3370,4069,4402,3471,3600,4835,5132,3500,1633,2532502,33.66,-80.22,1802,75.4,,,,,,,6.56,11.15,4.92,5.9,,8.85,7.54,6.56,,,8.85,21.32,8.2,6.23,5.58,36.07,6.89,,12.7,8.622222,19.238889,0.0762,7.994444,73.106467
