location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,elevation_m,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_common_cold,search_trends_diabetes,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_IA_19157,2020-01-01,ChIJ2Rtb-YRj74cRoDQaj8Jlfnw,Q485470,geoId/19157,US,United States of America,IA,Iowa,19157,Poweshiek County,US,USA,2,,,,,,,18334,8872,9462,1985,2564,2614,1862,1831,2463,2372,1496,1147,1790345,41.684167,-92.53,293,1518,79.04,,,,,,,12.94,,,16.72,,,28.59,,,45.3,,9.71,-0.888889,-6.827778,8.783333,0.0,-4.358025,77.641705
US_IA_19157,2020-01-02,ChIJ2Rtb-YRj74cRoDQaj8Jlfnw,Q485470,geoId/19157,US,United States of America,IA,Iowa,19157,Poweshiek County,US,USA,2,,,,,,,18334,8872,9462,1985,2564,2614,1862,1831,2463,2372,1496,1147,1790345,41.684167,-92.53,293,1518,79.04,,,,,,,10.77,7.18,,17.04,7.62,9.87,26.46,8.97,8.52,39.47,,,5.088889,0.505556,9.438889,0.0,1.345679,76.750324
US_IA_19157,2020-01-03,ChIJ2Rtb-YRj74cRoDQaj8Jlfnw,Q485470,geoId/19157,US,United States of America,IA,Iowa,19157,Poweshiek County,US,USA,2,,,,,,,18334,8872,9462,1985,2564,2614,1862,1831,2463,2372,1496,1147,1790345,41.684167,-92.53,293,1518,79.04,,,,,,11.7,7.8,12.99,,15.16,8.23,8.23,25.12,8.66,,38.55,6.5,,0.988889,-0.461111,4.05,0.0,-0.561728,89.288731
US_IA_19157,2020-01-04,ChIJ2Rtb-YRj74cRoDQaj8Jlfnw,Q485470,geoId/19157,US,United States of America,IA,Iowa,19157,Poweshiek County,US,USA,2,,,,,,,18334,8872,9462,1985,2564,2614,1862,1831,2463,2372,1496,1147,1790345,41.684167,-92.53,293,1518,79.04,,,,,,,,16.77,,17.31,,,26.51,,,40.04,12.44,,-1.641975,-5.030864,1.592593,0.1524,-2.840278,91.391655
US_IA_19157,2020-01-05,ChIJ2Rtb-YRj74cRoDQaj8Jlfnw,Q485470,geoId/19157,US,United States of America,IA,Iowa,19157,Poweshiek County,US,USA,2,,,,,,,18334,8872,9462,1985,2564,2614,1862,1831,2463,2372,1496,1147,1790345,41.684167,-92.53,293,1518,79.04,,,,,,,7.88,,,18.39,,,22.59,8.41,,30.47,9.46,,1.738889,-4.3,6.961111,0.0508,-2.771605,72.470401
US_IA_19157,2020-01-06,ChIJ2Rtb-YRj74cRoDQaj8Jlfnw,Q485470,geoId/19157,US,United States of America,IA,Iowa,19157,Poweshiek County,US,USA,2,,,,,,,18334,8872,9462,1985,2564,2614,1862,1831,2463,2372,1496,1147,1790345,41.684167,-92.53,293,1518,79.04,,,,,,6.99,10.28,7.4,,15.62,11.51,6.17,27.96,,7.4,36.59,7.81,6.58,-0.872222,-6.277778,5.616667,0.0,-4.654321,75.866567
US_IA_19157,2020-01-07,ChIJ2Rtb-YRj74cRoDQaj8Jlfnw,Q485470,geoId/19157,US,United States of America,IA,Iowa,19157,Poweshiek County,US,USA,2,,,,,,,18334,8872,9462,1985,2564,2614,1862,1831,2463,2372,1496,1147,1790345,41.684167,-92.53,293,1518,79.04,,,,,,,8.74,,7.95,12.32,6.36,7.95,27.02,5.56,,39.73,7.15,7.15,0.022222,-4.172222,4.338889,0.0,-4.654321,71.28647
US_IA_19157,2020-01-08,ChIJ2Rtb-YRj74cRoDQaj8Jlfnw,Q485470,geoId/19157,US,United States of America,IA,Iowa,19157,Poweshiek County,US,USA,2,,,,,,,18334,8872,9462,1985,2564,2614,1862,1831,2463,2372,1496,1147,1790345,41.684167,-92.53,293,1518,79.04,,,,,,,8.63,7.8,7.39,17.66,6.57,8.21,23.0,6.98,6.98,34.51,8.63,6.16,-5.938889,-10.855556,1.211111,0.0,-12.32716,60.70346
US_IA_19157,2020-01-09,ChIJ2Rtb-YRj74cRoDQaj8Jlfnw,Q485470,geoId/19157,US,United States of America,IA,Iowa,19157,Poweshiek County,US,USA,2,,,,,,,18334,8872,9462,1985,2564,2614,1862,1831,2463,2372,1496,1147,1790345,41.684167,-92.53,293,1518,79.04,,,,,,11.55,8.66,6.19,6.6,11.14,9.08,,23.93,,,28.47,,,3.827778,-5.455556,15.516667,0.0,-2.574074,63.119837
US_IA_19157,2020-01-10,ChIJ2Rtb-YRj74cRoDQaj8Jlfnw,Q485470,geoId/19157,US,United States of America,IA,Iowa,19157,Poweshiek County,US,USA,2,,,,,,,18334,8872,9462,1985,2564,2614,1862,1831,2463,2372,1496,1147,1790345,41.684167,-92.53,293,1518,79.04,,,,,,,,,,14.45,,,20.64,,7.43,28.07,,,-1.15,-4.138889,7.611111,1.3335,-3.08642,86.223253
