location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_NY_36095,2020-01-11,ChIJ_RKPRqol3IkRq7xhO-i-9e4,Q71202,geoId/36095,US,United States of America,NY,New York,36095,Schoharie County,US,USA,2,,,,,,,31255,15678,15577,2880,3922,3718,3205,3596,4850,4685,2849,1550,1838138,42.59,-74.44,1622,81.914286,,,,,4.55,8.12,6.5,8.45,5.85,5.2,12.02,7.15,,8.45,,5.2,8.45,,9.1,21.45,6.17,6.5,,4.87,36.07,,5.85,6.5,,10.616667,1.966667,17.455556,0.98425,,6.876543,78.48694
US_NY_36095,2020-01-12,ChIJ_RKPRqol3IkRq7xhO-i-9e4,Q71202,geoId/36095,US,United States of America,NY,New York,36095,Schoharie County,US,USA,2,,,,,,,31255,15678,15577,2880,3922,3718,3205,3596,4850,4685,2849,1550,1838138,42.59,-74.44,1622,81.914286,,,,,5.09,9.54,7.32,9.23,5.73,7.32,12.73,4.77,,7.0,,4.77,6.36,6.36,,18.14,4.77,8.91,8.59,5.09,40.09,4.45,7.64,7.0,,12.344444,1.038889,18.15,2.9464,,6.783951,71.172862
US_NY_36095,2020-01-13,ChIJ_RKPRqol3IkRq7xhO-i-9e4,Q71202,geoId/36095,US,United States of America,NY,New York,36095,Schoharie County,US,USA,2,,,,,,,31255,15678,15577,2880,3922,3718,3205,3596,4850,4685,2849,1550,1838138,42.59,-74.44,1622,81.914286,,,,,5.71,7.07,6.8,7.07,7.07,,12.51,10.06,,5.17,4.08,,4.62,5.17,7.34,36.43,5.44,6.8,4.89,,30.18,,8.7,6.53,,0.055556,-2.761111,3.205556,3.175,,-3.154321,78.866681
US_NY_36095,2020-01-14,ChIJ_RKPRqol3IkRq7xhO-i-9e4,Q71202,geoId/36095,US,United States of America,NY,New York,36095,Schoharie County,US,USA,2,,,,,,,31255,15678,15577,2880,3922,3718,3205,3596,4850,4685,2849,1550,1838138,42.59,-74.44,1622,81.914286,,,,,,5.96,11.06,6.81,4.54,6.24,9.08,5.39,7.37,10.21,4.82,,,4.54,4.82,20.42,5.96,7.66,,6.24,34.03,,,5.11,,2.205556,-2.255556,5.4,0.0,,-1.024691,79.427908
US_NY_36095,2020-01-15,ChIJ_RKPRqol3IkRq7xhO-i-9e4,Q71202,geoId/36095,US,United States of America,NY,New York,36095,Schoharie County,US,USA,2,,,,,,,31255,15678,15577,2880,3922,3718,3205,3596,4850,4685,2849,1550,1838138,42.59,-74.44,1622,81.914286,,,,,5.0,6.39,6.39,9.17,,6.67,9.17,6.67,8.34,5.56,5.56,5.0,,7.22,7.78,23.9,6.11,6.11,5.56,,34.46,,,5.0,,4.077778,-0.511111,7.488889,0.1016,,-0.783951,71.211556
US_NY_36095,2020-01-16,ChIJ_RKPRqol3IkRq7xhO-i-9e4,Q71202,geoId/36095,US,United States of America,NY,New York,36095,Schoharie County,US,USA,2,,,,,,,31255,15678,15577,2880,3922,3718,3205,3596,4850,4685,2849,1550,1838138,42.59,-74.44,1622,81.914286,,,,,5.69,6.51,6.24,,5.15,6.24,11.93,8.41,,8.13,,,5.42,3.8,5.42,21.42,6.78,6.24,4.61,4.61,43.38,3.8,7.05,4.61,4.34,1.011111,-2.266667,6.483333,3.175,30.48,-2.518519,78.053531
US_NY_36095,2020-01-17,ChIJ_RKPRqol3IkRq7xhO-i-9e4,Q71202,geoId/36095,US,United States of America,NY,New York,36095,Schoharie County,US,USA,2,,,,,,,31255,15678,15577,2880,3922,3718,3205,3596,4850,4685,2849,1550,1838138,42.59,-74.44,1622,81.914286,,,,,4.01,6.6,10.61,5.74,4.59,7.17,12.33,6.6,,6.88,,,4.59,5.16,7.46,17.78,7.46,6.31,4.01,,31.55,5.74,,5.45,5.16,-8.633333,-12.9,2.305556,0.7112,30.48,-16.87037,53.12048
US_NY_36095,2020-01-18,ChIJ_RKPRqol3IkRq7xhO-i-9e4,Q71202,geoId/36095,US,United States of America,NY,New York,36095,Schoharie County,US,USA,2,,,,,,,31255,15678,15577,2880,3922,3718,3205,3596,4850,4685,2849,1550,1838138,42.59,-74.44,1622,81.914286,,,,,,5.63,7.19,4.69,,5.94,13.76,8.76,,,4.38,5.63,4.38,5.0,5.0,23.77,6.25,5.63,6.25,5.32,34.08,,,6.25,,-10.933333,-13.772222,-5.472222,0.0,50.8,-16.277778,65.811241
US_NY_36095,2020-01-19,ChIJ_RKPRqol3IkRq7xhO-i-9e4,Q71202,geoId/36095,US,United States of America,NY,New York,36095,Schoharie County,US,USA,2,,,,,,,31255,15678,15577,2880,3922,3718,3205,3596,4850,4685,2849,1550,1838138,42.59,-74.44,1622,81.914286,,,,,,9.04,12.35,8.44,5.42,7.23,18.38,10.54,8.44,5.12,5.12,,4.82,6.33,4.82,20.49,5.72,6.33,6.93,,43.39,,7.23,4.52,,-2.277778,-11.916667,2.361111,6.547556,50.8,-5.814815,77.831266
US_NY_36095,2020-01-20,ChIJ_RKPRqol3IkRq7xhO-i-9e4,Q71202,geoId/36095,US,United States of America,NY,New York,36095,Schoharie County,US,USA,2,,,,,,,31255,15678,15577,2880,3922,3718,3205,3596,4850,4685,2849,1550,1838138,42.59,-74.44,1622,81.914286,,,,,5.64,10.1,8.91,7.43,7.13,4.75,15.75,10.99,4.46,9.21,7.72,,5.64,4.16,7.13,22.58,5.35,4.16,4.16,5.05,34.46,,5.64,5.64,,-8.6,-12.433333,-1.866667,0.451556,50.8,-15.54321,58.940536
