location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_common_cold,search_trends_diabetes,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_TX_48025,2020-01-01,ChIJvYVfKbcBaIYR220fjLmQqfo,Q108397,geoId/48025,US,United States of America,TX,Texas,48025,Bee County,US,USA,2,,,,,,,32592,19834,12758,3806,4048,5684,5401,4420,3751,2849,1684,949,1828415,28.42,-97.74,2280,76.116667,,,,,8.93,11.74,7.05,,19.26,10.8,,31.01,7.52,10.8,43.22,11.74,,14.571429,12.992063,16.666667,0.127,9.266667,71.542237
US_TX_48025,2020-01-02,ChIJvYVfKbcBaIYR220fjLmQqfo,Q108397,geoId/48025,US,United States of America,TX,Texas,48025,Bee County,US,USA,2,,,,,,,32592,19834,12758,3806,4048,5684,5401,4420,3751,2849,1684,949,1828415,28.42,-97.74,2280,76.116667,,,,,11.94,16.64,7.25,6.4,23.46,12.8,6.4,33.27,6.4,6.83,44.79,,,15.865079,14.063492,17.928571,2.201333,14.522222,92.38219
US_TX_48025,2020-01-03,ChIJvYVfKbcBaIYR220fjLmQqfo,Q108397,geoId/48025,US,United States of America,TX,Texas,48025,Bee County,US,USA,2,,,,,,,32592,19834,12758,3806,4048,5684,5401,4420,3751,2849,1684,949,1828415,28.42,-97.74,2280,76.116667,,,,,11.29,16.51,6.52,,19.98,12.6,8.69,25.63,6.52,10.86,42.14,9.56,9.12,16.47619,12.539683,22.047619,0.616857,10.855556,70.235404
US_TX_48025,2020-01-04,ChIJvYVfKbcBaIYR220fjLmQqfo,Q108397,geoId/48025,US,United States of America,TX,Texas,48025,Bee County,US,USA,2,,,,,,,32592,19834,12758,3806,4048,5684,5401,4420,3751,2849,1684,949,1828415,28.42,-97.74,2280,76.116667,,,,,11.61,13.55,9.68,,19.36,8.71,10.16,33.39,9.68,15.48,42.1,14.03,,14.039683,6.833333,21.619048,0.0,3.722222,50.246049
US_TX_48025,2020-01-05,ChIJvYVfKbcBaIYR220fjLmQqfo,Q108397,geoId/48025,US,United States of America,TX,Texas,48025,Bee County,US,USA,2,,,,,,,32592,19834,12758,3806,4048,5684,5401,4420,3751,2849,1684,949,1828415,28.42,-97.74,2280,76.116667,,,,,,10.71,7.91,9.31,17.69,,8.38,29.32,9.77,11.63,39.56,10.24,,14.380952,7.484127,22.571429,0.0,7.888889,67.227171
US_TX_48025,2020-01-06,ChIJvYVfKbcBaIYR220fjLmQqfo,Q108397,geoId/48025,US,United States of America,TX,Texas,48025,Bee County,US,USA,2,,,,,,,32592,19834,12758,3806,4048,5684,5401,4420,3751,2849,1684,949,1828415,28.42,-97.74,2280,76.116667,,,,,10.3,24.03,9.87,7.3,23.17,8.15,8.15,24.89,9.44,11.16,42.06,10.3,8.58,16.920635,11.507937,23.349206,0.0,11.922222,74.189841
US_TX_48025,2020-01-07,ChIJvYVfKbcBaIYR220fjLmQqfo,Q108397,geoId/48025,US,United States of America,TX,Texas,48025,Bee County,US,USA,2,,,,,,,32592,19834,12758,3806,4048,5684,5401,4420,3751,2849,1684,949,1828415,28.42,-97.74,2280,76.116667,,,,,8.09,14.26,8.48,,20.8,14.64,7.32,36.21,7.71,8.86,44.69,11.56,,16.087302,12.071429,20.912698,0.0,7.166667,55.894501
US_TX_48025,2020-01-08,ChIJvYVfKbcBaIYR220fjLmQqfo,Q108397,geoId/48025,US,United States of America,TX,Texas,48025,Bee County,US,USA,2,,,,,,,32592,19834,12758,3806,4048,5684,5401,4420,3751,2849,1684,949,1828415,28.42,-97.74,2280,76.116667,,,,,9.31,14.36,5.43,8.92,14.74,8.15,7.76,35.3,6.59,10.86,39.18,25.22,,14.301587,7.68254,21.912698,0.0,7.8,68.815226
US_TX_48025,2020-01-09,ChIJvYVfKbcBaIYR220fjLmQqfo,Q108397,geoId/48025,US,United States of America,TX,Texas,48025,Bee County,US,USA,2,,,,,,,32592,19834,12758,3806,4048,5684,5401,4420,3751,2849,1684,949,1828415,28.42,-97.74,2280,76.116667,,,,,10.4,12.71,8.47,7.7,12.71,13.1,9.63,36.21,,6.93,52.01,13.48,5.39,20.642857,18.238095,24.904762,0.084667,17.533333,80.17901
US_TX_48025,2020-01-10,ChIJvYVfKbcBaIYR220fjLmQqfo,Q108397,geoId/48025,US,United States of America,TX,Texas,48025,Bee County,US,USA,2,,,,,,,32592,19834,12758,3806,4048,5684,5401,4420,3751,2849,1684,949,1828415,28.42,-97.74,2280,76.116667,,,,,6.64,11.43,8.48,,14.01,16.59,6.27,27.28,,7.74,36.13,11.43,,21.563492,19.746032,24.261905,0.0,19.466667,85.75138
US_TX_48025,2020-01-11,ChIJvYVfKbcBaIYR220fjLmQqfo,Q108397,geoId/48025,US,United States of America,TX,Texas,48025,Bee County,US,USA,2,,,,,,,32592,19834,12758,3806,4048,5684,5401,4420,3751,2849,1684,949,1828415,28.42,-97.74,2280,76.116667,,,,,10.16,14.03,8.71,8.22,13.55,7.26,7.74,26.61,,11.13,45.48,12.1,,18.555556,13.833333,23.277778,0.4572,9.933333,57.79145
US_TX_48025,2020-01-12,ChIJvYVfKbcBaIYR220fjLmQqfo,Q108397,geoId/48025,US,United States of America,TX,Texas,48025,Bee County,US,USA,2,,,,,,,32592,19834,12758,3806,4048,5684,5401,4420,3751,2849,1684,949,1828415,28.42,-97.74,2280,76.116667,,,,,12.12,13.52,8.39,6.99,21.91,12.12,,34.49,,9.79,49.87,,,14.928571,9.849206,22.150794,0.0,8.644444,68.645389
US_TX_48025,2020-01-13,ChIJvYVfKbcBaIYR220fjLmQqfo,Q108397,geoId/48025,US,United States of America,TX,Texas,48025,Bee County,US,USA,2,,,,,,,32592,19834,12758,3806,4048,5684,5401,4420,3751,2849,1684,949,1828415,28.42,-97.74,2280,76.116667,,,,,8.85,9.95,8.48,5.53,13.64,9.95,7.0,19.17,,8.85,33.17,11.43,5.9,17.880952,15.984127,21.253968,0.1524,16.7,91.607421
US_TX_48025,2020-01-14,ChIJvYVfKbcBaIYR220fjLmQqfo,Q108397,geoId/48025,US,United States of America,TX,Texas,48025,Bee County,US,USA,2,,,,,,,32592,19834,12758,3806,4048,5684,5401,4420,3751,2849,1684,949,1828415,28.42,-97.74,2280,76.116667,,,,,5.58,13.4,7.07,,18.98,10.05,11.54,21.21,6.33,8.93,44.66,,,22.261905,19.603175,26.349206,0.181429,21.088889,88.83899
US_TX_48025,2020-01-15,ChIJvYVfKbcBaIYR220fjLmQqfo,Q108397,geoId/48025,US,United States of America,TX,Texas,48025,Bee County,US,USA,2,,,,,,,32592,19834,12758,3806,4048,5684,5401,4420,3751,2849,1684,949,1828415,28.42,-97.74,2280,76.116667,,,,,,12.01,11.64,,12.01,9.39,9.76,27.41,,6.38,47.31,8.26,6.38,22.31746,20.81746,25.587302,0.042333,20.855556,88.303204
US_TX_48025,2020-01-16,ChIJvYVfKbcBaIYR220fjLmQqfo,Q108397,geoId/48025,US,United States of America,TX,Texas,48025,Bee County,US,USA,2,,,,,,,32592,19834,12758,3806,4048,5684,5401,4420,3751,2849,1684,949,1828415,28.42,-97.74,2280,76.116667,,,,,5.74,7.54,7.54,8.62,9.69,12.92,8.97,20.82,,9.33,42.72,7.9,7.18,22.214286,20.769841,25.198413,0.0,20.866667,88.566248
US_TX_48025,2020-01-17,ChIJvYVfKbcBaIYR220fjLmQqfo,Q108397,geoId/48025,US,United States of America,TX,Texas,48025,Bee County,US,USA,2,,,,,,,32592,19834,12758,3806,4048,5684,5401,4420,3751,2849,1684,949,1828415,28.42,-97.74,2280,76.116667,,,,,7.0,9.21,7.73,,7.36,11.78,10.31,22.83,,12.52,35.35,,5.89,21.992063,20.547619,25.0,0.0,19.544444,83.655558
US_TX_48025,2020-01-18,ChIJvYVfKbcBaIYR220fjLmQqfo,Q108397,geoId/48025,US,United States of America,TX,Texas,48025,Bee County,US,USA,2,,,,,,,32592,19834,12758,3806,4048,5684,5401,4420,3751,2849,1684,949,1828415,28.42,-97.74,2280,76.116667,,,,,8.81,12.52,7.88,,22.26,8.81,,29.21,,6.96,38.02,10.2,,22.126984,20.190476,26.31746,0.042333,20.088889,86.259091
US_TX_48025,2020-01-19,ChIJvYVfKbcBaIYR220fjLmQqfo,Q108397,geoId/48025,US,United States of America,TX,Texas,48025,Bee County,US,USA,2,,,,,,,32592,19834,12758,3806,4048,5684,5401,4420,3751,2849,1684,949,1828415,28.42,-97.74,2280,76.116667,,,,,10.51,15.07,7.31,,17.36,10.05,8.22,23.3,,7.76,35.63,8.22,,14.769841,8.97619,21.634921,1.524,4.933333,51.292553
