location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_bleeding,search_trends_common_cold,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_MO_29219,2020-01-01,ChIJn724bO2r3ocRQJ8l38mlPY0,Q497634,geoId/29219,US,United States of America,MO,Missouri,29219,Warren County,US,USA,2,,,,,,,34448,17227,17221,4488,4533,3923,4051,3889,5306,4206,2727,1325,1180522,38.77,-91.16,438,79.08,,,,,,5.83,7.87,8.45,14.28,7.57,5.83,5.24,5.83,17.48,10.2,,11.07,4.66,6.41,4.37,,5.24,6.7,6.99,27.97,5.83,8.74,,4.08,11.07,39.04,,5.54,6.99,5.24,,4.548611,-2.618056,13.854167,0.0,,-3.951389,54.428135
US_MO_29219,2020-01-02,ChIJn724bO2r3ocRQJ8l38mlPY0,Q497634,geoId/29219,US,United States of America,MO,Missouri,29219,Warren County,US,USA,2,,,,,,,34448,17227,17221,4488,4533,3923,4051,3889,5306,4206,2727,1325,1180522,38.77,-91.16,438,79.08,,,,,,5.18,7.2,7.49,11.52,13.82,6.05,11.23,,11.23,7.49,6.91,10.65,4.61,,,7.78,,6.05,8.64,26.78,6.62,9.21,,4.61,7.2,45.21,,6.62,8.64,4.03,4.32,8.0,2.020833,12.909722,0.0,,0.645833,59.989811
US_MO_29219,2020-01-03,ChIJn724bO2r3ocRQJ8l38mlPY0,Q497634,geoId/29219,US,United States of America,MO,Missouri,29219,Warren County,US,USA,2,,,,,,,34448,17227,17221,4488,4533,3923,4051,3889,5306,4206,2727,1325,1180522,38.77,-91.16,438,79.08,,,,,,4.98,8.2,6.15,14.93,10.54,6.44,4.98,4.39,18.45,10.25,,9.95,6.73,,4.68,4.98,4.68,4.1,9.08,25.18,7.32,7.61,4.98,4.1,7.91,36.6,6.44,8.49,6.44,8.49,,5.666667,3.013889,10.375,0.0,,3.798611,87.938929
US_MO_29219,2020-01-04,ChIJn724bO2r3ocRQJ8l38mlPY0,Q497634,geoId/29219,US,United States of America,MO,Missouri,29219,Warren County,US,USA,2,,,,,,,34448,17227,17221,4488,4533,3923,4051,3889,5306,4206,2727,1325,1180522,38.77,-91.16,438,79.08,,,,,,7.1,11.83,5.92,12.13,9.17,7.39,8.58,5.32,16.86,13.9,7.39,9.76,,5.32,,,6.51,4.73,8.87,28.1,5.92,9.17,5.62,5.62,5.03,48.8,6.51,,5.92,5.03,,2.465278,0.368056,5.861111,0.0,,-1.583333,74.880564
US_MO_29219,2020-01-05,ChIJn724bO2r3ocRQJ8l38mlPY0,Q497634,geoId/29219,US,United States of America,MO,Missouri,29219,Warren County,US,USA,2,,,,,,,34448,17227,17221,4488,4533,3923,4051,3889,5306,4206,2727,1325,1180522,38.77,-91.16,438,79.08,,,,,,,7.96,5.6,9.14,5.9,5.01,7.67,,15.04,7.37,4.72,12.09,5.01,5.6,,5.9,,7.96,7.37,27.12,5.9,6.78,,5.6,4.72,43.05,4.13,7.37,7.08,5.31,4.13,2.909722,-3.055556,12.333333,0.0,,-3.993056,61.167567
US_MO_29219,2020-01-06,ChIJn724bO2r3ocRQJ8l38mlPY0,Q497634,geoId/29219,US,United States of America,MO,Missouri,29219,Warren County,US,USA,2,,,,,,,34448,17227,17221,4488,4533,3923,4051,3889,5306,4206,2727,1325,1180522,38.77,-91.16,438,79.08,,,,,,8.75,10.66,5.47,13.67,10.39,5.74,8.2,3.83,13.4,8.2,5.74,12.3,7.38,5.47,,3.83,,7.11,7.66,30.35,7.66,5.74,5.74,9.02,4.38,44.84,4.38,4.92,6.56,5.2,,2.798611,-4.444444,10.430556,0.0,,-5.097222,56.349858
US_MO_29219,2020-01-07,ChIJn724bO2r3ocRQJ8l38mlPY0,Q497634,geoId/29219,US,United States of America,MO,Missouri,29219,Warren County,US,USA,2,,,,,,,34448,17227,17221,4488,4533,3923,4051,3889,5306,4206,2727,1325,1180522,38.77,-91.16,438,79.08,,,,,,7.42,8.79,,10.72,9.89,4.95,7.97,3.85,9.62,9.62,4.4,9.89,4.67,6.59,4.12,,5.22,4.12,4.95,29.4,7.14,6.32,5.22,4.12,6.04,43.14,6.04,4.12,6.32,4.67,5.22,3.277778,-2.229167,8.993056,0.0,,-4.506944,57.027517
US_MO_29219,2020-01-08,ChIJn724bO2r3ocRQJ8l38mlPY0,Q497634,geoId/29219,US,United States of America,MO,Missouri,29219,Warren County,US,USA,2,,,,,,,34448,17227,17221,4488,4533,3923,4051,3889,5306,4206,2727,1325,1180522,38.77,-91.16,438,79.08,,,,,,6.01,6.83,,8.47,9.84,5.19,6.56,,13.39,6.83,3.83,12.3,,5.19,,5.19,4.65,5.74,5.74,27.61,6.83,8.2,7.93,4.1,,44.28,4.65,12.03,4.37,7.38,7.11,3.270833,-2.298611,8.770833,0.0,,-6.680556,48.338835
US_MO_29219,2020-01-09,ChIJn724bO2r3ocRQJ8l38mlPY0,Q497634,geoId/29219,US,United States of America,MO,Missouri,29219,Warren County,US,USA,2,,,,,,,34448,17227,17221,4488,4533,3923,4051,3889,5306,4206,2727,1325,1180522,38.77,-91.16,438,79.08,,,,,,4.87,6.5,7.31,9.47,7.58,7.04,4.87,5.68,12.99,10.28,4.6,6.77,6.5,5.14,,5.41,4.33,4.06,6.22,31.66,5.41,4.6,4.06,5.14,5.68,36.54,,10.83,5.95,5.41,,9.75,2.930556,14.131944,0.0,,0.777778,53.847099
US_MO_29219,2020-01-10,ChIJn724bO2r3ocRQJ8l38mlPY0,Q497634,geoId/29219,US,United States of America,MO,Missouri,29219,Warren County,US,USA,2,,,,,,,34448,17227,17221,4488,4533,3923,4051,3889,5306,4206,2727,1325,1180522,38.77,-91.16,438,79.08,,,,,,7.42,4.86,4.35,9.73,6.4,4.61,6.91,5.12,12.29,7.17,,9.21,4.86,4.09,5.38,3.58,,4.35,5.38,27.39,5.63,9.73,,4.09,4.61,40.18,,7.68,5.63,3.84,4.09,12.965278,9.395833,15.965278,21.372286,40.64,11.951389,93.629397
