location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_common_cold,search_trends_diabetes,search_trends_hypertension,search_trends_infection,search_trends_itch,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_MO_29195,2020-01-01,ChIJV16SvL6vw4cRPtjDn9sOByU,Q489793,geoId/29195,US,United States of America,MO,Missouri,29195,Saline County,US,USA,2,,,,,,,22910,11446,11464,2836,3207,3114,2668,2531,2980,2695,1765,1114,1180457,39.14,-93.2,1980,77.5625,,,,,7.7,10.86,,12.67,8.6,7.24,20.82,,42.55,,,3.087302,-3.285714,13.18254,0.0,,-3.722222,60.04677
US_MO_29195,2020-01-02,ChIJV16SvL6vw4cRPtjDn9sOByU,Q489793,geoId/29195,US,United States of America,MO,Missouri,29195,Saline County,US,USA,2,,,,,,,22910,11446,11464,2836,3207,3114,2668,2531,2980,2695,1765,1114,1180457,39.14,-93.2,1980,77.5625,,,,,8.01,8.85,,17.28,8.85,,24.87,9.27,32.46,,10.12,6.809524,1.18254,11.357143,0.0,,2.037037,71.825501
US_MO_29195,2020-01-03,ChIJV16SvL6vw4cRPtjDn9sOByU,Q489793,geoId/29195,US,United States of America,MO,Missouri,29195,Saline County,US,USA,2,,,,,,,22910,11446,11464,2836,3207,3114,2668,2531,2980,2695,1765,1114,1180457,39.14,-93.2,1980,77.5625,,,,,7.27,,,14.94,8.88,8.48,17.76,6.06,33.91,6.06,,4.666667,1.81746,9.468254,0.036286,,2.0,82.144421
US_MO_29195,2020-01-04,ChIJV16SvL6vw4cRPtjDn9sOByU,Q489793,geoId/29195,US,United States of America,MO,Missouri,29195,Saline County,US,USA,2,,,,,,,22910,11446,11464,2836,3207,3114,2668,2531,2980,2695,1765,1114,1180457,39.14,-93.2,1980,77.5625,,,,,6.53,,,13.5,,,20.9,,34.84,,,1.896825,-0.730159,6.071429,0.0,,-3.657407,66.379661
US_MO_29195,2020-01-05,ChIJV16SvL6vw4cRPtjDn9sOByU,Q489793,geoId/29195,US,United States of America,MO,Missouri,29195,Saline County,US,USA,2,,,,,,,22910,11446,11464,2836,3207,3114,2668,2531,2980,2695,1765,1114,1180457,39.14,-93.2,1980,77.5625,,,,,9.01,6.43,,12.87,7.72,,24.02,8.15,39.46,8.15,,3.492063,-1.103175,11.134921,0.0,,-4.833333,54.449267
US_MO_29195,2020-01-06,ChIJV16SvL6vw4cRPtjDn9sOByU,Q489793,geoId/29195,US,United States of America,MO,Missouri,29195,Saline County,US,USA,2,,,,,,,22910,11446,11464,2836,3207,3114,2668,2531,2980,2695,1765,1114,1180457,39.14,-93.2,1980,77.5625,,,,,5.61,7.86,7.48,8.98,8.6,10.1,22.82,,36.66,6.36,,1.690476,-4.412698,8.380952,0.0,,-4.814815,61.789041
US_MO_29195,2020-01-07,ChIJV16SvL6vw4cRPtjDn9sOByU,Q489793,geoId/29195,US,United States of America,MO,Missouri,29195,Saline County,US,USA,2,,,,,,,22910,11446,11464,2836,3207,3114,2668,2531,2980,2695,1765,1114,1180457,39.14,-93.2,1980,77.5625,,,,,,5.9,7.01,11.43,12.91,7.01,21.02,,36.14,5.9,,2.47619,-1.531746,9.063492,0.0,,-3.62963,63.625721
US_MO_29195,2020-01-08,ChIJV16SvL6vw4cRPtjDn9sOByU,Q489793,geoId/29195,US,United States of America,MO,Missouri,29195,Saline County,US,USA,2,,,,,,,22910,11446,11464,2836,3207,3114,2668,2531,2980,2695,1765,1114,1180457,39.14,-93.2,1980,77.5625,,,,,5.0,7.14,7.85,13.2,8.21,10.35,28.91,,35.69,9.99,,2.746032,-2.873016,9.230159,0.0,,-5.009259,55.202226
US_MO_29195,2020-01-09,ChIJV16SvL6vw4cRPtjDn9sOByU,Q489793,geoId/29195,US,United States of America,MO,Missouri,29195,Saline County,US,USA,2,,,,,,,22910,11446,11464,2836,3207,3114,2668,2531,2980,2695,1765,1114,1180457,39.14,-93.2,1980,77.5625,,,,,,14.18,6.38,12.05,4.96,5.67,21.27,7.09,31.19,8.86,7.44,10.515873,3.690476,16.825397,0.0,,2.12037,55.194363
US_MO_29195,2020-01-10,ChIJV16SvL6vw4cRPtjDn9sOByU,Q489793,geoId/29195,US,United States of America,MO,Missouri,29195,Saline County,US,USA,2,,,,,,,22910,11446,11464,2836,3207,3114,2668,2531,2980,2695,1765,1114,1180457,39.14,-93.2,1980,77.5625,,,,,,6.84,7.86,12.31,10.26,6.5,18.46,,27.01,,,7.865079,1.484127,13.68254,1.27,50.8,7.101852,91.953592
US_MO_29195,2020-01-11,ChIJV16SvL6vw4cRPtjDn9sOByU,Q489793,geoId/29195,US,United States of America,MO,Missouri,29195,Saline County,US,USA,2,,,,,,,22910,11446,11464,2836,3207,3114,2668,2531,2980,2695,1765,1114,1180457,39.14,-93.2,1980,77.5625,,,,,,6.2,7.85,16.52,6.61,,25.19,,35.93,7.43,6.61,-3.134921,-6.611111,2.706349,32.131,30.48,-3.731481,93.907157
US_MO_29195,2020-01-12,ChIJV16SvL6vw4cRPtjDn9sOByU,Q489793,geoId/29195,US,United States of America,MO,Missouri,29195,Saline County,US,USA,2,,,,,,,22910,11446,11464,2836,3207,3114,2668,2531,2980,2695,1765,1114,1180457,39.14,-93.2,1980,77.5625,,,,,,7.29,,11.74,,,20.65,6.07,32.4,7.69,,-4.842593,-6.768519,-1.611111,2.878667,50.8,-5.533333,93.473889
