location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_bleeding,search_trends_common_cold,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_TN_47045,2020-01-01,ChIJTVKtZhkpeYgRQk7mIIf0Wco,Q495078,geoId/47045,US,United States of America,TN,Tennessee,47045,Dyer County,US,USA,2,,,,,,,37339,18029,19310,4736,5047,4658,4360,4650,5061,4444,2855,1528,1828575,36.06,-89.41,1364,75.4875,,,,,,4.52,8.44,4.82,8.44,4.82,6.63,4.82,5.13,19.3,11.16,,13.27,4.52,,4.82,,5.73,7.84,7.24,25.93,9.35,8.74,,6.03,6.93,43.42,4.52,7.54,5.43,5.43,6.63,4.623457,-1.166667,12.074074,0.0,-2.037037,62.129461
US_TN_47045,2020-01-02,ChIJTVKtZhkpeYgRQk7mIIf0Wco,Q495078,geoId/47045,US,United States of America,TN,Tennessee,47045,Dyer County,US,USA,2,,,,,,,37339,18029,19310,4736,5047,4658,4360,4650,5061,4444,2855,1528,1828575,36.06,-89.41,1364,75.4875,,,,,,5.37,9.93,5.63,10.46,9.93,6.71,7.51,6.17,20.39,19.32,4.56,13.14,,6.71,6.17,6.44,,6.71,11.54,28.17,6.71,6.44,,6.44,8.85,47.22,4.02,8.05,8.59,6.71,7.24,9.677778,7.444444,11.8,0.4445,5.105556,73.427364
US_TN_47045,2020-01-03,ChIJTVKtZhkpeYgRQk7mIIf0Wco,Q495078,geoId/47045,US,United States of America,TN,Tennessee,47045,Dyer County,US,USA,2,,,,,,,37339,18029,19310,4736,5047,4658,4360,4650,5061,4444,2855,1528,1828575,36.06,-89.41,1364,75.4875,,,,,,5.18,8.99,4.63,15.8,11.99,5.18,6.81,4.9,21.79,12.53,4.9,8.17,,4.36,,,,4.63,11.99,25.88,6.54,5.72,5.45,6.54,,49.03,4.63,8.44,5.72,4.9,7.36,12.238889,10.711111,13.861111,14.605,11.927778,97.989588
US_TN_47045,2020-01-04,ChIJTVKtZhkpeYgRQk7mIIf0Wco,Q495078,geoId/47045,US,United States of America,TN,Tennessee,47045,Dyer County,US,USA,2,,,,,,,37339,18029,19310,4736,5047,4658,4360,4650,5061,4444,2855,1528,1828575,36.06,-89.41,1364,75.4875,,,,,,5.25,10.21,4.38,7.88,9.04,4.96,6.13,6.42,19.55,11.09,5.54,10.5,4.08,5.54,5.25,4.67,5.25,5.83,9.63,28.3,7.58,6.42,4.67,,6.71,41.42,,,6.71,4.08,,6.037037,2.364198,11.54321,1.415143,2.759259,79.562793
US_TN_47045,2020-01-05,ChIJTVKtZhkpeYgRQk7mIIf0Wco,Q495078,geoId/47045,US,United States of America,TN,Tennessee,47045,Dyer County,US,USA,2,,,,,,,37339,18029,19310,4736,5047,4658,4360,4650,5061,4444,2855,1528,1828575,36.06,-89.41,1364,75.4875,,,,,,6.69,10.65,,8.82,10.95,,11.26,,20.69,12.47,5.48,9.13,5.17,,6.39,4.26,,,11.56,29.51,7.91,6.69,8.21,,6.08,48.98,,4.56,5.78,4.56,5.78,4.839506,-0.623457,15.222222,0.028222,0.592593,74.107785
US_TN_47045,2020-01-06,ChIJTVKtZhkpeYgRQk7mIIf0Wco,Q495078,geoId/47045,US,United States of America,TN,Tennessee,47045,Dyer County,US,USA,2,,,,,,,37339,18029,19310,4736,5047,4658,4360,4650,5061,4444,2855,1528,1828575,36.06,-89.41,1364,75.4875,,,,,,5.22,8.45,,12.17,9.44,9.94,9.94,3.73,16.15,7.2,,10.68,6.71,6.21,3.48,6.46,4.47,4.47,12.17,30.55,8.69,9.94,,4.22,5.71,49.68,4.72,7.7,7.2,4.22,4.22,6.927778,1.072222,12.138889,0.0,1.105556,66.713443
US_TN_47045,2020-01-07,ChIJTVKtZhkpeYgRQk7mIIf0Wco,Q495078,geoId/47045,US,United States of America,TN,Tennessee,47045,Dyer County,US,USA,2,,,,,,,37339,18029,19310,4736,5047,4658,4360,4650,5061,4444,2855,1528,1828575,36.06,-89.41,1364,75.4875,,,,,,6.63,7.61,,9.08,8.35,4.42,8.1,5.4,16.45,9.33,4.67,10.07,5.16,6.63,4.17,6.63,3.68,3.93,12.28,26.76,10.8,6.14,7.61,6.14,5.89,46.4,6.38,3.93,3.93,5.89,4.91,6.816667,1.672222,11.861111,0.0,-0.566667,59.480442
US_TN_47045,2020-01-08,ChIJTVKtZhkpeYgRQk7mIIf0Wco,Q495078,geoId/47045,US,United States of America,TN,Tennessee,47045,Dyer County,US,USA,2,,,,,,,37339,18029,19310,4736,5047,4658,4360,4650,5061,4444,2855,1528,1828575,36.06,-89.41,1364,75.4875,,,,,,5.65,10.31,4.17,6.87,7.61,5.16,5.65,4.67,17.92,10.56,6.14,10.31,6.14,5.16,6.14,4.67,,4.42,9.08,36.58,8.59,10.31,7.37,4.17,7.61,45.17,6.14,14.24,5.65,5.16,8.84,6.716667,0.05,14.65,0.0,-1.416667,56.593491
US_TN_47045,2020-01-09,ChIJTVKtZhkpeYgRQk7mIIf0Wco,Q495078,geoId/47045,US,United States of America,TN,Tennessee,47045,Dyer County,US,USA,2,,,,,,,37339,18029,19310,4736,5047,4658,4360,4650,5061,4444,2855,1528,1828575,36.06,-89.41,1364,75.4875,,,,,,5.07,6.28,3.86,10.62,7.49,6.76,8.21,4.59,12.31,9.18,5.79,10.87,3.86,5.55,5.79,,,5.79,11.59,33.8,9.18,9.66,7.97,6.52,7.97,42.49,6.52,11.83,6.52,4.83,6.04,10.75,6.216667,16.194444,0.0,1.877778,54.671995
US_TN_47045,2020-01-10,ChIJTVKtZhkpeYgRQk7mIIf0Wco,Q495078,geoId/47045,US,United States of America,TN,Tennessee,47045,Dyer County,US,USA,2,,,,,,,37339,18029,19310,4736,5047,4658,4360,4650,5061,4444,2855,1528,1828575,36.06,-89.41,1364,75.4875,,,,,,3.77,7.07,,11.08,8.02,5.42,6.6,5.89,10.85,6.13,4.24,10.85,5.89,5.66,4.48,5.19,,,10.37,27.58,5.66,4.24,5.19,6.84,9.67,35.13,4.24,6.84,6.6,6.6,3.3,15.805556,13.855556,17.9,0.1524,11.888889,77.771154
