location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_CO_08029,2020-01-01,ChIJ0fgy9kaWQIcR3seegoTZYek,Q312149,geoId/08029,US,United States of America,CO,Colorado,08029,Delta County,US,USA,2,,,,,,,30519,15349,15170,3163,3560,2874,3152,3145,4173,5240,3409,1803,1411354,38.86,-107.86,2975,78.885714,,,,,,,7.95,10.6,7.19,,5.3,15.14,9.46,,8.33,,6.06,,,6.43,24.98,,,,,40.5,,5.3,6.06,,-9.4,-15.305556,-4.022222,0.326571,,-13.444444,73.308255
US_CO_08029,2020-01-02,ChIJ0fgy9kaWQIcR3seegoTZYek,Q312149,geoId/08029,US,United States of America,CO,Colorado,08029,Delta County,US,USA,2,,,,,,,30519,15349,15170,3163,3560,2874,3152,3145,4173,5240,3409,1803,1411354,38.86,-107.86,2975,78.885714,,,,,,9.72,7.2,5.4,5.04,7.56,5.04,15.49,8.28,5.76,7.56,,,,,9.36,28.81,8.28,5.4,6.48,5.4,54.39,,6.12,,7.2,-6.65,-11.394444,-2.227778,3.701143,,-9.0,82.695934
US_CO_08029,2020-01-03,ChIJ0fgy9kaWQIcR3seegoTZYek,Q312149,geoId/08029,US,United States of America,CO,Colorado,08029,Delta County,US,USA,2,,,,,,,30519,15349,15170,3163,3560,2874,3152,3145,4173,5240,3409,1803,1411354,38.86,-107.86,2975,78.885714,,,,,,5.02,6.82,9.69,11.12,5.38,5.02,13.27,6.82,5.74,11.84,,,7.53,5.38,,25.47,9.33,5.38,,5.74,38.02,5.02,,5.02,,-8.351852,-13.839506,-1.037037,0.423333,30.48,-11.8125,76.03247
US_CO_08029,2020-01-04,ChIJ0fgy9kaWQIcR3seegoTZYek,Q312149,geoId/08029,US,United States of America,CO,Colorado,08029,Delta County,US,USA,2,,,,,,,30519,15349,15170,3163,3560,2874,3152,3145,4173,5240,3409,1803,1411354,38.86,-107.86,2975,78.885714,,,,,,,7.16,5.65,7.91,7.91,,19.59,6.78,7.54,6.78,,,7.91,,,22.6,,,,,38.8,,,,7.91,-7.240741,-13.037037,1.259259,0.0,30.48,-11.048611,75.476219
US_CO_08029,2020-01-05,ChIJ0fgy9kaWQIcR3seegoTZYek,Q312149,geoId/08029,US,United States of America,CO,Colorado,08029,Delta County,US,USA,2,,,,,,,30519,15349,15170,3163,3560,2874,3152,3145,4173,5240,3409,1803,1411354,38.86,-107.86,2975,78.885714,,,,,,7.0,11.79,9.95,7.74,5.16,5.9,16.22,12.16,5.9,8.11,5.53,5.53,,,5.53,20.64,8.85,5.9,,5.9,47.92,,,,,-7.203704,-13.685185,1.395062,0.0,,-12.583333,70.088746
US_CO_08029,2020-01-06,ChIJ0fgy9kaWQIcR3seegoTZYek,Q312149,geoId/08029,US,United States of America,CO,Colorado,08029,Delta County,US,USA,2,,,,,,,30519,15349,15170,3163,3560,2874,3152,3145,4173,5240,3409,1803,1411354,38.86,-107.86,2975,78.885714,,,,,,,10.9,11.6,7.74,7.74,,15.12,10.9,7.38,9.49,,,5.98,,8.09,28.13,6.33,8.09,,,47.47,,8.09,7.03,,-7.234568,-14.203704,-0.679012,0.0,,-11.256944,73.778056
US_CO_08029,2020-01-07,ChIJ0fgy9kaWQIcR3seegoTZYek,Q312149,geoId/08029,US,United States of America,CO,Colorado,08029,Delta County,US,USA,2,,,,,,,30519,15349,15170,3163,3560,2874,3152,3145,4173,5240,3409,1803,1411354,38.86,-107.86,2975,78.885714,,,,,,5.67,7.33,7.33,6.66,,5.33,15.99,5.0,6.0,7.66,,,5.33,,10.33,30.66,7.66,7.33,,,39.32,7.33,8.0,8.33,7.66,-8.549383,-14.660494,0.5,0.0,,-14.048611,66.622662
US_CO_08029,2020-01-08,ChIJ0fgy9kaWQIcR3seegoTZYek,Q312149,geoId/08029,US,United States of America,CO,Colorado,08029,Delta County,US,USA,2,,,,,,,30519,15349,15170,3163,3560,2874,3152,3145,4173,5240,3409,1803,1411354,38.86,-107.86,2975,78.885714,,,,,,,12.88,7.73,8.05,5.47,7.41,15.46,8.7,6.76,12.24,7.08,,5.15,4.51,8.7,27.69,,5.8,4.83,7.08,38.32,4.83,14.49,,5.47,-6.845679,-12.709877,1.259259,0.0,,-13.194444,63.56883
US_CO_08029,2020-01-09,ChIJ0fgy9kaWQIcR3seegoTZYek,Q312149,geoId/08029,US,United States of America,CO,Colorado,08029,Delta County,US,USA,2,,,,,,,30519,15349,15170,3163,3560,2874,3152,3145,4173,5240,3409,1803,1411354,38.86,-107.86,2975,78.885714,,,,,,5.11,6.07,5.75,6.7,5.43,7.98,16.28,9.9,,13.73,,4.79,4.79,4.47,8.62,23.62,10.53,9.58,6.07,6.38,35.11,6.38,10.85,,,-6.0,-11.351852,0.185185,0.0,,-10.083333,73.739181
US_CO_08029,2020-01-10,ChIJ0fgy9kaWQIcR3seegoTZYek,Q312149,geoId/08029,US,United States of America,CO,Colorado,08029,Delta County,US,USA,2,,,,,,,30519,15349,15170,3163,3560,2874,3152,3145,4173,5240,3409,1803,1411354,38.86,-107.86,2975,78.885714,,,,,,6.99,7.32,7.65,,,4.99,14.31,8.32,6.32,15.31,,5.66,5.66,4.66,6.99,26.95,5.32,5.32,,,39.26,5.32,8.65,4.66,,-6.864198,-11.333333,-2.975309,0.465667,,-9.826389,78.694354
