location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_fatigue,search_trends_fever,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_SC_45023,2020-01-11,ChIJTQ-Iz69CVogR6M5mqv4v6TQ,Q497377,geoId/45023,US,United States of America,SC,South Carolina,45023,Chester County,US,USA,2,,,,,,,32299,15633,16666,3899,4060,3991,3549,3887,4705,4322,2583,1303,2532500,34.69,-81.16,1518,73.754545,,,,,,8.04,6.75,7.39,,5.14,5.46,11.89,9.0,,9.96,8.04,,5.14,9.96,23.14,,7.71,,4.82,36.64,,7.71,9.64,16.572222,10.955556,21.183333,0.653143,,14.916667,89.661586
US_SC_45023,2020-01-12,ChIJTQ-Iz69CVogR6M5mqv4v6TQ,Q497377,geoId/45023,US,United States of America,SC,South Carolina,45023,Chester County,US,USA,2,,,,,,,32299,15633,16666,3899,4060,3991,3549,3887,4705,4322,2583,1303,2532500,34.69,-81.16,1518,73.754545,,,,,,4.91,11.45,5.56,5.56,,4.58,15.04,7.85,,5.56,5.23,,5.89,4.58,20.93,,8.5,4.91,,35.64,,,5.23,18.4,14.416667,21.616667,7.747,,15.243056,82.209888
US_SC_45023,2020-01-13,ChIJTQ-Iz69CVogR6M5mqv4v6TQ,Q497377,geoId/45023,US,United States of America,SC,South Carolina,45023,Chester County,US,USA,2,,,,,,,32299,15633,16666,3899,4060,3991,3549,3887,4705,4322,2583,1303,2532500,34.69,-81.16,1518,73.754545,,,,,,5.26,7.48,9.14,12.47,6.09,5.26,6.65,8.31,6.09,11.91,4.16,4.16,4.43,11.36,19.95,4.71,7.76,,4.43,37.95,4.43,4.71,6.09,17.222222,15.611111,19.85,5.545667,,16.243056,94.642317
US_SC_45023,2020-01-14,ChIJTQ-Iz69CVogR6M5mqv4v6TQ,Q497377,geoId/45023,US,United States of America,SC,South Carolina,45023,Chester County,US,USA,2,,,,,,,32299,15633,16666,3899,4060,3991,3549,3887,4705,4322,2583,1303,2532500,34.69,-81.16,1518,73.754545,,,,,,6.18,9.42,9.12,5.59,,4.12,15.89,9.71,4.12,11.77,7.65,5.0,7.06,8.54,29.14,7.06,12.95,5.0,5.0,42.38,5.59,4.71,4.71,17.394444,15.877778,18.911111,15.070667,,16.305556,94.652949
US_SC_45023,2020-01-15,ChIJTQ-Iz69CVogR6M5mqv4v6TQ,Q497377,geoId/45023,US,United States of America,SC,South Carolina,45023,Chester County,US,USA,2,,,,,,,32299,15633,16666,3899,4060,3991,3549,3887,4705,4322,2583,1303,2532500,34.69,-81.16,1518,73.754545,,,,,,5.13,6.64,11.78,6.95,7.25,4.53,12.99,6.95,4.53,8.15,6.34,,4.23,6.34,31.41,6.04,11.48,4.83,6.95,41.37,5.44,8.76,,16.238889,13.422222,21.172222,2.201333,,14.347222,90.04308
US_SC_45023,2020-01-16,ChIJTQ-Iz69CVogR6M5mqv4v6TQ,Q497377,geoId/45023,US,United States of America,SC,South Carolina,45023,Chester County,US,USA,2,,,,,,,32299,15633,16666,3899,4060,3991,3549,3887,4705,4322,2583,1303,2532500,34.69,-81.16,1518,73.754545,,,,,,4.87,9.43,11.56,8.82,6.08,7.0,10.65,,6.69,7.3,6.08,,5.48,9.13,20.08,,7.61,4.26,6.39,39.85,4.56,5.78,5.17,17.45,13.344444,20.666667,0.0,,10.041667,63.492391
US_SC_45023,2020-01-17,ChIJTQ-Iz69CVogR6M5mqv4v6TQ,Q497377,geoId/45023,US,United States of America,SC,South Carolina,45023,Chester County,US,USA,2,,,,,,,32299,15633,16666,3899,4060,3991,3549,3887,4705,4322,2583,1303,2532500,34.69,-81.16,1518,73.754545,,,,,,4.61,6.46,9.54,6.15,5.54,6.15,16.61,10.15,5.54,10.77,4.31,,,9.84,26.45,5.84,,,,39.37,5.23,,6.46,7.883333,4.105556,15.944444,0.0,,-7.645833,33.655301
US_SC_45023,2020-01-18,ChIJTQ-Iz69CVogR6M5mqv4v6TQ,Q497377,geoId/45023,US,United States of America,SC,South Carolina,45023,Chester County,US,USA,2,,,,,,,32299,15633,16666,3899,4060,3991,3549,3887,4705,4322,2583,1303,2532500,34.69,-81.16,1518,73.754545,,,,,,4.79,7.53,5.47,6.5,6.16,7.87,15.74,9.58,,5.13,5.47,,6.84,7.53,16.77,,10.27,,,43.12,,10.27,5.47,5.566667,2.627778,10.461111,0.0,,-3.458333,54.160566
US_SC_45023,2020-01-19,ChIJTQ-Iz69CVogR6M5mqv4v6TQ,Q497377,geoId/45023,US,United States of America,SC,South Carolina,45023,Chester County,US,USA,2,,,,,,,32299,15633,16666,3899,4060,3991,3549,3887,4705,4322,2583,1303,2532500,34.69,-81.16,1518,73.754545,,,,,,,5.11,11.25,6.13,5.79,,15.68,8.86,4.77,7.5,5.11,,,,22.84,,5.79,,,42.94,,4.77,,9.316667,3.633333,13.616667,2.032,,3.590278,69.803071
US_SC_45023,2020-01-20,ChIJTQ-Iz69CVogR6M5mqv4v6TQ,Q497377,geoId/45023,US,United States of America,SC,South Carolina,45023,Chester County,US,USA,2,,,,,,,32299,15633,16666,3899,4060,3991,3549,3887,4705,4322,2583,1303,2532500,34.69,-81.16,1518,73.754545,,,,,,8.14,8.14,11.08,6.19,4.89,8.14,15.64,8.8,,6.52,6.52,,5.21,7.49,19.87,7.49,11.08,5.54,7.82,36.49,,5.86,5.21,2.111111,-2.227778,11.033333,0.1524,,-8.395833,47.765702
