location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_bleeding,search_trends_bone_fracture,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_heartburn,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_low_back_pain,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_vomiting,search_trends_weight_gain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_MO_29027,2020-01-01,ChIJwW7F7wSxw4cR3_IDVcX9V0U,Q485213,geoId/29027,US,United States of America,MO,Missouri,29027,Callaway County,US,USA,2,,,,,,,44982,23087,21895,5090,5865,6469,5816,5493,6310,5358,3005,1576,1180450,38.84,-91.92,2194,77.5875,,,,,,5.32,7.98,5.99,9.76,6.88,4.66,5.99,5.32,,12.64,,7.98,,5.1,5.99,5.1,5.77,4.21,5.1,4.43,5.77,4.43,6.65,23.95,3.33,,7.54,,3.55,5.77,6.21,38.15,3.55,10.87,3.55,,4.66,,4.66,4.222222,-2.484127,13.865079,0.0,,-4.47619,53.340431
US_MO_29027,2020-01-02,ChIJwW7F7wSxw4cR3_IDVcX9V0U,Q485213,geoId/29027,US,United States of America,MO,Missouri,29027,Callaway County,US,USA,2,,,,,,,44982,23087,21895,5090,5865,6469,5816,5493,6310,5358,3005,1576,1180450,38.84,-91.92,2194,77.5875,,,,,,5.3,9.28,3.31,12.15,11.04,6.85,3.98,,3.31,17.45,3.09,9.05,,4.64,9.5,5.96,6.4,5.52,5.52,4.42,4.2,,8.61,25.4,4.64,3.53,8.17,,5.08,6.18,6.4,41.08,3.31,4.42,3.98,7.95,4.42,4.86,4.86,7.968254,3.277778,12.587302,0.0,,0.761905,60.569346
US_MO_29027,2020-01-03,ChIJwW7F7wSxw4cR3_IDVcX9V0U,Q485213,geoId/29027,US,United States of America,MO,Missouri,29027,Callaway County,US,USA,2,,,,,,,44982,23087,21895,5090,5865,6469,5816,5493,6310,5358,3005,1576,1180450,38.84,-91.92,2194,77.5875,,,,,,8.74,5.03,5.25,6.12,6.34,7.65,6.12,3.94,3.5,17.27,3.94,11.15,4.59,5.25,9.62,5.03,4.59,7.21,3.5,4.15,4.37,,8.74,26.67,5.46,3.28,6.56,5.25,,4.59,5.25,37.6,,6.56,5.9,5.25,,3.06,,5.460317,3.071429,9.960317,0.0,,3.166667,85.286617
US_MO_29027,2020-01-04,ChIJwW7F7wSxw4cR3_IDVcX9V0U,Q485213,geoId/29027,US,United States of America,MO,Missouri,29027,Callaway County,US,USA,2,,,,,,,44982,23087,21895,5090,5865,6469,5816,5493,6310,5358,3005,1576,1180450,38.84,-91.92,2194,77.5875,,,,,,7.63,7.18,4.26,10.32,6.51,6.73,4.94,3.59,,15.04,5.61,5.83,3.81,5.83,7.41,6.96,3.81,5.61,4.71,,3.37,,6.73,25.59,4.49,,7.18,,4.04,3.59,6.96,37.7,,3.37,4.71,3.37,3.81,4.94,,2.380952,0.388889,5.746032,0.0,,-2.460317,70.580419
US_MO_29027,2020-01-05,ChIJwW7F7wSxw4cR3_IDVcX9V0U,Q485213,geoId/29027,US,United States of America,MO,Missouri,29027,Callaway County,US,USA,2,,,,,,,44982,23087,21895,5090,5865,6469,5816,5493,6310,5358,3005,1576,1180450,38.84,-91.92,2194,77.5875,,,,,,6.94,7.84,3.36,10.07,7.84,,7.84,4.93,,16.79,,10.3,4.03,5.15,9.18,4.48,4.03,3.81,5.82,3.58,5.6,4.03,5.82,23.29,5.37,5.6,10.07,3.81,4.25,4.7,5.82,43.66,6.27,9.63,7.84,4.7,5.6,3.13,3.13,3.428571,-1.992063,12.253968,0.0,,-4.571429,56.48363
US_MO_29027,2020-01-06,ChIJwW7F7wSxw4cR3_IDVcX9V0U,Q485213,geoId/29027,US,United States of America,MO,Missouri,29027,Callaway County,US,USA,2,,,,,,,44982,23087,21895,5090,5865,6469,5816,5493,6310,5358,3005,1576,1180450,38.84,-91.92,2194,77.5875,,,,,,5.56,10.68,4.7,9.83,9.83,3.63,6.84,4.06,3.42,15.39,,9.62,,2.99,5.13,4.92,7.05,4.49,6.62,3.21,6.84,4.27,7.05,25.43,4.49,,8.55,,4.27,6.41,5.34,34.4,,5.56,5.56,,5.98,,3.85,2.492063,-4.650794,10.126984,0.0,,-5.587302,55.38818
US_MO_29027,2020-01-07,ChIJwW7F7wSxw4cR3_IDVcX9V0U,Q485213,geoId/29027,US,United States of America,MO,Missouri,29027,Callaway County,US,USA,2,,,,,,,44982,23087,21895,5090,5865,6469,5816,5493,6310,5358,3005,1576,1180450,38.84,-91.92,2194,77.5875,,,,,,3.8,7.79,4.79,9.39,7.99,4.99,5.99,2.8,3.6,12.39,,7.99,4.2,4.99,8.99,3.8,5.19,3.8,3.6,3.4,4.79,,5.59,29.17,10.79,3.4,6.59,,4.39,3.0,7.19,38.76,3.6,7.19,7.99,4.59,3.0,4.99,4.0,3.357143,-0.936508,9.095238,0.0,,-4.865079,54.912606
US_MO_29027,2020-01-08,ChIJwW7F7wSxw4cR3_IDVcX9V0U,Q485213,geoId/29027,US,United States of America,MO,Missouri,29027,Callaway County,US,USA,2,,,,,,,44982,23087,21895,5090,5865,6469,5816,5493,6310,5358,3005,1576,1180450,38.84,-91.92,2194,77.5875,,,,,,3.79,5.39,3.6,9.19,8.99,4.59,6.59,4.39,3.0,10.39,3.0,9.59,3.4,6.59,9.59,7.19,6.59,3.4,3.6,,3.6,4.79,5.19,29.16,5.59,3.4,5.19,3.6,6.79,5.39,7.39,39.75,3.6,8.79,5.19,4.39,,,5.19,3.642857,-2.309524,10.285714,0.0,,-6.15873,48.807063
US_MO_29027,2020-01-09,ChIJwW7F7wSxw4cR3_IDVcX9V0U,Q485213,geoId/29027,US,United States of America,MO,Missouri,29027,Callaway County,US,USA,2,,,,,,,44982,23087,21895,5090,5865,6469,5816,5493,6310,5358,3005,1576,1180450,38.84,-91.92,2194,77.5875,,,,,,6.19,9.79,,9.99,9.39,4.4,6.19,3.6,,12.99,2.8,6.99,,4.2,7.99,3.0,6.19,3.4,3.8,4.6,4.2,,8.59,29.97,3.2,,7.79,,5.99,4.0,4.0,42.36,4.79,13.99,6.19,4.4,4.2,,3.0,10.833333,4.698413,15.230159,0.0,,1.246032,51.625624
US_MO_29027,2020-01-10,ChIJwW7F7wSxw4cR3_IDVcX9V0U,Q485213,geoId/29027,US,United States of America,MO,Missouri,29027,Callaway County,US,USA,2,,,,,,,44982,23087,21895,5090,5865,6469,5816,5493,6310,5358,3005,1576,1180450,38.84,-91.92,2194,77.5875,,,,,,5.42,4.84,4.06,10.84,7.55,4.84,4.26,3.1,,13.54,5.42,6.19,2.9,5.22,8.13,4.84,4.45,5.42,4.84,3.29,3.68,3.48,8.13,26.51,4.06,,4.84,,4.45,6.0,6.0,34.83,3.29,6.58,4.64,,2.9,2.71,,12.238095,8.190476,16.142857,10.9728,50.8,11.103175,92.830238
