location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_transit_stations,mobility_workplaces,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_common_cold,search_trends_diabetes,search_trends_infection,search_trends_itch,search_trends_pain,search_trends_skin_rash,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_TX_48003,2020-01-01,ChIJB0YjgK6N-4YRULmdScI_-9o,Q108534,geoId/48003,US,United States of America,TX,Texas,48003,Andrews County,US,USA,2,,,,,,,17603,8958,8645,3080,2793,2462,2538,2045,2018,1431,748,488,1812339,32.3,-102.64,3888,75.975,,,,,11.44,,,22.3,10.29,24.02,,39.46,,5.35,-2.344444,13.9,0.0,,-3.796296,51.949697
US_TX_48003,2020-01-02,ChIJB0YjgK6N-4YRULmdScI_-9o,Q108534,geoId/48003,US,United States of America,TX,Texas,48003,Andrews County,US,USA,2,,,,,,,17603,8958,8645,3080,2793,2462,2538,2045,2018,1431,748,488,1812339,32.3,-102.64,3888,75.975,,,,,9.03,12.22,7.97,31.34,9.03,37.72,,37.72,,9.833333,3.333333,15.405556,0.0,,-2.191358,42.988255
US_TX_48003,2020-01-03,ChIJB0YjgK6N-4YRULmdScI_-9o,Q108534,geoId/48003,US,United States of America,TX,Texas,48003,Andrews County,US,USA,2,,,,,,,17603,8958,8645,3080,2793,2462,2538,2045,2018,1431,748,488,1812339,32.3,-102.64,3888,75.975,,,,,,11.7,,25.0,8.51,31.91,10.1,48.4,9.04,7.927778,4.616667,13.166667,1.143,,1.339506,63.79913
US_TX_48003,2020-01-04,ChIJB0YjgK6N-4YRULmdScI_-9o,Q108534,geoId/48003,US,United States of America,TX,Texas,48003,Andrews County,US,USA,2,,,,,,,17603,8958,8645,3080,2793,2462,2538,2045,2018,1431,748,488,1812339,32.3,-102.64,3888,75.975,,,,,11.71,,,25.75,9.95,24.58,,33.37,,6.205556,-1.866667,17.672222,0.4064,,-2.777778,52.468659
US_TX_48003,2020-01-05,ChIJB0YjgK6N-4YRULmdScI_-9o,Q108534,geoId/48003,US,United States of America,TX,Texas,48003,Andrews County,US,USA,2,,,,,,,17603,8958,8645,3080,2793,2462,2538,2045,2018,1431,748,488,1812339,32.3,-102.64,3888,75.975,,,,,,8.91,,16.7,12.25,27.83,,39.52,,9.15,-0.355556,18.205556,0.0,,-4.512346,38.129346
US_TX_48003,2020-01-06,ChIJB0YjgK6N-4YRULmdScI_-9o,Q108534,geoId/48003,US,United States of America,TX,Texas,48003,Andrews County,US,USA,2,,,,,,,17603,8958,8645,3080,2793,2462,2538,2045,2018,1431,748,488,1812339,32.3,-102.64,3888,75.975,,,,,12.77,8.69,9.71,25.55,7.66,36.28,7.66,42.92,,7.966667,-1.511111,17.722222,0.0,,-5.62963,38.130574
US_TX_48003,2020-01-07,ChIJB0YjgK6N-4YRULmdScI_-9o,Q108534,geoId/48003,US,United States of America,TX,Texas,48003,Andrews County,US,USA,2,,,,,,,17603,8958,8645,3080,2793,2462,2538,2045,2018,1431,748,488,1812339,32.3,-102.64,3888,75.975,,,,,,10.14,,25.35,12.67,29.91,,37.01,,5.222222,-4.344444,16.872222,0.0,,-9.425926,34.296263
US_TX_48003,2020-01-08,ChIJB0YjgK6N-4YRULmdScI_-9o,Q108534,geoId/48003,US,United States of America,TX,Texas,48003,Andrews County,US,USA,2,,,,,,,17603,8958,8645,3080,2793,2462,2538,2045,2018,1431,748,488,1812339,32.3,-102.64,3888,75.975,,,,,,11.88,10.33,28.4,9.81,42.85,,41.82,19.1,7.472222,-1.011111,18.5,0.0,,-9.030864,30.46151
US_TX_48003,2020-01-09,ChIJB0YjgK6N-4YRULmdScI_-9o,Q108534,geoId/48003,US,United States of America,TX,Texas,48003,Andrews County,US,USA,2,,,,,,,17603,8958,8645,3080,2793,2462,2538,2045,2018,1431,748,488,1812339,32.3,-102.64,3888,75.975,,,,,9.98,8.4,,15.23,10.5,32.03,,48.31,,13.094444,5.177778,22.144444,0.0,,0.777778,43.723252
US_TX_48003,2020-01-10,ChIJB0YjgK6N-4YRULmdScI_-9o,Q108534,geoId/48003,US,United States of America,TX,Texas,48003,Andrews County,US,USA,2,,,,,,,17603,8958,8645,3080,2793,2462,2538,2045,2018,1431,748,488,1812339,32.3,-102.64,3888,75.975,,,,,9.2,8.12,9.2,14.07,12.99,25.43,,37.88,8.66,10.888889,4.422222,18.938889,0.0,,0.419753,49.353754
