location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,elevation_m,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_workplaces,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_bleeding,search_trends_bone_fracture,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_heartburn,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_low_back_pain,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_weight_gain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_VA_51830,2020-01-01,ChIJG6qVRAqJsIkRqg4WXhcwS8E,Q492346,geoId/51830,US,United States of America,VA,Virginia,51830,Williamsburg,US,USA,2,,,,,,,14994,6850,8144,1023,2848,4272,1383,1007,1335,1442,1072,612,206807,37.2708,-76.7069,15,23,78.2,,,,,,7.64,11.89,13.59,7.22,,,,,10.61,,6.79,,,,7.64,,,,,,,,21.23,,,,,,,7.64,27.59,,9.34,6.79,,,,7.605556,2.327778,12.711111,0.0,,-0.746032,57.358278
US_VA_51830,2020-01-02,ChIJG6qVRAqJsIkRqg4WXhcwS8E,Q492346,geoId/51830,US,United States of America,VA,Virginia,51830,Williamsburg,US,USA,2,,,,,,,14994,6850,8144,1023,2848,4272,1383,1007,1335,1442,1072,612,206807,37.2708,-76.7069,15,23,78.2,,,,,8.37,8.01,5.09,16.01,7.28,6.91,,,,12.37,,12.01,,,,,5.82,5.09,5.09,,5.09,,6.55,22.92,6.91,,5.82,,,,5.09,33.84,5.46,8.73,,,,,7.966667,1.822222,15.188889,0.0,,0.325397,60.524058
US_VA_51830,2020-01-03,ChIJG6qVRAqJsIkRqg4WXhcwS8E,Q492346,geoId/51830,US,United States of America,VA,Virginia,51830,Williamsburg,US,USA,2,,,,,,,14994,6850,8144,1023,2848,4272,1383,1007,1335,1442,1072,612,206807,37.2708,-76.7069,15,23,78.2,,,,,,,6.95,10.08,4.87,5.91,6.95,,,11.12,,8.0,,5.91,8.0,,,4.87,,5.21,10.08,,9.73,19.82,5.56,,,,5.21,6.26,,32.68,6.26,,5.21,,6.95,,10.811111,5.822222,14.461111,1.7018,,7.119048,77.431748
US_VA_51830,2020-01-04,ChIJG6qVRAqJsIkRqg4WXhcwS8E,Q492346,geoId/51830,US,United States of America,VA,Virginia,51830,Williamsburg,US,USA,2,,,,,,,14994,6850,8144,1023,2848,4272,1383,1007,1335,1442,1072,612,206807,37.2708,-76.7069,15,23,78.2,,,,,6.39,6.39,7.67,15.34,,11.08,9.37,,,17.47,,12.35,,,7.24,,,,6.82,,,,8.95,26.84,,6.39,7.67,,,,6.82,43.88,,,6.39,11.93,,,14.433333,10.911111,16.677778,9.3472,,13.793651,93.63658
US_VA_51830,2020-01-05,ChIJG6qVRAqJsIkRqg4WXhcwS8E,Q492346,geoId/51830,US,United States of America,VA,Virginia,51830,Williamsburg,US,USA,2,,,,,,,14994,6850,8144,1023,2848,4272,1383,1007,1335,1442,1072,612,206807,37.2708,-76.7069,15,23,78.2,,,,,,,,9.4,,,,,,14.78,,7.16,,6.72,10.74,,,,6.72,7.16,,,,20.59,,,,,,,7.61,40.74,,,8.06,,,,8.022222,4.255556,15.061111,4.3942,,1.095238,62.017923
US_VA_51830,2020-01-06,ChIJG6qVRAqJsIkRqg4WXhcwS8E,Q492346,geoId/51830,US,United States of America,VA,Virginia,51830,Williamsburg,US,USA,2,,,,,,,14994,6850,8144,1023,2848,4272,1383,1007,1335,1442,1072,612,206807,37.2708,-76.7069,15,23,78.2,,,,,8.71,6.96,5.92,10.45,8.36,5.92,8.71,,,11.49,,9.75,,5.92,7.66,,,,5.22,4.88,9.05,,8.71,20.89,6.96,6.62,,4.88,6.62,4.88,,40.05,,,,,,7.66,6.733333,1.822222,13.383333,0.508,,-0.833333,60.694454
US_VA_51830,2020-01-07,ChIJG6qVRAqJsIkRqg4WXhcwS8E,Q492346,geoId/51830,US,United States of America,VA,Virginia,51830,Williamsburg,US,USA,2,,,,,,,14994,6850,8144,1023,2848,4272,1383,1007,1335,1442,1072,612,206807,37.2708,-76.7069,15,23,78.2,,,,,,9.94,7.89,10.97,7.2,,,,,14.06,,8.57,,7.89,8.57,5.83,,,,,,,7.54,18.86,6.51,,5.14,4.8,,5.14,,34.97,,,6.51,,,,5.188889,1.172222,11.666667,1.2192,,1.793651,84.951054
US_VA_51830,2020-01-08,ChIJG6qVRAqJsIkRqg4WXhcwS8E,Q492346,geoId/51830,US,United States of America,VA,Virginia,51830,Williamsburg,US,USA,2,,,,,,,14994,6850,8144,1023,2848,4272,1383,1007,1335,1442,1072,612,206807,37.2708,-76.7069,15,23,78.2,,,,,4.81,7.21,5.84,7.9,9.96,7.9,8.58,6.87,6.87,14.08,,6.18,,,10.64,,5.49,,,6.18,6.18,,5.15,30.21,,,7.21,,,6.87,5.49,38.11,4.81,8.24,,,,,5.505556,0.672222,11.766667,2.2606,,-2.111111,59.456586
US_VA_51830,2020-01-09,ChIJG6qVRAqJsIkRqg4WXhcwS8E,Q492346,geoId/51830,US,United States of America,VA,Virginia,51830,Williamsburg,US,USA,2,,,,,,,14994,6850,8144,1023,2848,4272,1383,1007,1335,1442,1072,612,206807,37.2708,-76.7069,15,23,78.2,,,,,,8.68,7.99,11.81,11.46,,5.9,4.86,,13.2,,7.99,,,12.85,,5.56,,,6.6,,,8.34,25.35,6.95,,,,7.29,,,28.13,,8.34,4.86,5.21,,5.56,2.588889,-1.088889,9.422222,0.0,,-4.968254,60.130271
US_VA_51830,2020-01-10,ChIJG6qVRAqJsIkRqg4WXhcwS8E,Q492346,geoId/51830,US,United States of America,VA,Virginia,51830,Williamsburg,US,USA,2,,,,,,,14994,6850,8144,1023,2848,4272,1383,1007,1335,1442,1072,612,206807,37.2708,-76.7069,15,23,78.2,,,,,,7.08,,14.15,4.72,4.72,,,,15.83,,10.44,6.06,,14.49,,6.4,5.73,,5.39,5.39,5.05,10.78,17.52,,,6.74,,,,8.76,38.74,5.39,7.08,8.42,6.06,,,8.977778,0.966667,18.883333,0.0,,3.936508,72.660039
US_VA_51830,2020-01-11,ChIJG6qVRAqJsIkRqg4WXhcwS8E,Q492346,geoId/51830,US,United States of America,VA,Virginia,51830,Williamsburg,US,USA,2,,,,,,,14994,6850,8144,1023,2848,4272,1383,1007,1335,1442,1072,612,206807,37.2708,-76.7069,15,23,78.2,,,,,6.9,11.21,,11.21,,,6.47,,,17.67,,,,,10.35,,,,,6.47,7.76,,9.05,22.42,,,10.78,,,,,41.81,,9.91,,,,,16.661111,13.322222,22.016667,0.0,,12.230159,72.547588
US_VA_51830,2020-01-12,ChIJG6qVRAqJsIkRqg4WXhcwS8E,Q492346,geoId/51830,US,United States of America,VA,Virginia,51830,Williamsburg,US,USA,2,,,,,,,14994,6850,8144,1023,2848,4272,1383,1007,1335,1442,1072,612,206807,37.2708,-76.7069,15,23,78.2,,,,,,10.84,,11.27,8.24,,,,,11.27,,7.37,,9.11,7.8,,,,,,6.5,,,22.11,11.27,,12.57,,7.37,8.24,,41.62,6.5,8.24,8.24,,,,19.511111,13.583333,21.6,0.4572,,14.15873,69.377891
