location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_confirmed_age_0,new_confirmed_age_1,new_confirmed_age_2,new_confirmed_age_3,new_confirmed_age_4,new_confirmed_age_5,new_confirmed_age_6,new_confirmed_age_7,new_confirmed_age_8,new_confirmed_age_9,cumulative_confirmed_age_0,cumulative_confirmed_age_1,cumulative_confirmed_age_2,cumulative_confirmed_age_3,cumulative_confirmed_age_4,cumulative_confirmed_age_5,cumulative_confirmed_age_6,cumulative_confirmed_age_7,cumulative_confirmed_age_8,cumulative_confirmed_age_9,age_bin_0,age_bin_1,age_bin_2,age_bin_3,age_bin_4,age_bin_5,age_bin_6,age_bin_7,age_bin_8,age_bin_9,new_confirmed_male,new_confirmed_female,cumulative_confirmed_male,cumulative_confirmed_female,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_allergy,search_trends_common_cold,search_trends_diabetes,search_trends_infection,search_trends_itch,search_trends_pain,search_trends_skin_rash,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_IN_18075,2020-01-01,ChIJdzpaqd97FYgRRLJMlLup3q4,Q506574,geoId/18075,US,United States of America,IN,Indiana,18075,Jay County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20883,10398,10485,2978,2934,2405,2264,2448,2859,2524,1565,906,1802227,40.43,-85.01,994,76.471429,,,,,13.41,20.99,,18.08,,42.57,,0.988889,-1.65,5.9,0.1524,,-2.994444,75.023417
US_IN_18075,2020-01-02,ChIJdzpaqd97FYgRRLJMlLup3q4,Q506574,geoId/18075,US,United States of America,IN,Indiana,18075,Jay County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20883,10398,10485,2978,2934,2405,2264,2448,2859,2524,1565,906,1802227,40.43,-85.01,994,76.471429,,,,,,20.9,,29.72,8.82,32.05,,5.366667,-0.233333,10.505556,0.0,,-0.805556,64.766251
US_IN_18075,2020-01-03,ChIJdzpaqd97FYgRRLJMlLup3q4,Q506574,geoId/18075,US,United States of America,IN,Indiana,18075,Jay County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20883,10398,10485,2978,2934,2405,2264,2448,2859,2524,1565,906,1802227,40.43,-85.01,994,76.471429,,,,,,14.4,8.55,24.76,8.55,29.71,8.55,7.127778,4.016667,9.555556,4.233333,,6.188889,93.892492
US_IN_18075,2020-01-04,ChIJdzpaqd97FYgRRLJMlLup3q4,Q506574,geoId/18075,US,United States of America,IN,Indiana,18075,Jay County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20883,10398,10485,2978,2934,2405,2264,2448,2859,2524,1565,906,1802227,40.43,-85.01,994,76.471429,,,,,,18.29,11.43,24.58,,34.29,,2.733333,0.272222,6.944444,1.4605,,1.358025,90.361415
US_IN_18075,2020-01-05,ChIJdzpaqd97FYgRRLJMlLup3q4,Q506574,geoId/18075,US,United States of America,IN,Indiana,18075,Jay County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20883,10398,10485,2978,2934,2405,2264,2448,2859,2524,1565,906,1802227,40.43,-85.01,994,76.471429,,,,,,15.74,9.32,26.23,,33.22,,0.538889,-2.838889,6.361111,0.197556,,-3.105556,76.73084
US_IN_18075,2020-01-06,ChIJdzpaqd97FYgRRLJMlLup3q4,Q506574,geoId/18075,US,United States of America,IN,Indiana,18075,Jay County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20883,10398,10485,2978,2934,2405,2264,2448,2859,2524,1565,906,1802227,40.43,-85.01,994,76.471429,,,,,,16.7,11.13,24.59,,30.15,6.96,2.005556,-2.716667,6.283333,0.0,,-2.411111,72.893664
US_IN_18075,2020-01-07,ChIJdzpaqd97FYgRRLJMlLup3q4,Q506574,geoId/18075,US,United States of America,IN,Indiana,18075,Jay County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20883,10398,10485,2978,2934,2405,2264,2448,2859,2524,1565,906,1802227,40.43,-85.01,994,76.471429,,,,,,8.56,,31.38,9.51,33.28,9.51,0.816667,-3.733333,6.388889,0.0,,-3.922222,71.10125
US_IN_18075,2020-01-08,ChIJdzpaqd97FYgRRLJMlLup3q4,Q506574,geoId/18075,US,United States of America,IN,Indiana,18075,Jay County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20883,10398,10485,2978,2934,2405,2264,2448,2859,2524,1565,906,1802227,40.43,-85.01,994,76.471429,,,,,7.95,9.82,9.82,30.88,,27.13,14.5,-1.1,-4.8,4.811111,0.0,,-6.905556,64.854876
US_IN_18075,2020-01-09,ChIJdzpaqd97FYgRRLJMlLup3q4,Q506574,geoId/18075,US,United States of America,IN,Indiana,18075,Jay County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20883,10398,10485,2978,2934,2405,2264,2448,2859,2524,1565,906,1802227,40.43,-85.01,994,76.471429,,,,,,14.82,,32.89,,29.18,9.26,-0.066667,-5.705556,10.677778,0.028222,,-6.588889,61.739296
US_IN_18075,2020-01-10,ChIJdzpaqd97FYgRRLJMlLup3q4,Q506574,geoId/18075,US,United States of America,IN,Indiana,18075,Jay County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20883,10398,10485,2978,2934,2405,2264,2448,2859,2524,1565,906,1802227,40.43,-85.01,994,76.471429,,,,,,17.98,8.77,35.53,7.46,25.44,9.21,9.416667,6.338889,12.433333,15.1765,,6.716667,83.733051
