location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_abdominal_obesity,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anemia,search_trends_anxiety,search_trends_arthritis,search_trends_asthma,search_trends_attention_deficit_hyperactivity_disorder,search_trends_back_pain,search_trends_bleeding,search_trends_bloating,search_trends_bone_fracture,search_trends_burn,search_trends_candidiasis,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_dementia,search_trends_depression,search_trends_dermatitis,search_trends_diabetes,search_trends_diarrhea,search_trends_epilepsy,search_trends_erectile_dysfunction,search_trends_fatigue,search_trends_fever,search_trends_flatulence,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_hay_fever,search_trends_headache,search_trends_heart_arrhythmia,search_trends_heartburn,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_low_back_pain,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_myocardial_infarction,search_trends_nausea,search_trends_obesity,search_trends_pain,search_trends_paresthesia,search_trends_perspiration,search_trends_scar,search_trends_skin_condition,search_trends_skin_rash,search_trends_sleep_disorder,search_trends_sore_throat,search_trends_stroke,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_vaginal_discharge,search_trends_vomiting,search_trends_weight_gain,search_trends_xeroderma,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_OH_39101,2020-01-11,ChIJC_IiYCEaOYgRXe0hQYPl4BM,Q489553,geoId/39101,US,United States of America,OH,Ohio,39101,Marion County,US,USA,2,,,,,,,65076,34518,30558,7538,7389,8542,8096,8483,9351,8124,4735,2818,185761,40.59,-83.16,1047,75.029412,,,,,3.02,3.74,6.15,3.02,7.48,,7.6,5.67,,3.02,4.46,4.22,2.53,2.41,,1.69,11.34,3.62,6.03,2.65,,4.34,2.17,7.36,4.83,2.65,2.17,3.26,4.46,3.26,3.98,2.41,,3.62,2.05,4.1,4.58,22.56,3.5,2.53,4.71,2.77,5.19,4.58,3.74,,3.14,33.3,,,2.29,3.5,5.19,1.69,1.69,,5.43,3.38,4.1,3.98,2.05,3.14,,14.005556,8.383333,19.061111,12.3825,,10.938272,81.262381
US_OH_39101,2020-01-12,ChIJC_IiYCEaOYgRXe0hQYPl4BM,Q489553,geoId/39101,US,United States of America,OH,Ohio,39101,Marion County,US,USA,2,,,,,,,65076,34518,30558,7538,7389,8542,8096,8483,9351,8124,4735,2818,185761,40.59,-83.16,1047,75.029412,,,,,3.51,5.56,7.13,3.51,6.29,2.18,5.8,4.71,1.69,2.42,4.71,3.75,1.93,3.51,,1.81,9.79,2.9,5.08,3.14,,4.35,,7.98,3.63,2.54,3.26,3.87,4.23,2.78,3.14,3.51,,3.87,2.54,2.54,5.44,19.22,3.63,1.69,6.04,2.78,2.9,3.75,,5.2,3.75,32.27,,2.06,2.54,3.38,6.04,2.78,1.81,,3.87,4.35,3.26,1.93,2.78,2.78,,5.072222,1.188889,14.816667,11.52525,,2.759259,84.079212
US_OH_39101,2020-01-13,ChIJC_IiYCEaOYgRXe0hQYPl4BM,Q489553,geoId/39101,US,United States of America,OH,Ohio,39101,Marion County,US,USA,2,,,,,,,65076,34518,30558,7538,7389,8542,8096,8483,9351,8124,4735,2818,185761,40.59,-83.16,1047,75.029412,,,,,3.15,4.61,7.31,2.81,6.86,1.69,7.31,5.28,3.6,2.14,5.73,2.02,2.25,2.14,2.02,3.26,13.04,2.14,6.52,2.58,1.57,4.61,1.91,11.02,5.06,4.16,2.58,3.6,4.5,2.7,4.16,4.83,,4.83,,3.82,6.97,22.59,5.73,2.81,6.18,4.05,4.72,4.5,2.58,1.69,5.51,33.38,,,2.47,3.15,6.41,2.14,2.02,2.14,3.48,4.95,4.5,2.7,2.81,3.04,1.69,4.083333,1.855556,7.188889,0.4572,,1.222222,81.862494
US_OH_39101,2020-01-14,ChIJC_IiYCEaOYgRXe0hQYPl4BM,Q489553,geoId/39101,US,United States of America,OH,Ohio,39101,Marion County,US,USA,2,,,,,,,65076,34518,30558,7538,7389,8542,8096,8483,9351,8124,4735,2818,185761,40.59,-83.16,1047,75.029412,,,,,4.75,4.75,4.75,1.7,4.86,1.7,7.91,4.75,,2.94,7.23,3.95,,3.62,,2.26,12.2,2.94,7.34,2.94,2.94,6.21,2.03,10.39,4.86,,2.26,5.65,3.84,2.71,2.82,3.73,,4.29,1.81,2.82,7.46,23.16,5.65,2.82,6.33,2.82,4.29,3.39,3.39,3.16,6.1,36.49,,,1.81,3.16,3.95,2.26,2.71,1.92,4.29,5.08,4.63,3.95,2.94,2.82,,3.388889,-0.011111,8.633333,0.0,,1.216049,85.162993
US_OH_39101,2020-01-15,ChIJC_IiYCEaOYgRXe0hQYPl4BM,Q489553,geoId/39101,US,United States of America,OH,Ohio,39101,Marion County,US,USA,2,,,,,,,65076,34518,30558,7538,7389,8542,8096,8483,9351,8124,4735,2818,185761,40.59,-83.16,1047,75.029412,,,,,3.23,4.23,5.68,3.56,7.13,1.67,6.68,3.45,1.78,2.12,4.46,4.68,2.12,1.67,,3.01,10.91,2.78,5.9,,3.34,4.01,1.78,8.91,5.01,3.67,2.23,5.68,3.67,1.89,4.46,1.67,,5.01,2.0,3.34,6.13,23.95,5.24,3.34,6.24,2.45,4.46,5.35,3.34,3.34,5.57,30.52,2.67,,1.78,3.01,7.46,2.45,2.56,3.79,5.35,4.68,3.45,2.12,4.01,3.34,,3.183333,-0.372222,8.677778,0.0,,2.271605,93.236523
US_OH_39101,2020-01-16,ChIJC_IiYCEaOYgRXe0hQYPl4BM,Q489553,geoId/39101,US,United States of America,OH,Ohio,39101,Marion County,US,USA,2,,,,,,,65076,34518,30558,7538,7389,8542,8096,8483,9351,8124,4735,2818,185761,40.59,-83.16,1047,75.029412,,,,,2.42,4.72,6.45,2.88,7.6,2.42,7.02,4.95,,3.45,4.26,4.6,2.19,2.19,2.76,,13.24,3.91,6.56,2.42,3.57,4.6,2.07,9.55,3.11,2.99,1.61,5.75,2.65,2.88,5.75,3.57,,4.37,4.03,2.76,7.25,25.55,4.26,3.45,5.41,3.34,4.14,4.72,3.8,2.76,6.56,32.34,2.3,,2.07,5.18,4.37,3.11,1.73,3.57,4.83,4.6,4.83,2.42,2.99,4.14,,2.855556,-2.427778,8.955556,0.225778,,-0.983333,75.950671
US_OH_39101,2020-01-17,ChIJC_IiYCEaOYgRXe0hQYPl4BM,Q489553,geoId/39101,US,United States of America,OH,Ohio,39101,Marion County,US,USA,2,,,,,,,65076,34518,30558,7538,7389,8542,8096,8483,9351,8124,4735,2818,185761,40.59,-83.16,1047,75.029412,,,,,2.22,3.51,6.79,3.16,8.89,,3.16,4.21,2.34,2.81,4.8,3.86,2.46,1.87,2.69,2.92,11.82,2.92,8.31,1.75,1.75,3.51,1.64,10.3,5.03,2.57,3.16,4.45,4.21,1.75,2.69,3.51,,3.75,3.51,3.04,7.72,23.4,4.56,3.28,3.98,1.87,4.56,3.98,3.63,1.99,5.85,32.18,2.69,,,2.69,5.62,2.34,2.69,3.75,5.27,4.68,5.03,3.39,3.28,1.99,2.69,-3.844444,-6.666667,2.488889,0.0,,-9.0,67.849696
US_OH_39101,2020-01-18,ChIJC_IiYCEaOYgRXe0hQYPl4BM,Q489553,geoId/39101,US,United States of America,OH,Ohio,39101,Marion County,US,USA,2,,,,,,,65076,34518,30558,7538,7389,8542,8096,8483,9351,8124,4735,2818,185761,40.59,-83.16,1047,75.029412,,,,,1.97,4.18,7.13,3.57,8.61,2.46,7.63,3.69,2.21,3.44,7.01,3.2,,1.97,1.97,3.32,12.79,2.83,8.86,2.58,,2.95,,8.98,5.78,2.83,3.2,3.44,5.91,,4.18,3.08,,3.69,1.97,2.46,5.04,19.81,3.81,2.46,6.15,3.32,2.34,4.06,,,6.03,31.12,,,,2.83,3.81,3.2,2.09,2.34,5.66,5.66,4.55,2.34,2.71,2.21,,0.627778,-5.138889,7.444444,7.33425,,-2.633333,79.061293
US_OH_39101,2020-01-19,ChIJC_IiYCEaOYgRXe0hQYPl4BM,Q489553,geoId/39101,US,United States of America,OH,Ohio,39101,Marion County,US,USA,2,,,,,,,65076,34518,30558,7538,7389,8542,8096,8483,9351,8124,4735,2818,185761,40.59,-83.16,1047,75.029412,,,,,,6.28,6.76,3.87,8.21,,6.88,3.5,2.66,2.29,4.59,3.26,2.05,2.78,,3.02,13.16,4.35,7.0,2.9,1.69,4.11,2.05,7.37,3.87,,3.14,4.23,7.49,2.17,4.59,3.99,,3.74,,3.99,5.68,21.02,3.62,,5.8,1.93,2.42,2.9,3.26,2.42,5.43,33.45,,1.81,1.69,3.26,5.07,,2.17,2.29,4.71,4.59,4.35,3.14,3.74,3.14,,-6.7,-10.983333,4.977778,9.36625,30.48,-10.255556,75.959897
US_OH_39101,2020-01-20,ChIJC_IiYCEaOYgRXe0hQYPl4BM,Q489553,geoId/39101,US,United States of America,OH,Ohio,39101,Marion County,US,USA,2,,,,,,,65076,34518,30558,7538,7389,8542,8096,8483,9351,8124,4735,2818,185761,40.59,-83.16,1047,75.029412,,,,,2.0,4.59,6.59,3.77,8.59,2.12,7.89,5.41,3.06,2.94,7.89,3.53,2.35,4.12,1.88,2.47,16.01,2.71,10.0,3.06,3.3,3.65,3.41,9.77,3.53,2.35,3.18,5.77,5.77,2.71,3.53,3.06,1.88,4.47,,2.71,5.06,24.36,6.12,2.94,6.94,2.71,4.59,4.59,2.71,2.47,6.36,38.37,,1.65,2.12,4.0,6.24,1.76,2.71,2.47,5.53,4.0,5.3,4.24,3.06,2.35,2.35,-8.561111,-12.477778,-2.772222,0.127,,-11.796296,76.543135
