location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_confirmed_age_0,new_confirmed_age_1,new_confirmed_age_2,new_confirmed_age_3,new_confirmed_age_4,new_confirmed_age_5,new_confirmed_age_6,new_confirmed_age_7,new_confirmed_age_8,new_confirmed_age_9,cumulative_confirmed_age_0,cumulative_confirmed_age_1,cumulative_confirmed_age_2,cumulative_confirmed_age_3,cumulative_confirmed_age_4,cumulative_confirmed_age_5,cumulative_confirmed_age_6,cumulative_confirmed_age_7,cumulative_confirmed_age_8,cumulative_confirmed_age_9,age_bin_0,age_bin_1,age_bin_2,age_bin_3,age_bin_4,age_bin_5,age_bin_6,age_bin_7,age_bin_8,age_bin_9,new_confirmed_male,new_confirmed_female,cumulative_confirmed_male,cumulative_confirmed_female,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,elevation_m,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_workplaces,search_trends_allergy,search_trends_common_cold,search_trends_infection,search_trends_pain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_IN_18111,2020-01-01,ChIJLxzD5hMNEogRzCKmh1WJt-Y,Q367632,geoId/18111,US,United States of America,IN,Indiana,18111,Newton County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14027,7085,6942,1594,1766,1519,1620,1685,2154,1888,1202,599,963486,40.95,-87.4,692,1045,76.55,,,,18.02,16.09,36.04,-0.154321,-4.796296,5.851852,0.0,-3.740741,76.900672
US_IN_18111,2020-01-02,ChIJLxzD5hMNEogRzCKmh1WJt-Y,Q367632,geoId/18111,US,United States of America,IN,Indiana,18111,Newton County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14027,7085,6942,1594,1766,1519,1620,1685,2154,1888,1202,599,963486,40.95,-87.4,692,1045,76.55,,,9.87,18.43,32.25,37.52,5.506173,2.154321,9.432099,0.0,-0.259259,66.658739
US_IN_18111,2020-01-03,ChIJLxzD5hMNEogRzCKmh1WJt-Y,Q367632,geoId/18111,US,United States of America,IN,Indiana,18111,Newton County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14027,7085,6942,1594,1766,1519,1620,1685,2154,1888,1202,599,963486,40.95,-87.4,692,1045,76.55,,,,9.85,26.27,32.83,4.395062,1.506173,7.5,0.0,2.740741,89.085073
US_IN_18111,2020-01-04,ChIJLxzD5hMNEogRzCKmh1WJt-Y,Q367632,geoId/18111,US,United States of America,IN,Indiana,18111,Newton County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14027,7085,6942,1594,1766,1519,1620,1685,2154,1888,1202,599,963486,40.95,-87.4,692,1045,76.55,,,,18.8,22.56,32.59,1.024691,-0.160494,2.969136,0.0,-1.314815,84.524867
US_IN_18111,2020-01-05,ChIJLxzD5hMNEogRzCKmh1WJt-Y,Q367632,geoId/18111,US,United States of America,IN,Indiana,18111,Newton County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14027,7085,6942,1594,1766,1519,1620,1685,2154,1888,1202,599,963486,40.95,-87.4,692,1045,76.55,,,,13.39,30.61,25.5,0.407407,-3.58642,6.746914,0.0,-3.771605,73.633151
US_IN_18111,2020-01-06,ChIJLxzD5hMNEogRzCKmh1WJt-Y,Q367632,geoId/18111,US,United States of America,IN,Indiana,18111,Newton County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14027,7085,6942,1594,1766,1519,1620,1685,2154,1888,1202,599,963486,40.95,-87.4,692,1045,76.55,,,14.29,16.16,21.13,31.7,1.12963,-3.716049,5.944444,0.0,-4.388889,67.129469
US_IN_18111,2020-01-07,ChIJLxzD5hMNEogRzCKmh1WJt-Y,Q367632,geoId/18111,US,United States of America,IN,Indiana,18111,Newton County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14027,7085,6942,1594,1766,1519,1620,1685,2154,1888,1202,599,963486,40.95,-87.4,692,1045,76.55,,,11.04,15.95,22.09,47.24,0.530864,-4.166667,5.888889,0.0,-4.716049,68.256841
US_IN_18111,2020-01-08,ChIJLxzD5hMNEogRzCKmh1WJt-Y,Q367632,geoId/18111,US,United States of America,IN,Indiana,18111,Newton County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14027,7085,6942,1594,1766,1519,1620,1685,2154,1888,1202,599,963486,40.95,-87.4,692,1045,76.55,,,10.33,13.37,27.35,41.93,-2.746914,-6.932099,2.91358,0.0,-9.777778,58.62065
US_IN_18111,2020-01-09,ChIJLxzD5hMNEogRzCKmh1WJt-Y,Q367632,geoId/18111,US,United States of America,IN,Indiana,18111,Newton County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14027,7085,6942,1594,1766,1519,1620,1685,2154,1888,1202,599,963486,40.95,-87.4,692,1045,76.55,,,,12.35,26.55,41.36,0.796296,-5.981481,10.432099,0.0,-6.141975,59.920722
US_IN_18111,2020-01-10,ChIJLxzD5hMNEogRzCKmh1WJt-Y,Q367632,geoId/18111,US,United States of America,IN,Indiana,18111,Newton County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14027,7085,6942,1594,1766,1519,1620,1685,2154,1888,1202,599,963486,40.95,-87.4,692,1045,76.55,,,12.43,13.61,28.4,53.25,8.895062,5.975309,11.623457,5.291667,6.648148,85.896649
