location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_confirmed_age_0,new_confirmed_age_1,new_confirmed_age_2,new_confirmed_age_3,new_confirmed_age_4,new_confirmed_age_5,new_confirmed_age_6,new_confirmed_age_7,new_confirmed_age_8,new_confirmed_age_9,cumulative_confirmed_age_0,cumulative_confirmed_age_1,cumulative_confirmed_age_2,cumulative_confirmed_age_3,cumulative_confirmed_age_4,cumulative_confirmed_age_5,cumulative_confirmed_age_6,cumulative_confirmed_age_7,cumulative_confirmed_age_8,cumulative_confirmed_age_9,new_deceased_age_0,new_deceased_age_1,new_deceased_age_2,new_deceased_age_3,new_deceased_age_4,new_deceased_age_5,new_deceased_age_6,new_deceased_age_7,new_deceased_age_8,new_deceased_age_9,cumulative_deceased_age_0,cumulative_deceased_age_1,cumulative_deceased_age_2,cumulative_deceased_age_3,cumulative_deceased_age_4,cumulative_deceased_age_5,cumulative_deceased_age_6,cumulative_deceased_age_7,cumulative_deceased_age_8,cumulative_deceased_age_9,new_hospitalized_patients_age_0,new_hospitalized_patients_age_1,new_hospitalized_patients_age_2,new_hospitalized_patients_age_3,new_hospitalized_patients_age_4,new_hospitalized_patients_age_5,new_hospitalized_patients_age_6,new_hospitalized_patients_age_7,new_hospitalized_patients_age_8,new_hospitalized_patients_age_9,cumulative_hospitalized_patients_age_0,cumulative_hospitalized_patients_age_1,cumulative_hospitalized_patients_age_2,cumulative_hospitalized_patients_age_3,cumulative_hospitalized_patients_age_4,cumulative_hospitalized_patients_age_5,cumulative_hospitalized_patients_age_6,cumulative_hospitalized_patients_age_7,cumulative_hospitalized_patients_age_8,cumulative_hospitalized_patients_age_9,age_bin_0,age_bin_1,age_bin_2,age_bin_3,age_bin_4,age_bin_5,age_bin_6,age_bin_7,age_bin_8,age_bin_9,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_bleeding,search_trends_common_cold,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_GA_13145,2020-01-01,ChIJxzfX3sBN84gRJbSa83uVdb4,Q486133,geoId/13145,US,United States of America,GA,Georgia,13145,Harris County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33943,16994,16949,3584,4512,3535,3635,4623,5292,4853,2762,1147,1073863,32.74,-84.91,1225,80.975,,,,,,4.6,7.97,7.05,12.88,8.59,7.36,7.05,,19.32,13.19,5.52,7.67,6.13,6.44,6.13,,7.97,9.81,26.68,6.13,8.59,,8.89,6.75,43.55,4.6,4.6,7.36,8.59,6.13,7.12963,0.938272,14.833333,0.0,-2.061728,52.261224
US_GA_13145,2020-01-02,ChIJxzfX3sBN84gRJbSa83uVdb4,Q486133,geoId/13145,US,United States of America,GA,Georgia,13145,Harris County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33943,16994,16949,3584,4512,3535,3635,4623,5292,4853,2762,1147,1073863,32.74,-84.91,1225,80.975,,,,,,8.89,12.06,5.4,14.92,7.94,,7.94,5.08,23.81,12.7,5.4,9.53,,7.62,4.45,,4.76,12.7,29.21,4.76,6.67,4.76,6.67,9.84,48.89,,6.99,7.94,7.94,6.35,9.333333,4.635802,13.481481,1.5748,5.117284,75.179389
US_GA_13145,2020-01-03,ChIJxzfX3sBN84gRJbSa83uVdb4,Q486133,geoId/13145,US,United States of America,GA,Georgia,13145,Harris County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33943,16994,16949,3584,4512,3535,3635,4623,5292,4853,2762,1147,1073863,32.74,-84.91,1225,80.975,,,,,,9.78,9.15,9.15,13.88,11.36,5.68,9.15,4.73,20.82,10.73,5.36,11.36,6.63,6.0,5.68,,4.42,13.57,26.82,9.47,12.62,,5.36,6.63,47.01,,8.2,7.57,,7.26,18.037037,11.296296,22.648148,8.382,16.685185,92.039116
US_GA_13145,2020-01-04,ChIJxzfX3sBN84gRJbSa83uVdb4,Q486133,geoId/13145,US,United States of America,GA,Georgia,13145,Harris County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33943,16994,16949,3584,4512,3535,3635,4623,5292,4853,2762,1147,1073863,32.74,-84.91,1225,80.975,,,,,,6.06,7.97,,13.71,,7.97,8.29,,22.64,12.44,,8.29,,,5.42,,5.42,5.74,31.25,7.33,8.61,,,8.29,51.97,,5.74,6.38,4.46,5.74,14.833333,9.697531,17.944444,18.8468,10.709877,76.397924
US_GA_13145,2020-01-05,ChIJxzfX3sBN84gRJbSa83uVdb4,Q486133,geoId/13145,US,United States of America,GA,Georgia,13145,Harris County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33943,16994,16949,3584,4512,3535,3635,4623,5292,4853,2762,1147,1073863,32.74,-84.91,1225,80.975,,,,,,6.65,10.76,,15.19,8.86,5.07,6.01,5.07,17.41,12.03,,12.35,9.18,8.23,7.28,6.96,5.38,6.96,25.96,,7.6,,,5.38,48.75,,7.6,7.28,,5.07,5.845679,-0.487654,14.395062,0.282222,-2.191358,56.444591
US_GA_13145,2020-01-06,ChIJxzfX3sBN84gRJbSa83uVdb4,Q486133,geoId/13145,US,United States of America,GA,Georgia,13145,Harris County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33943,16994,16949,3584,4512,3535,3635,4623,5292,4853,2762,1147,1073863,32.74,-84.91,1225,80.975,,,,,,7.89,4.38,4.38,8.77,12.86,6.13,7.3,,17.24,14.32,,12.56,5.84,4.38,4.38,4.67,4.67,9.06,24.83,4.97,6.72,5.26,7.6,6.43,38.27,5.55,4.38,5.55,5.84,4.09,8.54321,1.623457,18.487654,0.0,2.265432,64.919245
US_GA_13145,2020-01-07,ChIJxzfX3sBN84gRJbSa83uVdb4,Q486133,geoId/13145,US,United States of America,GA,Georgia,13145,Harris County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33943,16994,16949,3584,4512,3535,3635,4623,5292,4853,2762,1147,1073863,32.74,-84.91,1225,80.975,,,,,,6.29,9.26,,12.9,6.95,7.61,4.63,,22.16,13.89,5.29,12.24,,5.62,9.26,6.62,5.96,8.93,39.37,6.29,6.29,,6.95,9.93,47.97,,8.6,5.62,6.29,,11.54321,5.716049,16.685185,0.108857,4.123457,60.375131
US_GA_13145,2020-01-08,ChIJxzfX3sBN84gRJbSa83uVdb4,Q486133,geoId/13145,US,United States of America,GA,Georgia,13145,Harris County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33943,16994,16949,3584,4512,3535,3635,4623,5292,4853,2762,1147,1073863,32.74,-84.91,1225,80.975,,,,,,,11.63,6.16,11.63,8.89,6.16,12.65,,26.67,8.55,5.13,14.02,4.79,5.81,5.13,,7.87,11.63,33.17,11.29,5.81,4.79,6.5,7.87,45.82,4.79,15.05,9.57,7.52,4.79,7.876543,0.277778,17.469136,0.0,-2.839506,47.053898
US_GA_13145,2020-01-09,ChIJxzfX3sBN84gRJbSa83uVdb4,Q486133,geoId/13145,US,United States of America,GA,Georgia,13145,Harris County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33943,16994,16949,3584,4512,3535,3635,4623,5292,4853,2762,1147,1073863,32.74,-84.91,1225,80.975,,,,,,7.38,11.25,4.92,8.44,11.6,,9.49,,23.91,13.36,7.38,16.17,7.03,7.38,4.92,,6.68,16.53,35.87,6.68,8.79,7.03,5.98,6.33,43.95,,12.66,6.68,7.38,6.68,8.067901,-0.135802,19.012346,0.0,0.530864,59.423853
US_GA_13145,2020-01-10,ChIJxzfX3sBN84gRJbSa83uVdb4,Q486133,geoId/13145,US,United States of America,GA,Georgia,13145,Harris County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33943,16994,16949,3584,4512,3535,3635,4623,5292,4853,2762,1147,1073863,32.74,-84.91,1225,80.975,,,,,,,11.91,5.67,16.16,6.24,5.1,,5.39,14.46,7.94,4.54,9.92,,5.95,,,5.67,9.36,20.13,9.07,9.64,,9.36,9.64,36.58,3.97,5.1,5.95,5.67,4.82,15.765432,11.728395,21.104938,0.0,10.876543,72.74859
