location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_transit_stations,mobility_workplaces,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_NV_32021,2020-01-01,ChIJp6leETNpvYARV-sPeNL2COs,Q203022,geoId/32021,US,United States of America,NV,Nevada,32021,Mineral County,US,USA,2,,,,,,,4455,2220,2235,494,441,466,497,378,661,695,535,288,166461,38.54,-118.43,9876,80.3,,,2.401235,-4.376543,11.567901,0.028222,,-3.950617,63.609838
US_NV_32021,2020-01-02,ChIJp6leETNpvYARV-sPeNL2COs,Q203022,geoId/32021,US,United States of America,NV,Nevada,32021,Mineral County,US,USA,2,,,,,,,4455,2220,2235,494,441,466,497,378,661,695,535,288,166461,38.54,-118.43,9876,80.3,,,3.555556,-3.333333,10.87037,0.028222,,-5.228395,53.973744
US_NV_32021,2020-01-03,ChIJp6leETNpvYARV-sPeNL2COs,Q203022,geoId/32021,US,United States of America,NV,Nevada,32021,Mineral County,US,USA,2,,,,,,,4455,2220,2235,494,441,466,497,378,661,695,535,288,166461,38.54,-118.43,9876,80.3,,,2.444444,-4.407407,11.111111,0.0,,-5.574074,57.268815
US_NV_32021,2020-01-04,ChIJp6leETNpvYARV-sPeNL2COs,Q203022,geoId/32021,US,United States of America,NV,Nevada,32021,Mineral County,US,USA,2,,,,,,,4455,2220,2235,494,441,466,497,378,661,695,535,288,166461,38.54,-118.43,9876,80.3,,,4.75,-2.618056,12.263889,0.0,,-6.833333,45.399466
US_NV_32021,2020-01-05,ChIJp6leETNpvYARV-sPeNL2COs,Q203022,geoId/32021,US,United States of America,NV,Nevada,32021,Mineral County,US,USA,2,,,,,,,4455,2220,2235,494,441,466,497,378,661,695,535,288,166461,38.54,-118.43,9876,80.3,,,1.791667,-5.0625,11.5,0.0,,-8.326389,48.731714
US_NV_32021,2020-01-06,ChIJp6leETNpvYARV-sPeNL2COs,Q203022,geoId/32021,US,United States of America,NV,Nevada,32021,Mineral County,US,USA,2,,,,,,,4455,2220,2235,494,441,466,497,378,661,695,535,288,166461,38.54,-118.43,9876,80.3,,,-0.320988,-7.790123,9.796296,0.0,,-9.864198,50.306427
US_NV_32021,2020-01-07,ChIJp6leETNpvYARV-sPeNL2COs,Q203022,geoId/32021,US,United States of America,NV,Nevada,32021,Mineral County,US,USA,2,,,,,,,4455,2220,2235,494,441,466,497,378,661,695,535,288,166461,38.54,-118.43,9876,80.3,,,-0.166667,-8.32716,11.759259,0.0,,-8.5,54.304501
US_NV_32021,2020-01-08,ChIJp6leETNpvYARV-sPeNL2COs,Q203022,geoId/32021,US,United States of America,NV,Nevada,32021,Mineral County,US,USA,2,,,,,,,4455,2220,2235,494,441,466,497,378,661,695,535,288,166461,38.54,-118.43,9876,80.3,,,2.377778,-5.905556,10.611111,0.0,,-9.227778,43.594989
US_NV_32021,2020-01-09,ChIJp6leETNpvYARV-sPeNL2COs,Q203022,geoId/32021,US,United States of America,NV,Nevada,32021,Mineral County,US,USA,2,,,,,,,4455,2220,2235,494,441,466,497,378,661,695,535,288,166461,38.54,-118.43,9876,80.3,,,0.116667,-4.694444,5.744444,0.108857,,-8.455556,53.458536
US_NV_32021,2020-01-10,ChIJp6leETNpvYARV-sPeNL2COs,Q203022,geoId/32021,US,United States of America,NV,Nevada,32021,Mineral County,US,USA,2,,,,,,,4455,2220,2235,494,441,466,497,378,661,695,535,288,166461,38.54,-118.43,9876,80.3,,,-3.177778,-10.916667,8.922222,0.1016,,-9.855556,60.845048
