location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_grocery_and_pharmacy,mobility_workplaces,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_OK_40067,2020-01-01,ChIJRcUZHkCvUoYRyjGW0KmT4gs,Q485024,geoId/40067,US,United States of America,OK,Oklahoma,40067,Jefferson County,US,USA,2,,,,,,,6164,3091,3073,840,790,663,670,637,853,826,588,297,1822215,34.1,-97.84,2004,75.933333,,,6.0,-0.660494,13.574074,0.0,,-1.469136,59.006077
US_OK_40067,2020-01-02,ChIJRcUZHkCvUoYRyjGW0KmT4gs,Q485024,geoId/40067,US,United States of America,OK,Oklahoma,40067,Jefferson County,US,USA,2,,,,,,,6164,3091,3073,840,790,663,670,637,853,826,588,297,1822215,34.1,-97.84,2004,75.933333,,,11.604938,8.123457,16.425926,0.0,,5.888889,68.207377
US_OK_40067,2020-01-03,ChIJRcUZHkCvUoYRyjGW0KmT4gs,Q485024,geoId/40067,US,United States of America,OK,Oklahoma,40067,Jefferson County,US,USA,2,,,,,,,6164,3091,3073,840,790,663,670,637,853,826,588,297,1822215,34.1,-97.84,2004,75.933333,,,9.253086,5.716049,15.030864,0.0,,3.135802,65.856851
US_OK_40067,2020-01-04,ChIJRcUZHkCvUoYRyjGW0KmT4gs,Q485024,geoId/40067,US,United States of America,OK,Oklahoma,40067,Jefferson County,US,USA,2,,,,,,,6164,3091,3073,840,790,663,670,637,853,826,588,297,1822215,34.1,-97.84,2004,75.933333,,,6.148148,-0.617284,14.030864,0.0,,-1.962963,56.195704
US_OK_40067,2020-01-05,ChIJRcUZHkCvUoYRyjGW0KmT4gs,Q485024,geoId/40067,US,United States of America,OK,Oklahoma,40067,Jefferson County,US,USA,2,,,,,,,6164,3091,3073,840,790,663,670,637,853,826,588,297,1822215,34.1,-97.84,2004,75.933333,,,8.487654,0.802469,17.469136,0.0,,-0.376543,53.825678
US_OK_40067,2020-01-06,ChIJRcUZHkCvUoYRyjGW0KmT4gs,Q485024,geoId/40067,US,United States of America,OK,Oklahoma,40067,Jefferson County,US,USA,2,,,,,,,6164,3091,3073,840,790,663,670,637,853,826,588,297,1822215,34.1,-97.84,2004,75.933333,,,7.432099,-0.351852,16.518519,0.0,,-1.240741,54.256382
US_OK_40067,2020-01-07,ChIJRcUZHkCvUoYRyjGW0KmT4gs,Q485024,geoId/40067,US,United States of America,OK,Oklahoma,40067,Jefferson County,US,USA,2,,,,,,,6164,3091,3073,840,790,663,670,637,853,826,588,297,1822215,34.1,-97.84,2004,75.933333,,,7.117284,-2.012346,17.938272,0.0,,-5.277778,41.183822
US_OK_40067,2020-01-08,ChIJRcUZHkCvUoYRyjGW0KmT4gs,Q485024,geoId/40067,US,United States of America,OK,Oklahoma,40067,Jefferson County,US,USA,2,,,,,,,6164,3091,3073,840,790,663,670,637,853,826,588,297,1822215,34.1,-97.84,2004,75.933333,,,7.950617,-1.62963,18.228395,0.0,,-4.203704,42.314042
US_OK_40067,2020-01-09,ChIJRcUZHkCvUoYRyjGW0KmT4gs,Q485024,geoId/40067,US,United States of America,OK,Oklahoma,40067,Jefferson County,US,USA,2,,,,,,,6164,3091,3073,840,790,663,670,637,853,826,588,297,1822215,34.1,-97.84,2004,75.933333,,,15.240741,11.716049,21.549383,0.0,,8.91358,65.996615
US_OK_40067,2020-01-10,ChIJRcUZHkCvUoYRyjGW0KmT4gs,Q485024,geoId/40067,US,United States of America,OK,Oklahoma,40067,Jefferson County,US,USA,2,,,,,,,6164,3091,3073,840,790,663,670,637,853,826,588,297,1822215,34.1,-97.84,2004,75.933333,,,16.796296,11.611111,22.185185,0.0,,14.654321,87.313271
US_OK_40067,2020-01-11,ChIJRcUZHkCvUoYRyjGW0KmT4gs,Q485024,geoId/40067,US,United States of America,OK,Oklahoma,40067,Jefferson County,US,USA,2,,,,,,,6164,3091,3073,840,790,663,670,637,853,826,588,297,1822215,34.1,-97.84,2004,75.933333,,,1.932099,-2.722222,11.339506,11.387667,,-2.216049,74.530263
US_OK_40067,2020-01-12,ChIJRcUZHkCvUoYRyjGW0KmT4gs,Q485024,geoId/40067,US,United States of America,OK,Oklahoma,40067,Jefferson County,US,USA,2,,,,,,,6164,3091,3073,840,790,663,670,637,853,826,588,297,1822215,34.1,-97.84,2004,75.933333,,,3.555556,-1.580247,15.04321,1.016,,-0.388889,75.720365
US_OK_40067,2020-01-13,ChIJRcUZHkCvUoYRyjGW0KmT4gs,Q485024,geoId/40067,US,United States of America,OK,Oklahoma,40067,Jefferson County,US,USA,2,,,,,,,6164,3091,3073,840,790,663,670,637,853,826,588,297,1822215,34.1,-97.84,2004,75.933333,,,7.111111,1.753086,15.62963,0.0,,5.506173,89.673803
US_OK_40067,2020-01-14,ChIJRcUZHkCvUoYRyjGW0KmT4gs,Q485024,geoId/40067,US,United States of America,OK,Oklahoma,40067,Jefferson County,US,USA,2,,,,,,,6164,3091,3073,840,790,663,670,637,853,826,588,297,1822215,34.1,-97.84,2004,75.933333,,,13.049383,8.493827,20.561728,0.0,,10.530864,84.764182
US_OK_40067,2020-01-15,ChIJRcUZHkCvUoYRyjGW0KmT4gs,Q485024,geoId/40067,US,United States of America,OK,Oklahoma,40067,Jefferson County,US,USA,2,,,,,,,6164,3091,3073,840,790,663,670,637,853,826,588,297,1822215,34.1,-97.84,2004,75.933333,,,13.839506,9.154321,20.04321,0.0,,10.925926,82.750245
