location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_attention_deficit_hyperactivity_disorder,search_trends_back_pain,search_trends_bleeding,search_trends_bone_fracture,search_trends_candidiasis,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_erectile_dysfunction,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_heartburn,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_low_back_pain,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_vomiting,search_trends_weight_gain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_MI_26157,2020-01-11,ChIJ7691BuQPJIgRlXq82U-4uK8,Q82367,geoId/26157,US,United States of America,MI,Michigan,26157,Tuscola County,US,USA,2,,,,,,,52815,26528,26287,5567,6383,5975,5696,6333,8244,7470,4689,2458,572130,43.466667,-83.45,2367,78.215385,,,,,4.99,3.46,5.18,4.8,6.72,6.14,,5.95,3.27,4.03,,15.17,3.46,4.22,,3.65,7.68,,,4.99,5.95,4.42,,5.57,3.65,4.99,22.66,4.8,,8.06,4.8,,3.07,4.42,34.76,,6.14,4.42,,4.8,,,2.633333,-0.877778,7.188889,16.51,30.48,2.02381,92.649872
US_MI_26157,2020-01-12,ChIJ7691BuQPJIgRlXq82U-4uK8,Q82367,geoId/26157,US,United States of America,MI,Michigan,26157,Tuscola County,US,USA,2,,,,,,,52815,26528,26287,5567,6383,5975,5696,6333,8244,7470,4689,2458,572130,43.466667,-83.45,2367,78.215385,,,,,4.24,7.14,,5.98,5.02,3.09,3.09,3.86,4.24,,3.47,12.15,2.89,5.98,4.05,2.89,5.02,2.89,3.47,4.63,,4.05,3.47,5.21,3.28,5.4,16.01,3.47,2.89,4.82,4.05,4.63,4.05,,31.25,,6.56,3.47,3.67,5.98,3.67,2.7,-4.488889,-6.75,-0.522222,9.506857,50.8,-6.896825,81.806708
US_MI_26157,2020-01-13,ChIJ7691BuQPJIgRlXq82U-4uK8,Q82367,geoId/26157,US,United States of America,MI,Michigan,26157,Tuscola County,US,USA,2,,,,,,,52815,26528,26287,5567,6383,5975,5696,6333,8244,7470,4689,2458,572130,43.466667,-83.45,2367,78.215385,,,,,3.62,5.6,3.29,8.07,6.42,3.79,3.13,4.61,2.8,2.8,2.64,13.01,3.46,8.07,4.28,4.78,8.07,5.11,,3.95,3.46,3.46,2.31,3.62,3.62,7.25,18.94,3.79,2.64,5.93,3.13,3.79,3.79,4.45,35.09,3.46,6.09,5.11,4.28,,,3.13,-2.15,-4.561111,0.572222,0.036286,40.64,-3.730159,87.147298
US_MI_26157,2020-01-14,ChIJ7691BuQPJIgRlXq82U-4uK8,Q82367,geoId/26157,US,United States of America,MI,Michigan,26157,Tuscola County,US,USA,2,,,,,,,52815,26528,26287,5567,6383,5975,5696,6333,8244,7470,4689,2458,572130,43.466667,-83.45,2367,78.215385,,,,,2.62,6.39,2.78,9.99,9.5,4.42,2.62,4.75,3.93,2.46,2.62,9.99,2.78,6.06,2.29,5.08,7.04,4.42,2.78,6.06,2.78,4.09,3.11,4.75,,6.71,22.27,4.42,3.28,6.39,3.6,2.95,3.6,4.42,36.85,3.11,6.22,3.93,2.29,4.26,,3.28,0.633333,-1.394444,2.444444,0.0,40.64,-1.603175,84.160628
US_MI_26157,2020-01-15,ChIJ7691BuQPJIgRlXq82U-4uK8,Q82367,geoId/26157,US,United States of America,MI,Michigan,26157,Tuscola County,US,USA,2,,,,,,,52815,26528,26287,5567,6383,5975,5696,6333,8244,7470,4689,2458,572130,43.466667,-83.45,2367,78.215385,,,,,4.05,,2.7,8.27,7.6,5.07,5.23,3.54,3.04,3.54,,11.14,4.05,4.73,4.05,5.4,8.78,5.4,3.21,4.05,,4.05,2.36,5.23,,9.62,20.6,5.74,4.73,5.74,3.04,4.73,4.05,4.56,42.04,4.56,5.57,4.73,5.07,4.05,2.7,,1.55,-0.833333,2.722222,0.0,30.48,-1.833333,77.707722
US_MI_26157,2020-01-16,ChIJ7691BuQPJIgRlXq82U-4uK8,Q82367,geoId/26157,US,United States of America,MI,Michigan,26157,Tuscola County,US,USA,2,,,,,,,52815,26528,26287,5567,6383,5975,5696,6333,8244,7470,4689,2458,572130,43.466667,-83.45,2367,78.215385,,,,,4.45,5.65,,7.36,5.82,4.79,3.77,5.99,3.25,3.77,,11.47,,5.99,,3.59,9.76,5.48,,3.25,3.59,3.25,2.4,3.25,2.57,8.21,23.27,5.99,,7.02,,3.42,4.96,2.57,32.0,2.4,6.16,4.28,4.28,4.96,4.79,2.57,-0.455556,-3.805556,1.755556,0.0,30.48,-4.349206,74.582124
US_MI_26157,2020-01-17,ChIJ7691BuQPJIgRlXq82U-4uK8,Q82367,geoId/26157,US,United States of America,MI,Michigan,26157,Tuscola County,US,USA,2,,,,,,,52815,26528,26287,5567,6383,5975,5696,6333,8244,7470,4689,2458,572130,43.466667,-83.45,2367,78.215385,,,,,4.08,5.86,2.84,6.21,6.75,4.44,3.73,4.79,,3.55,2.66,11.72,2.84,6.21,5.15,5.68,7.46,3.02,2.66,5.15,4.79,4.97,3.91,3.55,,7.99,21.13,2.49,,7.81,,4.44,3.55,4.08,34.44,4.44,6.39,5.5,3.2,4.79,2.66,3.02,-5.616667,-6.905556,-2.872222,0.0,30.48,-11.444444,62.299891
US_MI_26157,2020-01-18,ChIJ7691BuQPJIgRlXq82U-4uK8,Q82367,geoId/26157,US,United States of America,MI,Michigan,26157,Tuscola County,US,USA,2,,,,,,,52815,26528,26287,5567,6383,5975,5696,6333,8244,7470,4689,2458,572130,43.466667,-83.45,2367,78.215385,,,,,4.94,3.7,4.32,8.03,5.97,6.17,,5.76,4.32,,,15.23,4.12,8.23,3.29,5.14,11.11,4.32,,3.91,,,4.12,6.17,,6.17,20.16,5.97,,6.38,3.5,3.5,5.14,8.64,42.8,4.53,7.0,9.67,5.55,5.35,3.5,,-2.333333,-5.688889,2.327778,1.342571,149.86,-4.833333,81.94856
US_MI_26157,2020-01-19,ChIJ7691BuQPJIgRlXq82U-4uK8,Q82367,geoId/26157,US,United States of America,MI,Michigan,26157,Tuscola County,US,USA,2,,,,,,,52815,26528,26287,5567,6383,5975,5696,6333,8244,7470,4689,2458,572130,43.466667,-83.45,2367,78.215385,,,,,4.95,7.72,,10.29,6.92,2.77,,3.96,3.76,2.97,,16.03,6.33,8.11,4.16,6.13,9.89,4.75,,5.34,6.73,4.75,4.95,4.35,4.16,7.72,23.35,6.53,,6.33,2.77,3.17,3.17,5.54,40.76,4.35,6.53,7.72,3.17,4.35,2.77,3.17,-3.705556,-7.677778,1.477778,1.143,114.3,-7.587302,74.681557
US_MI_26157,2020-01-20,ChIJ7691BuQPJIgRlXq82U-4uK8,Q82367,geoId/26157,US,United States of America,MI,Michigan,26157,Tuscola County,US,USA,2,,,,,,,52815,26528,26287,5567,6383,5975,5696,6333,8244,7470,4689,2458,572130,43.466667,-83.45,2367,78.215385,,,,,5.62,7.32,,10.73,7.32,5.28,3.75,4.43,2.38,3.07,3.75,16.01,3.75,7.32,3.24,8.18,10.05,5.62,,3.24,5.62,5.28,3.24,5.62,4.09,6.64,22.82,9.37,4.6,8.52,3.07,3.92,3.41,6.3,36.79,,7.66,6.81,4.6,3.58,5.45,3.41,-8.522222,-13.283333,-3.65,0.15875,129.54,-13.119048,72.792926
US_MI_26157,2020-01-21,ChIJ7691BuQPJIgRlXq82U-4uK8,Q82367,geoId/26157,US,United States of America,MI,Michigan,26157,Tuscola County,US,USA,2,,,,,,,52815,26528,26287,5567,6383,5975,5696,6333,8244,7470,4689,2458,572130,43.466667,-83.45,2367,78.215385,,,,,5.8,6.14,2.56,8.53,8.02,4.09,,4.61,2.73,2.9,2.56,15.18,3.92,5.8,3.07,3.75,8.7,3.75,,5.63,2.39,5.29,,6.82,4.09,9.21,30.87,6.14,5.29,5.97,,5.97,10.57,5.63,42.13,2.9,5.63,5.63,4.61,4.78,,3.75,-5.3,-9.633333,-1.727778,0.0,129.54,-10.460317,68.339652
US_MI_26157,2020-01-22,ChIJ7691BuQPJIgRlXq82U-4uK8,Q82367,geoId/26157,US,United States of America,MI,Michigan,26157,Tuscola County,US,USA,2,,,,,,,52815,26528,26287,5567,6383,5975,5696,6333,8244,7470,4689,2458,572130,43.466667,-83.45,2367,78.215385,,,,,7.67,5.28,2.9,12.1,8.35,3.24,5.8,3.24,3.24,2.9,,17.05,3.07,7.67,3.58,5.28,9.21,3.41,,4.09,3.92,2.39,3.41,8.52,3.07,10.57,24.21,5.28,3.92,7.84,,7.33,12.61,5.11,37.67,4.6,7.67,6.48,5.46,4.09,3.58,3.58,-3.65,-7.011111,0.027778,0.0,129.54,-8.690476,68.564838
US_MI_26157,2020-01-23,ChIJ7691BuQPJIgRlXq82U-4uK8,Q82367,geoId/26157,US,United States of America,MI,Michigan,26157,Tuscola County,US,USA,2,,,,,,,52815,26528,26287,5567,6383,5975,5696,6333,8244,7470,4689,2458,572130,43.466667,-83.45,2367,78.215385,,,,,4.12,7.2,4.97,7.89,8.23,5.66,,5.32,3.94,2.92,3.94,20.24,2.92,6.35,2.74,4.63,11.84,3.43,4.46,2.74,3.94,3.6,2.92,4.63,2.57,7.89,27.62,6.52,4.97,6.52,2.57,3.09,4.46,4.12,36.02,2.4,6.35,7.89,5.49,2.74,3.43,,-0.45,-3.3,2.477778,0.0,129.54,-6.539683,62.92363
US_MI_26157,2020-01-24,ChIJ7691BuQPJIgRlXq82U-4uK8,Q82367,geoId/26157,US,United States of America,MI,Michigan,26157,Tuscola County,US,USA,2,,,,,,,52815,26528,26287,5567,6383,5975,5696,6333,8244,7470,4689,2458,572130,43.466667,-83.45,2367,78.215385,,,,,3.88,5.81,2.47,6.87,5.81,4.93,3.0,3.88,3.52,2.47,,20.08,3.0,8.63,2.47,4.93,7.93,4.05,,5.64,4.23,5.29,3.17,4.05,,5.46,31.18,4.4,2.47,6.17,3.52,3.7,4.4,4.05,34.53,5.64,5.11,5.11,4.05,,2.47,4.4,1.2,-0.25,2.283333,1.415143,104.14,-1.769841,79.975442
US_MI_26157,2020-01-25,ChIJ7691BuQPJIgRlXq82U-4uK8,Q82367,geoId/26157,US,United States of America,MI,Michigan,26157,Tuscola County,US,USA,2,,,,,,,52815,26528,26287,5567,6383,5975,5696,6333,8244,7470,4689,2458,572130,43.466667,-83.45,2367,78.215385,,,,,4.61,6.07,3.56,8.16,6.28,5.03,3.14,6.7,,,3.35,25.54,4.61,10.05,,3.35,9.21,6.7,5.44,4.82,7.12,3.98,4.61,6.28,,5.65,32.03,4.61,,7.12,3.77,3.77,5.65,9.0,44.18,6.07,4.82,7.12,3.35,2.93,4.82,3.98,1.761111,0.677778,2.844444,2.177143,78.74,0.952381,93.110944
US_MI_26157,2020-01-26,ChIJ7691BuQPJIgRlXq82U-4uK8,Q82367,geoId/26157,US,United States of America,MI,Michigan,26157,Tuscola County,US,USA,2,,,,,,,52815,26528,26287,5567,6383,5975,5696,6333,8244,7470,4689,2458,572130,43.466667,-83.45,2367,78.215385,,,,,6.54,4.04,5.19,7.12,4.62,3.08,3.65,4.62,4.23,3.27,2.89,29.43,4.81,8.08,4.81,4.42,6.93,4.62,,4.62,6.73,5.0,3.65,5.0,,8.27,32.7,4.81,3.08,9.23,,3.27,5.58,5.58,38.67,4.62,4.04,5.19,,4.81,3.85,5.0,1.172222,0.505556,2.072222,0.677333,50.8,-0.111111,90.455065
US_MI_26157,2020-01-27,ChIJ7691BuQPJIgRlXq82U-4uK8,Q82367,geoId/26157,US,United States of America,MI,Michigan,26157,Tuscola County,US,USA,2,,,,,,,52815,26528,26287,5567,6383,5975,5696,6333,8244,7470,4689,2458,572130,43.466667,-83.45,2367,78.215385,,,,,4.72,6.41,,5.4,7.42,5.23,3.2,6.58,6.07,2.53,3.88,27.65,,9.11,3.2,6.41,7.59,4.89,3.04,5.23,5.4,3.71,3.2,3.88,3.54,8.09,38.45,6.24,3.88,5.57,5.4,4.38,3.88,4.89,36.59,2.87,4.22,4.05,6.24,3.04,3.88,,0.766667,0.083333,1.855556,0.03175,40.64,-1.809524,81.966872
US_MI_26157,2020-01-28,ChIJ7691BuQPJIgRlXq82U-4uK8,Q82367,geoId/26157,US,United States of America,MI,Michigan,26157,Tuscola County,US,USA,2,,,,,,,52815,26528,26287,5567,6383,5975,5696,6333,8244,7470,4689,2458,572130,43.466667,-83.45,2367,78.215385,,,,,5.3,4.28,3.42,9.41,8.21,4.28,4.62,,3.42,5.82,,26.51,2.91,8.38,,5.99,10.09,6.5,2.91,5.13,5.82,4.79,,3.93,4.45,6.33,35.23,4.62,,7.36,5.64,4.11,4.96,6.33,35.58,3.59,7.18,5.13,5.13,3.76,4.45,,-0.322222,-1.816667,1.277778,0.0,40.64,-3.34127,78.92945
US_MI_26157,2020-01-29,ChIJ7691BuQPJIgRlXq82U-4uK8,Q82367,geoId/26157,US,United States of America,MI,Michigan,26157,Tuscola County,US,USA,2,,,,,,,52815,26528,26287,5567,6383,5975,5696,6333,8244,7470,4689,2458,572130,43.466667,-83.45,2367,78.215385,,,,,5.87,4.53,3.35,9.22,7.21,6.7,4.02,4.53,,4.36,,21.96,3.69,7.71,,6.7,10.06,4.19,,5.53,5.53,5.7,3.52,3.85,3.35,8.55,29.5,7.04,3.52,5.03,2.35,5.03,2.35,5.87,36.7,2.51,6.87,6.7,4.69,3.85,3.69,2.51,-1.45,-2.105556,-0.533333,0.0,40.64,-5.18254,74.600337
US_MI_26157,2020-01-30,ChIJ7691BuQPJIgRlXq82U-4uK8,Q82367,geoId/26157,US,United States of America,MI,Michigan,26157,Tuscola County,US,USA,2,,,,,,,52815,26528,26287,5567,6383,5975,5696,6333,8244,7470,4689,2458,572130,43.466667,-83.45,2367,78.215385,,,,,5.51,5.35,4.84,7.85,10.52,5.51,3.01,7.02,5.01,,,23.55,3.51,8.02,,6.68,9.36,3.34,,5.51,4.68,4.68,2.51,3.84,3.34,7.68,34.08,6.85,2.67,6.51,4.18,4.34,3.17,6.68,30.9,3.84,9.36,5.85,5.01,4.51,,2.51,-1.788889,-2.666667,-0.45,0.0,30.48,-5.007937,77.125846
US_MI_26157,2020-01-31,ChIJ7691BuQPJIgRlXq82U-4uK8,Q82367,geoId/26157,US,United States of America,MI,Michigan,26157,Tuscola County,US,USA,2,,,,,,,52815,26528,26287,5567,6383,5975,5696,6333,8244,7470,4689,2458,572130,43.466667,-83.45,2367,78.215385,,,,,5.17,5.5,3.0,8.34,8.17,4.0,,3.84,3.5,3.17,2.33,26.02,3.5,9.51,3.84,6.0,7.67,7.51,2.67,5.17,3.84,4.5,,3.34,3.34,7.17,36.37,4.17,,6.84,2.84,5.34,3.67,,34.2,4.17,7.17,6.51,3.84,4.34,4.0,3.5,-0.811111,-1.738889,0.2,0.0,30.48,-3.873016,78.941368
US_MI_26157,2020-02-01,ChIJ7691BuQPJIgRlXq82U-4uK8,Q82367,geoId/26157,US,United States of America,MI,Michigan,26157,Tuscola County,US,USA,2,,,,,,,52815,26528,26287,5567,6383,5975,5696,6333,8244,7470,4689,2458,572130,43.466667,-83.45,2367,78.215385,,,,,4.74,6.18,2.89,9.07,7.21,4.74,4.54,4.12,3.71,,,19.17,6.6,10.51,2.89,4.33,6.6,5.36,,5.36,4.74,3.71,4.33,4.33,2.89,5.57,31.95,5.57,,5.77,,4.33,4.33,4.74,38.14,,5.98,3.71,3.71,3.92,4.33,,-0.622222,-2.144444,0.838889,0.0508,30.48,-3.095238,83.279654
US_MI_26157,2020-02-02,ChIJ7691BuQPJIgRlXq82U-4uK8,Q82367,geoId/26157,US,United States of America,MI,Michigan,26157,Tuscola County,US,USA,2,,,,,,,52815,26528,26287,5567,6383,5975,5696,6333,8244,7470,4689,2458,572130,43.466667,-83.45,2367,78.215385,,,,,4.13,5.71,2.76,7.68,7.48,7.48,3.35,4.92,,,,18.11,2.95,4.72,3.74,6.5,9.45,4.53,,5.91,5.51,5.32,4.13,,3.94,6.69,24.21,3.54,3.94,6.5,4.53,4.92,4.13,8.27,37.4,,5.32,3.74,4.33,4.13,4.33,3.54,1.661111,-1.005556,5.472222,0.508,30.48,-1.047619,80.163461
US_MI_26157,2020-02-03,ChIJ7691BuQPJIgRlXq82U-4uK8,Q82367,geoId/26157,US,United States of America,MI,Michigan,26157,Tuscola County,US,USA,2,,,,,,,52815,26528,26287,5567,6383,5975,5696,6333,8244,7470,4689,2458,572130,43.466667,-83.45,2367,78.215385,,,,,3.01,3.34,4.01,6.68,10.2,3.51,4.18,3.68,3.01,2.67,,18.22,2.67,7.52,3.17,6.18,9.53,2.84,4.34,7.19,5.35,4.01,4.18,4.85,2.67,5.35,35.93,4.85,,8.52,,6.02,2.51,5.01,35.1,3.51,7.52,6.52,4.18,5.51,4.85,3.01,2.583333,-1.766667,6.194444,0.0,30.48,-0.944444,76.821087
US_MI_26157,2020-02-04,ChIJ7691BuQPJIgRlXq82U-4uK8,Q82367,geoId/26157,US,United States of America,MI,Michigan,26157,Tuscola County,US,USA,2,,,,,,,52815,26528,26287,5567,6383,5975,5696,6333,8244,7470,4689,2458,572130,43.466667,-83.45,2367,78.215385,,,,,7.55,3.02,5.71,8.39,6.88,3.86,4.03,4.36,4.2,,,22.16,4.36,7.39,3.69,6.21,10.91,5.2,,4.36,4.36,3.52,4.53,5.04,2.52,7.55,29.54,5.71,2.35,5.37,2.35,5.2,4.2,7.89,38.27,3.69,4.7,7.39,6.71,6.21,2.35,,0.666667,-1.05,2.661111,0.0,,-3.365079,73.792093
US_MI_26157,2020-02-05,ChIJ7691BuQPJIgRlXq82U-4uK8,Q82367,geoId/26157,US,United States of America,MI,Michigan,26157,Tuscola County,US,USA,2,,,,,,,52815,26528,26287,5567,6383,5975,5696,6333,8244,7470,4689,2458,572130,43.466667,-83.45,2367,78.215385,,,,,3.87,5.89,4.21,8.25,9.6,4.55,5.56,4.38,4.71,2.36,,21.21,2.86,7.41,,5.72,9.93,4.38,,,5.72,4.04,4.88,3.03,2.69,6.57,27.95,4.38,3.03,4.71,,4.88,2.69,4.38,33.5,6.06,6.23,3.87,3.37,4.04,4.71,3.7,-4.311111,-7.183333,-0.238889,0.0,,-10.079365,62.654207
