location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_parks,mobility_transit_stations,mobility_workplaces,search_trends_infection,search_trends_pain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_FL_12043,2020-01-14,ChIJpUP3Sfs93IgRW_uBhDIjAOg,Q488468,geoId/12043,US,United States of America,FL,Florida,12043,Glades County,US,USA,2,,,,,,,13580,7572,6008,1016,1331,1585,1686,1677,1756,1808,1829,892,1210727,26.95,-81.19,2555,74.55,,,,,,27.41,22.524691,19.0,28.296296,0.03175,19.212963,82.40016
US_FL_12043,2020-01-15,ChIJpUP3Sfs93IgRW_uBhDIjAOg,Q488468,geoId/12043,US,United States of America,FL,Florida,12043,Glades County,US,USA,2,,,,,,,13580,7572,6008,1016,1331,1585,1686,1677,1756,1808,1829,892,1210727,26.95,-81.19,2555,74.55,,,,,19.05,43.3,22.074074,16.864198,28.012346,0.112889,17.694444,76.434252
US_FL_12043,2020-01-16,ChIJpUP3Sfs93IgRW_uBhDIjAOg,Q488468,geoId/12043,US,United States of America,FL,Florida,12043,Glades County,US,USA,2,,,,,,,13580,7572,6008,1016,1331,1585,1686,1677,1756,1808,1829,892,1210727,26.95,-81.19,2555,74.55,,,,,21.22,33.46,21.530864,15.969136,28.154321,0.028222,16.472222,73.861283
US_FL_12043,2020-01-17,ChIJpUP3Sfs93IgRW_uBhDIjAOg,Q488468,geoId/12043,US,United States of America,FL,Florida,12043,Glades County,US,USA,2,,,,,,,13580,7572,6008,1016,1331,1585,1686,1677,1756,1808,1829,892,1210727,26.95,-81.19,2555,74.55,,,,,20.59,,21.759259,17.148148,27.141975,0.028222,16.805556,74.18871
US_FL_12043,2020-01-18,ChIJpUP3Sfs93IgRW_uBhDIjAOg,Q488468,geoId/12043,US,United States of America,FL,Florida,12043,Glades County,US,USA,2,,,,,,,13580,7572,6008,1016,1331,1585,1686,1677,1756,1808,1829,892,1210727,26.95,-81.19,2555,74.55,,,,,22.11,36.08,20.740741,16.290123,26.228395,0.028222,13.685185,64.568739
US_FL_12043,2020-01-19,ChIJpUP3Sfs93IgRW_uBhDIjAOg,Q488468,geoId/12043,US,United States of America,FL,Florida,12043,Glades County,US,USA,2,,,,,,,13580,7572,6008,1016,1331,1585,1686,1677,1756,1808,1829,892,1210727,26.95,-81.19,2555,74.55,,,,,16.66,42.7,20.802469,15.537037,27.246914,0.0,15.574074,72.449461
US_FL_12043,2020-01-20,ChIJpUP3Sfs93IgRW_uBhDIjAOg,Q488468,geoId/12043,US,United States of America,FL,Florida,12043,Glades County,US,USA,2,,,,,,,13580,7572,6008,1016,1331,1585,1686,1677,1756,1808,1829,892,1210727,26.95,-81.19,2555,74.55,,,,,22.08,45.2,18.895062,13.611111,24.598765,0.0,11.231481,61.507946
US_FL_12043,2020-01-21,ChIJpUP3Sfs93IgRW_uBhDIjAOg,Q488468,geoId/12043,US,United States of America,FL,Florida,12043,Glades County,US,USA,2,,,,,,,13580,7572,6008,1016,1331,1585,1686,1677,1756,1808,1829,892,1210727,26.95,-81.19,2555,74.55,,,,,22.92,37.44,11.117284,6.530864,18.049383,0.028222,3.416667,59.419683
US_FL_12043,2020-01-22,ChIJpUP3Sfs93IgRW_uBhDIjAOg,Q488468,geoId/12043,US,United States of America,FL,Florida,12043,Glades County,US,USA,2,,,,,,,13580,7572,6008,1016,1331,1585,1686,1677,1756,1808,1829,892,1210727,26.95,-81.19,2555,74.55,,,,,32.69,35.09,7.729167,1.673611,15.506944,0.0,0.092593,58.550276
US_FL_12043,2020-01-23,ChIJpUP3Sfs93IgRW_uBhDIjAOg,Q488468,geoId/12043,US,United States of America,FL,Florida,12043,Glades County,US,USA,2,,,,,,,13580,7572,6008,1016,1331,1585,1686,1677,1756,1808,1829,892,1210727,26.95,-81.19,2555,74.55,,,,,20.48,29.58,15.486111,11.083333,24.298611,0.0,12.324074,80.79522
US_FL_12043,2020-01-24,ChIJpUP3Sfs93IgRW_uBhDIjAOg,Q488468,geoId/12043,US,United States of America,FL,Florida,12043,Glades County,US,USA,2,,,,,,,13580,7572,6008,1016,1331,1585,1686,1677,1756,1808,1829,892,1210727,26.95,-81.19,2555,74.55,,,,,25.86,28.28,18.979167,13.965278,24.666667,0.0,16.212963,84.441782
US_FL_12043,2020-01-25,ChIJpUP3Sfs93IgRW_uBhDIjAOg,Q488468,geoId/12043,US,United States of America,FL,Florida,12043,Glades County,US,USA,2,,,,,,,13580,7572,6008,1016,1331,1585,1686,1677,1756,1808,1829,892,1210727,26.95,-81.19,2555,74.55,,,,,32.76,41.8,18.805556,15.25,23.652778,0.03175,12.972222,69.285797
US_FL_12043,2020-01-26,ChIJpUP3Sfs93IgRW_uBhDIjAOg,Q488468,geoId/12043,US,United States of America,FL,Florida,12043,Glades County,US,USA,2,,,,,,,13580,7572,6008,1016,1331,1585,1686,1677,1756,1808,1829,892,1210727,26.95,-81.19,2555,74.55,,,,,40.02,25.96,13.506944,6.743056,22.326389,0.0,5.87963,59.300428
US_FL_12043,2020-01-27,ChIJpUP3Sfs93IgRW_uBhDIjAOg,Q488468,geoId/12043,US,United States of America,FL,Florida,12043,Glades County,US,USA,2,,,,,,,13580,7572,6008,1016,1331,1585,1686,1677,1756,1808,1829,892,1210727,26.95,-81.19,2555,74.55,,,,,22.77,33.76,15.875,9.451389,23.090278,0.169333,9.166667,64.45695
US_FL_12043,2020-01-28,ChIJpUP3Sfs93IgRW_uBhDIjAOg,Q488468,geoId/12043,US,United States of America,FL,Florida,12043,Glades County,US,USA,2,,,,,,,13580,7572,6008,1016,1331,1585,1686,1677,1756,1808,1829,892,1210727,26.95,-81.19,2555,74.55,,,,,19.07,37.39,18.104167,13.027778,23.215278,0.09525,12.5,71.053589
US_FL_12043,2020-01-29,ChIJpUP3Sfs93IgRW_uBhDIjAOg,Q488468,geoId/12043,US,United States of America,FL,Florida,12043,Glades County,US,USA,2,,,,,,,13580,7572,6008,1016,1331,1585,1686,1677,1756,1808,1829,892,1210727,26.95,-81.19,2555,74.55,,,,,18.19,26.1,17.208333,11.402778,24.986111,0.0,11.509259,69.60568
US_FL_12043,2020-01-30,ChIJpUP3Sfs93IgRW_uBhDIjAOg,Q488468,geoId/12043,US,United States of America,FL,Florida,12043,Glades County,US,USA,2,,,,,,,13580,7572,6008,1016,1331,1585,1686,1677,1756,1808,1829,892,1210727,26.95,-81.19,2555,74.55,,,,,26.32,28.64,17.541667,13.138889,22.361111,11.980333,14.657407,82.780361
US_FL_12043,2020-01-31,ChIJpUP3Sfs93IgRW_uBhDIjAOg,Q488468,geoId/12043,US,United States of America,FL,Florida,12043,Glades County,US,USA,2,,,,,,,13580,7572,6008,1016,1331,1585,1686,1677,1756,1808,1829,892,1210727,26.95,-81.19,2555,74.55,,,,,32.91,29.7,18.777778,13.826389,25.055556,0.0,14.703704,78.368086
