location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_confirmed_age_6,cumulative_confirmed_age_6,new_deceased_age_6,cumulative_deceased_age_6,new_hospitalized_patients_age_6,cumulative_hospitalized_patients_age_6,age_bin_0,age_bin_1,age_bin_2,age_bin_3,age_bin_4,age_bin_5,age_bin_6,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_workplaces,search_trends_infection,search_trends_pain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_WA_53043,2020-01-01,ChIJ1bH-mg1gnlQRvC95C0AFE2k,Q484150,geoId/53043,US,United States of America,WA,Washington,53043,Lincoln County,US,USA,2,,,,,,,,,,,,,,,,,,,,10585,5369,5216,1171,1345,903,996,1087,1498,1770,1155,660,1153068,47.57,-118.41,6060,81.05,,38.59,37.21,5.222222,0.08642,9.0,8.156222,30.48,1.881944,79.791719
US_WA_53043,2020-01-02,ChIJ1bH-mg1gnlQRvC95C0AFE2k,Q484150,geoId/53043,US,United States of America,WA,Washington,53043,Lincoln County,US,USA,2,,,,,,,,,,,,,,,,,,,,10585,5369,5216,1171,1345,903,996,1087,1498,1770,1155,660,1153068,47.57,-118.41,6060,81.05,,20.52,33.8,3.382716,0.12963,8.864198,0.366889,,-2.236111,66.95905
US_WA_53043,2020-01-03,ChIJ1bH-mg1gnlQRvC95C0AFE2k,Q484150,geoId/53043,US,United States of America,WA,Washington,53043,Lincoln County,US,USA,2,,,,,,,,,,,,,,,,,,,,10585,5369,5216,1171,1345,903,996,1087,1498,1770,1155,660,1153068,47.57,-118.41,6060,81.05,,22.03,36.72,3.617284,-0.012346,9.666667,1.665111,,0.465278,80.11389
US_WA_53043,2020-01-04,ChIJ1bH-mg1gnlQRvC95C0AFE2k,Q484150,geoId/53043,US,United States of America,WA,Washington,53043,Lincoln County,US,USA,2,,,,,,,,,,,,,,,,,,,,10585,5369,5216,1171,1345,903,996,1087,1498,1770,1155,660,1153068,47.57,-118.41,6060,81.05,,24.59,30.06,6.092593,0.882716,9.666667,0.395111,,-2.423611,54.887396
US_WA_53043,2020-01-05,ChIJ1bH-mg1gnlQRvC95C0AFE2k,Q484150,geoId/53043,US,United States of America,WA,Washington,53043,Lincoln County,US,USA,2,,,,,,,,,,,,,,,,,,,,10585,5369,5216,1171,1345,903,996,1087,1498,1770,1155,660,1153068,47.57,-118.41,6060,81.05,,24.1,50.88,1.802469,-1.271605,8.240741,0.0,,-2.722222,71.861563
US_WA_53043,2020-01-06,ChIJ1bH-mg1gnlQRvC95C0AFE2k,Q484150,geoId/53043,US,United States of America,WA,Washington,53043,Lincoln County,US,USA,2,,,,,,,,,,,,,,,,,,,,10585,5369,5216,1171,1345,903,996,1087,1498,1770,1155,660,1153068,47.57,-118.41,6060,81.05,,29.01,41.78,1.802469,-1.333333,6.876543,0.705556,30.48,-1.215278,80.782292
US_WA_53043,2020-01-07,ChIJ1bH-mg1gnlQRvC95C0AFE2k,Q484150,geoId/53043,US,United States of America,WA,Washington,53043,Lincoln County,US,USA,2,,,,,,,,,,,,,,,,,,,,10585,5369,5216,1171,1345,903,996,1087,1498,1770,1155,660,1153068,47.57,-118.41,6060,81.05,,26.24,34.23,6.018519,0.567901,7.67284,4.741333,,2.479167,79.183461
US_WA_53043,2020-01-08,ChIJ1bH-mg1gnlQRvC95C0AFE2k,Q484150,geoId/53043,US,United States of America,WA,Washington,53043,Lincoln County,US,USA,2,,,,,,,,,,,,,,,,,,,,10585,5369,5216,1171,1345,903,996,1087,1498,1770,1155,660,1153068,47.57,-118.41,6060,81.05,,39.97,22.2,4.382716,1.648148,7.975309,2.286,,-0.305556,71.835394
US_WA_53043,2020-01-09,ChIJ1bH-mg1gnlQRvC95C0AFE2k,Q484150,geoId/53043,US,United States of America,WA,Washington,53043,Lincoln County,US,USA,2,,,,,,,,,,,,,,,,,,,,10585,5369,5216,1171,1345,903,996,1087,1498,1770,1155,660,1153068,47.57,-118.41,6060,81.05,,45.47,34.7,-0.648148,-6.234568,5.123457,0.225778,,-5.819444,67.802293
US_WA_53043,2020-01-10,ChIJ1bH-mg1gnlQRvC95C0AFE2k,Q484150,geoId/53043,US,United States of America,WA,Washington,53043,Lincoln County,US,USA,2,,,,,,,,,,,,,,,,,,,,10585,5369,5216,1171,1345,903,996,1087,1498,1770,1155,660,1153068,47.57,-118.41,6060,81.05,,47.56,28.54,-3.808642,-7.45679,1.58642,0.141111,114.3,-5.875,83.438022
US_WA_53043,2020-01-11,ChIJ1bH-mg1gnlQRvC95C0AFE2k,Q484150,geoId/53043,US,United States of America,WA,Washington,53043,Lincoln County,US,USA,2,,,,,,,,,,,,,,,,,,,,10585,5369,5216,1171,1345,903,996,1087,1498,1770,1155,660,1153068,47.57,-118.41,6060,81.05,,,34.84,0.469136,-4.697531,2.469136,9.793111,64.77,-0.958333,90.721607
US_WA_53043,2020-01-12,ChIJ1bH-mg1gnlQRvC95C0AFE2k,Q484150,geoId/53043,US,United States of America,WA,Washington,53043,Lincoln County,US,USA,2,,,,,,,,,,,,,,,,,,,,10585,5369,5216,1171,1345,903,996,1087,1498,1770,1155,660,1153068,47.57,-118.41,6060,81.05,,,50.28,0.802469,-1.666667,3.08642,2.822222,104.14,-1.770833,83.178899
US_WA_53043,2020-01-13,ChIJ1bH-mg1gnlQRvC95C0AFE2k,Q484150,geoId/53043,US,United States of America,WA,Washington,53043,Lincoln County,US,USA,2,,,,,,,,,,,,,,,,,,,,10585,5369,5216,1171,1345,903,996,1087,1498,1770,1155,660,1153068,47.57,-118.41,6060,81.05,,34.92,36.12,-4.314815,-9.771605,3.049383,4.064,114.3,-9.118056,71.149178
US_WA_53043,2020-01-14,ChIJ1bH-mg1gnlQRvC95C0AFE2k,Q484150,geoId/53043,US,United States of America,WA,Washington,53043,Lincoln County,US,USA,2,,,,,,,,,,,,,,,,,,,,10585,5369,5216,1171,1345,903,996,1087,1498,1770,1155,660,1153068,47.57,-118.41,6060,81.05,,43.45,45.87,-9.216049,-11.407407,-3.839506,0.846667,165.1,-13.347222,74.323617
