location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_MO_29009,2020-01-01,ChIJt5rxOQTMyIcRKgwSQ5c_2jA,Q485235,geoId/29009,US,United States of America,MO,Missouri,29009,Barry County,US,USA,2,,,,,,,35631,17921,17710,4415,4532,3983,3763,4020,5071,4919,3293,1635,1180438,36.71,-93.83,2048,76.771429,,,,,,8.05,11.4,7.71,6.37,7.04,14.09,12.41,6.04,10.73,,7.38,10.06,,7.04,7.71,23.82,7.71,4.7,,,11.07,42.27,6.37,10.4,6.71,,,5.027778,-0.577778,12.872222,0.0762,,-6.116667,44.725084
US_MO_29009,2020-01-02,ChIJt5rxOQTMyIcRKgwSQ5c_2jA,Q485235,geoId/29009,US,United States of America,MO,Missouri,29009,Barry County,US,USA,2,,,,,,,35631,17921,17710,4415,4532,3983,3763,4020,5071,4919,3293,1635,1180438,36.71,-93.83,2048,76.771429,,,,,7.04,5.81,5.81,5.81,,6.43,14.38,7.34,,9.79,4.9,5.81,5.51,5.51,4.9,7.96,25.09,4.59,7.34,4.28,5.2,,42.53,5.81,7.04,4.59,,,8.688889,5.166667,12.888889,0.0,,4.15,73.221074
US_MO_29009,2020-01-03,ChIJt5rxOQTMyIcRKgwSQ5c_2jA,Q485235,geoId/29009,US,United States of America,MO,Missouri,29009,Barry County,US,USA,2,,,,,,,35631,17921,17710,4415,4532,3983,3763,4020,5071,4919,3293,1635,1180438,36.71,-93.83,2048,76.771429,,,,,6.67,10.3,10.6,8.18,6.67,4.85,16.06,9.7,,8.79,8.48,5.76,4.24,,7.58,8.79,27.87,6.97,6.06,,6.36,4.85,43.63,,7.27,,,6.36,7.105556,3.383333,10.355556,0.0,,5.35,88.720438
US_MO_29009,2020-01-04,ChIJt5rxOQTMyIcRKgwSQ5c_2jA,Q485235,geoId/29009,US,United States of America,MO,Missouri,29009,Barry County,US,USA,2,,,,,,,35631,17921,17710,4415,4532,3983,3763,4020,5071,4919,3293,1635,1180438,36.71,-93.83,2048,76.771429,,,,,4.72,8.43,10.11,7.41,5.05,8.43,16.85,10.11,,6.74,5.05,,,4.72,7.08,8.76,28.65,7.08,7.41,,6.4,4.72,43.47,,6.4,,,,2.938889,-1.455556,7.3,0.0,,-5.572222,53.783216
US_MO_29009,2020-01-05,ChIJt5rxOQTMyIcRKgwSQ5c_2jA,Q485235,geoId/29009,US,United States of America,MO,Missouri,29009,Barry County,US,USA,2,,,,,,,35631,17921,17710,4415,4532,3983,3763,4020,5071,4919,3293,1635,1180438,36.71,-93.83,2048,76.771429,,,,,7.95,10.37,9.34,8.99,5.19,7.26,15.91,10.37,,12.1,,4.84,5.19,6.92,,9.68,24.55,,7.26,,,6.57,42.19,,8.64,5.53,6.92,,5.694444,-0.811111,13.633333,0.0,,-5.288889,45.223811
US_MO_29009,2020-01-06,ChIJt5rxOQTMyIcRKgwSQ5c_2jA,Q485235,geoId/29009,US,United States of America,MO,Missouri,29009,Barry County,US,USA,2,,,,,,,35631,17921,17710,4415,4532,3983,3763,4020,5071,4919,3293,1635,1180438,36.71,-93.83,2048,76.771429,,,,,,6.0,8.62,8.09,,7.31,12.27,7.31,5.22,8.35,4.44,5.48,6.79,,3.65,8.35,23.76,,6.0,,,7.57,34.98,4.96,5.74,5.48,,,4.566667,-2.15,11.988889,0.0,,-3.811111,54.625502
US_MO_29009,2020-01-07,ChIJt5rxOQTMyIcRKgwSQ5c_2jA,Q485235,geoId/29009,US,United States of America,MO,Missouri,29009,Barry County,US,USA,2,,,,,,,35631,17921,17710,4415,4532,3983,3763,4020,5071,4919,3293,1635,1180438,36.71,-93.83,2048,76.771429,,,,,6.46,7.54,13.73,7.8,5.65,6.46,14.8,9.15,6.46,11.3,4.31,5.11,5.65,4.04,,12.11,28.53,7.8,4.58,4.58,5.92,9.69,34.72,,5.92,5.38,,5.92,5.011111,-0.883333,11.622222,0.0,,-4.905556,48.896
US_MO_29009,2020-01-08,ChIJt5rxOQTMyIcRKgwSQ5c_2jA,Q485235,geoId/29009,US,United States of America,MO,Missouri,29009,Barry County,US,USA,2,,,,,,,35631,17921,17710,4415,4532,3983,3763,4020,5071,4919,3293,1635,1180438,36.71,-93.83,2048,76.771429,,,,,6.19,5.65,10.23,9.15,6.73,6.19,12.65,6.73,4.04,11.57,4.04,3.77,4.58,,4.04,7.54,30.96,4.84,4.84,,5.38,9.42,38.23,,11.84,4.31,6.73,5.12,8.311111,2.277778,16.761111,0.0,,-6.427778,34.775513
US_MO_29009,2020-01-09,ChIJt5rxOQTMyIcRKgwSQ5c_2jA,Q485235,geoId/29009,US,United States of America,MO,Missouri,29009,Barry County,US,USA,2,,,,,,,35631,17921,17710,4415,4532,3983,3763,4020,5071,4919,3293,1635,1180438,36.71,-93.83,2048,76.771429,,,,,5.29,6.35,11.9,7.94,,5.03,15.61,8.99,,14.55,,4.5,5.82,7.14,5.03,8.47,30.16,7.14,3.7,6.61,,5.03,31.75,7.41,7.14,,6.88,4.5,12.027778,10.283333,14.005556,0.0,,3.977778,58.062466
US_MO_29009,2020-01-10,ChIJt5rxOQTMyIcRKgwSQ5c_2jA,Q485235,geoId/29009,US,United States of America,MO,Missouri,29009,Barry County,US,USA,2,,,,,,,35631,17921,17710,4415,4532,3983,3763,4020,5071,4919,3293,1635,1180438,36.71,-93.83,2048,76.771429,,,,,3.79,5.31,7.59,8.09,5.31,5.82,13.15,9.61,5.56,5.82,3.79,,5.56,6.58,4.05,9.1,33.38,3.54,7.33,,4.55,3.79,40.46,7.84,7.59,7.59,4.05,3.79,14.811111,11.288889,17.983333,7.535333,,14.094444,95.558791
