location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_transit_stations,mobility_workplaces,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_diabetes,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_TX_48149,2020-01-01,ChIJY1VBTcyAQ4YRl4D1vOLKCXM,Q110755,geoId/48149,US,United States of America,TX,Texas,48149,Fayette County,US,USA,2,,,,,,,25119,12319,12800,2651,2955,2464,2548,2594,3633,3910,2680,1684,1837665,29.86,-96.93,2486,79.157143,,,,,7.16,14.31,,,,22.81,11.18,13.42,24.6,,8.05,38.46,6.71,,11.672222,8.611111,14.344444,0.0,,1.516667,49.99117
US_TX_48149,2020-01-02,ChIJY1VBTcyAQ4YRl4D1vOLKCXM,Q110755,geoId/48149,US,United States of America,TX,Texas,48149,Fayette County,US,USA,2,,,,,,,25119,12319,12800,2651,2955,2464,2548,2594,3633,3910,2680,1684,1837665,29.86,-96.93,2486,79.157143,,,,,9.75,11.87,9.75,7.21,11.02,10.18,6.78,8.9,25.86,7.63,10.6,44.52,6.36,,12.772222,10.655556,15.644444,0.635,,10.6,86.724299
US_TX_48149,2020-01-03,ChIJY1VBTcyAQ4YRl4D1vOLKCXM,Q110755,geoId/48149,US,United States of America,TX,Texas,48149,Fayette County,US,USA,2,,,,,,,25119,12319,12800,2651,2955,2464,2548,2594,3633,3910,2680,1684,1837665,29.86,-96.93,2486,79.157143,,,,,7.25,14.49,8.61,,7.25,18.12,8.61,11.78,23.1,9.51,11.78,48.46,10.42,,12.005556,6.744444,18.016667,1.8542,,8.505556,79.475901
US_TX_48149,2020-01-04,ChIJY1VBTcyAQ4YRl4D1vOLKCXM,Q110755,geoId/48149,US,United States of America,TX,Texas,48149,Fayette County,US,USA,2,,,,,,,25119,12319,12800,2651,2955,2464,2548,2594,3633,3910,2680,1684,1837665,29.86,-96.93,2486,79.157143,,,,,,18.21,,,,18.21,,10.27,26.15,7.0,,50.44,,13.08,11.8,2.438889,21.866667,0.0762,,0.872222,47.353064
US_TX_48149,2020-01-05,ChIJY1VBTcyAQ4YRl4D1vOLKCXM,Q110755,geoId/48149,US,United States of America,TX,Texas,48149,Fayette County,US,USA,2,,,,,,,25119,12319,12800,2651,2955,2464,2548,2594,3633,3910,2680,1684,1837665,29.86,-96.93,2486,79.157143,,,,,8.12,15.35,6.77,,,15.8,,9.03,20.76,9.93,9.03,40.17,,,13.555556,5.344444,23.75,0.0,,1.961111,45.61907
US_TX_48149,2020-01-06,ChIJY1VBTcyAQ4YRl4D1vOLKCXM,Q110755,geoId/48149,US,United States of America,TX,Texas,48149,Fayette County,US,USA,2,,,,,,,25119,12319,12800,2651,2955,2464,2548,2594,3633,3910,2680,1684,1837665,29.86,-96.93,2486,79.157143,,,,,9.47,18.08,,,,7.75,10.76,10.33,21.95,6.46,,39.17,7.32,,14.361111,4.972222,23.805556,0.0,,7.011111,61.51333
US_TX_48149,2020-01-07,ChIJY1VBTcyAQ4YRl4D1vOLKCXM,Q110755,geoId/48149,US,United States of America,TX,Texas,48149,Fayette County,US,USA,2,,,,,,,25119,12319,12800,2651,2955,2464,2548,2594,3633,3910,2680,1684,1837665,29.86,-96.93,2486,79.157143,,,,,10.96,15.42,7.71,6.49,7.3,12.58,7.71,6.9,23.54,,7.71,43.02,7.71,7.71,13.433333,4.072222,20.311111,0.0,,-0.072222,39.909009
US_TX_48149,2020-01-08,ChIJY1VBTcyAQ4YRl4D1vOLKCXM,Q110755,geoId/48149,US,United States of America,TX,Texas,48149,Fayette County,US,USA,2,,,,,,,25119,12319,12800,2651,2955,2464,2548,2594,3633,3910,2680,1684,1837665,29.86,-96.93,2486,79.157143,,,,,6.25,18.35,7.81,,,19.92,8.59,8.2,33.97,8.59,6.25,34.36,12.5,,9.238889,-0.488889,21.433333,0.0,,-0.35,51.715618
US_TX_48149,2020-01-09,ChIJY1VBTcyAQ4YRl4D1vOLKCXM,Q110755,geoId/48149,US,United States of America,TX,Texas,48149,Fayette County,US,USA,2,,,,,,,25119,12319,12800,2651,2955,2464,2548,2594,3633,3910,2680,1684,1837665,29.86,-96.93,2486,79.157143,,,,,,12.87,5.51,,8.09,8.82,6.25,9.56,27.2,5.88,6.98,39.7,9.56,6.98,18.866667,15.638889,24.783333,0.0,,14.888889,77.825904
US_TX_48149,2020-01-10,ChIJY1VBTcyAQ4YRl4D1vOLKCXM,Q110755,geoId/48149,US,United States of America,TX,Texas,48149,Fayette County,US,USA,2,,,,,,,25119,12319,12800,2651,2955,2464,2548,2594,3633,3910,2680,1684,1837665,29.86,-96.93,2486,79.157143,,,,,5.56,13.54,7.29,5.21,5.21,15.28,8.34,6.6,20.84,,6.25,34.73,6.95,,21.916667,20.283333,24.272222,0.3556,,18.6,81.629979
