location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_bleeding,search_trends_bone_fracture,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_heartburn,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_low_back_pain,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_weight_gain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_TN_47051,2020-01-01,ChIJnz9aHfEmYYgRvXNLR288q1U,Q494998,geoId/47051,US,United States of America,TN,Tennessee,47051,Franklin County,US,USA,2,,,,,,,41623,20302,21321,4288,5609,5590,4346,4932,5711,5599,3652,1896,1848175,35.15,-86.1,1491,75.25,,,,,4.2,8.89,7.9,9.87,8.64,5.43,5.92,6.17,,25.67,6.17,13.33,4.69,,8.39,6.91,7.16,3.46,5.43,5.43,9.13,4.69,9.13,31.6,8.64,5.18,9.38,,,,4.69,41.22,6.42,7.65,6.42,5.18,6.91,3.95,3.672222,-2.594444,11.633333,0.0,,-3.270833,59.437894
US_TN_47051,2020-01-02,ChIJnz9aHfEmYYgRvXNLR288q1U,Q494998,geoId/47051,US,United States of America,TN,Tennessee,47051,Franklin County,US,USA,2,,,,,,,41623,20302,21321,4288,5609,5590,4346,4932,5711,5599,3652,1896,1848175,35.15,-86.1,1491,75.25,,,,,5.21,14.44,3.55,13.97,9.47,4.26,9.23,5.68,5.45,26.05,,14.92,4.5,3.79,8.52,8.05,4.5,7.1,6.63,,7.58,,6.87,30.31,8.76,4.74,6.63,,,6.63,4.26,41.67,3.31,7.34,7.81,,6.87,4.03,7.977778,4.988889,11.016667,0.036286,,3.25,71.188361
US_TN_47051,2020-01-03,ChIJnz9aHfEmYYgRvXNLR288q1U,Q494998,geoId/47051,US,United States of America,TN,Tennessee,47051,Franklin County,US,USA,2,,,,,,,41623,20302,21321,4288,5609,5590,4346,4932,5711,5599,3652,1896,1848175,35.15,-86.1,1491,75.25,,,,,5.18,12.95,7.54,13.19,11.3,6.83,5.42,6.59,4.95,21.43,,15.31,4.0,4.47,12.25,7.3,6.12,4.47,4.71,4.95,3.3,3.77,12.95,28.97,6.36,7.07,8.24,,4.0,4.71,8.01,38.62,3.53,6.12,8.48,7.54,8.48,4.0,12.027778,9.911111,14.694444,36.285714,,11.763889,97.564787
US_TN_47051,2020-01-04,ChIJnz9aHfEmYYgRvXNLR288q1U,Q494998,geoId/47051,US,United States of America,TN,Tennessee,47051,Franklin County,US,USA,2,,,,,,,41623,20302,21321,4288,5609,5590,4346,4932,5711,5599,3652,1896,1848175,35.15,-86.1,1491,75.25,,,,,5.18,13.07,7.15,10.6,10.6,6.9,4.68,3.7,4.68,26.39,6.66,12.08,3.7,6.17,8.38,5.67,4.19,8.14,4.19,4.44,7.15,,9.12,29.1,7.15,4.44,6.17,,4.93,5.18,5.67,39.7,3.94,5.67,5.67,4.93,6.17,4.19,10.283333,3.4,13.988889,6.858,,7.409722,82.953203
US_TN_47051,2020-01-05,ChIJnz9aHfEmYYgRvXNLR288q1U,Q494998,geoId/47051,US,United States of America,TN,Tennessee,47051,Franklin County,US,USA,2,,,,,,,41623,20302,21321,4288,5609,5590,4346,4932,5711,5599,3652,1896,1848175,35.15,-86.1,1491,75.25,,,,,6.55,9.57,5.29,13.1,7.56,10.08,8.31,,,23.18,,10.33,4.53,4.53,9.07,7.56,5.79,6.55,6.8,6.8,8.31,6.55,8.06,26.95,7.05,5.54,9.07,4.53,5.29,5.54,6.05,50.63,4.53,8.06,4.79,,8.82,,3.25,-2.488889,11.661111,0.4064,,-1.958333,68.295413
US_TN_47051,2020-01-06,ChIJnz9aHfEmYYgRvXNLR288q1U,Q494998,geoId/47051,US,United States of America,TN,Tennessee,47051,Franklin County,US,USA,2,,,,,,,41623,20302,21321,4288,5609,5590,4346,4932,5711,5599,3652,1896,1848175,35.15,-86.1,1491,75.25,,,,,5.97,10.27,3.58,11.7,12.9,3.82,6.69,4.78,,21.97,,12.42,4.3,4.3,13.14,4.54,5.73,6.93,5.49,5.25,7.17,4.78,9.79,30.33,9.31,3.58,7.64,3.82,5.01,6.21,7.4,47.53,,6.69,6.21,8.36,6.45,6.45,5.444444,-1.066667,14.861111,0.0,,0.958333,71.669925
US_TN_47051,2020-01-07,ChIJnz9aHfEmYYgRvXNLR288q1U,Q494998,geoId/47051,US,United States of America,TN,Tennessee,47051,Franklin County,US,USA,2,,,,,,,41623,20302,21321,4288,5609,5590,4346,4932,5711,5599,3652,1896,1848175,35.15,-86.1,1491,75.25,,,,,7.37,12.06,3.58,10.28,9.38,5.81,6.48,5.81,8.71,18.32,4.92,10.05,5.58,3.35,8.94,9.61,5.81,5.14,3.13,5.81,5.14,,10.95,29.49,7.82,4.47,6.48,3.58,5.58,4.47,6.48,50.72,4.47,9.38,4.69,5.58,5.36,7.15,9.4,4.561111,12.494444,0.399143,,2.444444,62.181257
US_TN_47051,2020-01-08,ChIJnz9aHfEmYYgRvXNLR288q1U,Q494998,geoId/47051,US,United States of America,TN,Tennessee,47051,Franklin County,US,USA,2,,,,,,,41623,20302,21321,4288,5609,5590,4346,4932,5711,5599,3652,1896,1848175,35.15,-86.1,1491,75.25,,,,,6.16,9.9,,10.35,9.24,3.52,8.58,5.28,3.3,18.49,5.5,10.35,3.74,6.82,14.75,6.82,5.5,5.06,5.06,4.18,6.16,5.5,11.45,32.8,6.38,4.84,6.38,3.74,5.06,3.3,5.28,51.73,5.06,10.12,7.48,7.26,8.14,4.62,4.8,-2.7,14.988889,0.381,,-2.638889,57.722381
US_TN_47051,2020-01-09,ChIJnz9aHfEmYYgRvXNLR288q1U,Q494998,geoId/47051,US,United States of America,TN,Tennessee,47051,Franklin County,US,USA,2,,,,,,,41623,20302,21321,4288,5609,5590,4346,4932,5711,5599,3652,1896,1848175,35.15,-86.1,1491,75.25,,,,,6.34,10.27,,17.27,7.43,5.46,4.59,4.59,,14.64,,6.78,3.28,6.12,11.59,4.81,8.31,7.21,,6.56,3.5,,10.05,36.72,8.52,3.93,9.84,,6.78,,6.12,41.31,4.15,13.12,7.43,5.03,6.34,3.93,6.116667,-1.25,16.0,0.0,,-1.666667,57.055898
US_TN_47051,2020-01-10,ChIJnz9aHfEmYYgRvXNLR288q1U,Q494998,geoId/47051,US,United States of America,TN,Tennessee,47051,Franklin County,US,USA,2,,,,,,,41623,20302,21321,4288,5609,5590,4346,4932,5711,5599,3652,1896,1848175,35.15,-86.1,1491,75.25,,,,,4.71,6.28,3.59,10.54,10.09,8.97,3.81,5.16,,13.91,5.61,10.77,3.14,6.28,10.54,7.63,6.5,4.26,6.73,5.83,4.93,6.28,9.87,30.28,6.06,4.93,6.5,,,6.06,7.18,45.53,4.93,6.95,4.26,4.71,6.28,4.04,14.927778,12.872222,17.455556,0.0,,8.159722,63.253741
