location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_common_cold,search_trends_diabetes,search_trends_hypertension,search_trends_infection,search_trends_itch,search_trends_pain,search_trends_skin_rash,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_VA_51163,2020-01-01,ChIJC1uZb7pKs4kRh3jqy6I19Sc,Q513805,geoId/51163,US,United States of America,VA,Virginia,51163,Rockbridge County,US,USA,2,,,,,,,22668,11225,11443,2144,2451,2395,2225,2499,3412,3590,2494,1458,2532634,37.81,-79.45,1557,80.225,,,,,10.74,8.26,,17.35,8.67,,17.35,7.02,34.7,6.2,4.55,0.755556,9.138889,0.0,,-3.185185,59.026345
US_VA_51163,2020-01-02,ChIJC1uZb7pKs4kRh3jqy6I19Sc,Q513805,geoId/51163,US,United States of America,VA,Virginia,51163,Rockbridge County,US,USA,2,,,,,,,22668,11225,11443,2144,2451,2395,2225,2499,3412,3590,2494,1458,2532634,37.81,-79.45,1557,80.225,,,,,9.38,9.79,6.52,12.23,6.12,7.34,26.91,,39.96,7.34,4.083333,-2.005556,12.205556,0.0,,-3.098765,61.606
US_VA_51163,2020-01-03,ChIJC1uZb7pKs4kRh3jqy6I19Sc,Q513805,geoId/51163,US,United States of America,VA,Virginia,51163,Rockbridge County,US,USA,2,,,,,,,22668,11225,11443,2144,2451,2395,2225,2499,3412,3590,2494,1458,2532634,37.81,-79.45,1557,80.225,,,,,6.7,13.41,6.7,11.44,9.07,11.44,24.45,8.68,39.43,7.49,9.061111,3.144444,12.383333,4.374444,,7.296296,88.409832
US_VA_51163,2020-01-04,ChIJC1uZb7pKs4kRh3jqy6I19Sc,Q513805,geoId/51163,US,United States of America,VA,Virginia,51163,Rockbridge County,US,USA,2,,,,,,,22668,11225,11443,2144,2451,2395,2225,2499,3412,3590,2494,1458,2532634,37.81,-79.45,1557,80.225,,,,,6.07,10.52,8.9,14.57,7.28,,21.85,8.09,36.82,,11.138889,5.461111,14.722222,3.132667,,9.388889,90.038367
US_VA_51163,2020-01-05,ChIJC1uZb7pKs4kRh3jqy6I19Sc,Q513805,geoId/51163,US,United States of America,VA,Virginia,51163,Rockbridge County,US,USA,2,,,,,,,22668,11225,11443,2144,2451,2395,2225,2499,3412,3590,2494,1458,2532634,37.81,-79.45,1557,80.225,,,,,6.81,7.21,,15.21,8.41,,23.22,8.01,37.63,7.21,2.888889,-0.333333,10.311111,4.233333,,-3.604938,65.446387
US_VA_51163,2020-01-06,ChIJC1uZb7pKs4kRh3jqy6I19Sc,Q513805,geoId/51163,US,United States of America,VA,Virginia,51163,Rockbridge County,US,USA,2,,,,,,,22668,11225,11443,2144,2451,2395,2225,2499,3412,3590,2494,1458,2532634,37.81,-79.45,1557,80.225,,,,,8.44,9.65,8.85,7.64,6.43,8.85,23.32,,28.55,,4.472222,-1.194444,9.727778,0.0254,,-4.209877,55.574065
US_VA_51163,2020-01-07,ChIJC1uZb7pKs4kRh3jqy6I19Sc,Q513805,geoId/51163,US,United States of America,VA,Virginia,51163,Rockbridge County,US,USA,2,,,,,,,22668,11225,11443,2144,2451,2395,2225,2499,3412,3590,2494,1458,2532634,37.81,-79.45,1557,80.225,,,,,,7.86,,12.36,8.61,6.37,21.72,6.74,35.58,,-0.294444,-4.05,7.755556,1.778,50.8,-4.901235,73.53524
US_VA_51163,2020-01-08,ChIJC1uZb7pKs4kRh3jqy6I19Sc,Q513805,geoId/51163,US,United States of America,VA,Virginia,51163,Rockbridge County,US,USA,2,,,,,,,22668,11225,11443,2144,2451,2395,2225,2499,3412,3590,2494,1458,2532634,37.81,-79.45,1557,80.225,,,,,14.49,8.22,,10.18,10.57,9.01,26.63,9.01,28.59,7.83,2.405556,-3.9,6.983333,5.08,,-5.91358,55.816161
US_VA_51163,2020-01-09,ChIJC1uZb7pKs4kRh3jqy6I19Sc,Q513805,geoId/51163,US,United States of America,VA,Virginia,51163,Rockbridge County,US,USA,2,,,,,,,22668,11225,11443,2144,2451,2395,2225,2499,3412,3590,2494,1458,2532634,37.81,-79.45,1557,80.225,,,,,6.34,10.3,7.52,14.26,9.9,7.92,27.32,7.13,41.58,10.69,0.011111,-5.811111,7.972222,0.1016,99.06,-9.481481,49.628839
US_VA_51163,2020-01-10,ChIJC1uZb7pKs4kRh3jqy6I19Sc,Q513805,geoId/51163,US,United States of America,VA,Virginia,51163,Rockbridge County,US,USA,2,,,,,,,22668,11225,11443,2144,2451,2395,2225,2499,3412,3590,2494,1458,2532634,37.81,-79.45,1557,80.225,,,,,8.96,9.35,8.57,10.13,10.13,10.13,30.78,,34.29,7.01,5.2,-2.283333,12.772222,0.0,78.74,-0.401235,67.798291
