location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_workplaces,mobility_residential,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_common_cold,search_trends_diabetes,search_trends_hypertension,search_trends_infection,search_trends_itch,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_NM_35027,2020-01-01,ChIJvawgY4TD4YYRAG9ckXRT-Co,Q487243,geoId/35027,US,United States of America,NM,New Mexico,35027,Lincoln County,US,USA,2,,,,,,,19468,9503,9965,1896,2053,1739,1866,1859,2817,3567,2517,1154,1832199,33.74,-105.46,12513,81.675,,,,,,8.66,10.75,7.46,20.3,4.78,4.78,21.5,7.17,34.93,5.08,,0.777778,-6.816667,11.255556,0.0,,-8.864198,47.946535
US_NM_35027,2020-01-02,ChIJvawgY4TD4YYRAG9ckXRT-Co,Q487243,geoId/35027,US,United States of America,NM,New Mexico,35027,Lincoln County,US,USA,2,,,,,,,19468,9503,9965,1896,2053,1739,1866,1859,2817,3567,2517,1154,1832199,33.74,-105.46,12513,81.675,,,,,,7.59,9.8,6.64,20.24,8.54,4.43,19.29,6.64,34.16,6.33,4.74,3.25,-1.377778,8.633333,0.181429,,-4.506173,57.451546
US_NM_35027,2020-01-03,ChIJvawgY4TD4YYRAG9ckXRT-Co,Q487243,geoId/35027,US,United States of America,NM,New Mexico,35027,Lincoln County,US,USA,2,,,,,,,19468,9503,9965,1896,2053,1739,1866,1859,2817,3567,2517,1154,1832199,33.74,-105.46,12513,81.675,,,,,,9.37,13.9,7.11,20.04,10.02,5.82,25.21,6.46,39.11,,7.11,0.411111,-5.522222,8.416667,0.9652,,-4.796296,68.353345
US_NM_35027,2020-01-04,ChIJvawgY4TD4YYRAG9ckXRT-Co,Q487243,geoId/35027,US,United States of America,NM,New Mexico,35027,Lincoln County,US,USA,2,,,,,,,19468,9503,9965,1896,2053,1739,1866,1859,2817,3567,2517,1154,1832199,33.74,-105.46,12513,81.675,,,,,,4.69,11.38,5.36,22.09,,,21.76,7.37,36.15,7.37,7.7,2.577778,-5.016667,12.827778,0.0254,,-6.524691,51.236632
US_NM_35027,2020-01-05,ChIJvawgY4TD4YYRAG9ckXRT-Co,Q487243,geoId/35027,US,United States of America,NM,New Mexico,35027,Lincoln County,US,USA,2,,,,,,,19468,9503,9965,1896,2053,1739,1866,1859,2817,3567,2517,1154,1832199,33.74,-105.46,12513,81.675,,,,,,7.18,6.05,5.67,15.12,6.8,,21.54,5.67,26.83,5.29,6.05,4.516667,-3.733333,15.633333,0.0,,-6.049383,46.196071
US_NM_35027,2020-01-06,ChIJvawgY4TD4YYRAG9ckXRT-Co,Q487243,geoId/35027,US,United States of America,NM,New Mexico,35027,Lincoln County,US,USA,2,,,,,,,19468,9503,9965,1896,2053,1739,1866,1859,2817,3567,2517,1154,1832199,33.74,-105.46,12513,81.675,,,,,,9.96,8.71,,14.52,7.47,6.64,20.75,,35.69,7.47,,5.283333,-1.494444,12.372222,0.0,,-9.660494,34.777085
US_NM_35027,2020-01-07,ChIJvawgY4TD4YYRAG9ckXRT-Co,Q487243,geoId/35027,US,United States of America,NM,New Mexico,35027,Lincoln County,US,USA,2,,,,,,,19468,9503,9965,1896,2053,1739,1866,1859,2817,3567,2517,1154,1832199,33.74,-105.46,12513,81.675,,,,,,7.22,8.92,7.22,13.59,6.79,6.37,27.6,,35.24,6.37,6.79,1.838889,-6.738889,12.833333,0.0,,-12.833333,32.923845
US_NM_35027,2020-01-08,ChIJvawgY4TD4YYRAG9ckXRT-Co,Q487243,geoId/35027,US,United States of America,NM,New Mexico,35027,Lincoln County,US,USA,2,,,,,,,19468,9503,9965,1896,2053,1739,1866,1859,2817,3567,2517,1154,1832199,33.74,-105.46,12513,81.675,,,,,,6.16,8.62,,11.91,10.68,6.98,31.2,6.57,34.08,17.66,,1.577778,-6.866667,14.794444,0.0,,-11.876543,36.406526
US_NM_35027,2020-01-09,ChIJvawgY4TD4YYRAG9ckXRT-Co,Q487243,geoId/35027,US,United States of America,NM,New Mexico,35027,Lincoln County,US,USA,2,,,,,,,19468,9503,9965,1896,2053,1739,1866,1859,2817,3567,2517,1154,1832199,33.74,-105.46,12513,81.675,,,,,,6.89,11.34,,16.61,10.53,,25.11,,33.62,12.15,,6.166667,-2.594444,14.211111,0.0,,-9.623457,30.958917
US_NM_35027,2020-01-10,ChIJvawgY4TD4YYRAG9ckXRT-Co,Q487243,geoId/35027,US,United States of America,NM,New Mexico,35027,Lincoln County,US,USA,2,,,,,,,19468,9503,9965,1896,2053,1739,1866,1859,2817,3567,2517,1154,1832199,33.74,-105.46,12513,81.675,,,,,,,8.39,7.63,15.64,12.97,,17.16,5.34,35.48,5.72,,5.088889,-0.1,10.833333,0.181429,,-5.37037,47.50752
US_NM_35027,2020-01-11,ChIJvawgY4TD4YYRAG9ckXRT-Co,Q487243,geoId/35027,US,United States of America,NM,New Mexico,35027,Lincoln County,US,USA,2,,,,,,,19468,9503,9965,1896,2053,1739,1866,1859,2817,3567,2517,1154,1832199,33.74,-105.46,12513,81.675,,,,,,10.25,7.79,6.97,14.35,,7.79,24.6,,40.59,9.84,,0.027778,-7.994444,9.488889,0.6604,,-8.753086,51.460016
