location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,cumulative_confirmed,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,openstreetmap_id,latitude,longitude,elevation_m,area_sq_km,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_PR_72033,2020-01-01,ChIJvdXdgFdpA4wRU-L7j-N4jmc,Q768483,geoId/72033,US,United States of America,PR,Puerto Rico,72033,Cataño Municipio,US,USA,2,,,,,23155,4467850,18.441389,-66.118333,19,18,,,,,,26.5,23.660494,29.141975,0.22225,23.597222,83.670152
US_PR_72033,2020-01-02,ChIJvdXdgFdpA4wRU-L7j-N4jmc,Q768483,geoId/72033,US,United States of America,PR,Puerto Rico,72033,Cataño Municipio,US,USA,2,,,,,23155,4467850,18.441389,-66.118333,19,18,,,,,,26.475309,24.518519,28.790123,0.028222,22.847222,80.56337
US_PR_72033,2020-01-03,ChIJvdXdgFdpA4wRU-L7j-N4jmc,Q768483,geoId/72033,US,United States of America,PR,Puerto Rico,72033,Cataño Municipio,US,USA,2,,,,,23155,4467850,18.441389,-66.118333,19,18,,,,,,25.765432,23.722222,28.302469,1.058333,22.888889,85.016628
US_PR_72033,2020-01-04,ChIJvdXdgFdpA4wRU-L7j-N4jmc,Q768483,geoId/72033,US,United States of America,PR,Puerto Rico,72033,Cataño Municipio,US,USA,2,,,,,23155,4467850,18.441389,-66.118333,19,18,,,,,,26.055556,23.438272,28.592593,2.19075,20.361111,70.056074
US_PR_72033,2020-01-05,ChIJvdXdgFdpA4wRU-L7j-N4jmc,Q768483,geoId/72033,US,United States of America,PR,Puerto Rico,72033,Cataño Municipio,US,USA,2,,,,,23155,4467850,18.441389,-66.118333,19,18,,,,,,25.141975,22.401235,28.154321,0.042333,21.319444,80.075484
US_PR_72033,2020-01-06,ChIJvdXdgFdpA4wRU-L7j-N4jmc,Q768483,geoId/72033,US,United States of America,PR,Puerto Rico,72033,Cataño Municipio,US,USA,2,,,,,23155,4467850,18.441389,-66.118333,19,18,,,,,,25.080247,22.993827,27.728395,1.439333,22.305556,86.167376
US_PR_72033,2020-01-07,ChIJvdXdgFdpA4wRU-L7j-N4jmc,Q768483,geoId/72033,US,United States of America,PR,Puerto Rico,72033,Cataño Municipio,US,USA,2,,,,,23155,4467850,18.441389,-66.118333,19,18,,,,,,26.123457,23.111111,28.740741,0.282222,21.277778,74.193983
US_PR_72033,2020-01-08,ChIJvdXdgFdpA4wRU-L7j-N4jmc,Q768483,geoId/72033,US,United States of America,PR,Puerto Rico,72033,Cataño Municipio,US,USA,2,,,,,23155,4467850,18.441389,-66.118333,19,18,,,,,,26.283951,23.901235,28.888889,0.09525,22.125,78.811858
US_PR_72033,2020-01-09,ChIJvdXdgFdpA4wRU-L7j-N4jmc,Q768483,geoId/72033,US,United States of America,PR,Puerto Rico,72033,Cataño Municipio,US,USA,2,,,,,23155,4467850,18.441389,-66.118333,19,18,,,,,,26.561728,24.018519,29.191358,0.653143,22.0,75.158407
US_PR_72033,2020-01-10,ChIJvdXdgFdpA4wRU-L7j-N4jmc,Q768483,geoId/72033,US,United States of America,PR,Puerto Rico,72033,Cataño Municipio,US,USA,2,,,,,23155,4467850,18.441389,-66.118333,19,18,,,,,,26.716049,23.814815,29.12963,2.104571,21.347222,72.830959
