location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_bleeding,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_heartburn,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_weight_gain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_OK_40021,2020-01-01,ChIJDcj5xp_9yYcRwL7KFQv4F5c,Q491633,geoId/40021,US,United States of America,OK,Oklahoma,40021,Cherokee County,US,USA,2,,,,,,,48891,23997,24894,6041,6871,8493,5787,5134,5815,5452,3517,1781,1822197,35.91,-95.0,2011,74.766667,,,,,,6.0,11.21,6.0,14.87,8.61,9.13,7.3,5.74,23.47,4.43,13.3,6.0,,8.87,5.74,6.52,6.26,6.52,,7.04,3.65,6.52,37.56,4.17,,9.65,,3.65,5.48,44.34,3.65,9.39,6.26,3.65,4.17,,3.855556,-1.922222,12.044444,0.0,,-5.638889,51.051011
US_OK_40021,2020-01-02,ChIJDcj5xp_9yYcRwL7KFQv4F5c,Q491633,geoId/40021,US,United States of America,OK,Oklahoma,40021,Cherokee County,US,USA,2,,,,,,,48891,23997,24894,6041,6871,8493,5787,5134,5815,5452,3517,1781,1822197,35.91,-95.0,2011,74.766667,,,,,,4.74,12.57,4.27,13.76,7.59,9.49,4.98,4.27,22.53,4.51,14.23,5.22,5.69,10.91,6.64,6.64,7.35,3.32,6.17,4.98,,10.44,37.95,9.72,4.51,7.59,,4.27,7.12,41.74,,7.35,5.93,7.59,,4.51,9.527778,6.727778,13.344444,0.0,,4.627778,71.710256
US_OK_40021,2020-01-03,ChIJDcj5xp_9yYcRwL7KFQv4F5c,Q491633,geoId/40021,US,United States of America,OK,Oklahoma,40021,Cherokee County,US,USA,2,,,,,,,48891,23997,24894,6041,6871,8493,5787,5134,5815,5452,3517,1781,1822197,35.91,-95.0,2011,74.766667,,,,,,7.28,11.04,4.93,9.87,9.4,7.05,7.05,3.29,20.21,4.7,9.87,4.46,3.76,11.75,3.29,3.76,7.52,4.93,4.0,4.93,4.46,9.63,34.54,7.52,,7.99,4.0,4.7,7.99,43.94,,7.05,7.28,5.64,7.28,3.29,7.761111,4.155556,10.855556,0.0,,4.872222,82.2022
US_OK_40021,2020-01-04,ChIJDcj5xp_9yYcRwL7KFQv4F5c,Q491633,geoId/40021,US,United States of America,OK,Oklahoma,40021,Cherokee County,US,USA,2,,,,,,,48891,23997,24894,6041,6871,8493,5787,5134,5815,5452,3517,1781,1822197,35.91,-95.0,2011,74.766667,,,,,,4.04,12.11,,11.84,7.53,4.3,7.26,5.92,18.03,4.3,15.61,,5.38,8.61,6.73,5.38,6.46,4.84,5.38,4.04,,5.65,30.4,4.84,5.38,12.91,5.11,4.57,6.46,40.9,,6.19,6.46,4.04,4.84,,3.833333,-0.544444,8.805556,0.0,,-6.205556,48.52024
US_OK_40021,2020-01-05,ChIJDcj5xp_9yYcRwL7KFQv4F5c,Q491633,geoId/40021,US,United States of America,OK,Oklahoma,40021,Cherokee County,US,USA,2,,,,,,,48891,23997,24894,6041,6871,8493,5787,5134,5815,5452,3517,1781,1822197,35.91,-95.0,2011,74.766667,,,,,,8.46,11.37,4.23,14.81,6.35,3.7,6.35,5.03,24.07,,15.07,3.7,5.29,11.37,4.23,,5.82,3.7,,5.29,,7.67,28.03,6.88,,10.05,7.67,5.03,7.14,36.76,6.35,5.55,4.76,8.73,4.23,,5.655556,-0.75,14.95,0.0,,-5.0,46.78962
US_OK_40021,2020-01-06,ChIJDcj5xp_9yYcRwL7KFQv4F5c,Q491633,geoId/40021,US,United States of America,OK,Oklahoma,40021,Cherokee County,US,USA,2,,,,,,,48891,23997,24894,6041,6871,8493,5787,5134,5815,5452,3517,1781,1822197,35.91,-95.0,2011,74.766667,,,,,,4.9,7.13,3.56,11.58,12.47,5.12,6.9,5.57,20.26,4.68,12.25,,3.56,11.58,6.01,6.68,4.45,4.23,4.01,4.23,,12.03,32.51,7.57,3.56,8.46,4.23,5.12,8.24,40.97,5.79,8.69,6.68,8.46,5.34,3.79,4.75,-1.827778,13.65,0.0,,-3.3,56.774346
US_OK_40021,2020-01-07,ChIJDcj5xp_9yYcRwL7KFQv4F5c,Q491633,geoId/40021,US,United States of America,OK,Oklahoma,40021,Cherokee County,US,USA,2,,,,,,,48891,23997,24894,6041,6871,8493,5787,5134,5815,5452,3517,1781,1822197,35.91,-95.0,2011,74.766667,,,,,,4.73,8.64,,13.37,7.41,5.96,6.38,5.35,16.87,2.88,13.58,4.73,4.11,9.05,6.58,6.99,4.94,3.08,4.11,6.58,,8.85,28.59,5.55,4.94,9.05,5.35,6.99,4.32,40.73,6.58,7.61,4.53,6.17,5.14,,5.077778,-2.355556,13.588889,0.0,,-5.161111,48.333
US_OK_40021,2020-01-08,ChIJDcj5xp_9yYcRwL7KFQv4F5c,Q491633,geoId/40021,US,United States of America,OK,Oklahoma,40021,Cherokee County,US,USA,2,,,,,,,48891,23997,24894,6041,6871,8493,5787,5134,5815,5452,3517,1781,1822197,35.91,-95.0,2011,74.766667,,,,,,5.31,6.33,3.68,12.26,6.33,6.74,6.95,4.29,15.53,3.88,9.6,,4.9,9.6,5.11,7.76,3.88,3.68,3.47,5.72,,8.99,35.95,5.92,3.06,6.74,4.09,5.72,6.33,41.88,4.9,13.89,5.92,5.52,5.11,,7.144444,0.577778,16.722222,0.0,,-6.172222,39.402561
US_OK_40021,2020-01-09,ChIJDcj5xp_9yYcRwL7KFQv4F5c,Q491633,geoId/40021,US,United States of America,OK,Oklahoma,40021,Cherokee County,US,USA,2,,,,,,,48891,23997,24894,6041,6871,8493,5787,5134,5815,5452,3517,1781,1822197,35.91,-95.0,2011,74.766667,,,,,,5.23,7.04,3.62,12.48,9.06,5.03,5.43,6.24,15.9,4.03,8.65,3.02,3.02,11.67,6.04,6.44,4.43,5.84,3.42,,3.22,10.87,36.03,4.83,3.82,10.87,6.24,2.82,7.45,41.26,4.83,17.51,4.23,4.63,5.23,,12.85,10.872222,15.0,0.0,,4.338889,56.797898
US_OK_40021,2020-01-10,ChIJDcj5xp_9yYcRwL7KFQv4F5c,Q491633,geoId/40021,US,United States of America,OK,Oklahoma,40021,Cherokee County,US,USA,2,,,,,,,48891,23997,24894,6041,6871,8493,5787,5134,5815,5452,3517,1781,1822197,35.91,-95.0,2011,74.766667,,,,,,3.14,4.43,,7.57,8.49,3.51,5.54,5.35,12.92,4.43,7.75,,3.14,7.2,4.43,3.51,4.25,4.06,2.58,2.77,3.88,3.88,29.16,7.38,2.95,5.17,4.61,4.8,4.43,34.14,3.32,5.54,7.01,2.77,3.32,,15.433333,12.327778,18.672222,7.5692,,14.238889,92.670996
