location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,elevation_m,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,search_trends_abdominal_pain,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_VA_51610,2020-01-01,ChIJrWNGem5LtokRWZc9l4hmU24,Q408744,geoId/51610,US,United States of America,VA,Virginia,51610,Falls Church,US,USA,2,,,,,,,14245,6994,7251,1889,1937,1681,1790,2185,2026,1568,775,394,206642,38.882222,-77.171111,99,5,83.8,,,,,16.45,13.71,8.68,,,19.19,11.88,,,6.85,,,,,23.76,,,,8.68,33.81,,7.31,,,6.038889,1.727778,10.594444,0.0,,-3.876543,49.928079
US_VA_51610,2020-01-02,ChIJrWNGem5LtokRWZc9l4hmU24,Q408744,geoId/51610,US,United States of America,VA,Virginia,51610,Falls Church,US,USA,2,,,,,,,14245,6994,7251,1889,1937,1681,1790,2185,2026,1568,775,394,206642,38.882222,-77.171111,99,5,83.8,,,,,10.15,14.8,13.96,,,10.99,8.04,,7.19,,,,7.19,,21.14,7.19,10.15,,,33.41,,,9.3,,2.227778,-3.8,11.055556,0.0,,-3.111111,69.349172
US_VA_51610,2020-01-03,ChIJrWNGem5LtokRWZc9l4hmU24,Q408744,geoId/51610,US,United States of America,VA,Virginia,51610,Falls Church,US,USA,2,,,,,,,14245,6994,7251,1889,1937,1681,1790,2185,2026,1568,775,394,206642,38.882222,-77.171111,99,5,83.8,,,,,8.88,12.11,10.09,6.46,6.05,16.15,8.07,6.86,8.48,,,,7.67,8.48,28.66,7.67,6.05,8.48,,39.56,,,,,9.227778,5.933333,11.327778,2.5654,,5.549383,78.13452
US_VA_51610,2020-01-04,ChIJrWNGem5LtokRWZc9l4hmU24,Q408744,geoId/51610,US,United States of America,VA,Virginia,51610,Falls Church,US,USA,2,,,,,,,14245,6994,7251,1889,1937,1681,1790,2185,2026,1568,775,394,206642,38.882222,-77.171111,99,5,83.8,,,,,10.45,8.71,,,9.58,13.49,12.19,6.96,6.53,,,6.53,,,19.15,6.53,,,6.53,41.79,,,,,10.955556,7.994444,13.961111,1.9812,,10.117284,95.000419
US_VA_51610,2020-01-05,ChIJrWNGem5LtokRWZc9l4hmU24,Q408744,geoId/51610,US,United States of America,VA,Virginia,51610,Falls Church,US,USA,2,,,,,,,14245,6994,7251,1889,1937,1681,1790,2185,2026,1568,775,394,206642,38.882222,-77.171111,99,5,83.8,,,,,13.84,7.97,9.65,,,18.88,,,7.55,,,,,5.87,15.52,,7.13,,,31.04,,,,,5.033333,0.738889,12.094444,4.699,,-2.253086,60.18475
US_VA_51610,2020-01-06,ChIJrWNGem5LtokRWZc9l4hmU24,Q408744,geoId/51610,US,United States of America,VA,Virginia,51610,Falls Church,US,USA,2,,,,,,,14245,6994,7251,1889,1937,1681,1790,2185,2026,1568,775,394,206642,38.882222,-77.171111,99,5,83.8,,,,5.16,5.53,14.38,11.06,7.01,12.54,24.7,7.01,9.96,7.38,,,,,7.01,22.49,9.22,6.64,,9.96,39.45,6.64,9.22,6.64,,4.111111,-1.255556,11.788889,0.0,,-3.5,58.878579
US_VA_51610,2020-01-07,ChIJrWNGem5LtokRWZc9l4hmU24,Q408744,geoId/51610,US,United States of America,VA,Virginia,51610,Falls Church,US,USA,2,,,,,,,14245,6994,7251,1889,1937,1681,1790,2185,2026,1568,775,394,206642,38.882222,-77.171111,99,5,83.8,,,,,6.43,9.29,,5.0,6.43,16.8,10.37,7.15,7.86,,5.72,,,,20.02,10.37,,5.0,6.79,35.74,,7.15,,,1.211111,-2.483333,9.05,3.1242,30.48,-4.37037,68.710125
US_VA_51610,2020-01-08,ChIJrWNGem5LtokRWZc9l4hmU24,Q408744,geoId/51610,US,United States of America,VA,Virginia,51610,Falls Church,US,USA,2,,,,,,,14245,6994,7251,1889,1937,1681,1790,2185,2026,1568,775,394,206642,38.882222,-77.171111,99,5,83.8,,,,,9.68,9.31,14.52,,,11.17,7.45,7.08,10.05,5.21,,5.21,6.33,,29.42,8.19,,8.94,7.08,35.75,,8.19,,,1.133333,-3.4,6.788889,1.778,30.48,-3.901235,70.65288
US_VA_51610,2020-01-09,ChIJrWNGem5LtokRWZc9l4hmU24,Q408744,geoId/51610,US,United States of America,VA,Virginia,51610,Falls Church,US,USA,2,,,,,,,14245,6994,7251,1889,1937,1681,1790,2185,2026,1568,775,394,206642,38.882222,-77.171111,99,5,83.8,,,,,13.82,13.05,10.75,5.76,6.14,16.13,9.21,14.59,11.13,6.53,5.76,,5.38,12.67,33.02,8.45,8.83,6.14,9.6,44.92,6.14,9.21,6.53,,-0.344444,-4.783333,5.627778,0.0,50.8,-8.839506,53.784798
US_VA_51610,2020-01-10,ChIJrWNGem5LtokRWZc9l4hmU24,Q408744,geoId/51610,US,United States of America,VA,Virginia,51610,Falls Church,US,USA,2,,,,,,,14245,6994,7251,1889,1937,1681,1790,2185,2026,1568,775,394,206642,38.882222,-77.171111,99,5,83.8,,,,,10.5,7.5,7.88,7.5,,15.38,,,11.63,,6.0,9.38,,5.25,20.26,,6.38,,,42.39,,7.5,7.5,,4.505556,-3.027778,11.833333,0.0,,-0.697531,69.43867
