location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_transit_stations,mobility_workplaces,search_trends_infection,search_trends_pain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_VT_50013,2020-01-11,ChIJfdTojH49ykwRaYqG7q6icfs,Q1124720,geoId/50013,US,United States of America,VT,Vermont,50013,Grand Isle County,US,USA,2,,,,,,,6975,3510,3465,673,736,697,746,825,1227,1247,618,206,62000,44.816036,-73.299889,504,79.7,,,,35.49,5.530864,-0.135802,10.938272,7.0485,44.45,3.888889,89.359102
US_VT_50013,2020-01-12,ChIJfdTojH49ykwRaYqG7q6icfs,Q1124720,geoId/50013,US,United States of America,VT,Vermont,50013,Grand Isle County,US,USA,2,,,,,,,6975,3510,3465,673,736,697,746,825,1227,1247,618,206,62000,44.816036,-73.299889,504,79.7,,,,31.91,-1.993827,-6.845679,7.481481,32.48025,74.93,-3.339506,90.523889
US_VT_50013,2020-01-13,ChIJfdTojH49ykwRaYqG7q6icfs,Q1124720,geoId/50013,US,United States of America,VT,Vermont,50013,Grand Isle County,US,USA,2,,,,,,,6975,3510,3465,673,736,697,746,825,1227,1247,618,206,62000,44.816036,-73.299889,504,79.7,,,,45.88,-7.12963,-8.771605,-0.141975,1.27,110.49,-9.141975,85.606585
US_VT_50013,2020-01-14,ChIJfdTojH49ykwRaYqG7q6icfs,Q1124720,geoId/50013,US,United States of America,VT,Vermont,50013,Grand Isle County,US,USA,2,,,,,,,6975,3510,3465,673,736,697,746,825,1227,1247,618,206,62000,44.816036,-73.299889,504,79.7,,,35.5,52.41,-5.462963,-7.746914,-3.444444,0.381,83.82,-7.154321,87.936083
US_VT_50013,2020-01-15,ChIJfdTojH49ykwRaYqG7q6icfs,Q1124720,geoId/50013,US,United States of America,VT,Vermont,50013,Grand Isle County,US,USA,2,,,,,,,6975,3510,3465,673,736,697,746,825,1227,1247,618,206,62000,44.816036,-73.299889,504,79.7,,,,42.05,-1.895062,-6.006173,1.148148,1.7145,78.105,-3.308642,90.104492
US_VT_50013,2020-01-16,ChIJfdTojH49ykwRaYqG7q6icfs,Q1124720,geoId/50013,US,United States of America,VT,Vermont,50013,Grand Isle County,US,USA,2,,,,,,,6975,3510,3465,673,736,697,746,825,1227,1247,618,206,62000,44.816036,-73.299889,504,79.7,,,29.97,43.3,-1.45679,-6.104938,1.166667,3.556,108.204,-3.012346,89.208915
US_VT_50013,2020-01-17,ChIJfdTojH49ykwRaYqG7q6icfs,Q1124720,geoId/50013,US,United States of America,VT,Vermont,50013,Grand Isle County,US,USA,2,,,,,,,6975,3510,3465,673,736,697,746,825,1227,1247,618,206,62000,44.816036,-73.299889,504,79.7,,,31.64,42.71,-14.808642,-19.641975,-2.635802,1.467556,157.48,-19.901235,65.361448
US_VT_50013,2020-01-18,ChIJfdTojH49ykwRaYqG7q6icfs,Q1124720,geoId/50013,US,United States of America,VT,Vermont,50013,Grand Isle County,US,USA,2,,,,,,,6975,3510,3465,673,736,697,746,825,1227,1247,618,206,62000,44.816036,-73.299889,504,79.7,,,,,-16.648148,-21.111111,-11.734568,0.0,145.288,-20.191358,74.08474
US_VT_50013,2020-01-19,ChIJfdTojH49ykwRaYqG7q6icfs,Q1124720,geoId/50013,US,United States of America,VT,Vermont,50013,Grand Isle County,US,USA,2,,,,,,,6975,3510,3465,673,736,697,746,825,1227,1247,618,206,62000,44.816036,-73.299889,504,79.7,,,29.36,49.92,-9.518519,-13.067901,-6.080247,8.636,297.688,-11.808642,83.44899
US_VT_50013,2020-01-20,ChIJfdTojH49ykwRaYqG7q6icfs,Q1124720,geoId/50013,US,United States of America,VT,Vermont,50013,Grand Isle County,US,USA,2,,,,,,,6975,3510,3465,673,736,697,746,825,1227,1247,618,206,62000,44.816036,-73.299889,504,79.7,,,,49.48,-13.148148,-18.919753,-6.006173,0.5715,297.688,-17.62963,69.219231
