location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_cough,search_trends_diabetes,search_trends_fatigue,search_trends_fever,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_obesity,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_KS_20059,2020-01-01,ChIJq2K_WtPOuIcRT5XqhcGD1_g,Q374989,geoId/20059,US,United States of America,KS,Kansas,20059,Franklin County,US,USA,2,,,,,,,25631,12755,12876,3312,3696,3042,3036,2956,3747,3054,1828,960,1070416,38.5833,-95.2833,1494,77.14,,,,,,,6.13,8.29,6.85,6.49,,14.79,10.1,8.29,,,7.93,21.64,,5.77,9.38,35.71,5.05,,3.131944,-3.916667,14.013889,0.0,,-3.631944,61.26602
US_KS_20059,2020-01-02,ChIJq2K_WtPOuIcRT5XqhcGD1_g,Q374989,geoId/20059,US,United States of America,KS,Kansas,20059,Franklin County,US,USA,2,,,,,,,25631,12755,12876,3312,3696,3042,3036,2956,3747,3054,1828,960,1070416,38.5833,-95.2833,1494,77.14,,,,,,,,14.51,6.91,6.91,8.29,19.0,7.95,7.6,5.87,10.36,7.6,27.98,6.22,6.91,5.53,36.62,8.29,9.33,6.611111,1.368056,11.854167,0.0,,2.076389,73.004232
US_KS_20059,2020-01-03,ChIJq2K_WtPOuIcRT5XqhcGD1_g,Q374989,geoId/20059,US,United States of America,KS,Kansas,20059,Franklin County,US,USA,2,,,,,,,25631,12755,12876,3312,3696,3042,3036,2956,3747,3054,1828,960,1070416,38.5833,-95.2833,1494,77.14,,,,,,,5.4,9.11,11.48,7.43,4.73,22.28,9.45,9.79,5.4,,5.74,25.32,7.09,7.09,5.4,35.44,9.45,,4.791667,-1.756944,10.277778,0.0,,0.201389,72.241393
US_KS_20059,2020-01-04,ChIJq2K_WtPOuIcRT5XqhcGD1_g,Q374989,geoId/20059,US,United States of America,KS,Kansas,20059,Franklin County,US,USA,2,,,,,,,25631,12755,12876,3312,3696,3042,3036,2956,3747,3054,1828,960,1070416,38.5833,-95.2833,1494,77.14,,,,,,,7.35,7.7,4.9,,,18.55,11.55,11.55,,5.95,,24.84,5.95,5.25,,39.54,5.95,6.65,1.569444,-4.298611,7.631944,0.0,,-7.361111,51.596833
US_KS_20059,2020-01-05,ChIJq2K_WtPOuIcRT5XqhcGD1_g,Q374989,geoId/20059,US,United States of America,KS,Kansas,20059,Franklin County,US,USA,2,,,,,,,25631,12755,12876,3312,3696,3042,3036,2956,3747,3054,1828,960,1070416,38.5833,-95.2833,1494,77.14,,,,,,5.63,8.79,9.5,5.28,5.28,7.04,22.87,10.55,5.98,5.28,,6.33,24.63,7.74,6.68,,40.11,5.98,6.33,5.354167,-0.479167,12.534722,0.0,,-4.965278,47.426438
US_KS_20059,2020-01-06,ChIJq2K_WtPOuIcRT5XqhcGD1_g,Q374989,geoId/20059,US,United States of America,KS,Kansas,20059,Franklin County,US,USA,2,,,,,,,25631,12755,12876,3312,3696,3042,3036,2956,3747,3054,1828,960,1070416,38.5833,-95.2833,1494,77.14,,,,,,,10.28,9.04,7.17,7.48,5.92,17.76,7.79,8.41,,,7.48,27.42,4.36,7.79,,42.37,,,0.9375,-5.138889,8.645833,0.0,,-5.0625,64.286727
US_KS_20059,2020-01-07,ChIJq2K_WtPOuIcRT5XqhcGD1_g,Q374989,geoId/20059,US,United States of America,KS,Kansas,20059,Franklin County,US,USA,2,,,,,,,25631,12755,12876,3312,3696,3042,3036,2956,3747,3054,1828,960,1070416,38.5833,-95.2833,1494,77.14,,,,,,,6.57,8.36,10.45,5.67,5.67,17.61,11.94,6.27,5.08,4.18,4.48,22.69,4.18,,,34.93,7.17,5.37,3.256944,-2.965278,12.472222,0.0,,-4.694444,56.139837
US_KS_20059,2020-01-08,ChIJq2K_WtPOuIcRT5XqhcGD1_g,Q374989,geoId/20059,US,United States of America,KS,Kansas,20059,Franklin County,US,USA,2,,,,,,,25631,12755,12876,3312,3696,3042,3036,2956,3747,3054,1828,960,1070416,38.5833,-95.2833,1494,77.14,,,,,,,5.77,10.93,7.28,7.59,4.55,18.21,11.53,4.86,6.68,6.68,,25.8,5.46,6.37,10.02,35.81,11.84,6.68,3.819444,-3.076389,13.548611,0.0,,-4.625,54.147668
US_KS_20059,2020-01-09,ChIJq2K_WtPOuIcRT5XqhcGD1_g,Q374989,geoId/20059,US,United States of America,KS,Kansas,20059,Franklin County,US,USA,2,,,,,,,25631,12755,12876,3312,3696,3042,3036,2956,3747,3054,1828,960,1070416,38.5833,-95.2833,1494,77.14,,,,,,,8.59,9.18,7.41,5.92,5.63,16.29,8.89,5.63,,4.74,5.33,26.07,,7.11,5.92,33.18,10.37,5.63,12.666667,8.055556,17.868056,0.0,,2.020833,48.407829
US_KS_20059,2020-01-10,ChIJq2K_WtPOuIcRT5XqhcGD1_g,Q374989,geoId/20059,US,United States of America,KS,Kansas,20059,Franklin County,US,USA,2,,,,,,,25631,12755,12876,3312,3696,3042,3036,2956,3747,3054,1828,960,1070416,38.5833,-95.2833,1494,77.14,,,,,,,8.8,5.57,5.86,6.45,,13.49,6.74,7.33,5.28,,4.98,23.45,5.57,5.57,,36.94,6.16,7.04,4.979167,-0.291667,12.006944,0.544286,,1.090278,76.154163
