location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_bleeding,search_trends_common_cold,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_OH_39161,2020-01-01,ChIJ_atMe_xpPogRyVldhZE1Dyw,Q485628,geoId/39161,US,United States of America,OH,Ohio,39161,Van Wert County,US,USA,2,,,,,,,28283,13933,14350,3527,3695,3326,3294,3254,3941,3608,2224,1414,911295,40.86,-84.59,1063,77.111111,,,,,7.61,10.15,10.78,4.76,5.07,5.07,4.76,17.75,11.41,,7.29,,,5.07,6.66,7.61,,24.73,,7.61,,,8.24,45.34,,6.66,4.44,6.34,4.44,0.266667,-2.25,5.038889,0.3302,,-3.494444,76.269601
US_OH_39161,2020-01-02,ChIJ_atMe_xpPogRyVldhZE1Dyw,Q485628,geoId/39161,US,United States of America,OH,Ohio,39161,Van Wert County,US,USA,2,,,,,,,28283,13933,14350,3527,3695,3326,3294,3254,3941,3608,2224,1414,911295,40.86,-84.59,1063,77.111111,,,,,7.12,9.8,7.12,6.23,6.83,9.2,7.12,19.0,11.28,,9.5,4.75,5.34,7.42,4.45,6.23,9.5,29.69,4.75,8.61,,4.75,8.02,44.23,,7.72,5.94,4.75,4.16,4.816667,-0.294444,10.022222,0.0,,-1.038889,66.1422
US_OH_39161,2020-01-03,ChIJ_atMe_xpPogRyVldhZE1Dyw,Q485628,geoId/39161,US,United States of America,OH,Ohio,39161,Van Wert County,US,USA,2,,,,,,,28283,13933,14350,3527,3695,3326,3294,3254,3941,3608,2224,1414,911295,40.86,-84.59,1063,77.111111,,,,,6.99,8.45,13.11,6.12,5.54,8.45,6.41,18.64,13.11,4.08,7.28,5.54,5.24,5.54,5.54,5.83,10.2,30.88,9.9,8.45,7.28,5.24,5.54,43.11,,8.45,9.03,4.08,4.37,6.8,3.861111,8.933333,1.382889,,5.290123,90.385026
US_OH_39161,2020-01-04,ChIJ_atMe_xpPogRyVldhZE1Dyw,Q485628,geoId/39161,US,United States of America,OH,Ohio,39161,Van Wert County,US,USA,2,,,,,,,28283,13933,14350,3527,3695,3326,3294,3254,3941,3608,2224,1414,911295,40.86,-84.59,1063,77.111111,,,,,5.82,10.42,8.58,6.13,5.82,8.58,,19.0,8.89,4.29,9.2,4.6,,8.28,5.82,,5.52,29.73,5.21,7.05,,,5.21,36.17,,7.05,7.66,5.82,4.91,2.522222,0.183333,6.488889,0.635,,0.580247,87.015108
US_OH_39161,2020-01-05,ChIJ_atMe_xpPogRyVldhZE1Dyw,Q485628,geoId/39161,US,United States of America,OH,Ohio,39161,Van Wert County,US,USA,2,,,,,,,28283,13933,14350,3527,3695,3326,3294,3254,3941,3608,2224,1414,911295,40.86,-84.59,1063,77.111111,,,,,6.85,11.83,9.96,7.47,,,5.61,18.37,8.72,,10.28,,7.47,4.98,,4.36,7.16,28.65,8.72,5.29,,,5.29,34.26,,7.47,4.36,,,0.261111,-2.216667,5.238889,0.084667,,-3.703704,74.430395
US_OH_39161,2020-01-06,ChIJ_atMe_xpPogRyVldhZE1Dyw,Q485628,geoId/39161,US,United States of America,OH,Ohio,39161,Van Wert County,US,USA,2,,,,,,,28283,13933,14350,3527,3695,3326,3294,3254,3941,3608,2224,1414,911295,40.86,-84.59,1063,77.111111,,,,,4.92,7.77,9.84,4.4,5.44,5.18,,13.47,10.36,5.96,9.84,,,5.44,4.66,4.92,10.36,29.53,4.66,7.51,,3.63,,38.59,7.51,6.73,6.22,4.66,5.44,2.094444,-2.116667,5.311111,0.0,,-2.311111,73.115532
US_OH_39161,2020-01-07,ChIJ_atMe_xpPogRyVldhZE1Dyw,Q485628,geoId/39161,US,United States of America,OH,Ohio,39161,Van Wert County,US,USA,2,,,,,,,28283,13933,14350,3527,3695,3326,3294,3254,3941,3608,2224,1414,911295,40.86,-84.59,1063,77.111111,,,,,4.56,7.1,9.38,7.1,6.34,6.59,4.56,18.0,7.6,4.82,8.36,5.07,5.83,7.35,5.83,5.83,6.34,34.22,6.84,8.87,,5.83,3.8,37.51,,5.58,6.84,4.31,,0.633333,-3.522222,5.844444,0.0,,-4.2,70.44289
US_OH_39161,2020-01-08,ChIJ_atMe_xpPogRyVldhZE1Dyw,Q485628,geoId/39161,US,United States of America,OH,Ohio,39161,Van Wert County,US,USA,2,,,,,,,28283,13933,14350,3527,3695,3326,3294,3254,3941,3608,2224,1414,911295,40.86,-84.59,1063,77.111111,,,,,4.83,6.35,9.66,7.12,4.83,5.84,,18.3,7.12,3.81,10.17,3.81,5.08,,5.84,5.84,8.13,30.5,5.08,7.37,4.83,4.83,7.37,40.16,,13.98,5.84,4.07,4.58,-1.433333,-5.511111,4.083333,0.0,,-7.233333,64.913436
US_OH_39161,2020-01-09,ChIJ_atMe_xpPogRyVldhZE1Dyw,Q485628,geoId/39161,US,United States of America,OH,Ohio,39161,Van Wert County,US,USA,2,,,,,,,28283,13933,14350,3527,3695,3326,3294,3254,3941,3608,2224,1414,911295,40.86,-84.59,1063,77.111111,,,,,5.31,8.85,10.37,3.54,5.31,4.81,4.55,14.16,9.86,3.54,11.38,3.79,7.33,,3.54,4.55,7.84,24.28,5.82,5.31,,3.79,7.08,35.91,4.81,10.12,4.05,9.36,5.31,-0.994444,-6.716667,9.255556,0.0,,-7.305556,62.576641
US_OH_39161,2020-01-10,ChIJ_atMe_xpPogRyVldhZE1Dyw,Q485628,geoId/39161,US,United States of America,OH,Ohio,39161,Van Wert County,US,USA,2,,,,,,,28283,13933,14350,3527,3695,3326,3294,3254,3941,3608,2224,1414,911295,40.86,-84.59,1063,77.111111,,,,,3.45,6.66,8.14,7.4,,5.42,3.7,13.07,4.19,6.16,9.86,4.19,,,4.19,4.93,5.67,26.14,5.42,5.67,,,5.92,35.26,4.44,8.38,3.7,5.42,3.45,8.705556,5.933333,11.666667,11.176,,5.472222,80.705186
