location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_bleeding,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_SC_45029,2020-01-01,ChIJ7zYWUVqv_ogRoX_rLqU39w4,Q502473,geoId/45029,US,United States of America,SC,South Carolina,45029,Colleton County,US,USA,2,,,,,,,37555,18072,19483,4525,4645,4471,4082,4323,5388,5305,3256,1560,1857001,32.84,-80.65,2935,73.533333,,,,,,4.9,10.07,5.17,10.61,8.71,5.17,,6.26,19.32,3.81,12.79,,4.08,6.26,5.44,5.99,5.17,3.81,5.17,5.17,7.89,25.86,4.35,,11.43,,4.9,5.99,42.73,3.81,7.62,6.8,5.17,,10.666667,5.962963,16.469136,0.0,0.236111,49.147998
US_SC_45029,2020-01-02,ChIJ7zYWUVqv_ogRoX_rLqU39w4,Q502473,geoId/45029,US,United States of America,SC,South Carolina,45029,Colleton County,US,USA,2,,,,,,,37555,18072,19483,4525,4645,4471,4082,4323,5388,5305,3256,1560,1857001,32.84,-80.65,2935,73.533333,,,,,,,10.96,4.54,12.29,5.61,6.41,4.28,3.74,18.71,4.81,12.29,5.34,,10.42,,5.34,6.41,,6.15,4.54,9.35,32.87,6.68,5.88,8.29,4.81,5.88,5.34,39.29,6.15,8.02,8.02,5.61,4.54,9.654321,5.166667,15.283951,0.0,4.534722,72.201074
US_SC_45029,2020-01-03,ChIJ7zYWUVqv_ogRoX_rLqU39w4,Q502473,geoId/45029,US,United States of America,SC,South Carolina,45029,Colleton County,US,USA,2,,,,,,,37555,18072,19483,4525,4645,4471,4082,4323,5388,5305,3256,1560,1857001,32.84,-80.65,2935,73.533333,,,,,,9.13,10.47,,12.08,11.01,7.52,5.1,6.44,20.4,,12.62,3.76,,9.4,5.1,6.17,6.17,6.44,,4.3,11.28,29.8,8.86,,11.28,,,6.71,45.37,4.56,8.05,5.1,4.83,5.1,18.271605,10.91358,22.351852,0.0,15.638889,85.00203
US_SC_45029,2020-01-04,ChIJ7zYWUVqv_ogRoX_rLqU39w4,Q502473,geoId/45029,US,United States of America,SC,South Carolina,45029,Colleton County,US,USA,2,,,,,,,37555,18072,19483,4525,4645,4471,4082,4323,5388,5305,3256,1560,1857001,32.84,-80.65,2935,73.533333,,,,,,5.67,5.67,4.59,10.27,7.02,8.1,6.48,4.59,16.21,,8.64,5.4,,10.27,4.86,4.86,7.02,4.05,4.86,9.19,10.27,25.93,7.83,,9.46,,4.32,,49.17,4.86,7.83,7.56,4.05,6.48,19.049383,15.925926,21.518519,0.0508,16.590278,86.047216
US_SC_45029,2020-01-05,ChIJ7zYWUVqv_ogRoX_rLqU39w4,Q502473,geoId/45029,US,United States of America,SC,South Carolina,45029,Colleton County,US,USA,2,,,,,,,37555,18072,19483,4525,4645,4471,4082,4323,5388,5305,3256,1560,1857001,32.84,-80.65,2935,73.533333,,,,,,8.61,15.5,4.02,9.19,12.92,8.04,6.6,,17.22,4.88,9.47,5.74,,7.46,5.45,,4.88,,,,7.18,27.27,5.45,,8.04,,4.02,,44.21,,5.74,9.76,,,9.728395,3.722222,17.549383,0.987778,0.256944,52.323853
US_SC_45029,2020-01-06,ChIJ7zYWUVqv_ogRoX_rLqU39w4,Q502473,geoId/45029,US,United States of America,SC,South Carolina,45029,Colleton County,US,USA,2,,,,,,,37555,18072,19483,4525,4645,4471,4082,4323,5388,5305,3256,1560,1857001,32.84,-80.65,2935,73.533333,,,,,,6.42,8.47,,10.02,6.42,,6.93,3.85,11.81,4.37,7.19,4.62,3.6,6.93,4.11,5.91,6.68,3.85,,3.85,8.22,24.14,6.68,7.45,10.02,5.14,4.62,5.65,42.89,4.11,6.68,6.42,5.39,5.14,9.216049,3.425926,18.092593,0.0,2.506944,64.267448
US_SC_45029,2020-01-07,ChIJ7zYWUVqv_ogRoX_rLqU39w4,Q502473,geoId/45029,US,United States of America,SC,South Carolina,45029,Colleton County,US,USA,2,,,,,,,37555,18072,19483,4525,4645,4471,4082,4323,5388,5305,3256,1560,1857001,32.84,-80.65,2935,73.533333,,,,,,3.77,8.8,,12.82,5.78,6.79,4.28,4.02,10.81,4.02,5.53,,4.53,11.82,,8.05,5.28,6.04,,5.28,7.54,26.65,6.29,3.52,8.8,4.02,9.05,4.78,41.99,5.28,8.05,5.78,5.53,5.28,11.697531,5.808642,19.37037,0.0,6.486111,71.944381
US_SC_45029,2020-01-08,ChIJ7zYWUVqv_ogRoX_rLqU39w4,Q502473,geoId/45029,US,United States of America,SC,South Carolina,45029,Colleton County,US,USA,2,,,,,,,37555,18072,19483,4525,4645,4471,4082,4323,5388,5305,3256,1560,1857001,32.84,-80.65,2935,73.533333,,,,,,7.09,9.37,,12.66,14.43,5.07,3.54,4.81,12.15,5.07,9.12,4.3,8.61,10.38,6.08,,5.07,6.58,4.3,3.54,7.85,30.39,6.58,,10.13,4.81,3.8,6.08,37.98,5.57,13.17,4.56,5.57,4.56,9.981481,2.469136,18.166667,0.0,-0.305556,50.197042
US_SC_45029,2020-01-09,ChIJ7zYWUVqv_ogRoX_rLqU39w4,Q502473,geoId/45029,US,United States of America,SC,South Carolina,45029,Colleton County,US,USA,2,,,,,,,37555,18072,19483,4525,4645,4471,4082,4323,5388,5305,3256,1560,1857001,32.84,-80.65,2935,73.533333,,,,,,4.95,9.89,6.43,6.68,11.62,4.95,8.16,4.45,16.32,,8.16,3.96,,8.65,4.2,6.18,,,3.46,3.96,11.87,28.44,5.69,,6.43,3.71,4.7,5.93,45.01,,12.12,3.96,3.71,,9.574074,2.271605,19.08642,0.0,3.722222,68.862821
US_SC_45029,2020-01-10,ChIJ7zYWUVqv_ogRoX_rLqU39w4,Q502473,geoId/45029,US,United States of America,SC,South Carolina,45029,Colleton County,US,USA,2,,,,,,,37555,18072,19483,4525,4645,4471,4082,4323,5388,5305,3256,1560,1857001,32.84,-80.65,2935,73.533333,,,,,,,6.94,4.07,9.09,8.61,6.22,5.03,3.83,12.2,4.07,10.05,3.59,6.22,7.9,4.31,6.7,4.31,4.79,4.31,6.22,6.22,23.93,8.38,,5.5,,5.74,,42.35,,7.9,8.13,4.07,5.74,15.240741,11.685185,22.382716,0.0,11.923611,80.68991
