location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_workplaces,search_trends_infection,search_trends_pain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_KY_21171,2020-01-01,ChIJmfTnLpRHZogRaFdDB9vdBzs,Q505453,geoId/21171,US,United States of America,KY,Kentucky,21171,Monroe County,US,USA,2,,,,,,,10597,5286,5311,1308,1298,1178,1199,1316,1568,1370,918,442,2563471,36.71,-85.72,860,72.2,,,33.58,45.26,4.097222,-2.034722,9.666667,0.03175,-3.777778,55.961971
US_KY_21171,2020-01-02,ChIJmfTnLpRHZogRaFdDB9vdBzs,Q505453,geoId/21171,US,United States of America,KY,Kentucky,21171,Monroe County,US,USA,2,,,,,,,10597,5286,5311,1308,1298,1178,1199,1316,1568,1370,918,442,2563471,36.71,-85.72,860,72.2,,,23.91,38.47,6.6875,1.694444,9.798611,2.709333,0.203704,63.549628
US_KY_21171,2020-01-03,ChIJmfTnLpRHZogRaFdDB9vdBzs,Q505453,geoId/21171,US,United States of America,KY,Kentucky,21171,Monroe County,US,USA,2,,,,,,,10597,5286,5311,1308,1298,1178,1199,1316,1568,1370,918,442,2563471,36.71,-85.72,860,72.2,,,,19.99,10.825397,8.222222,13.31746,26.9748,10.422222,96.521431
US_KY_21171,2020-01-04,ChIJmfTnLpRHZogRaFdDB9vdBzs,Q505453,geoId/21171,US,United States of America,KY,Kentucky,21171,Monroe County,US,USA,2,,,,,,,10597,5286,5311,1308,1298,1178,1199,1316,1568,1370,918,442,2563471,36.71,-85.72,860,72.2,,,30.5,57.95,6.923611,1.861111,12.326389,14.435667,4.898148,86.349692
US_KY_21171,2020-01-05,ChIJmfTnLpRHZogRaFdDB9vdBzs,Q505453,geoId/21171,US,United States of America,KY,Kentucky,21171,Monroe County,US,USA,2,,,,,,,10597,5286,5311,1308,1298,1178,1199,1316,1568,1370,918,442,2563471,36.71,-85.72,860,72.2,,,29.36,68.5,3.201389,-1.763889,10.465278,1.735667,-2.12963,67.01693
US_KY_21171,2020-01-06,ChIJmfTnLpRHZogRaFdDB9vdBzs,Q505453,geoId/21171,US,United States of America,KY,Kentucky,21171,Monroe County,US,USA,2,,,,,,,10597,5286,5311,1308,1298,1178,1199,1316,1568,1370,918,442,2563471,36.71,-85.72,860,72.2,,,,36.58,4.305556,-3.166667,10.9375,0.22225,-2.62037,61.034514
US_KY_21171,2020-01-07,ChIJmfTnLpRHZogRaFdDB9vdBzs,Q505453,geoId/21171,US,United States of America,KY,Kentucky,21171,Monroe County,US,USA,2,,,,,,,10597,5286,5311,1308,1298,1178,1199,1316,1568,1370,918,442,2563471,36.71,-85.72,860,72.2,,,17.07,40.17,5.694444,-0.611111,10.118056,1.27,-1.888889,58.850393
US_KY_21171,2020-01-08,ChIJmfTnLpRHZogRaFdDB9vdBzs,Q505453,geoId/21171,US,United States of America,KY,Kentucky,21171,Monroe County,US,USA,2,,,,,,,10597,5286,5311,1308,1298,1178,1199,1316,1568,1370,918,442,2563471,36.71,-85.72,860,72.2,,,31.36,42.48,5.544444,0.305556,11.627778,0.6604,-4.229167,49.7306
US_KY_21171,2020-01-09,ChIJmfTnLpRHZogRaFdDB9vdBzs,Q505453,geoId/21171,US,United States of America,KY,Kentucky,21171,Monroe County,US,USA,2,,,,,,,10597,5286,5311,1308,1298,1178,1199,1316,1568,1370,918,442,2563471,36.71,-85.72,860,72.2,,,26.77,29.75,5.683333,-1.338889,15.333333,0.0508,-3.083333,54.553904
US_KY_21171,2020-01-10,ChIJmfTnLpRHZogRaFdDB9vdBzs,Q505453,geoId/21171,US,United States of America,KY,Kentucky,21171,Monroe County,US,USA,2,,,,,,,10597,5286,5311,1308,1298,1178,1199,1316,1568,1370,918,442,2563471,36.71,-85.72,860,72.2,,,25.76,25.76,14.616667,12.627778,17.661111,0.09525,6.243056,56.865089
US_KY_21171,2020-01-11,ChIJmfTnLpRHZogRaFdDB9vdBzs,Q505453,geoId/21171,US,United States of America,KY,Kentucky,21171,Monroe County,US,USA,2,,,,,,,10597,5286,5311,1308,1298,1178,1199,1316,1568,1370,918,442,2563471,36.71,-85.72,860,72.2,,,29.87,52.28,17.011111,14.322222,20.916667,1.42875,13.159722,77.331478
US_KY_21171,2020-01-12,ChIJmfTnLpRHZogRaFdDB9vdBzs,Q505453,geoId/21171,US,United States of America,KY,Kentucky,21171,Monroe County,US,USA,2,,,,,,,10597,5286,5311,1308,1298,1178,1199,1316,1568,1370,918,442,2563471,36.71,-85.72,860,72.2,,,24.79,52.67,8.144444,4.611111,17.016667,24.09825,5.631944,83.67607
US_KY_21171,2020-01-13,ChIJmfTnLpRHZogRaFdDB9vdBzs,Q505453,geoId/21171,US,United States of America,KY,Kentucky,21171,Monroe County,US,USA,2,,,,,,,10597,5286,5311,1308,1298,1178,1199,1316,1568,1370,918,442,2563471,36.71,-85.72,860,72.2,,,28.71,28.71,6.222222,1.583333,12.922222,0.0762,4.055556,87.457687
US_KY_21171,2020-01-14,ChIJmfTnLpRHZogRaFdDB9vdBzs,Q505453,geoId/21171,US,United States of America,KY,Kentucky,21171,Monroe County,US,USA,2,,,,,,,10597,5286,5311,1308,1298,1178,1199,1316,1568,1370,918,442,2563471,36.71,-85.72,860,72.2,,,16.3,30.68,11.972222,7.65,14.8,5.81025,10.131944,88.915343
US_KY_21171,2020-01-15,ChIJmfTnLpRHZogRaFdDB9vdBzs,Q505453,geoId/21171,US,United States of America,KY,Kentucky,21171,Monroe County,US,USA,2,,,,,,,10597,5286,5311,1308,1298,1178,1199,1316,1568,1370,918,442,2563471,36.71,-85.72,860,72.2,,,27.51,34.38,13.972222,9.994444,19.094444,4.73075,12.888889,92.990473
US_KY_21171,2020-01-16,ChIJmfTnLpRHZogRaFdDB9vdBzs,Q505453,geoId/21171,US,United States of America,KY,Kentucky,21171,Monroe County,US,USA,2,,,,,,,10597,5286,5311,1308,1298,1178,1199,1316,1568,1370,918,442,2563471,36.71,-85.72,860,72.2,,,21.32,32.95,9.094444,4.311111,16.333333,1.850571,4.222222,70.817776
US_KY_21171,2020-01-17,ChIJmfTnLpRHZogRaFdDB9vdBzs,Q505453,geoId/21171,US,United States of America,KY,Kentucky,21171,Monroe County,US,USA,2,,,,,,,10597,5286,5311,1308,1298,1178,1199,1316,1568,1370,918,442,2563471,36.71,-85.72,860,72.2,,,27.88,25.96,1.105556,-1.833333,6.155556,0.1016,-6.159722,57.952331
