location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_workplaces,mobility_residential,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_diabetes,search_trends_fever,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_obesity,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_MN_27115,2020-01-11,ChIJFfuO40saslIRhYx-cZ6u1RE,Q485509,geoId/27115,US,United States of America,MN,Minnesota,27115,Pine County,US,USA,2,,,,,,,29159,15602,13557,2979,3408,2957,3574,3465,4614,4254,2501,1407,1795855,46.14,-92.74,3716,79.6875,,,,,,6.73,,6.36,7.11,6.73,12.72,6.36,,,18.71,8.23,,7.86,35.91,5.61,,-16.15,-21.816667,-8.761111,0.0,-21.222222,64.275924
US_MN_27115,2020-01-12,ChIJFfuO40saslIRhYx-cZ6u1RE,Q485509,geoId/27115,US,United States of America,MN,Minnesota,27115,Pine County,US,USA,2,,,,,,,29159,15602,13557,2979,3408,2957,3574,3465,4614,4254,2501,1407,1795855,46.14,-92.74,3716,79.6875,,,,,,,12.02,7.29,6.56,5.46,9.84,9.47,,6.19,16.39,5.46,8.02,,35.7,,,-10.861111,-14.522222,-7.15,0.0,-14.41358,74.12404
US_MN_27115,2020-01-13,ChIJFfuO40saslIRhYx-cZ6u1RE,Q485509,geoId/27115,US,United States of America,MN,Minnesota,27115,Pine County,US,USA,2,,,,,,,29159,15602,13557,2979,3408,2957,3574,3465,4614,4254,2501,1407,1795855,46.14,-92.74,3716,79.6875,,,,,,,8.62,7.93,5.17,,14.14,8.28,6.55,6.21,38.63,5.86,8.28,,35.87,10.0,7.93,-7.488889,-11.372222,-3.661111,0.084667,-10.635802,77.723574
US_MN_27115,2020-01-14,ChIJFfuO40saslIRhYx-cZ6u1RE,Q485509,geoId/27115,US,United States of America,MN,Minnesota,27115,Pine County,US,USA,2,,,,,,,29159,15602,13557,2979,3408,2957,3574,3465,4614,4254,2501,1407,1795855,46.14,-92.74,3716,79.6875,,,,,,5.22,7.31,9.74,6.96,8.35,12.18,9.05,,9.39,34.1,4.87,6.96,6.61,39.32,6.96,5.22,-3.383333,-8.016667,-1.761111,1.4605,-5.407407,85.510226
US_MN_27115,2020-01-15,ChIJFfuO40saslIRhYx-cZ6u1RE,Q485509,geoId/27115,US,United States of America,MN,Minnesota,27115,Pine County,US,USA,2,,,,,,,29159,15602,13557,2979,3408,2957,3574,3465,4614,4254,2501,1407,1795855,46.14,-92.74,3716,79.6875,,,,,,,9.8,4.9,9.1,6.3,12.25,8.75,6.65,8.75,34.31,5.6,8.4,5.25,33.6,10.5,6.65,-10.25,-13.277778,-6.927778,0.381,-12.691358,81.853408
US_MN_27115,2020-01-16,ChIJFfuO40saslIRhYx-cZ6u1RE,Q485509,geoId/27115,US,United States of America,MN,Minnesota,27115,Pine County,US,USA,2,,,,,,,29159,15602,13557,2979,3408,2957,3574,3465,4614,4254,2501,1407,1795855,46.14,-92.74,3716,79.6875,,,,,,5.53,7.26,8.3,,8.3,13.83,8.64,8.3,9.34,36.65,,8.64,,42.18,6.57,7.95,-19.772222,-25.411111,-12.138889,0.689429,-24.246914,67.294282
US_MN_27115,2020-01-17,ChIJFfuO40saslIRhYx-cZ6u1RE,Q485509,geoId/27115,US,United States of America,MN,Minnesota,27115,Pine County,US,USA,2,,,,,,,29159,15602,13557,2979,3408,2957,3574,3465,4614,4254,2501,1407,1795855,46.14,-92.74,3716,79.6875,,,,,,,12.22,5.24,8.73,,16.41,5.24,,6.99,23.75,7.68,7.33,,31.43,6.64,,-17.987654,-26.111111,-8.074074,0.0,-22.256944,68.772363
US_MN_27115,2020-01-18,ChIJFfuO40saslIRhYx-cZ6u1RE,Q485509,geoId/27115,US,United States of America,MN,Minnesota,27115,Pine County,US,USA,2,,,,,,,29159,15602,13557,2979,3408,2957,3574,3465,4614,4254,2501,1407,1795855,46.14,-92.74,3716,79.6875,,,,,,7.37,6.98,,6.98,6.2,13.96,8.53,,5.82,22.1,6.59,10.86,,30.24,,,-6.469136,-12.987654,-4.253086,3.429,-8.513889,84.657084
US_MN_27115,2020-01-19,ChIJFfuO40saslIRhYx-cZ6u1RE,Q485509,geoId/27115,US,United States of America,MN,Minnesota,27115,Pine County,US,USA,2,,,,,,,29159,15602,13557,2979,3408,2957,3574,3465,4614,4254,2501,1407,1795855,46.14,-92.74,3716,79.6875,,,,,,,,8.37,5.09,5.82,16.01,5.46,5.09,8.73,28.38,6.55,,,32.01,6.18,,-12.734568,-15.030864,-8.95679,2.032,-16.541667,72.468962
US_MN_27115,2020-01-20,ChIJFfuO40saslIRhYx-cZ6u1RE,Q485509,geoId/27115,US,United States of America,MN,Minnesota,27115,Pine County,US,USA,2,,,,,,,29159,15602,13557,2979,3408,2957,3574,3465,4614,4254,2501,1407,1795855,46.14,-92.74,3716,79.6875,,,,,,7.11,10.48,10.48,5.61,,14.97,8.61,,9.35,30.31,8.23,,,37.79,5.99,,-12.427778,-19.788889,-7.255556,0.0508,-16.049383,73.914906
