location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_confirmed_age_0,new_confirmed_age_1,new_confirmed_age_2,new_confirmed_age_3,new_confirmed_age_4,new_confirmed_age_5,new_confirmed_age_6,new_confirmed_age_7,new_confirmed_age_8,new_confirmed_age_9,cumulative_confirmed_age_0,cumulative_confirmed_age_1,cumulative_confirmed_age_2,cumulative_confirmed_age_3,cumulative_confirmed_age_4,cumulative_confirmed_age_5,cumulative_confirmed_age_6,cumulative_confirmed_age_7,cumulative_confirmed_age_8,cumulative_confirmed_age_9,new_deceased_age_0,new_deceased_age_1,new_deceased_age_2,new_deceased_age_3,new_deceased_age_4,new_deceased_age_5,new_deceased_age_6,new_deceased_age_7,new_deceased_age_8,new_deceased_age_9,cumulative_deceased_age_0,cumulative_deceased_age_1,cumulative_deceased_age_2,cumulative_deceased_age_3,cumulative_deceased_age_4,cumulative_deceased_age_5,cumulative_deceased_age_6,cumulative_deceased_age_7,cumulative_deceased_age_8,cumulative_deceased_age_9,new_hospitalized_patients_age_0,new_hospitalized_patients_age_1,new_hospitalized_patients_age_2,new_hospitalized_patients_age_3,new_hospitalized_patients_age_4,new_hospitalized_patients_age_5,new_hospitalized_patients_age_6,new_hospitalized_patients_age_7,new_hospitalized_patients_age_8,new_hospitalized_patients_age_9,cumulative_hospitalized_patients_age_0,cumulative_hospitalized_patients_age_1,cumulative_hospitalized_patients_age_2,cumulative_hospitalized_patients_age_3,cumulative_hospitalized_patients_age_4,cumulative_hospitalized_patients_age_5,cumulative_hospitalized_patients_age_6,cumulative_hospitalized_patients_age_7,cumulative_hospitalized_patients_age_8,cumulative_hospitalized_patients_age_9,age_bin_0,age_bin_1,age_bin_2,age_bin_3,age_bin_4,age_bin_5,age_bin_6,age_bin_7,age_bin_8,age_bin_9,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,search_trends_allergy,search_trends_infection,search_trends_pain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_GA_13159,2020-01-01,ChIJX-07LF8m9IgRa2zAZTigLoE,Q224910,geoId/13159,US,United States of America,GA,Georgia,13159,Jasper County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13882,6807,7075,1735,1860,1539,1567,1733,2073,1861,1032,482,1028121,33.32,-83.69,968,75.366667,,,,,22.36,34.28,7.616667,2.272222,14.038889,0.0,,-2.462963,48.807452
US_GA_13159,2020-01-02,ChIJX-07LF8m9IgRa2zAZTigLoE,Q224910,geoId/13159,US,United States of America,GA,Georgia,13159,Jasper County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13882,6807,7075,1735,1860,1539,1567,1733,2073,1861,1032,482,1028121,33.32,-83.69,968,75.366667,,,,11.19,24.61,39.52,7.95,4.566667,11.372222,2.413,,3.444444,72.840789
US_GA_13159,2020-01-03,ChIJX-07LF8m9IgRa2zAZTigLoE,Q224910,geoId/13159,US,United States of America,GA,Georgia,13159,Jasper County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13882,6807,7075,1735,1860,1539,1567,1733,2073,1861,1032,482,1028121,33.32,-83.69,968,75.366667,,,,,17.89,32.06,14.244444,8.127778,20.161111,14.393333,,13.166667,90.968737
US_GA_13159,2020-01-04,ChIJX-07LF8m9IgRa2zAZTigLoE,Q224910,geoId/13159,US,United States of America,GA,Georgia,13159,Jasper County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13882,6807,7075,1735,1860,1539,1567,1733,2073,1861,1032,482,1028121,33.32,-83.69,968,75.366667,,,,,22.44,38.7,14.605556,9.505556,18.2,16.637,,10.901235,78.162059
US_GA_13159,2020-01-05,ChIJX-07LF8m9IgRa2zAZTigLoE,Q224910,geoId/13159,US,United States of America,GA,Georgia,13159,Jasper County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13882,6807,7075,1735,1860,1539,1567,1733,2073,1861,1032,482,1028121,33.32,-83.69,968,75.366667,,,,,16.98,40.12,5.716667,0.172222,14.005556,1.016,,-2.246914,56.470983
US_GA_13159,2020-01-06,ChIJX-07LF8m9IgRa2zAZTigLoE,Q224910,geoId/13159,US,United States of America,GA,Georgia,13159,Jasper County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13882,6807,7075,1735,1860,1539,1567,1733,2073,1861,1032,482,1028121,33.32,-83.69,968,75.366667,,,,,23.72,43.0,8.038889,1.577778,17.616667,0.0,,0.993827,61.208745
US_GA_13159,2020-01-07,ChIJX-07LF8m9IgRa2zAZTigLoE,Q224910,geoId/13159,US,United States of America,GA,Georgia,13159,Jasper County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13882,6807,7075,1735,1860,1539,1567,1733,2073,1861,1032,482,1028121,33.32,-83.69,968,75.366667,,,,10.59,25.16,45.69,10.905556,5.566667,16.327778,0.03175,,4.067901,62.524409
US_GA_13159,2020-01-08,ChIJX-07LF8m9IgRa2zAZTigLoE,Q224910,geoId/13159,US,United States of America,GA,Georgia,13159,Jasper County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13882,6807,7075,1735,1860,1539,1567,1733,2073,1861,1032,482,1028121,33.32,-83.69,968,75.366667,,,,,24.36,39.92,8.211111,0.65,16.766667,0.127,,-3.141975,44.789994
US_GA_13159,2020-01-09,ChIJX-07LF8m9IgRa2zAZTigLoE,Q224910,geoId/13159,US,United States of America,GA,Georgia,13159,Jasper County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13882,6807,7075,1735,1860,1539,1567,1733,2073,1861,1032,482,1028121,33.32,-83.69,968,75.366667,,,,12.57,30.04,37.02,7.85,-0.5,18.105556,0.0,,0.037037,58.433246
US_GA_13159,2020-01-10,ChIJX-07LF8m9IgRa2zAZTigLoE,Q224910,geoId/13159,US,United States of America,GA,Georgia,13159,Jasper County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13882,6807,7075,1735,1860,1539,1567,1733,2073,1861,1032,482,1028121,33.32,-83.69,968,75.366667,,,,12.29,35.51,30.05,14.4,10.338889,19.183333,0.0,,8.432099,66.895904
