location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,mobility_transit_stations,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_TX_48311,2020-01-01,ChIJD3J7bIeEXYYRuFs4i_G-lZk,Q26735,geoId/48311,US,United States of America,TX,Texas,48311,McMullen County,US,USA,2,,,,,,,765,399,366,76,97,83,73,86,119,97,81,53,1828306,28.35,-98.57,2959,,11.875,10.409722,13.604167,0.41275,,4.708333,62.369749
US_TX_48311,2020-01-02,ChIJD3J7bIeEXYYRuFs4i_G-lZk,Q26735,geoId/48311,US,United States of America,TX,Texas,48311,McMullen County,US,USA,2,,,,,,,765,399,366,76,97,83,73,86,119,97,81,53,1828306,28.35,-98.57,2959,,13.847222,11.381944,18.840278,1.11125,,11.9375,88.34202
US_TX_48311,2020-01-03,ChIJD3J7bIeEXYYRuFs4i_G-lZk,Q26735,geoId/48311,US,United States of America,TX,Texas,48311,McMullen County,US,USA,2,,,,,,,765,399,366,76,97,83,73,86,119,97,81,53,1828306,28.35,-98.57,2959,,14.152778,8.798611,21.159722,0.4445,,7.527778,64.610566
US_TX_48311,2020-01-04,ChIJD3J7bIeEXYYRuFs4i_G-lZk,Q26735,geoId/48311,US,United States of America,TX,Texas,48311,McMullen County,US,USA,2,,,,,,,765,399,366,76,97,83,73,86,119,97,81,53,1828306,28.35,-98.57,2959,,12.833333,3.527778,22.284722,0.0,,1.131944,44.864606
US_TX_48311,2020-01-05,ChIJD3J7bIeEXYYRuFs4i_G-lZk,Q26735,geoId/48311,US,United States of America,TX,Texas,48311,McMullen County,US,USA,2,,,,,,,765,399,366,76,97,83,73,86,119,97,81,53,1828306,28.35,-98.57,2959,,12.819444,3.097222,24.798611,0.0,,2.618056,50.558422
US_TX_48311,2020-01-06,ChIJD3J7bIeEXYYRuFs4i_G-lZk,Q26735,geoId/48311,US,United States of America,TX,Texas,48311,McMullen County,US,USA,2,,,,,,,765,399,366,76,97,83,73,86,119,97,81,53,1828306,28.35,-98.57,2959,,14.111111,4.944444,25.479167,0.0,,7.145833,63.196753
US_TX_48311,2020-01-07,ChIJD3J7bIeEXYYRuFs4i_G-lZk,Q26735,geoId/48311,US,United States of America,TX,Texas,48311,McMullen County,US,USA,2,,,,,,,765,399,366,76,97,83,73,86,119,97,81,53,1828306,28.35,-98.57,2959,,15.020833,7.770833,21.652778,0.1905,,1.472222,41.023698
US_TX_48311,2020-01-08,ChIJD3J7bIeEXYYRuFs4i_G-lZk,Q26735,geoId/48311,US,United States of America,TX,Texas,48311,McMullen County,US,USA,2,,,,,,,765,399,366,76,97,83,73,86,119,97,81,53,1828306,28.35,-98.57,2959,,11.388889,2.826389,22.583333,0.0,,2.423611,54.932171
US_TX_48311,2020-01-09,ChIJD3J7bIeEXYYRuFs4i_G-lZk,Q26735,geoId/48311,US,United States of America,TX,Texas,48311,McMullen County,US,USA,2,,,,,,,765,399,366,76,97,83,73,86,119,97,81,53,1828306,28.35,-98.57,2959,,20.451389,16.986111,27.201389,0.0,,15.333333,72.605305
US_TX_48311,2020-01-10,ChIJD3J7bIeEXYYRuFs4i_G-lZk,Q26735,geoId/48311,US,United States of America,TX,Texas,48311,McMullen County,US,USA,2,,,,,,,765,399,366,76,97,83,73,86,119,97,81,53,1828306,28.35,-98.57,2959,,22.388889,18.9375,27.798611,0.0,,17.590278,74.584412
