location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_MO_29107,2020-01-01,ChIJS91ARFN8wYcR0iyqHbG5ufg,Q490009,geoId/29107,US,United States of America,MO,Missouri,29107,Lafayette County,US,USA,2,,,,,,,32579,16140,16439,3926,4291,3704,3707,3918,4797,4005,2569,1662,1180551,39.06,-93.78,1655,77.057143,,,,,,5.93,9.36,7.49,9.36,7.8,,17.78,11.85,,6.86,,,,6.55,5.3,33.68,7.8,,,9.36,44.29,,6.24,5.61,,3.611111,-2.703704,13.660494,0.0,,-3.858025,58.270607
US_MO_29107,2020-01-02,ChIJS91ARFN8wYcR0iyqHbG5ufg,Q490009,geoId/29107,US,United States of America,MO,Missouri,29107,Lafayette County,US,USA,2,,,,,,,32579,16140,16439,3926,4291,3704,3707,3918,4797,4005,2569,1662,1180551,39.06,-93.78,1655,77.057143,,,,,,4.49,7.38,13.15,,8.66,5.45,15.4,9.62,,15.4,5.13,,8.34,,9.95,26.63,,8.98,6.1,8.98,44.27,5.13,5.13,6.74,,7.216049,2.839506,11.339506,0.0,,2.222222,70.752112
US_MO_29107,2020-01-03,ChIJS91ARFN8wYcR0iyqHbG5ufg,Q490009,geoId/29107,US,United States of America,MO,Missouri,29107,Lafayette County,US,USA,2,,,,,,,32579,16140,16439,3926,4291,3704,3707,3918,4797,4005,2569,1662,1180551,39.06,-93.78,1655,77.057143,,,,,,6.08,9.29,8.32,9.61,4.8,,17.29,10.89,6.08,10.24,5.12,4.8,,5.12,7.68,29.14,5.76,8.32,,,33.94,,7.68,10.24,5.12,5.135802,1.67284,9.462963,0.0,,1.432099,77.195704
US_MO_29107,2020-01-04,ChIJS91ARFN8wYcR0iyqHbG5ufg,Q490009,geoId/29107,US,United States of America,MO,Missouri,29107,Lafayette County,US,USA,2,,,,,,,32579,16140,16439,3926,4291,3704,3707,3918,4797,4005,2569,1662,1180551,39.06,-93.78,1655,77.057143,,,,,,5.95,7.2,6.57,9.7,6.57,6.26,14.4,10.96,5.32,6.57,5.32,4.38,6.57,4.7,7.2,24.73,,,4.7,5.01,40.06,,6.89,,,2.074074,-1.537037,6.253086,0.0,,-5.04321,59.649714
US_MO_29107,2020-01-05,ChIJS91ARFN8wYcR0iyqHbG5ufg,Q490009,geoId/29107,US,United States of America,MO,Missouri,29107,Lafayette County,US,USA,2,,,,,,,32579,16140,16439,3926,4291,3704,3707,3918,4797,4005,2569,1662,1180551,39.06,-93.78,1655,77.057143,,,,,,9.37,7.18,8.43,6.24,5.0,,16.55,9.37,4.37,5.93,4.37,6.87,6.87,,9.68,24.66,5.93,6.87,5.0,9.37,45.58,,9.99,4.68,,4.493827,0.271605,11.709877,0.0,,-5.228395,49.609836
US_MO_29107,2020-01-06,ChIJS91ARFN8wYcR0iyqHbG5ufg,Q490009,geoId/29107,US,United States of America,MO,Missouri,29107,Lafayette County,US,USA,2,,,,,,,32579,16140,16439,3926,4291,3704,3707,3918,4797,4005,2569,1662,1180551,39.06,-93.78,1655,77.057143,,,,,,4.74,9.48,7.9,6.32,5.37,5.05,17.69,9.79,7.58,11.69,5.05,8.53,7.58,,9.79,26.85,6.32,4.42,5.05,7.58,43.27,,5.37,6.95,,1.691358,-4.333333,7.777778,0.0,,-4.925926,61.754447
US_MO_29107,2020-01-07,ChIJS91ARFN8wYcR0iyqHbG5ufg,Q490009,geoId/29107,US,United States of America,MO,Missouri,29107,Lafayette County,US,USA,2,,,,,,,32579,16140,16439,3926,4291,3704,3707,3918,4797,4005,2569,1662,1180551,39.06,-93.78,1655,77.057143,,,,,,,6.98,6.68,5.77,,6.07,19.42,9.1,,13.96,4.86,4.25,6.68,5.46,7.59,24.28,10.02,7.89,4.25,6.07,40.36,,6.98,5.77,5.46,2.907407,-1.635802,10.388889,0.0,,-3.679012,62.195227
US_MO_29107,2020-01-08,ChIJS91ARFN8wYcR0iyqHbG5ufg,Q490009,geoId/29107,US,United States of America,MO,Missouri,29107,Lafayette County,US,USA,2,,,,,,,32579,16140,16439,3926,4291,3704,3707,3918,4797,4005,2569,1662,1180551,39.06,-93.78,1655,77.057143,,,,,,4.76,7.74,8.04,8.34,6.25,5.36,14.89,9.83,,12.21,8.64,5.96,4.17,,7.45,35.14,6.25,8.64,4.76,7.15,40.8,5.06,9.23,6.25,4.47,3.746914,-1.882716,11.907407,0.0,,-4.487654,55.051022
US_MO_29107,2020-01-09,ChIJS91ARFN8wYcR0iyqHbG5ufg,Q490009,geoId/29107,US,United States of America,MO,Missouri,29107,Lafayette County,US,USA,2,,,,,,,32579,16140,16439,3926,4291,3704,3707,3918,4797,4005,2569,1662,1180551,39.06,-93.78,1655,77.057143,,,,,,,5.01,7.08,8.85,6.49,5.31,12.98,5.9,,9.44,,,,5.9,12.1,31.57,5.61,,5.01,,35.7,6.2,10.03,4.42,,11.981481,6.462963,17.530864,0.0,,2.432099,52.181653
US_MO_29107,2020-01-10,ChIJS91ARFN8wYcR0iyqHbG5ufg,Q490009,geoId/29107,US,United States of America,MO,Missouri,29107,Lafayette County,US,USA,2,,,,,,,32579,16140,16439,3926,4291,3704,3707,3918,4797,4005,2569,1662,1180551,39.06,-93.78,1655,77.057143,,,,,,3.93,7.02,6.17,5.89,4.49,3.93,13.47,5.89,7.58,8.7,7.3,4.77,5.33,5.33,5.89,14.59,6.46,5.89,3.93,8.98,32.0,4.49,5.89,7.3,,7.95679,0.95679,13.907407,1.524,,5.814815,86.851585
