location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_workplaces,mobility_residential,search_trends_abdominal_obesity,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_asthma,search_trends_attention_deficit_hyperactivity_disorder,search_trends_back_pain,search_trends_bleeding,search_trends_bone_fracture,search_trends_candidiasis,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_dermatitis,search_trends_diabetes,search_trends_diarrhea,search_trends_erectile_dysfunction,search_trends_fatigue,search_trends_fever,search_trends_flatulence,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_heartburn,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_low_back_pain,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_myocardial_infarction,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_sleep_disorder,search_trends_stroke,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_vaginal_discharge,search_trends_vomiting,search_trends_weight_gain,search_trends_xeroderma,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_MI_26061,2020-01-11,ChIJTfO5_mQ7UU0RWG667XtdKyc,Q45441,geoId/26061,US,United States of America,MI,Michigan,26061,Houghton County,US,USA,2,,,,,,,36198,19569,16629,3871,5863,7294,3469,3347,4019,4156,2594,1585,1898720,46.98,-88.65,3889,78.76,,,,,,,4.06,6.62,5.55,9.82,7.26,,,,6.62,,3.2,,11.95,3.63,7.68,2.99,4.91,3.42,8.11,3.84,,5.55,3.63,,,2.99,3.2,4.48,3.2,22.63,8.54,,5.98,4.06,3.42,4.91,,6.4,30.52,3.2,7.04,,,3.42,,5.55,,7.47,,,-9.319444,-11.840278,-5.166667,0.0,-12.355556,75.827009
US_MI_26061,2020-01-12,ChIJTfO5_mQ7UU0RWG667XtdKyc,Q45441,geoId/26061,US,United States of America,MI,Michigan,26061,Houghton County,US,USA,2,,,,,,,36198,19569,16629,3871,5863,7294,3469,3347,4019,4156,2594,1585,1898720,46.98,-88.65,3889,78.76,,,,,,3.05,5.52,9.52,5.33,8.76,10.09,5.52,,,8.19,2.85,3.05,,14.85,4.0,6.47,2.67,5.9,4.38,6.09,5.33,,4.38,2.85,,4.57,2.85,3.81,,3.05,22.46,5.9,3.05,5.52,2.85,,4.19,,5.52,32.74,4.19,7.61,2.67,,4.19,4.19,3.81,,7.23,4.57,,-8.604167,-11.291667,-6.125,0.072571,-12.677778,75.37003
US_MI_26061,2020-01-13,ChIJTfO5_mQ7UU0RWG667XtdKyc,Q45441,geoId/26061,US,United States of America,MI,Michigan,26061,Houghton County,US,USA,2,,,,,,,36198,19569,16629,3871,5863,7294,3469,3347,4019,4156,2594,1585,1898720,46.98,-88.65,3889,78.76,,,,,,2.95,4.21,6.74,4.49,8.0,7.86,3.51,,4.07,5.62,3.09,2.53,,11.23,1.97,5.33,1.97,6.32,,5.9,3.51,2.25,5.9,4.07,1.97,3.93,2.25,4.35,2.95,5.62,19.09,7.58,4.91,5.33,3.51,4.63,5.19,,6.46,31.59,3.37,5.33,2.67,1.97,2.81,2.53,4.63,,3.23,4.91,,-6.194444,-9.041667,-2.513889,0.036286,-9.533333,77.909286
US_MI_26061,2020-01-14,ChIJTfO5_mQ7UU0RWG667XtdKyc,Q45441,geoId/26061,US,United States of America,MI,Michigan,26061,Houghton County,US,USA,2,,,,,,,36198,19569,16629,3871,5863,7294,3469,3347,4019,4156,2594,1585,1898720,46.98,-88.65,3889,78.76,,,,,,2.72,5.02,6.31,5.02,5.88,5.16,4.59,2.15,4.3,4.87,2.29,2.58,,13.04,4.01,5.73,2.44,4.87,,6.31,5.16,,4.44,2.87,2.87,3.15,2.87,4.16,2.29,4.87,24.94,4.59,3.87,5.16,3.15,2.72,5.02,3.15,5.02,40.42,3.44,5.16,2.58,5.02,4.44,3.58,4.01,,4.73,2.87,2.44,-1.388889,-3.472222,0.125,0.907143,-4.088889,83.128913
US_MI_26061,2020-01-15,ChIJTfO5_mQ7UU0RWG667XtdKyc,Q45441,geoId/26061,US,United States of America,MI,Michigan,26061,Houghton County,US,USA,2,,,,,,,36198,19569,16629,3871,5863,7294,3469,3347,4019,4156,2594,1585,1898720,46.98,-88.65,3889,78.76,,,,,,2.14,6.99,6.13,5.13,6.99,7.28,4.42,3.28,2.85,4.99,3.85,4.14,,13.41,2.57,5.99,3.71,4.57,2.42,6.7,4.99,,5.71,4.28,3.0,3.14,3.57,2.57,3.28,6.7,24.11,6.56,,4.42,2.85,4.71,3.57,4.14,5.42,39.08,3.14,4.71,,2.0,6.56,2.14,6.56,,4.57,3.28,2.42,-2.9375,-4.708333,-0.680556,0.145143,-7.166667,73.026864
US_MI_26061,2020-01-16,ChIJTfO5_mQ7UU0RWG667XtdKyc,Q45441,geoId/26061,US,United States of America,MI,Michigan,26061,Houghton County,US,USA,2,,,,,,,36198,19569,16629,3871,5863,7294,3469,3347,4019,4156,2594,1585,1898720,46.98,-88.65,3889,78.76,,,,,,,3.06,7.35,5.67,7.66,6.74,5.67,,,5.67,3.52,2.91,3.52,11.03,3.37,7.96,3.22,4.75,,4.59,4.9,,5.51,5.82,2.76,4.75,,2.91,3.52,4.29,24.2,5.82,,4.13,2.6,3.06,3.52,,5.67,36.45,3.52,4.44,3.22,3.06,6.58,2.76,2.91,3.52,2.6,2.45,,-8.423611,-12.409722,-3.625,0.471714,-11.411111,78.006658
US_MI_26061,2020-01-17,ChIJTfO5_mQ7UU0RWG667XtdKyc,Q45441,geoId/26061,US,United States of America,MI,Michigan,26061,Houghton County,US,USA,2,,,,,,,36198,19569,16629,3871,5863,7294,3469,3347,4019,4156,2594,1585,1898720,46.98,-88.65,3889,78.76,,,,,,,4.22,5.12,5.12,8.88,6.47,,,2.71,4.82,3.76,2.86,,11.59,3.92,7.38,3.92,5.72,,6.78,5.12,,4.82,4.82,2.26,3.76,3.46,2.86,2.11,3.76,21.08,6.02,3.01,5.42,3.31,3.61,3.31,2.71,4.07,29.06,4.52,4.67,2.41,,5.12,,3.01,2.26,3.31,2.41,2.26,-10.972222,-14.916667,-4.75,0.326571,-15.566667,71.927768
US_MI_26061,2020-01-18,ChIJTfO5_mQ7UU0RWG667XtdKyc,Q45441,geoId/26061,US,United States of America,MI,Michigan,26061,Houghton County,US,USA,2,,,,,,,36198,19569,16629,3871,5863,7294,3469,3347,4019,4156,2594,1585,1898720,46.98,-88.65,3889,78.76,,,,,,,2.74,7.86,5.66,6.94,6.76,4.38,,,6.21,3.29,2.92,,13.7,2.74,5.85,,6.39,,5.85,5.66,3.11,3.47,4.38,,,5.12,4.38,4.02,,21.74,,,5.85,3.65,3.47,,,4.2,34.71,4.2,5.3,,3.47,4.93,4.38,3.65,2.56,3.29,4.2,,-3.694444,-6.020833,-2.541667,0.326571,-6.266667,84.266044
US_MI_26061,2020-01-19,ChIJTfO5_mQ7UU0RWG667XtdKyc,Q45441,geoId/26061,US,United States of America,MI,Michigan,26061,Houghton County,US,USA,2,,,,,,,36198,19569,16629,3871,5863,7294,3469,3347,4019,4156,2594,1585,1898720,46.98,-88.65,3889,78.76,,,,,,2.99,3.69,7.21,4.04,7.38,7.03,5.1,,2.46,6.68,5.8,4.75,,15.65,4.04,6.68,5.1,4.04,2.99,5.1,6.33,,3.52,5.28,3.17,2.99,3.17,6.68,,5.28,23.74,5.28,,7.21,3.69,2.99,3.52,,5.45,37.45,2.46,4.57,,3.87,4.4,3.34,4.57,,4.75,2.99,,-5.819444,-7.923611,-2.930556,3.556,-8.977778,78.129413
US_MI_26061,2020-01-20,ChIJTfO5_mQ7UU0RWG667XtdKyc,Q45441,geoId/26061,US,United States of America,MI,Michigan,26061,Houghton County,US,USA,2,,,,,,,36198,19569,16629,3871,5863,7294,3469,3347,4019,4156,2594,1585,1898720,46.98,-88.65,3889,78.76,,,,,,,4.25,9.24,4.99,8.22,8.51,3.23,2.49,4.11,5.87,2.93,4.25,2.49,13.06,2.93,7.04,2.35,6.01,2.49,6.75,4.11,2.49,3.37,3.08,2.35,3.67,,3.96,2.49,7.48,24.36,4.7,,6.6,2.64,5.58,3.67,,6.16,37.85,4.4,7.04,2.79,2.05,6.6,3.81,5.87,3.08,2.79,2.64,,-7.826389,-11.861111,-4.784722,0.036286,-11.811111,70.96143
