location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_confirmed_age_0,new_confirmed_age_1,new_confirmed_age_2,new_confirmed_age_3,new_confirmed_age_4,new_confirmed_age_5,new_confirmed_age_6,new_confirmed_age_7,new_confirmed_age_8,new_confirmed_age_9,cumulative_confirmed_age_0,cumulative_confirmed_age_1,cumulative_confirmed_age_2,cumulative_confirmed_age_3,cumulative_confirmed_age_4,cumulative_confirmed_age_5,cumulative_confirmed_age_6,cumulative_confirmed_age_7,cumulative_confirmed_age_8,cumulative_confirmed_age_9,new_deceased_age_0,new_deceased_age_1,new_deceased_age_2,new_deceased_age_3,new_deceased_age_4,new_deceased_age_5,new_deceased_age_6,new_deceased_age_7,new_deceased_age_8,new_deceased_age_9,cumulative_deceased_age_0,cumulative_deceased_age_1,cumulative_deceased_age_2,cumulative_deceased_age_3,cumulative_deceased_age_4,cumulative_deceased_age_5,cumulative_deceased_age_6,cumulative_deceased_age_7,cumulative_deceased_age_8,cumulative_deceased_age_9,new_hospitalized_patients_age_0,new_hospitalized_patients_age_1,new_hospitalized_patients_age_2,new_hospitalized_patients_age_3,new_hospitalized_patients_age_4,new_hospitalized_patients_age_5,new_hospitalized_patients_age_6,new_hospitalized_patients_age_7,new_hospitalized_patients_age_8,new_hospitalized_patients_age_9,cumulative_hospitalized_patients_age_0,cumulative_hospitalized_patients_age_1,cumulative_hospitalized_patients_age_2,cumulative_hospitalized_patients_age_3,cumulative_hospitalized_patients_age_4,cumulative_hospitalized_patients_age_5,cumulative_hospitalized_patients_age_6,cumulative_hospitalized_patients_age_7,cumulative_hospitalized_patients_age_8,cumulative_hospitalized_patients_age_9,age_bin_0,age_bin_1,age_bin_2,age_bin_3,age_bin_4,age_bin_5,age_bin_6,age_bin_7,age_bin_8,age_bin_9,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_workplaces,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_common_cold,search_trends_diabetes,search_trends_infection,search_trends_itch,search_trends_pain,search_trends_skin_rash,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_GA_13241,2020-01-11,ChIJF9se7CnFWIgRxfuq4ctlomk,Q503546,geoId/13241,US,United States of America,GA,Georgia,13241,Rabun County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16545,8117,8428,1461,1731,1684,1568,1960,2318,2749,2141,933,455070,34.87692,-83.4082,976,78.76,,,,,,13.84,10.55,13.19,,24.39,9.89,48.13,,16.033333,11.294444,20.127778,1.354667,14.494444,90.748144
US_GA_13241,2020-01-12,ChIJF9se7CnFWIgRxfuq4ctlomk,Q503546,geoId/13241,US,United States of America,GA,Georgia,13241,Rabun County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16545,8117,8428,1461,1731,1684,1568,1960,2318,2749,2141,933,455070,34.87692,-83.4082,976,78.76,,,,,,13.44,,15.56,,29.7,,48.79,11.31,14.85,6.994444,20.194444,26.458333,10.522222,75.446624
US_GA_13241,2020-01-13,ChIJF9se7CnFWIgRxfuq4ctlomk,Q503546,geoId/13241,US,United States of America,GA,Georgia,13241,Rabun County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16545,8117,8428,1461,1731,1684,1568,1960,2318,2749,2141,933,455070,34.87692,-83.4082,976,78.76,,,,,9.78,10.81,13.38,,14.41,22.13,,50.44,,12.622222,9.383333,16.961111,3.767667,11.122222,90.621606
US_GA_13241,2020-01-14,ChIJF9se7CnFWIgRxfuq4ctlomk,Q503546,geoId/13241,US,United States of America,GA,Georgia,13241,Rabun County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16545,8117,8428,1461,1731,1684,1568,1960,2318,2749,2141,933,455070,34.87692,-83.4082,976,78.76,,,,,,11.19,7.63,11.19,14.24,23.9,12.71,46.78,,14.494444,12.527778,16.616667,13.927667,14.0,96.869731
US_GA_13241,2020-01-15,ChIJF9se7CnFWIgRxfuq4ctlomk,Q503546,geoId/13241,US,United States of America,GA,Georgia,13241,Rabun County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16545,8117,8428,1461,1731,1684,1568,1960,2318,2749,2141,933,455070,34.87692,-83.4082,976,78.76,,,,,,8.98,12.67,16.37,9.51,21.12,,36.44,,14.833333,11.4,20.094444,8.273143,13.516667,91.992043
US_GA_13241,2020-01-16,ChIJF9se7CnFWIgRxfuq4ctlomk,Q503546,geoId/13241,US,United States of America,GA,Georgia,13241,Rabun County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16545,8117,8428,1461,1731,1684,1568,1960,2318,2749,2141,933,455070,34.87692,-83.4082,976,78.76,,,,,,11.21,13.34,17.08,,24.02,,53.38,,16.061111,11.25,19.694444,2.95275,8.633333,62.048053
US_GA_13241,2020-01-17,ChIJF9se7CnFWIgRxfuq4ctlomk,Q503546,geoId/13241,US,United States of America,GA,Georgia,13241,Rabun County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16545,8117,8428,1461,1731,1684,1568,1960,2318,2749,2141,933,455070,34.87692,-83.4082,976,78.76,,,,,9.16,12.93,9.7,,15.08,22.62,,40.94,,6.272222,1.677778,12.394444,0.7874,-5.483333,44.223667
US_GA_13241,2020-01-18,ChIJF9se7CnFWIgRxfuq4ctlomk,Q503546,geoId/13241,US,United States of America,GA,Georgia,13241,Rabun County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16545,8117,8428,1461,1731,1684,1568,1960,2318,2749,2141,933,455070,34.87692,-83.4082,976,78.76,,,,,,21.66,10.19,16.56,9.55,23.57,,44.58,,4.088889,1.761111,7.994444,5.334,-2.183333,63.877175
US_GA_13241,2020-01-19,ChIJF9se7CnFWIgRxfuq4ctlomk,Q503546,geoId/13241,US,United States of America,GA,Georgia,13241,Rabun County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16545,8117,8428,1461,1731,1684,1568,1960,2318,2749,2141,933,455070,34.87692,-83.4082,976,78.76,,,,,,11.67,,22.69,16.21,28.53,,46.68,,6.944444,2.188889,11.161111,6.180667,0.75,64.96615
US_GA_13241,2020-01-20,ChIJF9se7CnFWIgRxfuq4ctlomk,Q503546,geoId/13241,US,United States of America,GA,Georgia,13241,Rabun County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16545,8117,8428,1461,1731,1684,1568,1960,2318,2749,2141,933,455070,34.87692,-83.4082,976,78.76,,,,,9.18,14.69,12.24,14.08,11.63,44.08,,57.55,,-0.333333,-4.905556,6.066667,0.0254,-8.577778,54.238135
