location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_diabetes,search_trends_fever,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_VT_50017,2020-01-21,ChIJ93o_vxYetUwRmZFcKGNDo2o,Q505444,geoId/50017,US,United States of America,VT,Vermont,50017,Orange County,US,USA,2,,,,,,,28964,14541,14423,2858,3293,3090,3270,3402,4722,4667,2450,1212,62025,43.995815,-72.374886,1792,82.27,,,,,,7.58,8.72,6.82,12.51,7.2,17.44,9.1,,,29.57,9.86,10.62,43.22,9.86,5.69,-14.772222,-21.327778,-7.488889,0.0,-19.25,69.216394
US_VT_50017,2020-01-22,ChIJ93o_vxYetUwRmZFcKGNDo2o,Q505444,geoId/50017,US,United States of America,VT,Vermont,50017,Orange County,US,USA,2,,,,,,,28964,14541,14423,2858,3293,3090,3270,3402,4722,4667,2450,1212,62025,43.995815,-72.374886,1792,82.27,,,,,,6.18,12.75,10.82,6.18,,18.16,10.82,6.96,10.05,29.75,8.12,,42.51,6.18,5.41,-7.2,-15.016667,0.444444,0.03175,-11.955556,68.915907
US_VT_50017,2020-01-23,ChIJ93o_vxYetUwRmZFcKGNDo2o,Q505444,geoId/50017,US,United States of America,VT,Vermont,50017,Orange County,US,USA,2,,,,,,,28964,14541,14423,2858,3293,3090,3270,3402,4722,4667,2450,1212,62025,43.995815,-72.374886,1792,82.27,,,,,,7.44,9.01,6.66,9.4,,17.23,9.4,5.88,,35.25,5.48,,37.6,5.88,,-6.772222,-14.705556,1.794444,0.0,-10.994444,72.287213
US_VT_50017,2020-01-24,ChIJ93o_vxYetUwRmZFcKGNDo2o,Q505444,geoId/50017,US,United States of America,VT,Vermont,50017,Orange County,US,USA,2,,,,,,,28964,14541,14423,2858,3293,3090,3270,3402,4722,4667,2450,1212,62025,43.995815,-72.374886,1792,82.27,,,,,,6.21,10.09,8.15,9.32,,26.4,10.09,8.54,8.15,33.39,8.93,,35.72,8.54,7.76,-3.794444,-13.172222,4.605556,0.0,-8.322222,71.288128
US_VT_50017,2020-01-25,ChIJ93o_vxYetUwRmZFcKGNDo2o,Q505444,geoId/50017,US,United States of America,VT,Vermont,50017,Orange County,US,USA,2,,,,,,,28964,14541,14423,2858,3293,3090,3270,3402,4722,4667,2450,1212,62025,43.995815,-72.374886,1792,82.27,,,,,,,10.54,10.54,,8.79,28.56,7.47,,6.59,31.63,8.79,,46.57,9.23,10.54,-0.666667,-7.983333,4.177778,0.0,-4.105556,77.931262
US_VT_50017,2020-01-26,ChIJ93o_vxYetUwRmZFcKGNDo2o,Q505444,geoId/50017,US,United States of America,VT,Vermont,50017,Orange County,US,USA,2,,,,,,,28964,14541,14423,2858,3293,3090,3270,3402,4722,4667,2450,1212,62025,43.995815,-72.374886,1792,82.27,,,,,,,13.45,,9.37,6.93,25.27,8.97,5.71,6.11,34.64,5.71,9.78,31.79,,6.11,1.788889,-1.261111,4.105556,8.47725,0.011111,88.089665
US_VT_50017,2020-01-27,ChIJ93o_vxYetUwRmZFcKGNDo2o,Q505444,geoId/50017,US,United States of America,VT,Vermont,50017,Orange County,US,USA,2,,,,,,,28964,14541,14423,2858,3293,3090,3270,3402,4722,4667,2450,1212,62025,43.995815,-72.374886,1792,82.27,,,,,,5.24,10.86,7.49,6.74,8.98,25.08,6.74,7.86,8.61,43.8,5.24,8.61,38.56,,8.24,1.422222,-0.55,3.738889,0.79375,-1.066667,83.821152
US_VT_50017,2020-01-28,ChIJ93o_vxYetUwRmZFcKGNDo2o,Q505444,geoId/50017,US,United States of America,VT,Vermont,50017,Orange County,US,USA,2,,,,,,,28964,14541,14423,2858,3293,3090,3270,3402,4722,4667,2450,1212,62025,43.995815,-72.374886,1792,82.27,,,,,,5.67,6.04,10.58,6.04,,30.6,6.8,,9.07,47.6,6.04,5.67,33.24,10.96,6.42,-0.605556,-2.566667,2.327778,0.169333,-3.655556,80.358046
US_VT_50017,2020-01-29,ChIJ93o_vxYetUwRmZFcKGNDo2o,Q505444,geoId/50017,US,United States of America,VT,Vermont,50017,Orange County,US,USA,2,,,,,,,28964,14541,14423,2858,3293,3090,3270,3402,4722,4667,2450,1212,62025,43.995815,-72.374886,1792,82.27,,,,,,6.84,12.16,7.6,7.22,,31.16,9.12,6.08,7.6,34.96,7.6,6.84,45.98,11.02,8.74,-4.605556,-8.422222,-0.277778,0.072571,-9.938889,66.900205
US_VT_50017,2020-01-30,ChIJ93o_vxYetUwRmZFcKGNDo2o,Q505444,geoId/50017,US,United States of America,VT,Vermont,50017,Orange County,US,USA,2,,,,,,,28964,14541,14423,2858,3293,3090,3270,3402,4722,4667,2450,1212,62025,43.995815,-72.374886,1792,82.27,,,,,,5.9,,7.0,,6.26,30.96,13.63,6.26,6.26,43.12,10.32,,43.85,,,-10.155556,-16.416667,-1.883333,0.0,-15.9,63.240759
US_VT_50017,2020-01-31,ChIJ93o_vxYetUwRmZFcKGNDo2o,Q505444,geoId/50017,US,United States of America,VT,Vermont,50017,Orange County,US,USA,2,,,,,,,28964,14541,14423,2858,3293,3090,3270,3402,4722,4667,2450,1212,62025,43.995815,-72.374886,1792,82.27,,,,,,6.41,7.92,10.55,9.42,7.54,35.81,7.92,7.16,7.16,38.45,6.79,9.42,35.81,5.65,6.03,-7.033333,-15.694444,1.366667,0.0,-12.338889,65.930105
