location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,elevation_m,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_obesity,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_asthma,search_trends_attention_deficit_hyperactivity_disorder,search_trends_back_pain,search_trends_bleeding,search_trends_bone_fracture,search_trends_burn,search_trends_candidiasis,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_dermatitis,search_trends_diabetes,search_trends_diarrhea,search_trends_epilepsy,search_trends_erectile_dysfunction,search_trends_fatigue,search_trends_fever,search_trends_flatulence,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_heartburn,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_low_back_pain,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_myocardial_infarction,search_trends_obesity,search_trends_pain,search_trends_scar,search_trends_skin_condition,search_trends_skin_rash,search_trends_sleep_disorder,search_trends_stroke,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_vaginal_discharge,search_trends_vomiting,search_trends_weight_gain,search_trends_xeroderma,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_WV_54079,2020-01-01,ChIJOZkJO8m5SIgRjIdqd4J_a0I,Q501809,geoId/54079,US,United States of America,WV,West Virginia,54079,Putnam County,US,USA,2,,,,,,,56692,27931,28761,6577,7388,5825,7017,7898,8005,7338,4472,2172,1913194,38.51,-81.91,269,908,77.76,,,,,,3.11,5.27,6.58,4.91,8.02,5.99,3.23,1.68,1.8,5.03,2.39,2.63,2.04,,14.73,1.68,6.82,1.68,3.11,2.39,7.9,5.15,,2.27,6.11,2.99,3.11,2.39,4.07,4.55,2.75,5.63,21.67,3.59,2.51,3.59,3.11,3.59,4.43,,4.91,35.32,2.63,3.35,5.03,2.15,2.15,4.67,4.07,3.95,,3.23,2.39,2.75,3.938272,1.345679,8.179012,0.0,,-2.197531,64.430821
US_WV_54079,2020-01-02,ChIJOZkJO8m5SIgRjIdqd4J_a0I,Q501809,geoId/54079,US,United States of America,WV,West Virginia,54079,Putnam County,US,USA,2,,,,,,,56692,27931,28761,6577,7388,5825,7017,7898,8005,7338,4472,2172,1913194,38.51,-81.91,269,908,77.76,,,,,,2.09,4.29,7.42,5.33,9.39,7.07,4.06,,2.2,5.8,3.6,2.44,,2.32,14.15,2.9,9.51,1.97,3.71,2.67,6.15,3.6,3.25,2.44,3.02,3.36,3.02,3.02,4.52,4.64,3.25,7.54,24.0,2.78,3.6,7.07,2.44,5.1,3.83,2.78,6.61,33.4,,4.17,5.33,2.67,3.6,3.83,3.94,4.06,3.13,3.25,4.06,,3.888889,-1.648148,11.641975,0.0508,,-1.660494,68.02126
US_WV_54079,2020-01-03,ChIJOZkJO8m5SIgRjIdqd4J_a0I,Q501809,geoId/54079,US,United States of America,WV,West Virginia,54079,Putnam County,US,USA,2,,,,,,,56692,27931,28761,6577,7388,5825,7017,7898,8005,7338,4472,2172,1913194,38.51,-81.91,269,908,77.76,,,,,,2.52,3.55,5.96,4.81,10.65,4.58,4.7,2.52,1.83,5.16,2.75,4.35,,1.95,13.29,2.75,7.22,1.95,2.86,2.63,5.84,4.12,2.29,2.29,4.12,4.35,2.63,4.7,3.09,5.27,3.44,6.3,23.94,5.61,3.55,6.42,2.75,3.21,2.86,2.18,5.04,34.82,2.18,4.35,4.58,2.29,2.52,3.55,3.67,5.96,2.4,1.83,2.98,1.6,10.58642,8.006173,12.432099,8.085667,,9.858025,95.332334
US_WV_54079,2020-01-04,ChIJOZkJO8m5SIgRjIdqd4J_a0I,Q501809,geoId/54079,US,United States of America,WV,West Virginia,54079,Putnam County,US,USA,2,,,,,,,56692,27931,28761,6577,7388,5825,7017,7898,8005,7338,4472,2172,1913194,38.51,-81.91,269,908,77.76,,,,,,,4.03,7.71,3.44,8.42,6.28,4.27,1.9,,4.86,4.62,2.49,2.13,3.2,14.23,3.44,9.01,1.9,3.56,2.96,6.28,3.2,,3.32,3.32,4.15,3.08,4.03,3.67,4.15,2.85,6.52,20.15,5.1,2.37,5.33,3.32,2.85,3.32,1.66,6.52,29.64,,3.91,5.45,2.13,2.02,1.78,2.73,3.56,2.25,3.08,1.78,2.02,8.895062,2.061728,12.469136,8.212667,,7.722222,92.45312
US_WV_54079,2020-01-05,ChIJOZkJO8m5SIgRjIdqd4J_a0I,Q501809,geoId/54079,US,United States of America,WV,West Virginia,54079,Putnam County,US,USA,2,,,,,,,56692,27931,28761,6577,7388,5825,7017,7898,8005,7338,4472,2172,1913194,38.51,-81.91,269,908,77.76,,,,,,,4.82,8.2,3.38,6.87,5.06,4.58,2.53,2.17,4.82,2.89,4.1,2.41,1.93,13.38,3.13,6.75,2.41,4.94,2.29,7.11,4.58,,3.13,2.53,4.82,1.69,3.98,3.86,2.77,3.74,5.91,22.42,3.98,3.62,5.42,2.65,4.1,3.98,2.05,5.79,29.66,3.13,2.53,5.67,2.29,1.69,5.18,3.86,3.98,3.38,2.65,3.13,2.89,1.944444,0.283951,9.117284,3.894667,,-2.444444,72.78884
US_WV_54079,2020-01-06,ChIJOZkJO8m5SIgRjIdqd4J_a0I,Q501809,geoId/54079,US,United States of America,WV,West Virginia,54079,Putnam County,US,USA,2,,,,,,,56692,27931,28761,6577,7388,5825,7017,7898,8005,7338,4472,2172,1913194,38.51,-81.91,269,908,77.76,,,,,,1.74,2.44,8.24,2.9,10.22,6.73,4.3,2.9,3.6,5.57,2.21,3.37,,2.55,11.73,2.55,8.82,3.48,2.9,3.37,7.55,2.9,,2.21,3.71,3.6,,3.25,2.21,4.99,3.02,6.73,22.99,4.3,2.09,6.15,2.44,4.18,4.88,2.9,5.69,35.18,1.74,3.6,5.92,1.62,1.62,4.76,3.71,3.25,2.09,2.67,4.41,,3.691358,-0.709877,8.185185,0.084667,30.48,-2.654321,63.757062
US_WV_54079,2020-01-07,ChIJOZkJO8m5SIgRjIdqd4J_a0I,Q501809,geoId/54079,US,United States of America,WV,West Virginia,54079,Putnam County,US,USA,2,,,,,,,56692,27931,28761,6577,7388,5825,7017,7898,8005,7338,4472,2172,1913194,38.51,-81.91,269,908,77.76,,,,,,,3.97,6.35,4.2,7.6,8.17,6.35,1.93,3.63,4.31,3.63,4.99,,2.84,12.93,3.52,7.26,3.29,4.42,1.81,8.17,3.97,1.7,2.38,3.74,5.56,2.84,2.38,3.63,3.86,2.04,9.53,24.96,6.47,3.4,6.69,1.7,4.76,2.95,2.61,7.37,31.31,,3.86,5.33,3.52,2.38,4.65,4.65,4.31,2.27,2.5,3.86,,0.851852,-3.5,7.864198,0.290286,78.74,-3.179012,74.716897
US_WV_54079,2020-01-08,ChIJOZkJO8m5SIgRjIdqd4J_a0I,Q501809,geoId/54079,US,United States of America,WV,West Virginia,54079,Putnam County,US,USA,2,,,,,,,56692,27931,28761,6577,7388,5825,7017,7898,8005,7338,4472,2172,1913194,38.51,-81.91,269,908,77.76,,,,,,,2.38,6.42,3.93,9.88,5.71,3.81,,3.45,5.12,3.09,2.26,,,15.11,3.57,8.09,2.02,3.81,1.9,9.28,4.04,,2.26,6.07,2.85,2.62,3.81,3.81,4.88,2.85,8.45,26.29,4.52,2.97,6.66,,5.95,2.62,2.62,5.59,30.22,1.9,4.04,9.52,3.09,2.38,4.64,2.97,2.97,1.67,1.67,3.81,2.62,3.117284,-3.197531,7.648148,1.55575,50.8,-5.907407,52.146795
US_WV_54079,2020-01-09,ChIJOZkJO8m5SIgRjIdqd4J_a0I,Q501809,geoId/54079,US,United States of America,WV,West Virginia,54079,Putnam County,US,USA,2,,,,,,,56692,27931,28761,6577,7388,5825,7017,7898,8005,7338,4472,2172,1913194,38.51,-81.91,269,908,77.76,,,,,,2.02,4.29,7.27,2.14,8.58,8.1,3.69,1.79,4.53,4.53,2.5,3.81,,2.86,13.82,2.26,8.1,2.86,3.69,2.14,9.53,2.98,3.1,2.14,4.17,4.53,,4.05,2.5,4.88,1.91,7.98,26.68,4.88,4.41,7.39,3.46,4.29,4.17,2.74,5.84,29.42,1.67,3.93,9.41,2.74,2.5,4.76,4.88,5.12,3.34,1.91,3.81,2.38,1.962963,-4.858025,13.481481,0.0,64.77,-6.506173,54.555641
US_WV_54079,2020-01-10,ChIJOZkJO8m5SIgRjIdqd4J_a0I,Q501809,geoId/54079,US,United States of America,WV,West Virginia,54079,Putnam County,US,USA,2,,,,,,,56692,27931,28761,6577,7388,5825,7017,7898,8005,7338,4472,2172,1913194,38.51,-81.91,269,908,77.76,,,,,,2.17,3.5,7.36,3.5,9.78,7.96,6.28,1.81,3.26,3.62,3.14,2.17,,3.26,14.36,3.5,6.4,,4.46,2.29,8.09,3.5,1.93,2.17,2.78,4.59,,4.1,3.26,4.83,2.9,6.64,24.62,5.31,2.53,7.24,2.05,2.9,4.34,2.05,4.59,29.69,2.53,4.71,8.45,,2.05,4.22,4.1,3.74,1.93,2.9,3.02,,11.407407,3.993827,18.395062,0.03175,78.74,1.962963,53.116906
