location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_workplaces,mobility_residential,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_common_cold,search_trends_diabetes,search_trends_hypertension,search_trends_infection,search_trends_itch,search_trends_pain,search_trends_skin_rash,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_IA_19059,2020-01-01,ChIJwycC_vrfjIcRlFNLTTU8aXM,Q112069,geoId/19059,US,United States of America,IA,Iowa,19059,Dickinson County,US,USA,2,,,,,,,17141,8543,8598,1744,1881,1622,1830,1858,2399,2919,1705,1183,1790338,43.375833,-95.149722,987,79.94,,,,,,12.0,,,14.5,,,28.99,,37.99,,-4.160494,-8.993827,1.549383,0.0,-6.382716,84.674406
US_IA_19059,2020-01-02,ChIJwycC_vrfjIcRlFNLTTU8aXM,Q112069,geoId/19059,US,United States of America,IA,Iowa,19059,Dickinson County,US,USA,2,,,,,,,17141,8543,8598,1744,1881,1622,1830,1858,2399,2919,1705,1183,1790338,43.375833,-95.149722,987,79.94,,,,,,8.92,8.45,,18.77,8.92,12.67,24.88,,38.49,7.98,0.351852,-2.493827,2.111111,0.0,-1.092593,90.133708
US_IA_19059,2020-01-03,ChIJwycC_vrfjIcRlFNLTTU8aXM,Q112069,geoId/19059,US,United States of America,IA,Iowa,19059,Dickinson County,US,USA,2,,,,,,,17141,8543,8598,1744,1881,1622,1830,1858,2399,2919,1705,1183,1790338,43.375833,-95.149722,987,79.94,,,,,,6.81,,,22.69,8.17,11.35,20.88,,32.68,,-0.925926,-3.623457,1.061728,0.0,-1.685185,94.672788
US_IA_19059,2020-01-04,ChIJwycC_vrfjIcRlFNLTTU8aXM,Q112069,geoId/19059,US,United States of America,IA,Iowa,19059,Dickinson County,US,USA,2,,,,,,,17141,8543,8598,1744,1881,1622,1830,1858,2399,2919,1705,1183,1790338,43.375833,-95.149722,987,79.94,,,,,,8.89,,8.37,18.82,8.37,,24.05,,43.92,,-4.882716,-9.734568,-0.401235,0.592667,-6.382716,89.349971
US_IA_19059,2020-01-05,ChIJwycC_vrfjIcRlFNLTTU8aXM,Q112069,geoId/19059,US,United States of America,IA,Iowa,19059,Dickinson County,US,USA,2,,,,,,,17141,8543,8598,1744,1881,1622,1830,1858,2399,2919,1705,1183,1790338,43.375833,-95.149722,987,79.94,,,,,,8.12,13.71,9.65,24.37,7.62,,19.8,11.68,37.57,9.14,0.759259,-3.333333,4.117284,0.056444,-2.746914,77.511493
US_IA_19059,2020-01-06,ChIJwycC_vrfjIcRlFNLTTU8aXM,Q112069,geoId/19059,US,United States of America,IA,Iowa,19059,Dickinson County,US,USA,2,,,,,,,17141,8543,8598,1744,1881,1622,1830,1858,2399,2919,1705,1183,1790338,43.375833,-95.149722,987,79.94,,,,,,12.76,14.58,7.75,11.85,7.29,,24.15,,34.18,7.75,-2.432099,-5.938272,1.580247,0.0,-4.691358,84.661105
US_IA_19059,2020-01-07,ChIJwycC_vrfjIcRlFNLTTU8aXM,Q112069,geoId/19059,US,United States of America,IA,Iowa,19059,Dickinson County,US,USA,2,,,,,,,17141,8543,8598,1744,1881,1622,1830,1858,2399,2919,1705,1183,1790338,43.375833,-95.149722,987,79.94,,,,,,11.34,10.89,,20.87,10.43,,29.49,7.26,33.57,8.16,-3.364198,-8.191358,0.45679,0.0,-5.185185,87.350675
US_IA_19059,2020-01-08,ChIJwycC_vrfjIcRlFNLTTU8aXM,Q112069,geoId/19059,US,United States of America,IA,Iowa,19059,Dickinson County,US,USA,2,,,,,,,17141,8543,8598,1744,1881,1622,1830,1858,2399,2919,1705,1183,1790338,43.375833,-95.149722,987,79.94,,,,,,,10.22,8.44,15.55,,,30.21,6.66,31.09,8.88,-11.506173,-15.203704,-6.148148,0.0,-15.555556,72.082282
US_IA_19059,2020-01-09,ChIJwycC_vrfjIcRlFNLTTU8aXM,Q112069,geoId/19059,US,United States of America,IA,Iowa,19059,Dickinson County,US,USA,2,,,,,,,17141,8543,8598,1744,1881,1622,1830,1858,2399,2919,1705,1183,1790338,43.375833,-95.149722,987,79.94,,,,,,7.61,8.95,9.4,17.91,9.85,8.95,34.02,,35.81,10.74,-2.697531,-8.166667,3.253086,0.0,-6.030864,78.032742
US_IA_19059,2020-01-10,ChIJwycC_vrfjIcRlFNLTTU8aXM,Q112069,geoId/19059,US,United States of America,IA,Iowa,19059,Dickinson County,US,USA,2,,,,,,,17141,8543,8598,1744,1881,1622,1830,1858,2399,2919,1705,1183,1790338,43.375833,-95.149722,987,79.94,,,,,,,10.38,7.67,17.15,13.54,,25.28,,37.91,,-7.703704,-13.5,-2.907407,0.0,-10.006173,83.648301
