location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_workplaces,mobility_residential,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_cough,search_trends_diabetes,search_trends_fatigue,search_trends_fever,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_obesity,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_OH_39073,2020-01-01,ChIJ6Wv-Jl_pR4gRpNryfNrSX6I,Q499295,geoId/39073,US,United States of America,OH,Ohio,39073,Hocking County,US,USA,2,,,,,,,28436,14046,14390,3278,3643,3246,3110,3593,4191,3825,2381,1169,270614,39.5,-82.48,1097,77.242857,,,,,,6.79,9.42,9.42,7.54,8.29,13.95,11.31,7.92,5.28,,9.8,30.53,7.54,13.19,5.28,40.71,7.92,,2.283951,0.216049,6.833333,0.0635,,-3.012346,68.0628
US_OH_39073,2020-01-02,ChIJ6Wv-Jl_pR4gRpNryfNrSX6I,Q499295,geoId/39073,US,United States of America,OH,Ohio,39073,Hocking County,US,USA,2,,,,,,,28436,14046,14390,3278,3643,3246,3110,3593,4191,3825,2381,1169,270614,39.5,-82.48,1097,77.242857,,,,,,,8.55,6.52,,,15.48,11.41,10.59,7.33,,12.63,34.62,11.41,8.55,,35.44,8.15,,3.432099,-1.654321,10.364198,0.0,,-2.166667,67.06138
US_OH_39073,2020-01-03,ChIJ6Wv-Jl_pR4gRpNryfNrSX6I,Q499295,geoId/39073,US,United States of America,OH,Ohio,39073,Hocking County,US,USA,2,,,,,,,28436,14046,14390,3278,3643,3246,3110,3593,4191,3825,2381,1169,270614,39.5,-82.48,1097,77.242857,,,,,,7.45,14.51,9.02,7.06,5.49,18.04,14.9,10.98,,5.88,5.49,32.55,6.67,6.27,6.27,36.86,7.84,6.27,9.518519,4.462963,11.919753,13.897429,,8.759259,95.08801
US_OH_39073,2020-01-04,ChIJ6Wv-Jl_pR4gRpNryfNrSX6I,Q499295,geoId/39073,US,United States of America,OH,Ohio,39073,Hocking County,US,USA,2,,,,,,,28436,14046,14390,3278,3643,3246,3110,3593,4191,3825,2381,1169,270614,39.5,-82.48,1097,77.242857,,,,,,6.6,10.87,8.54,8.54,10.09,15.91,8.93,7.37,6.99,,,33.77,5.82,6.21,,38.42,,,6.12963,0.703704,11.166667,7.692571,,4.808642,91.324261
US_OH_39073,2020-01-05,ChIJ6Wv-Jl_pR4gRpNryfNrSX6I,Q499295,geoId/39073,US,United States of America,OH,Ohio,39073,Hocking County,US,USA,2,,,,,,,28436,14046,14390,3278,3643,3246,3110,3593,4191,3825,2381,1169,270614,39.5,-82.48,1097,77.242857,,,,,,7.19,9.19,,,13.19,23.18,9.99,7.19,5.59,,6.79,28.77,,7.19,8.79,38.36,11.59,,1.351852,-0.32716,7.518519,0.53975,,-2.709877,74.42003
US_OH_39073,2020-01-06,ChIJ6Wv-Jl_pR4gRpNryfNrSX6I,Q499295,geoId/39073,US,United States of America,OH,Ohio,39073,Hocking County,US,USA,2,,,,,,,28436,14046,14390,3278,3643,3246,3110,3593,4191,3825,2381,1169,270614,39.5,-82.48,1097,77.242857,,,,,,8.01,10.11,13.48,,,17.28,8.01,14.33,,7.58,12.64,30.76,7.58,6.74,6.32,42.98,7.58,,3.691358,-0.660494,6.487654,0.028222,,-2.530864,63.87077
US_OH_39073,2020-01-07,ChIJ6Wv-Jl_pR4gRpNryfNrSX6I,Q499295,geoId/39073,US,United States of America,OH,Ohio,39073,Hocking County,US,USA,2,,,,,,,28436,14046,14390,3278,3643,3246,3110,3593,4191,3825,2381,1169,270614,39.5,-82.48,1097,77.242857,,,,,,7.52,8.95,,,5.73,17.54,10.38,8.59,5.73,,8.95,25.41,,7.87,6.08,37.58,11.81,9.66,1.296296,-3.919753,8.802469,0.0,,-4.790123,64.136528
US_OH_39073,2020-01-08,ChIJ6Wv-Jl_pR4gRpNryfNrSX6I,Q499295,geoId/39073,US,United States of America,OH,Ohio,39073,Hocking County,US,USA,2,,,,,,,28436,14046,14390,3278,3643,3246,3110,3593,4191,3825,2381,1169,270614,39.5,-82.48,1097,77.242857,,,,,,5.81,15.97,6.17,8.35,,16.34,10.53,7.26,5.45,,11.25,33.4,,6.9,7.62,38.84,12.71,5.08,1.351852,-3.703704,6.537037,0.0,,-6.660494,55.322213
US_OH_39073,2020-01-09,ChIJ6Wv-Jl_pR4gRpNryfNrSX6I,Q499295,geoId/39073,US,United States of America,OH,Ohio,39073,Hocking County,US,USA,2,,,,,,,28436,14046,14390,3278,3643,3246,3110,3593,4191,3825,2381,1169,270614,39.5,-82.48,1097,77.242857,,,,,,5.49,8.79,5.86,,,20.5,11.72,9.15,,,6.96,34.42,8.79,10.62,5.86,32.95,13.55,,-0.104938,-6.487654,12.166667,0.0,,-7.660494,56.952727
US_OH_39073,2020-01-10,ChIJ6Wv-Jl_pR4gRpNryfNrSX6I,Q499295,geoId/39073,US,United States of America,OH,Ohio,39073,Hocking County,US,USA,2,,,,,,,28436,14046,14390,3278,3643,3246,3110,3593,4191,3825,2381,1169,270614,39.5,-82.48,1097,77.242857,,,,,,5.97,8.96,8.29,4.98,,14.6,,8.96,4.98,,6.64,25.55,9.29,7.63,,36.17,6.97,6.97,10.018519,5.753086,13.987654,2.068286,,3.018519,61.940645
