location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_NH_33007,2020-01-01,ChIJIxSuu1kGtEwR3bLpp08_hp4,Q54447,geoId/33007,US,United States of America,NH,New Hampshire,33007,Coos County,US,USA,2,,,,,,,31396,16425,14971,2601,3138,3377,3300,3867,5077,5202,3011,1823,2049058,44.613773,-71.339943,4743,78.8,,,,,,5.64,6.58,10.66,8.47,6.58,5.02,12.23,7.53,5.02,11.6,5.64,5.96,5.33,4.39,,6.58,23.52,8.78,7.21,4.39,5.02,4.7,47.04,4.39,9.41,5.64,5.64,,-2.155556,-4.205556,-0.044444,2.794,189.23,-3.827778,88.57227
US_NH_33007,2020-01-02,ChIJIxSuu1kGtEwR3bLpp08_hp4,Q54447,geoId/33007,US,United States of America,NH,New Hampshire,33007,Coos County,US,USA,2,,,,,,,31396,16425,14971,2601,3138,3377,3300,3867,5077,5202,3011,1823,2049058,44.613773,-71.339943,4743,78.8,,,,,,6.54,6.25,12.19,9.22,8.92,,20.22,8.92,,8.03,5.65,,5.06,6.54,,7.73,25.87,7.43,6.25,6.54,6.54,5.65,42.23,5.95,8.62,6.25,,,-1.988889,-5.094444,0.861111,1.161143,279.4,-5.377778,78.09366
US_NH_33007,2020-01-03,ChIJIxSuu1kGtEwR3bLpp08_hp4,Q54447,geoId/33007,US,United States of America,NH,New Hampshire,33007,Coos County,US,USA,2,,,,,,,31396,16425,14971,2601,3138,3377,3300,3867,5077,5202,3011,1823,2049058,44.613773,-71.339943,4743,78.8,,,,,,6.56,10.14,7.16,5.96,9.25,5.07,12.82,9.54,6.26,7.46,7.16,8.35,7.46,4.77,5.96,8.35,23.86,11.04,8.05,5.96,,5.07,46.53,5.96,8.65,5.67,,5.96,0.655556,-3.783333,3.872222,0.084667,279.4,-1.772222,83.973652
US_NH_33007,2020-01-04,ChIJIxSuu1kGtEwR3bLpp08_hp4,Q54447,geoId/33007,US,United States of America,NH,New Hampshire,33007,Coos County,US,USA,2,,,,,,,31396,16425,14971,2601,3138,3377,3300,3867,5077,5202,3011,1823,2049058,44.613773,-71.339943,4743,78.8,,,,,,5.76,6.97,10.91,9.7,8.48,6.36,21.51,6.97,,9.09,4.54,5.15,,,,,20.6,4.54,5.76,,,7.57,41.81,5.15,6.36,4.85,,4.24,0.25,-1.833333,3.733333,0.036286,209.55,-0.894444,92.066192
US_NH_33007,2020-01-05,ChIJIxSuu1kGtEwR3bLpp08_hp4,Q54447,geoId/33007,US,United States of America,NH,New Hampshire,33007,Coos County,US,USA,2,,,,,,,31396,16425,14971,2601,3138,3377,3300,3867,5077,5202,3011,1823,2049058,44.613773,-71.339943,4743,78.8,,,,,,8.26,7.93,7.6,6.61,5.95,6.28,17.84,9.25,,9.58,6.94,7.93,4.96,,6.61,5.95,21.8,10.24,8.92,,5.62,4.62,41.95,4.62,8.26,6.61,,,-4.488889,-9.255556,1.2,5.624286,360.68,-6.6,85.449769
US_NH_33007,2020-01-06,ChIJIxSuu1kGtEwR3bLpp08_hp4,Q54447,geoId/33007,US,United States of America,NH,New Hampshire,33007,Coos County,US,USA,2,,,,,,,31396,16425,14971,2601,3138,3377,3300,3867,5077,5202,3011,1823,2049058,44.613773,-71.339943,4743,78.8,,,,,,4.66,4.35,9.62,9.31,4.97,5.28,12.11,9.31,7.14,9.94,,9.94,,,10.56,6.52,21.73,5.59,8.38,5.9,,6.52,40.98,,5.28,4.66,5.59,5.59,-10.366667,-16.244444,-3.122222,1.233714,381.0,-12.688889,83.122991
US_NH_33007,2020-01-07,ChIJIxSuu1kGtEwR3bLpp08_hp4,Q54447,geoId/33007,US,United States of America,NH,New Hampshire,33007,Coos County,US,USA,2,,,,,,,31396,16425,14971,2601,3138,3377,3300,3867,5077,5202,3011,1823,2049058,44.613773,-71.339943,4743,78.8,,,,,,4.63,4.32,10.8,8.64,8.95,4.32,15.74,5.25,7.41,8.33,4.32,6.48,4.94,,5.55,,31.16,7.1,7.41,7.1,,7.1,37.64,4.94,6.79,4.94,4.94,4.94,-6.333333,-12.038889,-3.188889,1.959429,381.0,-8.922222,82.074887
US_NH_33007,2020-01-08,ChIJIxSuu1kGtEwR3bLpp08_hp4,Q54447,geoId/33007,US,United States of America,NH,New Hampshire,33007,Coos County,US,USA,2,,,,,,,31396,16425,14971,2601,3138,3377,3300,3867,5077,5202,3011,1823,2049058,44.613773,-71.339943,4743,78.8,,,,,,4.73,6.31,8.52,10.42,8.21,6.0,14.52,6.63,,8.52,,5.68,,5.68,5.68,5.05,25.88,12.31,4.42,5.05,6.31,9.79,39.14,4.73,8.84,5.05,5.37,4.42,-4.95,-8.244444,-1.55,2.140857,459.74,-6.766667,87.253754
US_NH_33007,2020-01-09,ChIJIxSuu1kGtEwR3bLpp08_hp4,Q54447,geoId/33007,US,United States of America,NH,New Hampshire,33007,Coos County,US,USA,2,,,,,,,31396,16425,14971,2601,3138,3377,3300,3867,5077,5202,3011,1823,2049058,44.613773,-71.339943,4743,78.8,,,,,,,6.56,10.3,9.99,4.37,5.93,21.86,9.37,4.68,13.74,6.25,6.87,5.0,5.31,,4.37,30.92,8.43,8.74,6.25,,7.81,37.79,5.31,11.24,5.93,10.62,6.25,-11.95,-17.222222,-2.45,2.322286,429.26,-16.966667,66.723417
US_NH_33007,2020-01-10,ChIJIxSuu1kGtEwR3bLpp08_hp4,Q54447,geoId/33007,US,United States of America,NH,New Hampshire,33007,Coos County,US,USA,2,,,,,,,31396,16425,14971,2601,3138,3377,3300,3867,5077,5202,3011,1823,2049058,44.613773,-71.339943,4743,78.8,,,,,,,7.6,9.72,9.42,8.2,,12.15,6.68,4.25,9.72,,6.08,,4.56,7.9,6.08,27.95,7.6,7.6,,4.86,7.6,44.66,8.51,10.33,5.17,,4.56,-6.766667,-15.338889,0.733333,0.145143,429.26,-11.722222,68.278036
