location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_bleeding,search_trends_bone_fracture,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_heartburn,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_low_back_pain,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_weight_gain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_NY_36033,2020-01-01,ChIJ3VoMWMufy0wR3CWvgyqxnQ4,Q115247,geoId/36033,US,United States of America,NY,New York,36033,Franklin County,US,USA,2,,,,,,,50465,27734,22731,5213,5950,7303,6623,6318,7451,6071,3558,1978,87742,44.6,-74.31,4396,79.285714,,,,,5.05,9.41,6.89,11.71,8.95,5.97,,,,13.54,5.28,9.64,,4.36,9.41,6.66,6.89,4.13,5.28,5.05,3.9,3.9,7.12,25.25,3.21,,10.79,3.44,3.9,5.05,5.51,39.72,5.28,10.56,6.43,,5.05,,0.077778,-1.0,1.527778,1.27,83.185,-2.092593,85.714341
US_NY_36033,2020-01-02,ChIJ3VoMWMufy0wR3CWvgyqxnQ4,Q115247,geoId/36033,US,United States of America,NY,New York,36033,Franklin County,US,USA,2,,,,,,,50465,27734,22731,5213,5950,7303,6623,6318,7451,6071,3558,1978,87742,44.6,-74.31,4396,79.285714,,,,,4.97,8.65,6.27,11.03,10.38,5.62,5.84,5.84,4.76,15.35,3.03,10.16,3.24,3.67,8.65,5.41,6.92,5.41,4.32,,5.84,3.67,5.62,25.94,3.24,5.19,5.84,3.24,4.32,5.84,6.49,37.18,3.03,7.13,4.76,3.24,4.97,3.03,0.727778,-2.35,4.3,0.1778,86.995,-3.469136,74.363505
US_NY_36033,2020-01-03,ChIJ3VoMWMufy0wR3CWvgyqxnQ4,Q115247,geoId/36033,US,United States of America,NY,New York,36033,Franklin County,US,USA,2,,,,,,,50465,27734,22731,5213,5950,7303,6623,6318,7451,6071,3558,1978,87742,44.6,-74.31,4396,79.285714,,,,,5.04,7.23,4.82,9.2,7.01,6.57,6.57,3.29,4.6,12.04,,7.45,3.29,,7.67,6.57,7.23,3.07,3.72,,6.35,,7.01,24.97,5.04,,5.69,5.69,4.82,4.82,7.01,43.36,5.26,5.47,5.04,,3.29,,4.666667,-0.638889,5.894444,0.0,60.325,0.265432,73.67806
US_NY_36033,2020-01-04,ChIJ3VoMWMufy0wR3CWvgyqxnQ4,Q115247,geoId/36033,US,United States of America,NY,New York,36033,Franklin County,US,USA,2,,,,,,,50465,27734,22731,5213,5950,7303,6623,6318,7451,6071,3558,1978,87742,44.6,-74.31,4396,79.285714,,,,,3.51,8.65,5.14,10.52,5.14,6.32,3.74,3.74,4.21,15.9,5.85,10.99,3.51,3.98,7.02,6.78,3.98,3.98,,4.44,5.85,6.78,5.61,29.47,4.91,,5.14,3.51,,5.38,6.08,42.8,,7.02,4.44,3.74,,,1.45,-0.8,5.116667,0.028222,47.625,-0.67284,86.261891
US_NY_36033,2020-01-05,ChIJ3VoMWMufy0wR3CWvgyqxnQ4,Q115247,geoId/36033,US,United States of America,NY,New York,36033,Franklin County,US,USA,2,,,,,,,50465,27734,22731,5213,5950,7303,6623,6318,7451,6071,3558,1978,87742,44.6,-74.31,4396,79.285714,,,,,6.07,9.33,4.2,7.7,8.87,6.53,5.13,5.6,4.43,17.27,4.2,7.93,4.2,5.83,6.07,6.07,5.6,3.73,3.97,5.13,6.3,,4.2,25.67,5.13,,7.47,,4.43,5.83,5.6,41.77,3.27,8.4,6.77,,6.53,,-3.583333,-7.505556,1.0,1.524,50.165,-6.697531,79.4174
US_NY_36033,2020-01-06,ChIJ3VoMWMufy0wR3CWvgyqxnQ4,Q115247,geoId/36033,US,United States of America,NY,New York,36033,Franklin County,US,USA,2,,,,,,,50465,27734,22731,5213,5950,7303,6623,6318,7451,6071,3558,1978,87742,44.6,-74.31,4396,79.285714,,,,,4.64,8.71,4.45,7.74,5.03,5.8,4.64,2.9,,12.58,4.06,6.97,,3.1,8.71,3.87,5.61,2.9,2.9,4.45,5.42,3.68,8.71,29.41,,3.87,4.26,,2.9,4.06,6.97,38.89,3.68,7.16,7.55,3.48,5.03,2.9,-7.377778,-12.25,-0.483333,0.310444,59.69,-9.790123,84.88003
US_NY_36033,2020-01-07,ChIJ3VoMWMufy0wR3CWvgyqxnQ4,Q115247,geoId/36033,US,United States of America,NY,New York,36033,Franklin County,US,USA,2,,,,,,,50465,27734,22731,5213,5950,7303,6623,6318,7451,6071,3558,1978,87742,44.6,-74.31,4396,79.285714,,,,,3.46,8.08,7.31,9.81,8.47,4.23,5.58,4.62,3.66,13.66,4.23,8.08,,5.96,8.08,4.43,6.16,5.58,,2.69,4.62,3.08,8.85,33.48,6.35,3.66,8.85,5.77,4.62,4.04,5.77,39.45,4.04,6.16,5.96,2.89,5.39,2.69,-2.777778,-9.188889,-0.133333,0.931333,97.155,-7.185185,73.298307
US_NY_36033,2020-01-08,ChIJ3VoMWMufy0wR3CWvgyqxnQ4,Q115247,geoId/36033,US,United States of America,NY,New York,36033,Franklin County,US,USA,2,,,,,,,50465,27734,22731,5213,5950,7303,6623,6318,7451,6071,3558,1978,87742,44.6,-74.31,4396,79.285714,,,,,3.82,6.68,5.73,9.16,7.06,4.39,5.73,3.06,3.63,14.51,4.2,8.97,,3.63,8.59,4.77,4.96,5.73,2.67,3.63,,3.25,6.49,23.86,4.58,,6.87,4.2,4.58,,5.73,41.43,4.58,10.5,5.35,4.96,4.01,,-2.205556,-6.716667,0.161111,0.451556,97.155,-5.302469,80.040892
US_NY_36033,2020-01-09,ChIJ3VoMWMufy0wR3CWvgyqxnQ4,Q115247,geoId/36033,US,United States of America,NY,New York,36033,Franklin County,US,USA,2,,,,,,,50465,27734,22731,5213,5950,7303,6623,6318,7451,6071,3558,1978,87742,44.6,-74.31,4396,79.285714,,,,,4.74,4.36,6.44,8.34,8.53,5.68,7.77,4.17,3.6,12.7,3.98,9.85,4.17,3.98,9.29,5.12,6.25,2.65,3.6,3.98,4.17,2.84,5.68,25.39,5.87,4.17,5.87,,4.36,5.12,4.55,39.41,3.79,8.15,3.6,4.74,3.98,2.65,-12.6,-16.877778,-5.205556,0.2794,74.295,-18.104938,63.837946
US_NY_36033,2020-01-10,ChIJ3VoMWMufy0wR3CWvgyqxnQ4,Q115247,geoId/36033,US,United States of America,NY,New York,36033,Franklin County,US,USA,2,,,,,,,50465,27734,22731,5213,5950,7303,6623,6318,7451,6071,3558,1978,87742,44.6,-74.31,4396,79.285714,,,,,3.9,5.21,4.65,7.81,7.44,4.65,8.55,3.53,5.02,12.08,4.65,9.3,,6.88,10.22,4.65,4.46,3.72,3.35,3.35,3.35,3.16,8.55,25.47,4.09,,6.32,,5.02,4.83,6.32,33.65,3.16,5.21,3.9,4.65,,3.9,-2.661111,-11.166667,3.711111,0.056444,82.126667,-7.734568,69.638165
US_NY_36033,2020-01-11,ChIJ3VoMWMufy0wR3CWvgyqxnQ4,Q115247,geoId/36033,US,United States of America,NY,New York,36033,Franklin County,US,USA,2,,,,,,,50465,27734,22731,5213,5950,7303,6623,6318,7451,6071,3558,1978,87742,44.6,-74.31,4396,79.285714,,,,,4.23,7.05,4.94,6.58,5.41,4.23,6.11,3.53,3.29,12.93,4.7,7.76,,3.53,8.23,,6.11,,5.17,3.76,4.7,3.29,8.23,19.98,,,5.88,3.76,3.53,3.76,3.76,33.38,3.53,6.82,6.11,,,5.64,5.566667,1.566667,11.011111,4.741333,74.93,4.432099,92.317193
US_NY_36033,2020-01-12,ChIJ3VoMWMufy0wR3CWvgyqxnQ4,Q115247,geoId/36033,US,United States of America,NY,New York,36033,Franklin County,US,USA,2,,,,,,,50465,27734,22731,5213,5950,7303,6623,6318,7451,6071,3558,1978,87742,44.6,-74.31,4396,79.285714,,,,,7.38,9.16,4.25,10.51,8.72,,6.48,3.13,3.8,14.08,,8.72,6.04,4.25,6.93,3.58,4.47,4.92,,4.47,,3.8,4.92,23.47,6.48,,8.72,,3.35,4.25,,43.36,7.15,9.16,5.81,3.13,4.02,3.8,-2.294444,-7.266667,5.966667,28.589111,40.64,-3.654321,90.046882
US_NY_36033,2020-01-13,ChIJ3VoMWMufy0wR3CWvgyqxnQ4,Q115247,geoId/36033,US,United States of America,NY,New York,36033,Franklin County,US,USA,2,,,,,,,50465,27734,22731,5213,5950,7303,6623,6318,7451,6071,3558,1978,87742,44.6,-74.31,4396,79.285714,,,,,5.77,5.59,5.95,8.84,5.95,5.05,5.95,4.51,3.97,15.51,3.07,8.3,3.61,4.51,9.38,,4.51,3.07,4.51,3.79,3.97,,9.74,28.14,5.59,,6.31,4.33,3.25,4.15,3.25,36.43,4.15,5.23,6.49,2.89,5.59,3.79,-7.361111,-8.955556,-1.511111,0.733778,60.113333,-9.277778,86.100538
US_NY_36033,2020-01-14,ChIJ3VoMWMufy0wR3CWvgyqxnQ4,Q115247,geoId/36033,US,United States of America,NY,New York,36033,Franklin County,US,USA,2,,,,,,,50465,27734,22731,5213,5950,7303,6623,6318,7451,6071,3558,1978,87742,44.6,-74.31,4396,79.285714,,,,,5.39,7.25,6.14,10.23,10.41,4.09,7.81,2.79,,14.32,3.16,10.04,,5.39,5.58,3.35,5.21,,6.69,3.16,6.69,2.98,6.32,26.59,5.76,,7.44,4.28,3.53,4.09,6.14,38.49,4.46,6.88,5.76,4.46,3.72,5.02,-5.261111,-7.988889,-3.577778,0.141111,63.5,-6.790123,89.036948
US_NY_36033,2020-01-15,ChIJ3VoMWMufy0wR3CWvgyqxnQ4,Q115247,geoId/36033,US,United States of America,NY,New York,36033,Franklin County,US,USA,2,,,,,,,50465,27734,22731,5213,5950,7303,6623,6318,7451,6071,3558,1978,87742,44.6,-74.31,4396,79.285714,,,,,4.82,8.72,4.82,9.83,7.23,5.56,5.38,2.97,3.34,12.06,3.52,8.16,,3.9,13.35,3.9,5.01,5.19,2.78,3.15,2.97,2.6,6.31,29.12,7.6,5.19,6.49,,4.45,5.56,5.38,40.8,2.97,6.86,4.45,3.15,7.05,3.9,-1.694444,-5.722222,1.655556,0.903111,66.886667,-3.185185,89.996499
