location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_workplaces,mobility_residential,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_common_cold,search_trends_diabetes,search_trends_hypertension,search_trends_infection,search_trends_itch,search_trends_pain,search_trends_skin_rash,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_AR_05071,2020-01-13,ChIJfWYWNGE6zIcRu9FxdYnRlD8,Q61048,geoId/05071,US,United States of America,AR,Arkansas,05071,Johnson County,US,USA,2,,,,,,,26401,13119,13282,3599,3757,3374,3274,3014,3510,2935,1951,987,1826614,35.55,-93.466667,1768,77.316667,,,,,,,11.12,11.12,16.02,9.79,8.45,25.8,,40.48,7.12,3.366667,-1.45,10.738889,2.413,,0.905556,84.304922
US_AR_05071,2020-01-14,ChIJfWYWNGE6zIcRu9FxdYnRlD8,Q61048,geoId/05071,US,United States of America,AR,Arkansas,05071,Johnson County,US,USA,2,,,,,,,26401,13119,13282,3599,3757,3374,3274,3014,3510,2935,1951,987,1826614,35.55,-93.466667,1768,77.316667,,,,,,,13.72,12.83,13.72,11.06,10.18,36.73,,61.07,7.52,7.383333,2.522222,13.294444,0.0,,5.738889,89.531559
US_AR_05071,2020-01-15,ChIJfWYWNGE6zIcRu9FxdYnRlD8,Q61048,geoId/05071,US,United States of America,AR,Arkansas,05071,Johnson County,US,USA,2,,,,,,,26401,13119,13282,3599,3757,3374,3274,3014,3510,2935,1951,987,1826614,35.55,-93.466667,1768,77.316667,,,,,,,,8.87,16.4,7.09,7.09,35.02,,45.21,10.2,13.055556,8.377778,19.922222,0.0,,11.283333,89.115328
US_AR_05071,2020-01-16,ChIJfWYWNGE6zIcRu9FxdYnRlD8,Q61048,geoId/05071,US,United States of America,AR,Arkansas,05071,Johnson County,US,USA,2,,,,,,,26401,13119,13282,3599,3757,3374,3274,3014,3510,2935,1951,987,1826614,35.55,-93.466667,1768,77.316667,,,,,,,7.6,9.71,16.88,16.46,12.66,23.21,8.02,39.24,,7.411111,2.027778,15.277778,0.0,,2.288889,70.22269
US_AR_05071,2020-01-17,ChIJfWYWNGE6zIcRu9FxdYnRlD8,Q61048,geoId/05071,US,United States of America,AR,Arkansas,05071,Johnson County,US,USA,2,,,,,,,26401,13119,13282,3599,3757,3374,3274,3014,3510,2935,1951,987,1826614,35.55,-93.466667,1768,77.316667,,,,,,6.97,9.02,5.74,16.39,11.48,10.66,25.41,,34.84,,3.461111,1.216667,6.933333,3.410857,,-1.272222,71.461477
US_AR_05071,2020-01-18,ChIJfWYWNGE6zIcRu9FxdYnRlD8,Q61048,geoId/05071,US,United States of America,AR,Arkansas,05071,Johnson County,US,USA,2,,,,,,,26401,13119,13282,3599,3757,3374,3274,3014,3510,2935,1951,987,1826614,35.55,-93.466667,1768,77.316667,,,,,,10.32,10.86,9.78,19.55,16.3,8.15,27.7,12.49,41.28,,8.727778,3.566667,13.666667,11.938,,4.738889,76.109843
US_AR_05071,2020-01-19,ChIJfWYWNGE6zIcRu9FxdYnRlD8,Q61048,geoId/05071,US,United States of America,AR,Arkansas,05071,Johnson County,US,USA,2,,,,,,,26401,13119,13282,3599,3757,3374,3274,3014,3510,2935,1951,987,1826614,35.55,-93.466667,1768,77.316667,,,,,,7.81,,11.97,17.7,8.85,,25.5,8.85,42.68,,1.272222,-3.761111,7.038889,2.159,,-8.05,50.253003
US_AR_05071,2020-01-20,ChIJfWYWNGE6zIcRu9FxdYnRlD8,Q61048,geoId/05071,US,United States of America,AR,Arkansas,05071,Johnson County,US,USA,2,,,,,,,26401,13119,13282,3599,3757,3374,3274,3014,3510,2935,1951,987,1826614,35.55,-93.466667,1768,77.316667,,,,,,,12.29,10.24,20.99,15.36,10.75,33.28,13.83,54.79,8.71,-1.438889,-7.055556,5.444444,0.0,,-9.722222,53.513957
US_AR_05071,2020-01-21,ChIJfWYWNGE6zIcRu9FxdYnRlD8,Q61048,geoId/05071,US,United States of America,AR,Arkansas,05071,Johnson County,US,USA,2,,,,,,,26401,13119,13282,3599,3757,3374,3274,3014,3510,2935,1951,987,1826614,35.55,-93.466667,1768,77.316667,,,,,,,,6.55,22.09,7.77,6.14,39.69,7.77,41.32,10.64,-1.427778,-5.922222,4.733333,0.0,,-6.722222,67.322133
US_AR_05071,2020-01-22,ChIJfWYWNGE6zIcRu9FxdYnRlD8,Q61048,geoId/05071,US,United States of America,AR,Arkansas,05071,Johnson County,US,USA,2,,,,,,,26401,13119,13282,3599,3757,3374,3274,3014,3510,2935,1951,987,1826614,35.55,-93.466667,1768,77.316667,,,,,,13.74,7.33,14.2,18.32,8.24,8.24,31.15,7.33,45.81,9.16,0.061111,-1.655556,2.477778,0.471714,,-3.2,78.810889
