location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_infection,search_trends_pain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_MO_29059,2020-01-01,ChIJnwMsTfMLxYcR5drL3Ztt7qA,Q484734,geoId/29059,US,United States of America,MO,Missouri,29059,Dallas County,US,USA,2,,,,,,,16699,8320,8379,2146,2150,1791,1750,1821,2443,2343,1434,821,1180520,37.67,-93.02,1406,77.133333,,,,,29.33,38.55,4.419753,-1.91358,13.685185,0.0,,-5.194444,49.447143
US_MO_29059,2020-01-02,ChIJnwMsTfMLxYcR5drL3Ztt7qA,Q484734,geoId/29059,US,United States of America,MO,Missouri,29059,Dallas County,US,USA,2,,,,,,,16699,8320,8379,2146,2150,1791,1750,1821,2443,2343,1434,821,1180520,37.67,-93.02,1406,77.133333,,,,,34.95,34.95,7.574074,3.530864,12.055556,0.0,,1.958333,67.653972
US_MO_29059,2020-01-03,ChIJnwMsTfMLxYcR5drL3Ztt7qA,Q484734,geoId/29059,US,United States of America,MO,Missouri,29059,Dallas County,US,USA,2,,,,,,,16699,8320,8379,2146,2150,1791,1750,1821,2443,2343,1434,821,1180520,37.67,-93.02,1406,77.133333,,,,,20.05,34.25,6.018519,2.561728,9.969136,0.0,,4.118056,88.184007
US_MO_29059,2020-01-04,ChIJnwMsTfMLxYcR5drL3Ztt7qA,Q484734,geoId/29059,US,United States of America,MO,Missouri,29059,Dallas County,US,USA,2,,,,,,,16699,8320,8379,2146,2150,1791,1750,1821,2443,2343,1434,821,1180520,37.67,-93.02,1406,77.133333,,,,,21.89,42.22,2.123457,-0.858025,6.364198,0.0,,-3.902778,64.241963
US_MO_29059,2020-01-05,ChIJnwMsTfMLxYcR5drL3Ztt7qA,Q484734,geoId/29059,US,United States of America,MO,Missouri,29059,Dallas County,US,USA,2,,,,,,,16699,8320,8379,2146,2150,1791,1750,1821,2443,2343,1434,821,1180520,37.67,-93.02,1406,77.133333,,,,,20.97,26.84,4.074074,-1.839506,12.783951,0.0,,-5.555556,48.594637
US_MO_29059,2020-01-06,ChIJnwMsTfMLxYcR5drL3Ztt7qA,Q484734,geoId/29059,US,United States of America,MO,Missouri,29059,Dallas County,US,USA,2,,,,,,,16699,8320,8379,2146,2150,1791,1750,1821,2443,2343,1434,821,1180520,37.67,-93.02,1406,77.133333,,,,,26.09,39.56,2.987654,-4.444444,10.962963,0.0,,-5.868056,51.365509
US_MO_29059,2020-01-07,ChIJnwMsTfMLxYcR5drL3Ztt7qA,Q484734,geoId/29059,US,United States of America,MO,Missouri,29059,Dallas County,US,USA,2,,,,,,,16699,8320,8379,2146,2150,1791,1750,1821,2443,2343,1434,821,1180520,37.67,-93.02,1406,77.133333,,,,,26.41,44.01,3.833333,-1.154321,10.277778,0.0,,-4.708333,53.707836
US_MO_29059,2020-01-08,ChIJnwMsTfMLxYcR5drL3Ztt7qA,Q484734,geoId/29059,US,United States of America,MO,Missouri,29059,Dallas County,US,USA,2,,,,,,,16699,8320,8379,2146,2150,1791,1750,1821,2443,2343,1434,821,1180520,37.67,-93.02,1406,77.133333,,,,,32.08,28.35,5.604938,-1.537037,14.91358,0.0,,-5.451389,44.642745
US_MO_29059,2020-01-09,ChIJnwMsTfMLxYcR5drL3Ztt7qA,Q484734,geoId/29059,US,United States of America,MO,Missouri,29059,Dallas County,US,USA,2,,,,,,,16699,8320,8379,2146,2150,1791,1750,1821,2443,2343,1434,821,1180520,37.67,-93.02,1406,77.133333,,,,,33.95,29.32,11.209877,8.111111,14.018519,0.145143,,2.0625,52.633803
US_MO_29059,2020-01-10,ChIJnwMsTfMLxYcR5drL3Ztt7qA,Q484734,geoId/29059,US,United States of America,MO,Missouri,29059,Dallas County,US,USA,2,,,,,,,16699,8320,8379,2146,2150,1791,1750,1821,2443,2343,1434,821,1180520,37.67,-93.02,1406,77.133333,,,,,,31.93,13.148148,8.611111,16.975309,16.0528,,12.430556,95.875964
US_MO_29059,2020-01-11,ChIJnwMsTfMLxYcR5drL3Ztt7qA,Q484734,geoId/29059,US,United States of America,MO,Missouri,29059,Dallas County,US,USA,2,,,,,,,16699,8320,8379,2146,2150,1791,1750,1821,2443,2343,1434,821,1180520,37.67,-93.02,1406,77.133333,,,,,25.84,41.5,1.006173,-5.246914,11.432099,66.1924,,0.0625,96.061454
US_MO_29059,2020-01-12,ChIJnwMsTfMLxYcR5drL3Ztt7qA,Q484734,geoId/29059,US,United States of America,MO,Missouri,29059,Dallas County,US,USA,2,,,,,,,16699,8320,8379,2146,2150,1791,1750,1821,2443,2343,1434,821,1180520,37.67,-93.02,1406,77.133333,,,,,22.39,30.11,-4.438272,-6.623457,-0.91358,7.196667,,-5.215278,93.932728
US_MO_29059,2020-01-13,ChIJnwMsTfMLxYcR5drL3Ztt7qA,Q484734,geoId/29059,US,United States of America,MO,Missouri,29059,Dallas County,US,USA,2,,,,,,,16699,8320,8379,2146,2150,1791,1750,1821,2443,2343,1434,821,1180520,37.67,-93.02,1406,77.133333,,,,,29.14,30.57,0.092593,-3.376543,5.611111,0.0,30.48,-0.5625,94.92829
US_MO_29059,2020-01-14,ChIJnwMsTfMLxYcR5drL3Ztt7qA,Q484734,geoId/29059,US,United States of America,MO,Missouri,29059,Dallas County,US,USA,2,,,,,,,16699,8320,8379,2146,2150,1791,1750,1821,2443,2343,1434,821,1180520,37.67,-93.02,1406,77.133333,,,,,16.9,33.79,5.148148,0.641975,10.641975,0.169333,,4.152778,92.47279
