location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_cough,search_trends_diabetes,search_trends_fatigue,search_trends_fever,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_obesity,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_WI_55049,2020-01-11,ChIJv1SsUZFi_YcRpUHezaeB5fA,Q501582,geoId/55049,US,United States of America,WI,Wisconsin,55049,Iowa County,US,USA,2,,,,,,,23676,11894,11782,2871,3086,2360,2789,2766,3768,3336,1742,958,1799446,43.0,-90.13,1989,,,,,,6.1,9.32,6.1,,5.02,,15.78,6.81,8.61,5.74,5.38,5.38,25.82,9.68,6.81,,35.14,7.17,,-4.133333,-6.516667,-1.022222,4.741333,50.8,-7.644444,77.075734
US_WI_55049,2020-01-12,ChIJv1SsUZFi_YcRpUHezaeB5fA,Q501582,geoId/55049,US,United States of America,WI,Wisconsin,55049,Iowa County,US,USA,2,,,,,,,23676,11894,11782,2871,3086,2360,2789,2766,3768,3336,1742,958,1799446,43.0,-90.13,1989,,,,,,,6.88,5.85,8.26,,5.5,15.83,8.6,4.82,5.16,,5.5,19.61,,5.5,4.82,25.11,6.19,8.26,-6.827778,-10.427778,-3.3,0.141111,40.64,-10.944444,72.757215
US_WI_55049,2020-01-13,ChIJv1SsUZFi_YcRpUHezaeB5fA,Q501582,geoId/55049,US,United States of America,WI,Wisconsin,55049,Iowa County,US,USA,2,,,,,,,23676,11894,11782,2871,3086,2360,2789,2766,3768,3336,1742,958,1799446,43.0,-90.13,1989,,,,,,,6.01,9.61,9.01,,5.71,16.52,11.72,9.01,4.21,5.11,5.11,18.93,7.51,,6.01,30.94,4.51,5.71,-3.055556,-5.005556,-1.522222,1.4605,54.61,-4.733333,88.338246
US_WI_55049,2020-01-14,ChIJv1SsUZFi_YcRpUHezaeB5fA,Q501582,geoId/55049,US,United States of America,WI,Wisconsin,55049,Iowa County,US,USA,2,,,,,,,23676,11894,11782,2871,3086,2360,2789,2766,3768,3336,1742,958,1799446,43.0,-90.13,1989,,,,,,5.83,,5.83,10.79,,5.25,16.05,8.46,6.71,7.29,4.96,6.13,22.75,4.96,5.54,4.67,31.51,6.71,5.25,-0.127778,-2.961111,1.622222,0.5715,50.8,-1.605556,89.976165
US_WI_55049,2020-01-15,ChIJv1SsUZFi_YcRpUHezaeB5fA,Q501582,geoId/55049,US,United States of America,WI,Wisconsin,55049,Iowa County,US,USA,2,,,,,,,23676,11894,11782,2871,3086,2360,2789,2766,3768,3336,1742,958,1799446,43.0,-90.13,1989,,,,,,4.2,4.8,7.2,7.2,5.1,,13.2,5.4,5.7,4.8,6.3,4.8,29.4,6.0,5.1,,35.7,10.5,7.2,-4.361111,-8.961111,-0.244444,0.042333,50.8,-5.822222,89.734818
US_WI_55049,2020-01-16,ChIJv1SsUZFi_YcRpUHezaeB5fA,Q501582,geoId/55049,US,United States of America,WI,Wisconsin,55049,Iowa County,US,USA,2,,,,,,,23676,11894,11782,2871,3086,2360,2789,2766,3768,3336,1742,958,1799446,43.0,-90.13,1989,,,,,,,4.88,9.75,4.27,4.88,4.57,14.93,5.49,5.79,,4.27,4.27,20.72,4.27,5.49,,29.26,5.49,,-11.622222,-18.033333,-2.277778,0.072571,50.8,-16.033333,70.063978
US_WI_55049,2020-01-17,ChIJv1SsUZFi_YcRpUHezaeB5fA,Q501582,geoId/55049,US,United States of America,WI,Wisconsin,55049,Iowa County,US,USA,2,,,,,,,23676,11894,11782,2871,3086,2360,2789,2766,3768,3336,1742,958,1799446,43.0,-90.13,1989,,,,,,,9.26,5.86,6.17,,5.25,13.57,4.94,5.25,,6.79,,16.97,6.17,,5.25,33.01,,,-11.338889,-16.905556,-4.0,0.544286,74.93,-14.838889,75.485443
US_WI_55049,2020-01-18,ChIJv1SsUZFi_YcRpUHezaeB5fA,Q501582,geoId/55049,US,United States of America,WI,Wisconsin,55049,Iowa County,US,USA,2,,,,,,,23676,11894,11782,2871,3086,2360,2789,2766,3768,3336,1742,958,1799446,43.0,-90.13,1989,,,,,,,9.64,9.64,,5.79,6.17,16.58,11.18,5.79,,,,20.82,,6.17,7.33,33.94,,,-3.755556,-14.338889,-0.483333,3.6195,100.33,-5.166667,90.097205
US_WI_55049,2020-01-19,ChIJv1SsUZFi_YcRpUHezaeB5fA,Q501582,geoId/55049,US,United States of America,WI,Wisconsin,55049,Iowa County,US,USA,2,,,,,,,23676,11894,11782,2871,3086,2360,2789,2766,3768,3336,1742,958,1799446,43.0,-90.13,1989,,,,,,,,7.49,5.35,4.99,8.56,13.55,8.2,5.71,,,,21.76,,,5.35,35.31,,,-14.744444,-18.244444,-8.322222,0.28575,139.7,-18.5,73.299287
US_WI_55049,2020-01-20,ChIJv1SsUZFi_YcRpUHezaeB5fA,Q501582,geoId/55049,US,United States of America,WI,Wisconsin,55049,Iowa County,US,USA,2,,,,,,,23676,11894,11782,2871,3086,2360,2789,2766,3768,3336,1742,958,1799446,43.0,-90.13,1989,,,,,,,5.02,10.05,5.91,4.73,,15.37,8.57,7.39,4.73,5.32,5.02,26.3,5.02,5.32,5.32,30.73,6.8,7.39,-9.577778,-13.983333,-4.666667,0.09525,129.54,-12.527778,79.360723
