location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_confirmed_age_0,new_confirmed_age_1,new_confirmed_age_2,new_confirmed_age_3,new_confirmed_age_4,new_confirmed_age_5,new_confirmed_age_6,new_confirmed_age_7,new_confirmed_age_8,new_confirmed_age_9,cumulative_confirmed_age_0,cumulative_confirmed_age_1,cumulative_confirmed_age_2,cumulative_confirmed_age_3,cumulative_confirmed_age_4,cumulative_confirmed_age_5,cumulative_confirmed_age_6,cumulative_confirmed_age_7,cumulative_confirmed_age_8,cumulative_confirmed_age_9,new_deceased_age_0,new_deceased_age_1,new_deceased_age_2,new_deceased_age_3,new_deceased_age_4,new_deceased_age_5,new_deceased_age_6,new_deceased_age_7,new_deceased_age_8,new_deceased_age_9,cumulative_deceased_age_0,cumulative_deceased_age_1,cumulative_deceased_age_2,cumulative_deceased_age_3,cumulative_deceased_age_4,cumulative_deceased_age_5,cumulative_deceased_age_6,cumulative_deceased_age_7,cumulative_deceased_age_8,cumulative_deceased_age_9,new_hospitalized_patients_age_0,new_hospitalized_patients_age_1,new_hospitalized_patients_age_2,new_hospitalized_patients_age_3,new_hospitalized_patients_age_4,new_hospitalized_patients_age_5,new_hospitalized_patients_age_6,new_hospitalized_patients_age_7,new_hospitalized_patients_age_8,new_hospitalized_patients_age_9,cumulative_hospitalized_patients_age_0,cumulative_hospitalized_patients_age_1,cumulative_hospitalized_patients_age_2,cumulative_hospitalized_patients_age_3,cumulative_hospitalized_patients_age_4,cumulative_hospitalized_patients_age_5,cumulative_hospitalized_patients_age_6,cumulative_hospitalized_patients_age_7,cumulative_hospitalized_patients_age_8,cumulative_hospitalized_patients_age_9,age_bin_0,age_bin_1,age_bin_2,age_bin_3,age_bin_4,age_bin_5,age_bin_6,age_bin_7,age_bin_8,age_bin_9,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_obesity,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_asthma,search_trends_attention_deficit_hyperactivity_disorder,search_trends_back_pain,search_trends_bleeding,search_trends_bone_fracture,search_trends_burn,search_trends_candidiasis,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_dermatitis,search_trends_diabetes,search_trends_diarrhea,search_trends_epilepsy,search_trends_erectile_dysfunction,search_trends_fatigue,search_trends_fever,search_trends_flatulence,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_heartburn,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_low_back_pain,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_myocardial_infarction,search_trends_obesity,search_trends_pain,search_trends_scar,search_trends_skin_condition,search_trends_skin_rash,search_trends_sleep_disorder,search_trends_stroke,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_vaginal_discharge,search_trends_vomiting,search_trends_weight_gain,search_trends_xeroderma,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_GA_13029,2020-01-11,ChIJpfrgQQwB-4gRB-0UjvO6CYs,Q486848,geoId/13029,US,United States of America,GA,Georgia,13029,Bryan County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36999,18320,18679,5802,5930,4314,5898,5147,4302,3145,1679,782,1028123,32.02,-81.44,1177,76.14,,,,,,,,4.16,10.75,3.99,12.48,7.46,5.89,2.95,5.55,6.93,4.16,3.12,2.6,3.29,12.48,3.64,7.8,3.47,4.68,2.43,7.8,4.16,4.68,3.47,4.68,6.24,,4.86,4.68,4.86,3.64,5.03,24.45,4.68,,8.5,2.95,2.95,4.68,2.6,6.07,38.84,2.77,3.47,9.71,,3.64,4.86,4.86,5.55,5.55,,3.64,,20.111111,15.141975,24.12963,0.254,,17.840278,86.106896
US_GA_13029,2020-01-12,ChIJpfrgQQwB-4gRB-0UjvO6CYs,Q486848,geoId/13029,US,United States of America,GA,Georgia,13029,Bryan County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36999,18320,18679,5802,5930,4314,5898,5147,4302,3145,1679,782,1028123,32.02,-81.44,1177,76.14,,,,,,,3.2,6.06,11.27,3.36,9.42,7.23,5.89,,6.39,8.24,3.87,,,,13.96,6.22,8.24,3.03,5.05,3.03,8.07,5.05,6.56,3.53,4.71,4.04,,3.7,2.86,4.21,,7.74,26.91,5.89,4.21,6.39,5.38,7.07,3.87,2.69,5.55,46.59,4.21,4.54,9.59,4.88,2.35,7.57,3.53,4.21,,3.87,3.7,4.54,21.425926,18.58642,25.12963,1.778,,19.736111,88.735306
US_GA_13029,2020-01-13,ChIJpfrgQQwB-4gRB-0UjvO6CYs,Q486848,geoId/13029,US,United States of America,GA,Georgia,13029,Bryan County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36999,18320,18679,5802,5930,4314,5898,5147,4302,3145,1679,782,1028123,32.02,-81.44,1177,76.14,,,,,,,2.44,7.16,7.31,3.66,11.43,7.77,7.01,3.2,4.72,7.92,4.27,4.42,,2.13,12.34,4.72,7.16,3.05,5.18,2.89,8.99,3.35,3.81,3.2,5.33,3.96,2.44,5.03,,5.03,3.66,7.46,30.32,6.09,3.96,10.82,3.96,6.4,5.18,,5.18,44.79,2.74,6.55,9.9,3.81,2.89,5.33,3.05,4.88,3.5,3.96,2.74,2.13,21.080247,18.345679,25.567901,1.68275,,19.472222,89.124281
US_GA_13029,2020-01-14,ChIJpfrgQQwB-4gRB-0UjvO6CYs,Q486848,geoId/13029,US,United States of America,GA,Georgia,13029,Bryan County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36999,18320,18679,5802,5930,4314,5898,5147,4302,3145,1679,782,1028123,32.02,-81.44,1177,76.14,,,,,,,2.09,5.01,8.91,3.34,10.44,7.8,5.71,2.65,5.57,4.87,4.46,2.51,,2.23,11.56,3.62,7.24,2.79,5.99,2.37,7.24,4.04,4.32,2.09,6.13,5.99,,4.04,3.2,5.43,2.23,6.68,24.78,7.94,3.76,8.35,2.92,5.29,5.01,2.37,5.57,37.18,2.92,6.82,8.63,3.06,2.09,6.27,3.34,4.59,3.76,3.06,3.34,,20.351852,16.475309,25.882716,0.0,,18.006944,85.202353
US_GA_13029,2020-01-15,ChIJpfrgQQwB-4gRB-0UjvO6CYs,Q486848,geoId/13029,US,United States of America,GA,Georgia,13029,Bryan County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36999,18320,18679,5802,5930,4314,5898,5147,4302,3145,1679,782,1028123,32.02,-81.44,1177,76.14,,,,,,,2.12,4.09,9.46,4.8,12.43,7.91,3.39,2.82,6.36,4.94,3.81,2.26,,2.12,12.71,3.11,6.78,,3.11,2.12,7.49,3.11,2.97,3.39,4.94,4.94,3.11,4.38,3.39,3.95,3.25,6.78,26.69,5.08,3.11,7.63,2.54,3.25,7.06,3.95,3.95,36.58,2.26,6.21,6.64,2.54,2.82,8.05,3.67,5.08,2.82,2.54,3.95,,20.246914,16.95679,25.783951,0.0,,17.395833,83.447557
US_GA_13029,2020-01-16,ChIJpfrgQQwB-4gRB-0UjvO6CYs,Q486848,geoId/13029,US,United States of America,GA,Georgia,13029,Bryan County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36999,18320,18679,5802,5930,4314,5898,5147,4302,3145,1679,782,1028123,32.02,-81.44,1177,76.14,,,,,,,2.4,4.67,8.48,2.55,10.89,7.78,3.39,,4.38,4.67,2.97,2.26,,,11.6,4.24,7.78,3.54,5.8,2.12,8.63,2.97,2.55,2.26,5.23,4.81,2.83,2.97,5.94,6.5,,4.81,22.91,4.81,4.38,7.35,4.24,5.66,4.38,2.69,7.92,39.03,4.24,2.83,6.36,2.55,2.97,5.09,2.83,4.67,,,3.25,,20.018519,16.574074,25.611111,0.0,,16.513889,79.997546
US_GA_13029,2020-01-17,ChIJpfrgQQwB-4gRB-0UjvO6CYs,Q486848,geoId/13029,US,United States of America,GA,Georgia,13029,Bryan County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36999,18320,18679,5802,5930,4314,5898,5147,4302,3145,1679,782,1028123,32.02,-81.44,1177,76.14,,,,,,,,4.76,8.96,3.64,11.2,6.86,5.88,5.46,3.92,5.88,2.94,2.66,2.1,3.08,11.76,3.64,7.42,3.5,2.8,2.52,5.04,5.32,4.62,,5.6,4.62,3.64,3.36,4.34,2.66,3.08,5.74,23.51,6.58,2.52,6.86,3.64,4.9,4.48,2.38,5.74,33.17,2.94,3.78,8.4,2.1,,4.34,2.8,3.36,1.96,4.76,3.78,2.1,13.141975,8.919753,22.037037,0.0,,-0.868056,38.270185
US_GA_13029,2020-01-18,ChIJpfrgQQwB-4gRB-0UjvO6CYs,Q486848,geoId/13029,US,United States of America,GA,Georgia,13029,Bryan County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36999,18320,18679,5802,5930,4314,5898,5147,4302,3145,1679,782,1028123,32.02,-81.44,1177,76.14,,,,,,,,5.16,11.02,3.02,9.96,4.44,6.22,,3.2,5.51,4.09,4.44,2.67,4.09,15.82,4.44,9.24,3.38,2.84,,5.87,5.51,2.84,2.49,3.73,5.16,4.09,2.67,4.98,4.8,2.67,7.11,25.42,7.11,,8.36,,3.02,4.09,,3.56,37.69,5.16,2.67,7.29,,3.2,5.51,2.67,3.56,2.67,4.09,3.2,2.84,11.604938,7.0,20.228395,0.0,,4.965278,63.958619
US_GA_13029,2020-01-19,ChIJpfrgQQwB-4gRB-0UjvO6CYs,Q486848,geoId/13029,US,United States of America,GA,Georgia,13029,Bryan County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36999,18320,18679,5802,5930,4314,5898,5147,4302,3145,1679,782,1028123,32.02,-81.44,1177,76.14,,,,,,,2.74,6.33,9.07,4.45,13.01,5.31,6.16,,2.4,6.33,4.79,2.91,2.91,2.4,13.87,5.14,9.93,3.6,3.08,,3.77,5.65,,5.14,4.28,4.28,3.42,4.96,6.33,9.07,3.6,4.96,21.91,6.5,3.08,9.24,2.91,3.25,6.5,,4.62,43.14,3.77,4.79,4.62,,3.25,7.36,3.08,3.25,2.91,,,,16.549383,9.067901,19.290123,0.0635,,11.451389,71.767204
US_GA_13029,2020-01-20,ChIJpfrgQQwB-4gRB-0UjvO6CYs,Q486848,geoId/13029,US,United States of America,GA,Georgia,13029,Bryan County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36999,18320,18679,5802,5930,4314,5898,5147,4302,3145,1679,782,1028123,32.02,-81.44,1177,76.14,,,,,,,,4.64,7.74,5.33,12.21,8.26,4.64,2.75,4.64,5.68,5.85,3.61,,3.1,17.03,,8.94,,4.3,,9.29,2.58,,3.78,5.33,5.16,,3.61,5.16,3.96,3.78,10.32,24.25,6.71,2.58,6.19,,3.27,2.92,5.33,5.85,41.97,3.1,5.68,5.33,2.58,3.96,6.71,6.02,4.82,4.99,2.58,3.61,3.1,6.45679,2.444444,10.944444,0.0,,-4.395833,46.052059
