location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_cough,search_trends_diabetes,search_trends_fever,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_obesity,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_KS_20009,2020-01-01,ChIJN6Yc7e6Oo4cRPxdI4V1TMU8,Q376096,geoId/20009,US,United States of America,KS,Kansas,20009,Barton County,US,USA,2,,,,,,,26394,13042,13352,3451,3550,3071,3192,2539,3651,3498,1887,1555,1070363,38.4667,-98.7667,2332,78.4125,,,,,11.73,15.15,10.75,,,19.05,15.63,10.75,,8.31,24.92,,8.31,,43.0,11.24,,1.388889,-5.135802,11.5,0.0,,-4.265432,66.130478
US_KS_20009,2020-01-02,ChIJN6Yc7e6Oo4cRPxdI4V1TMU8,Q376096,geoId/20009,US,United States of America,KS,Kansas,20009,Barton County,US,USA,2,,,,,,,26394,13042,13352,3451,3550,3071,3192,2539,3651,3498,1887,1555,1070363,38.4667,-98.7667,2332,78.4125,,,,,10.07,15.33,11.83,,10.07,21.03,13.14,8.32,10.95,14.02,38.11,,7.01,8.76,47.75,9.64,10.51,4.253086,-0.759259,10.475309,0.0,,-0.333333,72.161179
US_KS_20009,2020-01-03,ChIJN6Yc7e6Oo4cRPxdI4V1TMU8,Q376096,geoId/20009,US,United States of America,KS,Kansas,20009,Barton County,US,USA,2,,,,,,,26394,13042,13352,3451,3550,3071,3192,2539,3651,3498,1887,1555,1070363,38.4667,-98.7667,2332,78.4125,,,,,13.09,18.32,8.73,,9.16,18.32,12.65,11.34,,7.42,40.14,8.29,9.6,6.98,50.17,11.34,7.42,2.746914,-3.012346,9.617284,0.0,,-1.481481,73.779927
US_KS_20009,2020-01-04,ChIJN6Yc7e6Oo4cRPxdI4V1TMU8,Q376096,geoId/20009,US,United States of America,KS,Kansas,20009,Barton County,US,USA,2,,,,,,,26394,13042,13352,3451,3550,3071,3192,2539,3651,3498,1887,1555,1070363,38.4667,-98.7667,2332,78.4125,,,,,8.83,10.31,,8.34,11.78,21.1,15.7,14.23,,,35.82,,12.76,,52.02,9.81,8.83,2.006173,-5.574074,10.962963,0.0,,-4.401235,62.805962
US_KS_20009,2020-01-05,ChIJN6Yc7e6Oo4cRPxdI4V1TMU8,Q376096,geoId/20009,US,United States of America,KS,Kansas,20009,Barton County,US,USA,2,,,,,,,26394,13042,13352,3451,3550,3071,3192,2539,3651,3498,1887,1555,1070363,38.4667,-98.7667,2332,78.4125,,,,,11.56,13.4,7.86,6.93,8.78,17.1,9.24,7.4,,,35.13,,8.32,6.93,48.54,,11.09,5.339506,-1.697531,11.080247,0.0,,-3.450617,53.177277
US_KS_20009,2020-01-06,ChIJN6Yc7e6Oo4cRPxdI4V1TMU8,Q376096,geoId/20009,US,United States of America,KS,Kansas,20009,Barton County,US,USA,2,,,,,,,26394,13042,13352,3451,3550,3071,3192,2539,3651,3498,1887,1555,1070363,38.4667,-98.7667,2332,78.4125,,,,,7.04,11.86,9.64,,,17.8,9.64,10.01,8.53,10.01,50.79,6.67,10.38,,40.41,8.16,8.16,1.166667,-5.993827,10.660494,0.0,,-6.166667,58.278575
US_KS_20009,2020-01-07,ChIJN6Yc7e6Oo4cRPxdI4V1TMU8,Q376096,geoId/20009,US,United States of America,KS,Kansas,20009,Barton County,US,USA,2,,,,,,,26394,13042,13352,3451,3550,3071,3192,2539,3651,3498,1887,1555,1070363,38.4667,-98.7667,2332,78.4125,,,,,6.67,10.75,9.64,5.19,,17.8,12.23,11.12,10.38,5.93,48.94,6.67,7.79,,41.15,10.75,5.93,2.395062,-5.864198,14.302469,0.0,,-7.135802,49.63918
US_KS_20009,2020-01-08,ChIJN6Yc7e6Oo4cRPxdI4V1TMU8,Q376096,geoId/20009,US,United States of America,KS,Kansas,20009,Barton County,US,USA,2,,,,,,,26394,13042,13352,3451,3550,3071,3192,2539,3651,3498,1887,1555,1070363,38.4667,-98.7667,2332,78.4125,,,,,5.88,6.25,12.86,8.08,9.19,19.84,12.86,12.86,8.45,10.66,47.4,8.82,10.29,9.55,47.77,16.17,,3.617284,-4.092593,14.5,0.056444,,-5.524691,51.631726
US_KS_20009,2020-01-09,ChIJN6Yc7e6Oo4cRPxdI4V1TMU8,Q376096,geoId/20009,US,United States of America,KS,Kansas,20009,Barton County,US,USA,2,,,,,,,26394,13042,13352,3451,3550,3071,3192,2539,3651,3498,1887,1555,1070363,38.4667,-98.7667,2332,78.4125,,,,,7.21,9.86,6.07,,8.35,12.52,7.97,11.0,5.69,9.86,35.66,7.21,10.24,9.86,48.55,12.14,,8.58642,1.271605,13.716049,0.0,,-0.907407,51.379598
US_KS_20009,2020-01-10,ChIJN6Yc7e6Oo4cRPxdI4V1TMU8,Q376096,geoId/20009,US,United States of America,KS,Kansas,20009,Barton County,US,USA,2,,,,,,,26394,13042,13352,3451,3550,3071,3192,2539,3651,3498,1887,1555,1070363,38.4667,-98.7667,2332,78.4125,,,,,9.91,7.34,8.44,5.51,6.24,14.69,,8.08,,5.51,32.31,9.91,5.87,,48.46,6.61,5.14,1.259259,-4.154321,8.895062,0.564444,,-2.253086,77.515863
US_KS_20009,2020-01-11,ChIJN6Yc7e6Oo4cRPxdI4V1TMU8,Q376096,geoId/20009,US,United States of America,KS,Kansas,20009,Barton County,US,USA,2,,,,,,,26394,13042,13352,3451,3550,3071,3192,2539,3651,3498,1887,1555,1070363,38.4667,-98.7667,2332,78.4125,,,,,10.95,,8.09,,,15.71,13.33,12.38,,,31.42,,12.38,,51.88,12.85,,-6.925926,-11.283951,-0.283951,1.467556,,-11.611111,69.44182
US_KS_20009,2020-01-12,ChIJN6Yc7e6Oo4cRPxdI4V1TMU8,Q376096,geoId/20009,US,United States of America,KS,Kansas,20009,Barton County,US,USA,2,,,,,,,26394,13042,13352,3451,3550,3071,3192,2539,3651,3498,1887,1555,1070363,38.4667,-98.7667,2332,78.4125,,,,,11.3,9.49,7.23,,9.95,15.37,14.01,9.49,7.68,,22.15,9.95,7.23,,38.42,8.14,,-3.530864,-7.907407,2.679012,0.0,,-6.395062,80.831591
US_KS_20009,2020-01-13,ChIJN6Yc7e6Oo4cRPxdI4V1TMU8,Q376096,geoId/20009,US,United States of America,KS,Kansas,20009,Barton County,US,USA,2,,,,,,,26394,13042,13352,3451,3550,3071,3192,2539,3651,3498,1887,1555,1070363,38.4667,-98.7667,2332,78.4125,,,,,7.34,12.11,13.57,5.5,9.17,19.08,9.54,12.47,8.81,10.64,37.79,5.14,5.87,6.6,54.3,8.81,8.81,-0.024691,-6.395062,9.5,0.0,,-3.08642,80.885795
US_KS_20009,2020-01-14,ChIJN6Yc7e6Oo4cRPxdI4V1TMU8,Q376096,geoId/20009,US,United States of America,KS,Kansas,20009,Barton County,US,USA,2,,,,,,,26394,13042,13352,3451,3550,3071,3192,2539,3651,3498,1887,1555,1070363,38.4667,-98.7667,2332,78.4125,,,,,6.92,15.3,12.03,8.02,9.84,18.59,7.29,14.21,7.29,8.02,27.33,10.93,6.56,,52.11,9.11,7.29,2.549383,-3.074074,10.444444,0.0,,0.555556,87.193112
US_KS_20009,2020-01-15,ChIJN6Yc7e6Oo4cRPxdI4V1TMU8,Q376096,geoId/20009,US,United States of America,KS,Kansas,20009,Barton County,US,USA,2,,,,,,,26394,13042,13352,3451,3550,3071,3192,2539,3651,3498,1887,1555,1070363,38.4667,-98.7667,2332,78.4125,,,,,7.43,12.26,9.66,5.57,,18.21,5.2,11.15,5.2,10.78,32.7,10.4,9.29,9.29,47.19,13.38,13.38,3.17284,-1.783951,7.487654,0.0,,0.314815,81.610743
US_KS_20009,2020-01-16,ChIJN6Yc7e6Oo4cRPxdI4V1TMU8,Q376096,geoId/20009,US,United States of America,KS,Kansas,20009,Barton County,US,USA,2,,,,,,,26394,13042,13352,3451,3550,3071,3192,2539,3651,3498,1887,1555,1070363,38.4667,-98.7667,2332,78.4125,,,,,7.76,8.5,8.87,5.54,9.24,23.65,12.56,11.08,,9.24,34.73,5.17,,9.61,41.38,8.87,,-6.641975,-10.635802,0.783951,0.0,,-12.185185,64.839982
US_KS_20009,2020-01-17,ChIJN6Yc7e6Oo4cRPxdI4V1TMU8,Q376096,geoId/20009,US,United States of America,KS,Kansas,20009,Barton County,US,USA,2,,,,,,,26394,13042,13352,3451,3550,3071,3192,2539,3651,3498,1887,1555,1070363,38.4667,-98.7667,2332,78.4125,,,,,12.39,8.26,7.84,6.19,7.43,16.93,9.5,14.45,5.78,,30.55,7.84,9.08,,41.7,8.26,6.61,-1.049383,-4.802469,3.41358,5.729111,,-2.95679,86.942626
