location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,elevation_m,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_abdominal_obesity,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_asthma,search_trends_attention_deficit_hyperactivity_disorder,search_trends_back_pain,search_trends_bleeding,search_trends_bone_fracture,search_trends_candidiasis,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_dermatitis,search_trends_diabetes,search_trends_diarrhea,search_trends_erectile_dysfunction,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_heartburn,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_low_back_pain,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_myocardial_infarction,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_stroke,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_vaginal_discharge,search_trends_vomiting,search_trends_weight_gain,search_trends_xeroderma,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_KY_21195,2020-01-01,ChIJZVoNvLVlRYgRw62onBS_BEA,Q496729,geoId/21195,US,United States of America,KY,Kentucky,21195,Pike County,US,USA,2,,,,,,,58905,28759,30146,6522,6979,6836,6791,7934,8660,8226,4708,2249,1846577,37.46902,-82.39587,561,2043,72.678947,,,,,3.26,3.62,11.22,6.52,11.95,8.33,6.88,2.9,,4.71,7.42,,5.07,19.37,2.53,12.31,2.53,4.71,,7.78,4.16,4.16,6.52,5.07,5.07,2.71,5.97,5.25,9.96,34.76,5.61,2.71,10.14,4.53,3.62,5.25,3.44,8.51,37.84,7.24,9.59,4.16,6.52,3.98,6.7,3.26,4.71,4.71,,3.814815,1.432099,7.882716,0.0,,-2.376543,64.183197
US_KY_21195,2020-01-02,ChIJZVoNvLVlRYgRw62onBS_BEA,Q496729,geoId/21195,US,United States of America,KY,Kentucky,21195,Pike County,US,USA,2,,,,,,,58905,28759,30146,6522,6979,6836,6791,7934,8660,8226,4708,2249,1846577,37.46902,-82.39587,561,2043,72.678947,,,,,2.16,5.48,7.78,3.31,10.52,8.79,7.78,3.03,3.75,6.2,5.19,3.17,4.61,16.0,3.17,10.38,3.89,6.05,,9.51,6.49,,5.48,5.33,6.49,5.48,4.61,4.32,12.69,38.34,7.64,5.04,8.07,2.31,5.48,5.04,,9.22,42.95,6.34,8.5,4.9,6.78,6.05,6.34,5.04,3.75,4.61,3.6,4.790123,0.444444,10.17284,0.508,,-2.425926,60.057669
US_KY_21195,2020-01-03,ChIJZVoNvLVlRYgRw62onBS_BEA,Q496729,geoId/21195,US,United States of America,KY,Kentucky,21195,Pike County,US,USA,2,,,,,,,58905,28759,30146,6522,6979,6836,6791,7934,8660,8226,4708,2249,1846577,37.46902,-82.39587,561,2043,72.678947,,,,,2.13,4.27,8.82,2.99,12.67,7.12,5.27,3.27,3.84,6.83,3.98,3.27,4.55,19.36,2.85,11.81,3.13,4.55,2.56,10.82,4.84,5.27,5.69,3.98,5.84,4.27,5.12,4.27,11.1,35.01,7.12,3.27,7.97,3.7,5.84,5.69,3.84,9.11,39.57,5.12,9.96,3.13,5.55,4.98,5.98,2.85,3.56,4.84,,10.395062,5.759259,12.506173,14.859,,10.018519,97.541358
US_KY_21195,2020-01-04,ChIJZVoNvLVlRYgRw62onBS_BEA,Q496729,geoId/21195,US,United States of America,KY,Kentucky,21195,Pike County,US,USA,2,,,,,,,58905,28759,30146,6522,6979,6836,6791,7934,8660,8226,4708,2249,1846577,37.46902,-82.39587,561,2043,72.678947,,,,,3.58,6.25,10.19,3.4,11.8,8.22,5.36,,3.22,7.33,4.83,5.18,3.93,18.05,3.93,11.26,4.65,3.4,,7.86,5.0,,6.08,6.61,6.97,3.93,5.72,5.9,9.83,28.95,7.15,4.83,5.9,4.29,5.36,5.36,3.04,7.68,42.18,3.04,5.54,3.58,6.79,4.29,5.54,3.58,4.47,3.75,2.5,8.888889,1.055556,12.67284,9.7155,,7.833333,93.153718
US_KY_21195,2020-01-05,ChIJZVoNvLVlRYgRw62onBS_BEA,Q496729,geoId/21195,US,United States of America,KY,Kentucky,21195,Pike County,US,USA,2,,,,,,,58905,28759,30146,6522,6979,6836,6791,7934,8660,8226,4708,2249,1846577,37.46902,-82.39587,561,2043,72.678947,,,,,3.53,5.76,9.67,4.09,14.32,10.6,3.35,3.35,2.79,6.51,5.02,4.65,4.09,17.29,5.21,10.97,4.28,3.53,,8.92,5.39,3.72,5.95,5.58,2.79,4.65,5.76,3.16,6.69,31.23,7.99,5.95,10.97,2.98,5.21,4.09,2.79,7.99,45.18,3.72,6.32,4.65,6.69,3.72,5.58,8.18,4.09,6.51,,1.160494,-0.654321,8.061728,3.7084,,-3.45679,71.518255
US_KY_21195,2020-01-06,ChIJZVoNvLVlRYgRw62onBS_BEA,Q496729,geoId/21195,US,United States of America,KY,Kentucky,21195,Pike County,US,USA,2,,,,,,,58905,28759,30146,6522,6979,6836,6791,7934,8660,8226,4708,2249,1846577,37.46902,-82.39587,561,2043,72.678947,,,,,,8.16,6.73,3.58,14.46,8.01,7.87,3.86,4.01,6.87,4.29,4.01,2.15,17.32,4.01,10.02,5.44,5.87,2.29,9.16,5.15,2.86,5.29,3.58,6.01,4.44,5.15,2.58,15.17,35.49,6.87,3.58,7.87,2.15,5.87,5.29,3.15,6.73,45.08,5.58,9.02,5.44,6.15,3.86,7.01,4.01,4.72,3.72,3.15,3.265432,-0.975309,7.901235,0.0,,-3.623457,60.963022
US_KY_21195,2020-01-07,ChIJZVoNvLVlRYgRw62onBS_BEA,Q496729,geoId/21195,US,United States of America,KY,Kentucky,21195,Pike County,US,USA,2,,,,,,,58905,28759,30146,6522,6979,6836,6791,7934,8660,8226,4708,2249,1846577,37.46902,-82.39587,561,2043,72.678947,,,,,3.73,5.74,10.71,2.64,11.18,7.61,6.52,2.17,3.73,5.43,5.9,5.43,4.35,18.63,4.35,10.24,4.35,5.43,2.33,9.16,4.81,2.95,3.57,6.83,5.12,3.73,7.76,3.26,10.4,32.13,8.69,4.35,6.52,3.57,5.28,6.05,5.43,6.36,44.4,4.81,6.52,5.43,6.21,4.04,7.45,4.5,3.57,2.79,2.79,1.58642,-1.253086,6.611111,2.0955,,-3.41358,69.895991
US_KY_21195,2020-01-08,ChIJZVoNvLVlRYgRw62onBS_BEA,Q496729,geoId/21195,US,United States of America,KY,Kentucky,21195,Pike County,US,USA,2,,,,,,,58905,28759,30146,6522,6979,6836,6791,7934,8660,8226,4708,2249,1846577,37.46902,-82.39587,561,2043,72.678947,,,,,1.91,5.04,8.32,3.82,12.27,9.27,6.0,2.45,2.59,6.41,6.27,5.86,2.45,14.04,4.36,8.45,3.14,6.95,2.45,11.18,4.77,2.86,5.59,5.45,5.18,3.95,6.13,4.63,10.22,36.81,7.23,5.59,6.82,3.41,7.09,4.36,4.23,9.68,44.04,4.91,11.59,3.0,6.54,5.73,8.45,2.04,4.23,4.23,2.18,2.91358,-1.5,7.771605,1.016,50.8,-5.475309,54.611755
US_KY_21195,2020-01-09,ChIJZVoNvLVlRYgRw62onBS_BEA,Q496729,geoId/21195,US,United States of America,KY,Kentucky,21195,Pike County,US,USA,2,,,,,,,58905,28759,30146,6522,6979,6836,6791,7934,8660,8226,4708,2249,1846577,37.46902,-82.39587,561,2043,72.678947,,,,,2.63,4.57,8.31,2.77,10.11,8.72,5.54,3.74,3.74,6.51,6.37,4.01,2.77,17.16,4.57,8.03,4.01,4.43,2.08,11.77,3.18,2.63,7.34,4.57,4.57,3.46,6.92,3.04,10.52,35.3,6.23,3.32,7.75,3.6,6.37,7.61,3.46,6.23,41.8,4.29,12.46,4.43,5.95,7.06,7.2,1.94,5.12,4.15,2.49,4.580247,-1.67284,14.030864,0.0,30.48,-6.259259,46.206888
US_KY_21195,2020-01-10,ChIJZVoNvLVlRYgRw62onBS_BEA,Q496729,geoId/21195,US,United States of America,KY,Kentucky,21195,Pike County,US,USA,2,,,,,,,58905,28759,30146,6522,6979,6836,6791,7934,8660,8226,4708,2249,1846577,37.46902,-82.39587,561,2043,72.678947,,,,,,5.13,7.08,4.16,11.38,6.1,4.99,3.75,,6.94,5.55,4.3,2.91,17.76,5.55,13.18,3.88,4.44,2.08,10.68,5.69,2.5,4.72,4.16,4.99,5.55,5.55,4.86,8.32,33.3,7.77,2.08,6.38,5.13,5.55,5.55,3.61,6.52,44.26,5.83,8.05,4.86,7.91,4.58,7.91,2.64,2.77,2.91,2.08,11.641975,6.67284,16.716049,0.0,,2.234568,53.204346
