location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_bleeding,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_heartburn,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_weight_gain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_OH_39039,2020-01-01,ChIJ0Y8rzuvOPYgR546AmTiEXPI,Q336190,geoId/39039,US,United States of America,OH,Ohio,39039,Defiance County,US,USA,2,,,,,,,38156,18942,19214,4553,5291,4613,4544,4488,5051,4932,2949,1735,911265,41.32,-84.49,1073,77.766667,,,,,5.71,8.87,3.55,7.88,6.89,5.52,4.73,3.94,17.14,,12.21,,4.14,6.89,3.94,2.96,3.15,3.15,7.49,5.71,,5.71,25.81,7.68,2.76,5.32,3.94,5.12,4.53,36.64,,4.33,4.33,4.33,4.33,,-0.844444,-3.388889,3.472222,0.5334,,-4.983333,73.637264
US_OH_39039,2020-01-02,ChIJ0Y8rzuvOPYgR546AmTiEXPI,Q336190,geoId/39039,US,United States of America,OH,Ohio,39039,Defiance County,US,USA,2,,,,,,,38156,18942,19214,4553,5291,4613,4544,4488,5051,4932,2949,1735,911265,41.32,-84.49,1073,77.766667,,,,,3.73,8.71,4.27,9.6,5.69,4.09,4.44,4.8,16.35,,9.42,,3.2,8.71,4.8,,6.04,4.27,3.91,5.87,,7.29,20.09,5.87,,6.75,,3.73,3.38,32.17,5.33,7.29,4.62,3.2,,2.67,4.438889,-1.788889,9.383333,0.0,,-1.388889,66.033952
US_OH_39039,2020-01-03,ChIJ0Y8rzuvOPYgR546AmTiEXPI,Q336190,geoId/39039,US,United States of America,OH,Ohio,39039,Defiance County,US,USA,2,,,,,,,38156,18942,19214,4553,5291,4613,4544,4488,5051,4932,2949,1735,911265,41.32,-84.49,1073,77.766667,,,,,4.21,6.31,,9.64,4.03,4.56,8.59,4.21,15.6,3.86,8.94,2.45,2.45,6.13,4.38,5.61,3.68,3.33,4.03,4.56,,5.61,26.11,5.61,,7.36,4.73,5.08,5.43,36.46,4.03,6.83,5.26,,3.68,2.8,6.272222,2.038889,8.922222,0.8128,,4.283333,87.22375
US_OH_39039,2020-01-04,ChIJ0Y8rzuvOPYgR546AmTiEXPI,Q336190,geoId/39039,US,United States of America,OH,Ohio,39039,Defiance County,US,USA,2,,,,,,,38156,18942,19214,4553,5291,4613,4544,4488,5051,4932,2949,1735,911265,41.32,-84.49,1073,77.766667,,,,,4.04,6.46,3.23,9.28,4.44,2.83,4.24,3.43,19.77,4.64,11.3,,3.63,5.04,4.04,4.24,5.25,3.63,,,3.03,6.25,22.4,5.25,3.23,7.06,5.45,,3.83,32.28,3.43,5.45,5.65,3.83,3.03,,1.994444,0.122222,6.077778,0.592667,,-0.738889,82.229245
US_OH_39039,2020-01-05,ChIJ0Y8rzuvOPYgR546AmTiEXPI,Q336190,geoId/39039,US,United States of America,OH,Ohio,39039,Defiance County,US,USA,2,,,,,,,38156,18942,19214,4553,5291,4613,4544,4488,5051,4932,2949,1735,911265,41.32,-84.49,1073,77.766667,,,,,4.38,7.77,4.18,8.56,6.97,4.18,5.38,2.79,19.12,3.98,7.37,,6.57,8.17,4.78,8.37,3.58,,,5.38,,5.58,23.7,5.78,3.19,8.56,3.39,4.98,4.98,33.07,,4.78,6.17,,4.78,,-0.055556,-1.705556,4.355556,0.108857,,-4.494444,72.177238
US_OH_39039,2020-01-06,ChIJ0Y8rzuvOPYgR546AmTiEXPI,Q336190,geoId/39039,US,United States of America,OH,Ohio,39039,Defiance County,US,USA,2,,,,,,,38156,18942,19214,4553,5291,4613,4544,4488,5051,4932,2949,1735,911265,41.32,-84.49,1073,77.766667,,,,,3.59,6.15,4.27,9.39,7.52,5.81,5.3,2.73,13.84,2.56,6.66,2.56,3.59,8.88,2.39,5.3,6.15,4.44,,4.95,,6.66,22.89,6.49,2.9,5.47,,5.47,7.69,34.51,3.76,4.78,3.93,4.1,4.44,2.56,2.327778,-1.766667,5.427778,0.0,,-3.166667,67.236324
US_OH_39039,2020-01-07,ChIJ0Y8rzuvOPYgR546AmTiEXPI,Q336190,geoId/39039,US,United States of America,OH,Ohio,39039,Defiance County,US,USA,2,,,,,,,38156,18942,19214,4553,5291,4613,4544,4488,5051,4932,2949,1735,911265,41.32,-84.49,1073,77.766667,,,,,4.23,6.93,4.9,6.93,4.9,4.57,5.07,3.38,12.85,2.54,9.13,,3.55,5.58,2.71,4.9,4.23,2.71,,4.9,,7.44,24.35,5.07,3.89,6.43,4.06,4.74,2.71,37.37,3.04,6.43,5.24,3.72,4.9,2.54,0.644444,-3.633333,5.688889,0.0,,-5.222222,65.04755
US_OH_39039,2020-01-08,ChIJ0Y8rzuvOPYgR546AmTiEXPI,Q336190,geoId/39039,US,United States of America,OH,Ohio,39039,Defiance County,US,USA,2,,,,,,,38156,18942,19214,4553,5291,4613,4544,4488,5051,4932,2949,1735,911265,41.32,-84.49,1073,77.766667,,,,,5.32,7.73,3.43,7.55,6.7,4.98,5.32,4.12,14.25,,7.38,,3.95,8.76,5.15,4.12,3.43,3.78,3.61,3.61,3.61,5.32,26.79,6.18,3.43,7.38,4.12,4.29,4.29,34.34,4.46,10.47,4.29,4.46,3.43,3.61,-2.1,-7.083333,4.722222,0.0,,-8.305556,62.602053
US_OH_39039,2020-01-09,ChIJ0Y8rzuvOPYgR546AmTiEXPI,Q336190,geoId/39039,US,United States of America,OH,Ohio,39039,Defiance County,US,USA,2,,,,,,,38156,18942,19214,4553,5291,4613,4544,4488,5051,4932,2949,1735,911265,41.32,-84.49,1073,77.766667,,,,,4.16,7.1,,11.43,5.37,5.54,6.06,,11.78,,8.31,3.81,4.85,9.7,3.98,5.71,3.46,2.77,,3.98,2.77,4.5,27.71,5.54,,6.93,,3.46,4.5,29.79,5.2,10.22,6.93,3.12,3.64,4.33,-2.138889,-8.294444,8.416667,0.0,,-8.394444,62.394174
US_OH_39039,2020-01-10,ChIJ0Y8rzuvOPYgR546AmTiEXPI,Q336190,geoId/39039,US,United States of America,OH,Ohio,39039,Defiance County,US,USA,2,,,,,,,38156,18942,19214,4553,5291,4613,4544,4488,5051,4932,2949,1735,911265,41.32,-84.49,1073,77.766667,,,,,5.48,6.33,2.57,8.39,5.48,4.11,4.79,,13.01,3.6,7.19,,3.6,6.16,2.74,4.45,3.77,3.6,2.4,2.74,3.25,4.11,22.09,4.97,3.25,6.33,3.6,3.08,4.45,29.11,4.45,7.36,3.94,2.74,2.91,3.6,8.233333,5.838889,10.772222,7.96925,,5.305556,81.85359
