location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,search_trends_pain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_IL_17009,2020-01-01,ChIJTUgM-6wq3ocRjXFYFGhBNrA,Q109761,geoId/17009,US,United States of America,IL,Illinois,17009,Brown County,US,USA,2,,,,,,,6609,4261,2348,591,587,1256,1141,928,856,625,378,247,1800716,39.95,-90.75,796,75.65,,1.422222,-3.755556,10.7,0.0,,-3.1,72.17189
US_IL_17009,2020-01-02,ChIJTUgM-6wq3ocRjXFYFGhBNrA,Q109761,geoId/17009,US,United States of America,IL,Illinois,17009,Brown County,US,USA,2,,,,,,,6609,4261,2348,591,587,1256,1141,928,856,625,378,247,1800716,39.95,-90.75,796,75.65,35.6,6.655556,2.927778,11.205556,0.0,,0.211111,63.670855
US_IL_17009,2020-01-03,ChIJTUgM-6wq3ocRjXFYFGhBNrA,Q109761,geoId/17009,US,United States of America,IL,Illinois,17009,Brown County,US,USA,2,,,,,,,6609,4261,2348,591,587,1256,1141,928,856,625,378,247,1800716,39.95,-90.75,796,75.65,62.19,3.016667,0.688889,7.722222,0.0,,1.055556,87.065659
US_IL_17009,2020-01-04,ChIJTUgM-6wq3ocRjXFYFGhBNrA,Q109761,geoId/17009,US,United States of America,IL,Illinois,17009,Brown County,US,USA,2,,,,,,,6609,4261,2348,591,587,1256,1141,928,856,625,378,247,1800716,39.95,-90.75,796,75.65,,0.411111,-1.683333,1.922222,0.217714,,-1.3,88.478746
US_IL_17009,2020-01-05,ChIJTUgM-6wq3ocRjXFYFGhBNrA,Q109761,geoId/17009,US,United States of America,IL,Illinois,17009,Brown County,US,USA,2,,,,,,,6609,4261,2348,591,587,1256,1141,928,856,625,378,247,1800716,39.95,-90.75,796,75.65,57.16,1.405556,-4.161111,10.111111,0.1016,,-3.405556,70.795262
US_IL_17009,2020-01-06,ChIJTUgM-6wq3ocRjXFYFGhBNrA,Q109761,geoId/17009,US,United States of America,IL,Illinois,17009,Brown County,US,USA,2,,,,,,,6609,4261,2348,591,587,1256,1141,928,856,625,378,247,1800716,39.95,-90.75,796,75.65,36.4,0.922222,-4.4,6.022222,0.0,,-4.338889,68.123388
US_IL_17009,2020-01-07,ChIJTUgM-6wq3ocRjXFYFGhBNrA,Q109761,geoId/17009,US,United States of America,IL,Illinois,17009,Brown County,US,USA,2,,,,,,,6609,4261,2348,591,587,1256,1141,928,856,625,378,247,1800716,39.95,-90.75,796,75.65,61.01,0.988889,-2.833333,6.161111,0.0,,-4.244444,68.452789
US_IL_17009,2020-01-08,ChIJTUgM-6wq3ocRjXFYFGhBNrA,Q109761,geoId/17009,US,United States of America,IL,Illinois,17009,Brown County,US,USA,2,,,,,,,6609,4261,2348,591,587,1256,1141,928,856,625,378,247,1800716,39.95,-90.75,796,75.65,59.99,-1.966667,-6.7,2.672222,0.0,,-9.411111,57.075599
US_IL_17009,2020-01-09,ChIJTUgM-6wq3ocRjXFYFGhBNrA,Q109761,geoId/17009,US,United States of America,IL,Illinois,17009,Brown County,US,USA,2,,,,,,,6609,4261,2348,591,587,1256,1141,928,856,625,378,247,1800716,39.95,-90.75,796,75.65,56.13,6.033333,-2.077778,14.583333,0.0,,-1.272222,59.754494
US_IL_17009,2020-01-10,ChIJTUgM-6wq3ocRjXFYFGhBNrA,Q109761,geoId/17009,US,United States of America,IL,Illinois,17009,Brown County,US,USA,2,,,,,,,6609,4261,2348,591,587,1256,1141,928,856,625,378,247,1800716,39.95,-90.75,796,75.65,43.05,8.061111,4.766667,12.955556,2.830286,,6.227778,88.272025
