location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_confirmed_age_0,new_confirmed_age_1,new_confirmed_age_2,new_confirmed_age_3,new_confirmed_age_4,new_confirmed_age_5,new_confirmed_age_6,new_confirmed_age_7,new_confirmed_age_8,new_confirmed_age_9,cumulative_confirmed_age_0,cumulative_confirmed_age_1,cumulative_confirmed_age_2,cumulative_confirmed_age_3,cumulative_confirmed_age_4,cumulative_confirmed_age_5,cumulative_confirmed_age_6,cumulative_confirmed_age_7,cumulative_confirmed_age_8,cumulative_confirmed_age_9,age_bin_0,age_bin_1,age_bin_2,age_bin_3,age_bin_4,age_bin_5,age_bin_6,age_bin_7,age_bin_8,age_bin_9,new_confirmed_male,new_confirmed_female,cumulative_confirmed_male,cumulative_confirmed_female,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_common_cold,search_trends_diabetes,search_trends_infection,search_trends_itch,search_trends_pain,search_trends_skin_rash,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_IN_18147,2020-01-01,ChIJrbDOAF5QbogR5M7syHO4xEM,Q507281,geoId/18147,US,United States of America,IN,Indiana,18147,Spencer County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20440,10311,10129,2335,2623,2137,2253,2472,3220,2770,1708,922,1804399,38.01,-87.01,1039,80.74,,,,,,11.18,,15.06,12.15,21.38,13.12,33.04,,4.141975,-0.901235,10.765432,0.0,,-2.17284,63.923903
US_IN_18147,2020-01-02,ChIJrbDOAF5QbogR5M7syHO4xEM,Q507281,geoId/18147,US,United States of America,IN,Indiana,18147,Spencer County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20440,10311,10129,2335,2623,2137,2253,2472,3220,2770,1708,922,1804399,38.01,-87.01,1039,80.74,,,,,10.94,,,17.93,9.19,21.43,,39.37,,7.17284,1.962963,10.654321,1.524,,1.339506,66.792027
US_IN_18147,2020-01-03,ChIJrbDOAF5QbogR5M7syHO4xEM,Q507281,geoId/18147,US,United States of America,IN,Indiana,18147,Spencer County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20440,10311,10129,2335,2623,2137,2253,2472,3220,2770,1708,922,1804399,38.01,-87.01,1039,80.74,,,,,9.29,8.86,9.29,14.77,8.86,25.33,,37.15,,9.882716,5.882716,11.061728,12.518571,,9.574074,97.984485
US_IN_18147,2020-01-04,ChIJrbDOAF5QbogR5M7syHO4xEM,Q507281,geoId/18147,US,United States of America,IN,Indiana,18147,Spencer County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20440,10311,10129,2335,2623,2137,2253,2472,3220,2770,1708,922,1804399,38.01,-87.01,1039,80.74,,,,,,9.45,,17.48,7.09,17.01,,35.44,8.03,4.080247,1.697531,8.54321,4.245429,,2.12963,87.229666
US_IN_18147,2020-01-05,ChIJrbDOAF5QbogR5M7syHO4xEM,Q507281,geoId/18147,US,United States of America,IN,Indiana,18147,Spencer County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20440,10311,10129,2335,2623,2137,2253,2472,3220,2770,1708,922,1804399,38.01,-87.01,1039,80.74,,,,,7.63,7.63,8.59,11.93,,17.65,,37.69,,2.87037,-2.87037,11.302469,0.677333,,-1.253086,74.461486
US_IN_18147,2020-01-06,ChIJrbDOAF5QbogR5M7syHO4xEM,Q507281,geoId/18147,US,United States of America,IN,Indiana,18147,Spencer County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20440,10311,10129,2335,2623,2137,2253,2472,3220,2770,1708,922,1804399,38.01,-87.01,1039,80.74,,,,,6.86,10.49,8.07,10.89,10.89,18.16,,32.68,9.68,3.944444,-2.753086,9.839506,0.197556,,-2.444444,63.306
US_IN_18147,2020-01-07,ChIJrbDOAF5QbogR5M7syHO4xEM,Q507281,geoId/18147,US,United States of America,IN,Indiana,18147,Spencer County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20440,10311,10129,2335,2623,2137,2253,2472,3220,2770,1708,922,1804399,38.01,-87.01,1039,80.74,,,,,6.85,13.3,6.45,16.12,9.27,22.97,,34.65,8.87,2.932099,-3.154321,9.154321,0.03175,,-3.320988,63.984871
US_IN_18147,2020-01-08,ChIJrbDOAF5QbogR5M7syHO4xEM,Q507281,geoId/18147,US,United States of America,IN,Indiana,18147,Spencer County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20440,10311,10129,2335,2623,2137,2253,2472,3220,2770,1708,922,1804399,38.01,-87.01,1039,80.74,,,,,,9.63,6.28,15.07,10.05,26.37,,32.65,7.95,3.253086,-1.648148,8.216049,0.0,,-5.740741,51.99257
US_IN_18147,2020-01-09,ChIJrbDOAF5QbogR5M7syHO4xEM,Q507281,geoId/18147,US,United States of America,IN,Indiana,18147,Spencer County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20440,10311,10129,2335,2623,2137,2253,2472,3220,2770,1708,922,1804399,38.01,-87.01,1039,80.74,,,,,,,,13.4,7.31,25.58,,25.18,9.75,6.166667,-0.12963,13.635802,0.0,,-3.901235,49.136236
US_IN_18147,2020-01-10,ChIJrbDOAF5QbogR5M7syHO4xEM,Q507281,geoId/18147,US,United States of America,IN,Indiana,18147,Spencer County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20440,10311,10129,2335,2623,2137,2253,2472,3220,2770,1708,922,1804399,38.01,-87.01,1039,80.74,,,,,,8.52,10.15,6.9,6.49,26.79,6.49,35.72,8.52,13.037037,8.592593,15.858025,9.760857,,7.666667,71.027556
