location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_confirmed_age_0,new_confirmed_age_1,new_confirmed_age_2,new_confirmed_age_3,new_confirmed_age_4,new_confirmed_age_5,new_confirmed_age_6,new_confirmed_age_7,new_confirmed_age_8,new_confirmed_age_9,cumulative_confirmed_age_0,cumulative_confirmed_age_1,cumulative_confirmed_age_2,cumulative_confirmed_age_3,cumulative_confirmed_age_4,cumulative_confirmed_age_5,cumulative_confirmed_age_6,cumulative_confirmed_age_7,cumulative_confirmed_age_8,cumulative_confirmed_age_9,age_bin_0,age_bin_1,age_bin_2,age_bin_3,age_bin_4,age_bin_5,age_bin_6,age_bin_7,age_bin_8,age_bin_9,new_confirmed_male,new_confirmed_female,cumulative_confirmed_male,cumulative_confirmed_female,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_allergy,search_trends_common_cold,search_trends_diabetes,search_trends_infection,search_trends_itch,search_trends_pain,search_trends_skin_rash,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_IN_18015,2020-01-01,ChIJoRLOfH12E4gRvKfOBFOxEnc,Q504422,geoId/18015,US,United States of America,IN,Indiana,18015,Carroll County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20067,10059,10008,2332,2592,2228,2170,2531,2937,2701,1661,915,1802222,40.58,-86.56,971,79.783333,,,,,,26.61,,23.22,12.46,50.4,,0.838889,-2.944444,6.188889,0.0,,-2.527778,78.490773
US_IN_18015,2020-01-02,ChIJoRLOfH12E4gRvKfOBFOxEnc,Q504422,geoId/18015,US,United States of America,IN,Indiana,18015,Carroll County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20067,10059,10008,2332,2592,2228,2170,2531,2937,2701,1661,915,1802222,40.58,-86.56,971,79.783333,,,,,,24.02,,25.78,,44.53,,5.461111,-0.172222,10.194444,0.0,,-0.011111,68.164249
US_IN_18015,2020-01-03,ChIJoRLOfH12E4gRvKfOBFOxEnc,Q504422,geoId/18015,US,United States of America,IN,Indiana,18015,Carroll County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20067,10059,10008,2332,2592,2228,2170,2531,2937,2701,1661,915,1802222,40.58,-86.56,971,79.783333,,,,,8.72,16.86,,23.83,,35.46,11.04,5.794444,3.25,8.905556,0.8382,,4.994444,94.694785
US_IN_18015,2020-01-04,ChIJoRLOfH12E4gRvKfOBFOxEnc,Q504422,geoId/18015,US,United States of America,IN,Indiana,18015,Carroll County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20067,10059,10008,2332,2592,2228,2170,2531,2937,2701,1661,915,1802222,40.58,-86.56,971,79.783333,,,,,14.57,12.89,10.09,24.09,,38.66,,1.772222,0.144444,5.516667,0.471714,,0.623457,92.395264
US_IN_18015,2020-01-05,ChIJoRLOfH12E4gRvKfOBFOxEnc,Q504422,geoId/18015,US,United States of America,IN,Indiana,18015,Carroll County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20067,10059,10008,2332,2592,2228,2170,2531,2937,2701,1661,915,1802222,40.58,-86.56,971,79.783333,,,,,11.05,18.61,9.89,27.92,11.05,42.46,,0.566667,-3.533333,7.177778,0.0254,,-2.966667,77.422629
US_IN_18015,2020-01-06,ChIJoRLOfH12E4gRvKfOBFOxEnc,Q504422,geoId/18015,US,United States of America,IN,Indiana,18015,Carroll County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20067,10059,10008,2332,2592,2228,2170,2531,2937,2701,1661,915,1802222,40.58,-86.56,971,79.783333,,,,,9.24,24.47,11.96,21.75,,38.06,,1.227778,-3.627778,6.338889,0.0,,-2.544444,76.281395
US_IN_18015,2020-01-07,ChIJoRLOfH12E4gRvKfOBFOxEnc,Q504422,geoId/18015,US,United States of America,IN,Indiana,18015,Carroll County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20067,10059,10008,2332,2592,2228,2170,2531,2937,2701,1661,915,1802222,40.58,-86.56,971,79.783333,,,,,11.89,12.38,,28.72,,39.62,,0.338889,-4.627778,6.05,0.0,,-3.388889,76.292487
US_IN_18015,2020-01-08,ChIJoRLOfH12E4gRvKfOBFOxEnc,Q504422,geoId/18015,US,United States of America,IN,Indiana,18015,Carroll County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20067,10059,10008,2332,2592,2228,2170,2531,2937,2701,1661,915,1802222,40.58,-86.56,971,79.783333,,,,,,13.12,,26.75,7.57,39.37,9.59,-1.722222,-5.188889,3.988889,0.0,,-7.427778,65.271702
US_IN_18015,2020-01-09,ChIJoRLOfH12E4gRvKfOBFOxEnc,Q504422,geoId/18015,US,United States of America,IN,Indiana,18015,Carroll County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20067,10059,10008,2332,2592,2228,2170,2531,2937,2701,1661,915,1802222,40.58,-86.56,971,79.783333,,,,,8.18,22.5,,30.68,7.67,43.97,13.29,0.538889,-5.577778,10.927778,0.042333,,-6.005556,61.846019
US_IN_18015,2020-01-10,ChIJoRLOfH12E4gRvKfOBFOxEnc,Q504422,geoId/18015,US,United States of America,IN,Indiana,18015,Carroll County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20067,10059,10008,2332,2592,2228,2170,2531,2937,2701,1661,915,1802222,40.58,-86.56,971,79.783333,,,,,,7.47,9.46,16.94,,27.4,,9.088889,6.1,12.4,15.348857,,7.361111,89.071079
