location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_confirmed_age_0,new_confirmed_age_1,new_confirmed_age_2,new_confirmed_age_3,new_confirmed_age_4,new_confirmed_age_5,new_confirmed_age_6,new_confirmed_age_7,new_confirmed_age_8,new_confirmed_age_9,cumulative_confirmed_age_0,cumulative_confirmed_age_1,cumulative_confirmed_age_2,cumulative_confirmed_age_3,cumulative_confirmed_age_4,cumulative_confirmed_age_5,cumulative_confirmed_age_6,cumulative_confirmed_age_7,cumulative_confirmed_age_8,cumulative_confirmed_age_9,new_deceased_age_0,new_deceased_age_1,new_deceased_age_2,new_deceased_age_3,new_deceased_age_4,new_deceased_age_5,new_deceased_age_6,new_deceased_age_7,new_deceased_age_8,new_deceased_age_9,cumulative_deceased_age_0,cumulative_deceased_age_1,cumulative_deceased_age_2,cumulative_deceased_age_3,cumulative_deceased_age_4,cumulative_deceased_age_5,cumulative_deceased_age_6,cumulative_deceased_age_7,cumulative_deceased_age_8,cumulative_deceased_age_9,new_hospitalized_patients_age_0,new_hospitalized_patients_age_1,new_hospitalized_patients_age_2,new_hospitalized_patients_age_3,new_hospitalized_patients_age_4,new_hospitalized_patients_age_5,new_hospitalized_patients_age_6,new_hospitalized_patients_age_7,new_hospitalized_patients_age_8,new_hospitalized_patients_age_9,cumulative_hospitalized_patients_age_0,cumulative_hospitalized_patients_age_1,cumulative_hospitalized_patients_age_2,cumulative_hospitalized_patients_age_3,cumulative_hospitalized_patients_age_4,cumulative_hospitalized_patients_age_5,cumulative_hospitalized_patients_age_6,cumulative_hospitalized_patients_age_7,cumulative_hospitalized_patients_age_8,cumulative_hospitalized_patients_age_9,age_bin_0,age_bin_1,age_bin_2,age_bin_3,age_bin_4,age_bin_5,age_bin_6,age_bin_7,age_bin_8,age_bin_9,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_cough,search_trends_diabetes,search_trends_fatigue,search_trends_fever,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_obesity,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_GA_13087,2020-01-15,ChIJoyop_Roi7YgRvaDqcgRdeBE,Q493037,geoId/13087,US,United States of America,GA,Georgia,13087,Decatur County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26706,12903,13803,3546,3670,3540,3051,3288,3609,2969,1955,1078,1073782,30.88,-84.58,1614,74.357143,,,,,6.25,7.07,7.34,4.08,4.08,4.62,7.88,6.25,7.88,4.08,,,10.6,20.66,4.62,5.98,4.89,38.33,6.79,4.89,19.066667,15.827778,24.088889,0.959556,16.97619,87.716364
US_GA_13087,2020-01-16,ChIJoyop_Roi7YgRvaDqcgRdeBE,Q493037,geoId/13087,US,United States of America,GA,Georgia,13087,Decatur County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26706,12903,13803,3546,3670,3540,3051,3288,3609,2969,1955,1078,1073782,30.88,-84.58,1614,74.357143,,,,,,4.14,5.7,4.92,4.92,,5.7,4.4,7.25,3.63,,,4.66,20.98,3.63,6.22,3.89,24.87,7.25,4.14,19.822222,17.172222,23.155556,0.197556,17.666667,88.31323
US_GA_13087,2020-01-17,ChIJoyop_Roi7YgRvaDqcgRdeBE,Q493037,geoId/13087,US,United States of America,GA,Georgia,13087,Decatur County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26706,12903,13803,3546,3670,3540,3051,3288,3609,2969,1955,1078,1073782,30.88,-84.58,1614,74.357143,,,,,4.23,4.5,7.14,,3.97,5.56,6.88,,7.67,3.97,,4.23,5.56,16.41,3.97,8.2,5.03,26.73,6.88,,15.759259,11.790123,20.845679,0.028222,2.046296,40.391394
US_GA_13087,2020-01-18,ChIJoyop_Roi7YgRvaDqcgRdeBE,Q493037,geoId/13087,US,United States of America,GA,Georgia,13087,Decatur County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26706,12903,13803,3546,3670,3540,3051,3288,3609,2969,1955,1078,1073782,30.88,-84.58,1614,74.357143,,,,,7.16,8.6,14.81,10.51,7.16,,12.42,7.64,8.12,11.46,7.64,,8.6,25.31,,,,33.91,7.64,,13.733333,8.266667,22.272222,0.056444,7.611111,67.213242
US_GA_13087,2020-01-19,ChIJoyop_Roi7YgRvaDqcgRdeBE,Q493037,geoId/13087,US,United States of America,GA,Georgia,13087,Decatur County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26706,12903,13803,3546,3670,3540,3051,3288,3609,2969,1955,1078,1073782,30.88,-84.58,1614,74.357143,,,,,10.76,7.02,12.16,8.42,7.02,7.02,14.97,7.02,,7.95,,,,27.6,,10.29,,43.04,,,15.472222,7.922222,19.316667,3.048,11.119048,76.090717
US_GA_13087,2020-01-20,ChIJoyop_Roi7YgRvaDqcgRdeBE,Q493037,geoId/13087,US,United States of America,GA,Georgia,13087,Decatur County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26706,12903,13803,3546,3670,3540,3051,3288,3609,2969,1955,1078,1073782,30.88,-84.58,1614,74.357143,,,,,,,10.15,7.5,9.71,8.83,15.45,8.39,10.15,,,,8.83,23.4,10.6,14.57,7.95,44.59,8.39,7.5,5.388889,1.15,9.866667,0.0762,-4.309524,50.247725
US_GA_13087,2020-01-21,ChIJoyop_Roi7YgRvaDqcgRdeBE,Q493037,geoId/13087,US,United States of America,GA,Georgia,13087,Decatur County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26706,12903,13803,3546,3670,3540,3051,3288,3609,2969,1955,1078,1073782,30.88,-84.58,1614,74.357143,,,,,4.79,6.65,7.71,8.25,4.79,6.65,10.11,5.59,9.31,4.52,,6.38,6.92,20.75,9.31,3.99,4.52,29.53,5.32,,2.327778,-1.85,7.8,0.0,-5.277778,57.643462
US_GA_13087,2020-01-22,ChIJoyop_Roi7YgRvaDqcgRdeBE,Q493037,geoId/13087,US,United States of America,GA,Georgia,13087,Decatur County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26706,12903,13803,3546,3670,3540,3051,3288,3609,2969,1955,1078,1073782,30.88,-84.58,1614,74.357143,,,,,3.89,4.93,8.82,6.49,5.71,,8.82,,8.04,5.19,,4.41,8.82,23.09,4.15,8.04,3.89,21.02,5.71,3.89,3.472222,-2.45,12.994444,0.0,-5.68254,50.737656
US_GA_13087,2020-01-23,ChIJoyop_Roi7YgRvaDqcgRdeBE,Q493037,geoId/13087,US,United States of America,GA,Georgia,13087,Decatur County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26706,12903,13803,3546,3670,3540,3051,3288,3609,2969,1955,1078,1073782,30.88,-84.58,1614,74.357143,,,,,4.05,,9.12,4.31,4.82,4.31,10.39,4.56,8.87,,,,6.33,20.02,,4.56,,30.91,5.07,4.82,9.577778,6.522222,15.966667,0.423333,1.47619,57.532332
US_GA_13087,2020-01-24,ChIJoyop_Roi7YgRvaDqcgRdeBE,Q493037,geoId/13087,US,United States of America,GA,Georgia,13087,Decatur County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26706,12903,13803,3546,3670,3540,3051,3288,3609,2969,1955,1078,1073782,30.88,-84.58,1614,74.357143,,,,,,5.55,,4.35,,,12.55,7.97,6.28,,,4.35,7.0,21.73,,4.11,,24.39,7.73,,14.477778,10.711111,20.266667,2.54,12.055556,84.941209
