location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_confirmed_age_6,cumulative_confirmed_age_6,new_deceased_age_6,cumulative_deceased_age_6,new_hospitalized_patients_age_6,cumulative_hospitalized_patients_age_6,age_bin_0,age_bin_1,age_bin_2,age_bin_3,age_bin_4,age_bin_5,age_bin_6,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_WA_53023,2020-01-01,ChIJuWP5zgjkoVQR1FdTHMzmA8E,Q695782,geoId/53023,US,United States of America,WA,Washington,53023,Garfield County,US,USA,2,,,,,,,,,,,,,,,,,,,,2215,1085,1130,256,230,185,213,244,302,400,219,166,1150429,46.43,-117.53,1860,82.5,7.530864,2.12963,10.253086,6.914444,30.48,2.666667,70.7692
US_WA_53023,2020-01-02,ChIJuWP5zgjkoVQR1FdTHMzmA8E,Q695782,geoId/53023,US,United States of America,WA,Washington,53023,Garfield County,US,USA,2,,,,,,,,,,,,,,,,,,,,2215,1085,1130,256,230,185,213,244,302,400,219,166,1150429,46.43,-117.53,1860,82.5,5.080247,3.006173,9.882716,0.169333,,-0.597222,66.042747
US_WA_53023,2020-01-03,ChIJuWP5zgjkoVQR1FdTHMzmA8E,Q695782,geoId/53023,US,United States of America,WA,Washington,53023,Garfield County,US,USA,2,,,,,,,,,,,,,,,,,,,,2215,1085,1130,256,230,185,213,244,302,400,219,166,1150429,46.43,-117.53,1860,82.5,5.561728,1.876543,10.833333,2.906889,,0.291667,68.82361
US_WA_53023,2020-01-04,ChIJuWP5zgjkoVQR1FdTHMzmA8E,Q695782,geoId/53023,US,United States of America,WA,Washington,53023,Garfield County,US,USA,2,,,,,,,,,,,,,,,,,,,,2215,1085,1130,256,230,185,213,244,302,400,219,166,1150429,46.43,-117.53,1860,82.5,6.901235,2.833333,11.080247,0.056444,,-2.090278,53.252978
US_WA_53023,2020-01-05,ChIJuWP5zgjkoVQR1FdTHMzmA8E,Q695782,geoId/53023,US,United States of America,WA,Washington,53023,Garfield County,US,USA,2,,,,,,,,,,,,,,,,,,,,2215,1085,1130,256,230,185,213,244,302,400,219,166,1150429,46.43,-117.53,1860,82.5,2.54321,-0.759259,9.481481,0.197556,,-3.923611,62.07596
US_WA_53023,2020-01-06,ChIJuWP5zgjkoVQR1FdTHMzmA8E,Q695782,geoId/53023,US,United States of America,WA,Washington,53023,Garfield County,US,USA,2,,,,,,,,,,,,,,,,,,,,2215,1085,1130,256,230,185,213,244,302,400,219,166,1150429,46.43,-117.53,1860,82.5,3.851852,-0.222222,8.345679,1.157111,30.48,-1.243056,69.063651
US_WA_53023,2020-01-07,ChIJuWP5zgjkoVQR1FdTHMzmA8E,Q695782,geoId/53023,US,United States of America,WA,Washington,53023,Garfield County,US,USA,2,,,,,,,,,,,,,,,,,,,,2215,1085,1130,256,230,185,213,244,302,400,219,166,1150429,46.43,-117.53,1860,82.5,7.833333,2.919753,10.191358,2.568222,,0.881944,62.40258
US_WA_53023,2020-01-08,ChIJuWP5zgjkoVQR1FdTHMzmA8E,Q695782,geoId/53023,US,United States of America,WA,Washington,53023,Garfield County,US,USA,2,,,,,,,,,,,,,,,,,,,,2215,1085,1130,256,230,185,213,244,302,400,219,166,1150429,46.43,-117.53,1860,82.5,5.135802,2.154321,9.95679,0.959556,,-0.256944,67.722323
US_WA_53023,2020-01-09,ChIJuWP5zgjkoVQR1FdTHMzmA8E,Q695782,geoId/53023,US,United States of America,WA,Washington,53023,Garfield County,US,USA,2,,,,,,,,,,,,,,,,,,,,2215,1085,1130,256,230,185,213,244,302,400,219,166,1150429,46.43,-117.53,1860,82.5,0.475309,-3.308642,6.209877,2.624667,,-2.902778,76.737052
US_WA_53023,2020-01-10,ChIJuWP5zgjkoVQR1FdTHMzmA8E,Q695782,geoId/53023,US,United States of America,WA,Washington,53023,Garfield County,US,USA,2,,,,,,,,,,,,,,,,,,,,2215,1085,1130,256,230,185,213,244,302,400,219,166,1150429,46.43,-117.53,1860,82.5,-2.277778,-6.975309,2.87037,0.197556,99.06,-5.034722,78.591978
