location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_workplaces,mobility_residential,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_diabetes,search_trends_fever,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_obesity,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_VT_50019,2020-01-01,ChIJ_SOWBDbatUwRdg-uc_y8mSY,Q513758,geoId/50019,US,United States of America,VT,Vermont,50019,Orleans County,US,USA,2,,,,,,,26811,13459,13352,2735,3032,2901,2952,3223,3902,4192,2584,1290,62019,44.844402,-72.218239,1868,80.42,,,,,,8.35,7.35,6.68,,,19.05,,,,27.73,6.35,,,46.45,5.68,5.01,-0.623457,-2.290123,1.166667,1.947333,80.01,-2.179012,89.27836
US_VT_50019,2020-01-02,ChIJ_SOWBDbatUwRdg-uc_y8mSY,Q513758,geoId/50019,US,United States of America,VT,Vermont,50019,Orleans County,US,USA,2,,,,,,,26811,13459,13352,2735,3032,2901,2952,3223,3902,4192,2584,1290,62019,44.844402,-72.218239,1868,80.42,,,,,,7.36,5.3,9.42,6.48,4.42,16.48,8.24,6.77,6.77,20.31,6.48,5.3,6.48,38.56,8.54,4.42,-0.580247,-2.938272,1.845679,0.338667,60.96,-4.185185,76.752847
US_VT_50019,2020-01-03,ChIJ_SOWBDbatUwRdg-uc_y8mSY,Q513758,geoId/50019,US,United States of America,VT,Vermont,50019,Orleans County,US,USA,2,,,,,,,26811,13459,13352,2735,3032,2901,2952,3223,3902,4192,2584,1290,62019,44.844402,-72.218239,1868,80.42,,,,,,6.8,7.99,9.17,,5.32,12.72,9.76,,8.87,20.41,5.92,6.8,6.51,41.12,5.32,5.62,2.41358,-2.061728,4.876543,0.0,40.64,-0.62963,80.516928
US_VT_50019,2020-01-04,ChIJ_SOWBDbatUwRdg-uc_y8mSY,Q513758,geoId/50019,US,United States of America,VT,Vermont,50019,Orleans County,US,USA,2,,,,,,,26811,13459,13352,2735,3032,2901,2952,3223,3902,4192,2584,1290,62019,44.844402,-72.218239,1868,80.42,,,,,,,6.24,7.28,,6.93,16.29,6.24,9.36,5.54,23.22,5.89,10.39,,33.26,5.54,5.89,1.240741,-0.796296,4.395062,0.0,49.53,0.061728,91.904212
US_VT_50019,2020-01-05,ChIJ_SOWBDbatUwRdg-uc_y8mSY,Q513758,geoId/50019,US,United States of America,VT,Vermont,50019,Orleans County,US,USA,2,,,,,,,26811,13459,13352,2735,3032,2901,2952,3223,3902,4192,2584,1290,62019,44.844402,-72.218239,1868,80.42,,,,,,5.95,8.93,7.44,,,17.11,,,6.32,21.95,9.3,6.32,5.21,33.1,8.18,5.21,-3.851852,-7.753086,1.228395,3.979333,60.96,-5.845679,86.111252
US_VT_50019,2020-01-06,ChIJ_SOWBDbatUwRdg-uc_y8mSY,Q513758,geoId/50019,US,United States of America,VT,Vermont,50019,Orleans County,US,USA,2,,,,,,,26811,13459,13352,2735,3032,2901,2952,3223,3902,4192,2584,1290,62019,44.844402,-72.218239,1868,80.42,,,,,,8.07,10.09,10.09,8.07,,13.78,,,,25.55,4.71,,8.07,33.95,6.72,5.04,-8.925926,-14.777778,-2.290123,0.465667,60.96,-10.876543,85.792615
US_VT_50019,2020-01-07,ChIJ_SOWBDbatUwRdg-uc_y8mSY,Q513758,geoId/50019,US,United States of America,VT,Vermont,50019,Orleans County,US,USA,2,,,,,,,26811,13459,13352,2735,3032,2901,2952,3223,3902,4192,2584,1290,62019,44.844402,-72.218239,1868,80.42,,,,,,5.61,7.26,10.9,4.95,,11.89,8.92,6.6,,21.13,6.6,6.93,4.95,35.33,5.94,,-4.148148,-8.574074,-2.024691,1.566333,119.38,-6.888889,81.363931
US_VT_50019,2020-01-08,ChIJ_SOWBDbatUwRdg-uc_y8mSY,Q513758,geoId/50019,US,United States of America,VT,Vermont,50019,Orleans County,US,USA,2,,,,,,,26811,13459,13352,2735,3032,2901,2952,3223,3902,4192,2584,1290,62019,44.844402,-72.218239,1868,80.42,,,,,,,7.95,7.95,7.62,6.63,12.92,8.62,,5.96,19.88,6.3,6.3,7.62,41.76,5.96,4.64,-3.444444,-6.290123,-0.246914,1.735667,119.38,-5.358025,86.683796
US_VT_50019,2020-01-09,ChIJ_SOWBDbatUwRdg-uc_y8mSY,Q513758,geoId/50019,US,United States of America,VT,Vermont,50019,Orleans County,US,USA,2,,,,,,,26811,13459,13352,2735,3032,2901,2952,3223,3902,4192,2584,1290,62019,44.844402,-72.218239,1868,80.42,,,,,,,9.65,8.99,,,15.31,6.99,,,16.65,6.99,5.66,,33.29,,5.33,-11.808642,-16.141975,-1.191358,1.100667,99.06,-16.345679,69.14582
US_VT_50019,2020-01-10,ChIJ_SOWBDbatUwRdg-uc_y8mSY,Q513758,geoId/50019,US,United States of America,VT,Vermont,50019,Orleans County,US,USA,2,,,,,,,26811,13459,13352,2735,3032,2901,2952,3223,3902,4192,2584,1290,62019,44.844402,-72.218239,1868,80.42,,,,,,,10.62,7.72,,4.83,20.59,4.83,4.83,7.72,22.84,6.43,,,36.68,5.47,7.72,-4.950617,-14.876543,1.777778,0.0,88.9,-10.197531,67.253818
US_VT_50019,2020-01-11,ChIJ_SOWBDbatUwRdg-uc_y8mSY,Q513758,geoId/50019,US,United States of America,VT,Vermont,50019,Orleans County,US,USA,2,,,,,,,26811,13459,13352,2735,3032,2901,2952,3223,3902,4192,2584,1290,62019,44.844402,-72.218239,1868,80.42,,,,,,,10.62,9.15,6.59,,12.45,5.49,,5.86,22.7,8.79,,,38.44,,,5.283951,0.154321,12.32716,1.693333,10.16,3.722222,89.742284
US_VT_50019,2020-01-12,ChIJ_SOWBDbatUwRdg-uc_y8mSY,Q513758,geoId/50019,US,United States of America,VT,Vermont,50019,Orleans County,US,USA,2,,,,,,,26811,13459,13352,2735,3032,2901,2952,3223,3902,4192,2584,1290,62019,44.844402,-72.218239,1868,80.42,,,,,,8.11,7.74,5.53,,,13.27,10.69,5.53,,19.54,,9.59,5.9,35.4,5.9,5.9,0.975309,-6.580247,7.438272,24.003,,-0.166667,92.206599
US_VT_50019,2020-01-13,ChIJ_SOWBDbatUwRdg-uc_y8mSY,Q513758,geoId/50019,US,United States of America,VT,Vermont,50019,Orleans County,US,USA,2,,,,,,,26811,13459,13352,2735,3032,2901,2952,3223,3902,4192,2584,1290,62019,44.844402,-72.218239,1868,80.42,,,,,,5.94,,8.91,6.93,,12.21,,,4.95,31.35,,8.58,,30.03,6.27,6.6,-6.401235,-8.950617,1.203704,1.820333,,-8.62963,84.383748
