location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_abdominal_obesity,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_asthma,search_trends_attention_deficit_hyperactivity_disorder,search_trends_back_pain,search_trends_bleeding,search_trends_bone_fracture,search_trends_candidiasis,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_erectile_dysfunction,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_heartburn,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_low_back_pain,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_stroke,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_vaginal_discharge,search_trends_vomiting,search_trends_weight_gain,search_trends_xeroderma,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_NH_33019,2020-01-11,ChIJwVdrFo3y4YkRKsoVaUOl5ag,Q54444,geoId/33019,US,United States of America,NH,New Hampshire,33019,Sullivan County,US,USA,2,,,,,,,43027,21267,21760,4239,4734,4591,4680,5312,6938,6724,3741,2068,2016807,43.344208,-72.24733,1429,80.0,,,,,3.98,5.24,8.38,,9.21,5.65,5.86,,4.19,4.4,,2.93,,15.92,,7.12,,7.33,8.8,5.45,,3.98,4.82,4.82,,5.45,4.4,5.03,17.8,3.77,,4.82,3.14,4.19,5.24,4.82,36.65,,5.24,,5.86,4.82,,,3.35,,,7.438889,-0.2,15.883333,0.225778,115.57,4.111111,79.481569
US_NH_33019,2020-01-12,ChIJwVdrFo3y4YkRKsoVaUOl5ag,Q54444,geoId/33019,US,United States of America,NH,New Hampshire,33019,Sullivan County,US,USA,2,,,,,,,43027,21267,21760,4239,4734,4591,4680,5312,6938,6724,3741,2068,2016807,43.344208,-72.24733,1429,80.0,,,,,3.3,7.64,7.22,5.78,6.81,8.05,5.78,,4.95,7.02,5.37,,3.3,10.32,,7.22,2.89,7.43,9.08,4.33,3.51,3.51,5.37,,2.89,5.16,,4.75,16.92,5.57,3.1,5.37,,,3.92,5.57,36.32,3.92,5.57,3.51,6.4,4.33,,3.92,5.16,,2.89,11.527778,0.566667,17.916667,1.6764,149.86,7.055556,74.344584
US_NH_33019,2020-01-13,ChIJwVdrFo3y4YkRKsoVaUOl5ag,Q54444,geoId/33019,US,United States of America,NH,New Hampshire,33019,Sullivan County,US,USA,2,,,,,,,43027,21267,21760,4239,4734,4591,4680,5312,6938,6724,3741,2068,2016807,43.344208,-72.24733,1429,80.0,,,,,3.13,5.47,7.62,5.28,5.86,10.36,2.93,,5.47,3.52,3.13,4.88,,13.68,4.3,10.36,4.69,5.86,6.84,3.71,3.13,3.71,4.3,6.25,4.49,4.1,3.91,8.01,24.23,7.03,4.3,3.71,,7.03,3.32,4.88,41.81,3.32,5.86,3.52,5.86,3.71,3.32,,4.88,,,-1.383333,-3.261111,2.205556,1.7526,78.74,-4.972222,76.685391
US_NH_33019,2020-01-14,ChIJwVdrFo3y4YkRKsoVaUOl5ag,Q54444,geoId/33019,US,United States of America,NH,New Hampshire,33019,Sullivan County,US,USA,2,,,,,,,43027,21267,21760,4239,4734,4591,4680,5312,6938,6724,3741,2068,2016807,43.344208,-72.24733,1429,80.0,,,,,,5.05,9.53,3.18,10.65,8.6,4.86,,3.55,6.54,3.18,4.67,3.18,17.57,3.55,9.91,,4.86,8.97,4.86,,8.04,6.36,4.67,5.79,5.23,3.74,10.65,26.73,5.42,3.36,6.54,5.61,4.11,5.61,7.48,41.49,4.67,7.48,,6.92,2.99,,,4.11,4.11,,0.594444,-3.127778,4.205556,0.0,50.8,-1.205556,87.791758
US_NH_33019,2020-01-15,ChIJwVdrFo3y4YkRKsoVaUOl5ag,Q54444,geoId/33019,US,United States of America,NH,New Hampshire,33019,Sullivan County,US,USA,2,,,,,,,43027,21267,21760,4239,4734,4591,4680,5312,6938,6724,3741,2068,2016807,43.344208,-72.24733,1429,80.0,,,,,,3.98,9.1,4.55,8.35,8.35,6.26,,4.55,6.07,4.55,4.36,,12.71,2.85,9.1,3.22,4.17,10.81,6.26,,6.83,3.41,4.17,,3.41,2.65,7.97,30.16,5.5,3.98,5.31,2.85,5.31,3.6,7.59,39.26,7.02,5.31,,7.4,4.74,3.98,3.04,3.04,3.04,,2.944444,-1.088889,6.494444,0.169333,50.8,-0.694444,77.135267
US_NH_33019,2020-01-16,ChIJwVdrFo3y4YkRKsoVaUOl5ag,Q54444,geoId/33019,US,United States of America,NH,New Hampshire,33019,Sullivan County,US,USA,2,,,,,,,43027,21267,21760,4239,4734,4591,4680,5312,6938,6724,3741,2068,2016807,43.344208,-72.24733,1429,80.0,,,,,,4.86,6.03,4.86,12.05,10.69,5.44,,3.89,5.83,,,,17.89,,10.69,5.05,5.64,8.55,6.03,3.11,7.78,6.61,2.72,6.8,3.89,,8.55,32.47,7.58,,8.17,2.72,4.47,5.64,6.42,43.36,,4.67,3.5,7.0,7.19,4.86,3.11,6.22,,,0.261111,-2.233333,6.155556,3.0734,40.64,-2.416667,82.377876
US_NH_33019,2020-01-17,ChIJwVdrFo3y4YkRKsoVaUOl5ag,Q54444,geoId/33019,US,United States of America,NH,New Hampshire,33019,Sullivan County,US,USA,2,,,,,,,43027,21267,21760,4239,4734,4591,4680,5312,6938,6724,3741,2068,2016807,43.344208,-72.24733,1429,80.0,,,,,,4.62,6.94,3.85,8.29,7.51,4.62,,,2.89,4.82,5.39,,13.68,2.7,8.86,2.89,8.09,9.06,4.82,3.47,4.24,3.85,4.43,3.47,4.05,,7.9,24.47,5.39,,6.36,,3.66,4.62,5.01,38.15,,8.29,3.08,5.2,4.43,,3.27,,3.08,,-9.927778,-14.444444,1.9,5.9182,74.93,-17.772222,53.444581
US_NH_33019,2020-01-18,ChIJwVdrFo3y4YkRKsoVaUOl5ag,Q54444,geoId/33019,US,United States of America,NH,New Hampshire,33019,Sullivan County,US,USA,2,,,,,,,43027,21267,21760,4239,4734,4591,4680,5312,6938,6724,3741,2068,2016807,43.344208,-72.24733,1429,80.0,,,,,,4.06,8.12,5.48,8.33,7.11,6.5,,,6.09,3.45,4.67,3.86,14.83,4.26,9.55,,,6.09,4.47,,3.66,5.48,5.28,4.26,3.86,3.25,3.66,24.58,5.69,,5.28,4.47,2.84,4.67,4.47,37.78,3.86,5.89,,5.69,,,,2.84,,,-12.938889,-16.044444,-6.722222,0.0,80.01,-19.066667,60.63845
US_NH_33019,2020-01-19,ChIJwVdrFo3y4YkRKsoVaUOl5ag,Q54444,geoId/33019,US,United States of America,NH,New Hampshire,33019,Sullivan County,US,USA,2,,,,,,,43027,21267,21760,4239,4734,4591,4680,5312,6938,6724,3741,2068,2016807,43.344208,-72.24733,1429,80.0,,,,,,5.89,8.33,4.27,10.77,7.32,6.71,,3.86,7.32,3.45,5.08,,15.65,6.1,9.35,2.85,4.67,8.74,3.25,,5.28,5.08,3.25,4.06,4.27,3.45,5.89,18.9,7.11,,5.69,5.28,,6.71,3.05,40.64,4.88,5.89,4.88,5.69,4.27,,,3.66,3.05,,-5.638889,-14.072222,2.755556,7.1374,114.3,-8.938889,77.640434
US_NH_33019,2020-01-20,ChIJwVdrFo3y4YkRKsoVaUOl5ag,Q54444,geoId/33019,US,United States of America,NH,New Hampshire,33019,Sullivan County,US,USA,2,,,,,,,43027,21267,21760,4239,4734,4591,4680,5312,6938,6724,3741,2068,2016807,43.344208,-72.24733,1429,80.0,,,,,3.89,5.53,11.06,5.53,12.29,6.96,5.53,,4.71,7.37,2.87,,,19.86,3.48,9.83,,7.17,10.65,,,5.53,4.3,,3.48,5.94,3.28,5.94,30.92,7.17,4.3,7.37,4.09,5.12,2.87,8.6,43.0,5.73,8.19,5.53,7.17,5.12,4.5,,,2.87,3.48,-8.988889,-12.877778,-0.905556,0.6858,165.1,-16.611111,54.27627
